item_code	proposed_item_name	proposed_sku_name	proposed_required_specs	proposed_optional_specs	proposed_stock_uom	proposed_aliases	proposed_brand	proposed_model	duplicate_with_item_code	change_reason
PIPE-000344	胶管总成	胶管总成 36*2 2层 1.2米	规格：36*2；层数：2层；长度：1.2米；接头形式：两端接头		根	胶管36*2-2层-1.2米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000345	胶管总成	胶管总成 36*2 2层 7.3米	规格：36*2；层数：2层；长度：7.3米；接头形式：两端接头		根	胶管36*2-2层-7.3米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000363	胶管总成	胶管总成 36*2H 2层 3米	规格：36*2H；层数：2层；长度：3米；接头形式：两端接头		根	胶管36*2H-2层-3米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000364	胶管总成	胶管总成 36*2H 2层 2米	规格：36*2H；层数：2层；长度：2米；接头形式：两端接头		根	胶管36*2H-2层-2米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000379	胶管总成	胶管总成 36*2 2层 2.5米	规格：36*2；层数：2层；长度：2.5米；接头形式：两端接头		根	胶管36*2-2层-2.5米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000380	胶管总成	胶管总成 36*2 2层 10米	规格：36*2；层数：2层；长度：10米；接头形式：两端接头		根	胶管36*2-2层-10米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000381	胶管总成	胶管总成 36*2 2层 11米	规格：36*2；层数：2层；长度：11米；接头形式：两端接头		根	胶管36*2-2层-11米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000382	胶管总成	胶管总成 36*2 2层 15米	规格：36*2；层数：2层；长度：15米；接头形式：两端接头		根	胶管36*2-2层-15米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000387	胶管总成	胶管总成 M20*1.5 2层 1米	规格：M20*1.5；层数：2层；长度：1米；接头形式：两端接头		根	胶管M20*1.5-2层-1米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000388	胶管总成	胶管总成 M20*1.5 2层 0.5米	规格：M20*1.5；层数：2层；长度：0.5米；接头形式：两端接头		根	胶管M20*1.5-2层-0.5米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000391	胶管总成	胶管总成 36*2H 2层 2.5米	规格：36*2H；层数：2层；长度：2.5米；接头形式：两端接头		根	胶管36*2H-2层-2.5米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000392	胶管总成	胶管总成 36*2H 2层 1米	规格：36*2H；层数：2层；长度：1米；接头形式：两端接头		根	胶管36*2H-2层-1米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000393	胶管总成	胶管总成 36*2H 2层 3.4米	规格：36*2H；层数：2层；长度：3.4米；接头形式：两端接头		根	胶管36*2H-2层-3.4米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000394	胶管总成	胶管总成 36*2H 2层 12米	规格：36*2H；层数：2层；长度：12米；接头形式：两端接头		根	胶管36*2H-2层-12米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000395	胶管总成	胶管总成 36*2H 2层 10米	规格：36*2H；层数：2层；长度：10米；接头形式：两端接头		根	胶管36*2H-2层-10米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000396	胶管总成	胶管总成 36*2H 2层 11米	规格：36*2H；层数：2层；长度：11米；接头形式：两端接头		根	胶管36*2H-2层-11米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000397	胶管总成	胶管总成 36*2H 2层 14米	规格：36*2H；层数：2层；长度：14米；接头形式：两端接头		根	胶管36*2H-2层-14米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000438	胶管总成	胶管总成 Φ13 50米	规格：Φ13；长度：50米；接头形式：两端接头		根	高压管带两端接头Φ13-50m；高压管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
