priority_rank	top_group	material_family	row_count	item_name_count	generic_name_rows	dimension_in_item_name_rows	uom_count	uoms	duplicate_signature_groups	priority_score	recommended_action
35	金属材料	钢筋/线材	10	4	0	0	6	件；千克；卷；吨；条；米	0	35	6种库存单位
36	安全消防	消防管件	19	8	0	0	4	个；只；套；米	0	34	4种库存单位
37	包装覆盖周转	覆盖材料	18	8	0	0	4	卷；块；平方米；米	0	33	4种库存单位
38	金属材料	钢管	15	5	4	0	3	条；根；米	0	33	4条名称等于物料族；3种库存单位
39	设备备件	泵类配件	13	10	0	0	5	个；件；只；套；把	0	33	5种库存单位
40	金属材料	型钢	27	7	0	0	2	条；米	0	32	2种库存单位
41	清洁办公后勤	清洁用品	12	5	0	0	5	个；包；斤；桶；瓶	0	32	5种库存单位
42	设备备件	传动件	16	7	0	0	4	个；件；套；条	0	31	4种库存单位
43	液压气动	气动接头	20	10	0	0	3	个；只；套	0	30	3种库存单位
44	工具量具	锤铲撬工具	15	9	0	0	4	个；套；把；根	0	30	4种库存单位
45	焊接切割	气体减压附件	14	8	0	0	4	个；卷；只；套	0	29	4种库存单位
46	定制加工件	定制板牌件	17	7	0	0	3	件；块；套	0	27	3种库存单位
47	工具量具	检测仪器（候选新增）	17	11	0	0	3	个；只；台	0	27	3种库存单位
48	建筑材料	砖板模板	17	5	0	0	3	块；张；根	0	27	3种库存单位
49	定制加工件	设备定制配件	12	12	0	0	4	个；件；块；套	0	27	4种库存单位
50	劳保防护	急救用品	7	7	0	0	5	包；卷；台；瓶；盒	0	27	5种库存单位
51	弱电安防	网络通信	7	6	0	0	5	个；只；台；套；根	0	27	5种库存单位
52	劳保防护	安全带/安全绳	11	3	0	0	4	个；套；条；米	0	26	4种库存单位
53	设备备件	密封过滤件	11	6	0	0	4	个；只；套；盒	0	26	4种库存单位
54	工具耗材	刷涂耗材	20	3	0	0	2	只；把	0	25	2种库存单位
55	焊接切割	焊割工具	14	6	0	0	3	个；套；把	0	24	3种库存单位
56	紧固件与连接件	扣件/连接件	9	9	0	0	4	个；只；套；支	0	24	4种库存单位
57	吊装索具	卸扣/卡环	23	5	0	0	1	个	0	23	按规模和采购频率复核
58	工具量具	钳类	18	11	0	0	2	台；把	0	23	2种库存单位
59	劳保防护	眼面防护	13	4	0	0	3	个；副；盒	0	23	3种库存单位
60	建筑材料	水泥砂石	13	7	0	0	3	包；吨；袋	0	23	3种库存单位
61	焊接切割	焊材	13	4	0	0	3	千克；支；盘	0	23	3种库存单位
62	施工机具设备	泵类设备	17	10	0	0	2	台；套	0	22	2种库存单位
63	工具耗材	切磨耗材	7	5	0	0	4	个；只；块；片	0	22	4种库存单位
64	电动气动工具	工具附件	7	5	0	0	4	个；副；套；把	0	22	4种库存单位
65	施工机具设备	手推搬运设备	11	4	0	0	3	个；台；辆	0	21	3种库存单位
66	电气电料	电气箱柜	11	4	0	0	3	个；只；套	0	21	3种库存单位
67	工具量具	刀具/刃具	10	10	0	0	3	个；把；盒	0	20	3种库存单位
68	工具量具	螺丝刀/批类	10	3	0	0	3	台；套；把	0	20	3种库存单位
69	电动气动工具	电动工具	10	6	0	0	3	个；台；套	0	20	3种库存单位
70	包装覆盖周转	容器周转箱	14	8	0	0	2	个；只	0	19	2种库存单位
71	工具量具	登高工具（候选新增）	9	4	0	0	3	个；台；部	0	19	3种库存单位
72	焊接切割	焊机配件	9	7	0	0	3	个；只；套	0	19	3种库存单位
73	电气电料	电缆附件	9	4	0	0	3	个；套；米	0	19	3种库存单位
74	清洁办公后勤	办公文具	8	6	0	0	3	个；支；本	0	18	3种库存单位
75	紧固件与连接件	垫圈/垫片	17	3	0	0	1	个	0	17	按规模和采购频率复核
76	液压气动	高压油管/胶管	12	4	0	0	2	根；米	0	17	2种库存单位
77	施工机具设备	小型施工设备	7	6	0	0	3	台；套；根	0	17	3种库存单位
78	化工胶粘涂料	润滑脂	5	4	1	0	3	桶；瓶；罐	0	17	1条名称等于物料族；3种库存单位
79	设备备件	润滑配件	16	3	0	0	1	个	0	16	按规模和采购频率复核
80	包装覆盖周转	包装袋/吨袋	11	5	0	0	2	个；条	0	16	2种库存单位
81	化工胶粘涂料	清洗脱漆剂	11	9	0	0	2	桶；瓶	0	16	2种库存单位
82	弱电安防	监控安防	6	3	0	0	3	个；只；套	0	16	3种库存单位
83	包装覆盖周转	胶带标签	10	5	0	0	2	卷；米	0	15	2种库存单位
84	紧固件与连接件	螺杆/丝杆	10	2	0	0	2	个；根	0	15	2种库存单位
85	劳保防护	呼吸防护	5	3	0	0	3	包；只；盒	0	15	3种库存单位
86	定制加工件	定制橡胶件（候选）	5	4	0	0	3	个；块；米	0	15	3种库存单位
87	工具耗材	砂纸/磨料	5	2	0	0	3	个；张；盒	0	15	3种库存单位
88	施工机具设备	泵油润滑设备	5	3	0	0	3	个；台；把	0	15	3种库存单位
89	管材管件阀门	法兰	5	1	5	0	1	个	0	15	5条名称等于物料族
90	紧固件与连接件	销/卡簧	5	4	0	0	3	个；只；根	0	15	3种库存单位
91	化工胶粘涂料	润滑油	8	5	0	0	2	桶；瓶	0	13	2种库存单位
92	吊装索具	吊钩/吊具	8	5	0	0	2	个；只	0	13	2种库存单位
93	电动气动工具	气动工具	3	3	0	0	3	个；台；把	0	13	3种库存单位
94	吊装索具	葫芦/起重工具	7	4	0	0	2	台；套	0	12	2种库存单位
95	吊装索具	牵引捆绑绳链（候选）	6	2	0	0	2	个；米	0	11	2种库存单位
96	液压气动	液压气动阀	6	3	0	0	2	个；套	0	11	2种库存单位
97	吊装索具	吊带/吊装带	10	1	0	0	1	根	0	10	按规模和采购频率复核
98	安全消防	消防器材	5	4	0	0	2	个；把	0	10	2种库存单位
99	紧固件与连接件	钉类	5	3	0	0	2	千克；盒	0	10	2种库存单位
100	金属材料	钢板/板材	5	2	0	0	2	张；米	0	10	2种库存单位
101	工具量具	工具附件（候选新增）	4	3	0	0	2	个；支	0	9	2种库存单位
102	电气电料	电源/电池	4	2	0	0	2	个；节	0	9	2种库存单位
103	管材管件阀门	管道辅材	4	3	0	0	2	个；卷	0	9	2种库存单位
104	劳保防护	身体防护	3	3	0	0	2	件；套	0	8	2种库存单位
105	安全消防	围挡护栏	3	2	0	0	2	个；套	0	8	2种库存单位
106	工具耗材	刷具附件（候选新增）	3	2	0	0	2	把；根	0	8	2种库存单位
107	清洁办公后勤	办公设备	3	3	0	0	2	个；台	0	8	2种库存单位
108	电气电料	通风设备	3	1	0	0	2	个；台	0	8	2种库存单位
109	设备备件	电机/驱动件（候选）	3	2	0	0	2	台；套	0	8	2种库存单位
110	劳保防护	安全帽/头部防护	2	2	0	0	2	个；只	0	7	2种库存单位
111	化工胶粘涂料	化工原料	2	2	0	0	2	千克；吨	0	7	2种库存单位
112	劳保防护	足部防护	6	3	0	0	1	双	0	6	按规模和采购频率复核
113	化工胶粘涂料	防锈除锈	6	2	0	0	1	瓶	0	6	按规模和采购频率复核
114	安全消防	安全网/防护网	6	3	0	0	1	张	0	6	按规模和采购频率复核
115	工具量具	胶枪/施胶工具（候选新增）	6	2	0	0	1	把	0	6	按规模和采购频率复核
116	液压气动	油管护套/液压防护件（候选）	6	1	0	0	1	只	0	6	按规模和采购频率复核
117	液压气动	气管	2	1	2	0	1	米	0	6	2条名称等于物料族
118	管材管件阀门	软连接	2	1	2	0	1	个	0	6	2条名称等于物料族
119	吊装索具	花篮螺丝/紧线器（候选）	5	1	0	0	1	只	0	5	按规模和采购频率复核
120	设备备件	密封垫片	5	3	0	0	1	个	0	5	按规模和采购频率复核
121	劳保防护	雨具	4	1	0	0	1	套	0	4	按规模和采购频率复核
122	工具耗材	刀具耗材（候选新增）	4	3	0	0	1	支	0	4	按规模和采购频率复核
123	化工胶粘涂料	干性润滑剂	1	1	1	0	1	瓶	0	3	1条名称等于物料族
124	吊装索具	吊装袋/吊包	2	1	0	0	1	只	0	2	按规模和采购频率复核
125	建筑材料	建筑附属件（候选新增）	2	1	0	0	1	套	0	2	按规模和采购频率复核
126	建筑材料	脚手架配件	2	1	0	0	1	个	0	2	按规模和采购频率复核
127	弱电安防	对讲通信	2	1	0	0	1	部	0	2	按规模和采购频率复核
128	化工胶粘涂料	橡胶材料	1	1	0	0	1	千克	0	1	按规模和采购频率复核
129	化工胶粘涂料	水处理剂	1	1	0	0	1	吨	0	1	按规模和采购频率复核
130	化工胶粘涂料	防潮材料	1	1	0	0	1	包	0	1	按规模和采购频率复核
131	安全消防	地面防护	1	1	0	0	1	平方米	0	1	按规模和采购频率复核
132	工具耗材	开孔器	1	1	0	0	1	套	0	1	按规模和采购频率复核
133	工具量具	检测仪器配件（候选新增）	1	1	0	0	1	个	0	1	按规模和采购频率复核
134	工具量具	检测耗材	1	1	0	0	1	支	0	1	按规模和采购频率复核
135	工具量具	液压工具	1	1	0	0	1	套	0	1	按规模和采购频率复核
136	工具量具	试验器具（候选新增）	1	1	0	0	1	个	0	1	按规模和采购频率复核
137	建筑材料	井盖/道路附属件	1	1	0	0	1	个	0	1	按规模和采购频率复核
138	建筑材料	土工材料	1	1	0	0	1	平方米	0	1	按规模和采购频率复核
139	建筑材料	门窗构件（候选新增）	1	1	0	0	1	个	0	1	按规模和采购频率复核
140	施工机具设备	支垫件/垫块（候选）	1	1	0	0	1	块	0	1	按规模和采购频率复核
141	施工机具设备	水箱容器（候选）	1	1	0	0	1	个	0	1	按规模和采购频率复核
142	施工机具设备	风机设备（候选）	1	1	0	0	1	个	0	1	按规模和采购频率复核
143	清洁办公后勤	仓储用品	1	1	0	0	1	套	0	1	按规模和采购频率复核
144	焊接切割	焊接设备/焊机（候选）	1	1	0	0	1	套	0	1	按规模和采购频率复核
145	管材管件阀门	过滤器/水处理附件	1	1	0	0	1	个	0	1	按规模和采购频率复核
146	设备备件	搅拌机配件（候选）	1	1	0	0	1	只	0	1	按规模和采购频率复核
147	设备备件	设备垫块/缓冲件（候选）	1	1	0	0	1	个	0	1	按规模和采购频率复核
