"top_group"	"material_family"	"sku_count"	"current_name_count"	"quality_summary"	"status"	"batch_id"	"input_file"	"output_file"
"化工胶粘涂料"	"胶粘密封"	"37"	"27"	"needs_review:29；standard:1；usable:7"	"completed"	"batch_004"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_004.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_004_mixed_third_layer_mapping_v0_1.tsv"
"液压气动"	"胶管总成"	"34"	"2"	"needs_review:34"	"completed"	"batch_004"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_004.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_004_mixed_third_layer_mapping_v0_1.tsv"
"电气电料"	"电工辅材"	"35"	"22"	"needs_review:23；standard:4；usable:8"	"completed"	"batch_004"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_004.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_004_mixed_third_layer_mapping_v0_1.tsv"
"电气电料"	"电线电缆"	"36"	"14"	"needs_review:32；usable:4"	"completed"	"batch_004"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_004.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_004_mixed_third_layer_mapping_v0_1.tsv"
"金属材料"	"型钢"	"36"	"12"	"needs_review:24；standard:1；usable:11"	"completed"	"batch_004"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_004.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_004_mixed_third_layer_mapping_v0_1.tsv"
"吊装索具"	"吊带/吊装带"	"29"	"5"	"needs_review:6；standard:5；usable:18"	"completed"	"batch_005"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_005.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_005_mixed_third_layer_mapping_v0_1.tsv"
"定制加工件"	"定制结构件"	"30"	"22"	"needs_review:30"	"completed"	"batch_005"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_005.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_005_mixed_third_layer_mapping_v0_1.tsv"
"工具耗材"	"刷涂耗材"	"33"	"9"	"needs_review:11；standard:11；usable:11"	"completed"	"batch_005"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_005.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_005_mixed_third_layer_mapping_v0_1.tsv"
"电气电料"	"接线端子/线鼻子"	"33"	"10"	"needs_review:16；standard:2；usable:15"	"completed"	"batch_005"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_005.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_005_mixed_third_layer_mapping_v0_1.tsv"
"紧固件与连接件"	"管卡/抱箍"	"29"	"21"	"needs_review:16；standard:3；usable:10"	"completed"	"batch_005"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_005.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_005_mixed_third_layer_mapping_v0_1.tsv"
"劳保防护"	"手套"	"23"	"12"	"needs_review:13；standard:5；usable:5"	"completed"	"batch_006"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_006.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_006_mixed_third_layer_mapping_v0_1.tsv"
"吊装索具"	"卸扣/卡环"	"27"	"6"	"needs_review:12；standard:1；usable:14"	"completed"	"batch_006"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_006.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_006_mixed_third_layer_mapping_v0_1.tsv"
"工具量具"	"扳手"	"28"	"16"	"needs_review:8；standard:2；usable:18"	"completed"	"batch_006"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_006.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_006_mixed_third_layer_mapping_v0_1.tsv"
"工具量具"	"钳类"	"28"	"14"	"needs_review:13；usable:15"	"completed"	"batch_006"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_006.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_006_mixed_third_layer_mapping_v0_1.tsv"
"电气电料"	"照明光源"	"25"	"18"	"needs_review:23；usable:2"	"completed"	"batch_006"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_006.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_006_mixed_third_layer_mapping_v0_1.tsv"
"紧固件与连接件"	"膨胀锚栓"	"27"	"1"	"needs_review:11；standard:2；usable:14"	"completed"	"batch_006"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_006.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_006_mixed_third_layer_mapping_v0_1.tsv"
"包装覆盖周转"	"覆盖材料"	"23"	"9"	"needs_review:18；standard:1；usable:4"	"completed"	"batch_007"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_007.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_007_mixed_third_layer_mapping_v0_1.tsv"
"化工胶粘涂料"	"润滑防锈"	"22"	"13"	"needs_review:15；usable:7"	"completed"	"batch_007"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_007.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_007_mixed_third_layer_mapping_v0_1.tsv"
"安全消防"	"消防管件"	"20"	"10"	"needs_review:16；usable:4"	"completed"	"batch_007"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_007.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_007_mixed_third_layer_mapping_v0_1.tsv"
"工具量具"	"检测仪器（候选新增）"	"20"	"18"	"needs_review:15；usable:5"	"completed"	"batch_007"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_007.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_007_mixed_third_layer_mapping_v0_1.tsv"
"建筑材料"	"砖板模板"	"21"	"8"	"needs_review:12；usable:9"	"completed"	"batch_007"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_007.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_007_mixed_third_layer_mapping_v0_1.tsv"
"建筑材料"	"装饰装修材料"	"19"	"15"	"needs_review:15；standard:1；usable:3"	"completed"	"batch_007"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_007.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_007_mixed_third_layer_mapping_v0_1.tsv"
"液压气动"	"气动接头"	"20"	"10"	"needs_review:11；usable:9"	"completed"	"batch_007"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_007.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_007_mixed_third_layer_mapping_v0_1.tsv"
"清洁办公后勤"	"清洁用品"	"19"	"6"	"needs_review:17；standard:1；usable:1"	"completed"	"batch_007"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_007.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_007_mixed_third_layer_mapping_v0_1.tsv"
"化工胶粘涂料"	"清洗脱漆剂"	"17"	"11"	"needs_review:12；standard:2；usable:3"	"completed"	"batch_008"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_008.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_008_mixed_third_layer_mapping_v0_1.tsv"
"定制加工件"	"定制板牌件"	"18"	"14"	"needs_review:15；standard:3"	"completed"	"batch_008"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_008.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_008_mixed_third_layer_mapping_v0_1.tsv"
"工具量具"	"刀具/刃具"	"18"	"11"	"needs_review:12；standard:4；usable:2"	"completed"	"batch_008"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_008.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_008_mixed_third_layer_mapping_v0_1.tsv"
"施工机具设备"	"泵类设备"	"17"	"13"	"needs_review:16；usable:1"	"completed"	"batch_008"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_008.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_008_mixed_third_layer_mapping_v0_1.tsv"
"焊接切割"	"气体减压附件"	"19"	"14"	"needs_review:19"	"completed"	"batch_008"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_008.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_008_mixed_third_layer_mapping_v0_1.tsv"
"焊接切割"	"焊割工具"	"18"	"10"	"needs_review:9；standard:1；usable:8"	"completed"	"batch_008"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_008.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_008_mixed_third_layer_mapping_v0_1.tsv"
"紧固件与连接件"	"垫圈/垫片"	"17"	"3"	"needs_review:10；usable:7"	"completed"	"batch_008"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_008.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_008_mixed_third_layer_mapping_v0_1.tsv"
"紧固件与连接件"	"螺母"	"18"	"1"	"needs_review:17；usable:1"	"completed"	"batch_008"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_008.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_008_mixed_third_layer_mapping_v0_1.tsv"
"设备备件"	"传动件"	"18"	"9"	"needs_review:10；usable:8"	"completed"	"batch_008"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_008.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_008_mixed_third_layer_mapping_v0_1.tsv"
"劳保防护"	"眼面防护"	"16"	"9"	"needs_review:10；standard:3；usable:3"	"completed"	"batch_009"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"
"包装覆盖周转"	"包装袋/吨袋"	"15"	"8"	"needs_review:13；standard:1；usable:1"	"completed"	"batch_009"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"
"工具量具"	"锤铲撬工具"	"16"	"12"	"needs_review:8；standard:1；usable:7"	"completed"	"batch_009"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"
"建筑材料"	"水泥砂石"	"16"	"9"	"needs_review:13；standard:1；usable:2"	"completed"	"batch_009"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"
"建筑材料"	"防水保温材料"	"16"	"10"	"needs_review:16"	"completed"	"batch_009"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"
"焊接切割"	"焊材"	"16"	"6"	"needs_review:13；usable:3"	"completed"	"batch_009"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"
"设备备件"	"泵类配件"	"16"	"14"	"needs_review:14；usable:2"	"completed"	"batch_009"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"
"设备备件"	"润滑配件"	"17"	"3"	"needs_review:17"	"completed"	"batch_009"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"
"金属材料"	"钢筋/线材"	"16"	"7"	"needs_review:10；usable:6"	"completed"	"batch_009"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"
"金属材料"	"钢管"	"17"	"9"	"needs_review:10；standard:1；usable:6"	"completed"	"batch_009"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_009.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_009_mixed_third_layer_mapping_v0_1.tsv"
"包装覆盖周转"	"容器周转箱"	"14"	"12"	"needs_review:11；usable:3"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"包装覆盖周转"	"胶带标签"	"12"	"8"	"needs_review:7；standard:1；usable:4"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"吊装索具"	"钢丝绳"	"15"	"8"	"needs_review:14；usable:1"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"安全消防"	"安全警示"	"12"	"10"	"needs_review:10；usable:2"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"定制加工件"	"设备定制配件"	"12"	"12"	"needs_review:12"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"工具量具"	"套筒"	"15"	"5"	"needs_review:2；usable:13"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"工具量具"	"螺丝刀/批类"	"13"	"2"	"needs_review:11；usable:2"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"施工机具设备"	"手推搬运设备"	"12"	"6"	"needs_review:2；usable:10"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"液压气动"	"高压油管/胶管"	"12"	"5"	"needs_review:9；usable:3"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"清洁办公后勤"	"办公文具"	"15"	"7"	"needs_review:9；usable:6"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"焊接切割"	"焊机配件"	"12"	"11"	"needs_review:7；standard:2；usable:3"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"电动气动工具"	"电动工具"	"14"	"14"	"needs_review:11；standard:1；usable:2"	"completed"	"batch_010"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_010.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_010_mixed_third_layer_mapping_v0_1.tsv"
"劳保防护"	"安全带/安全绳"	"11"	"4"	"needs_review:9；usable:2"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"劳保防护"	"急救用品"	"9"	"8"	"needs_review:7；standard:1；usable:1"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"劳保防护"	"足部防护"	"8"	"4"	"needs_review:7；usable:1"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"劳保防护"	"雨具"	"7"	"3"	"needs_review:5；usable:2"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"吊装索具"	"吊钩/吊具"	"9"	"6"	"needs_review:7；usable:2"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"吊装索具"	"牵引捆绑绳链（候选）"	"7"	"3"	"needs_review:5；usable:2"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"吊装索具"	"花篮螺丝/紧线器（候选）"	"7"	"1"	"needs_review:4；usable:3"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"吊装索具"	"葫芦/起重工具"	"7"	"4"	"needs_review:1；standard:1；usable:5"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"安全消防"	"消防器材"	"8"	"4"	"needs_review:8"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"工具耗材"	"切磨耗材"	"9"	"7"	"needs_review:9"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"工具量具"	"登高工具（候选新增）"	"10"	"7"	"needs_review:9；usable:1"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"弱电安防"	"网络通信"	"9"	"9"	"needs_review:8；standard:1"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"电气电料"	"电气箱柜"	"11"	"9"	"needs_review:10；usable:1"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"电气电料"	"电缆附件"	"10"	"5"	"needs_review:4；standard:3；usable:3"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"紧固件与连接件"	"扣件/连接件"	"9"	"9"	"needs_review:7；usable:2"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"紧固件与连接件"	"螺杆/丝杆"	"10"	"2"	"needs_review:8；usable:2"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"设备备件"	"密封过滤件"	"11"	"8"	"needs_review:7；usable:4"	"completed"	"batch_011"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_011.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_011_mixed_third_layer_mapping_v0_1.tsv"
"劳保防护"	"呼吸防护"	"6"	"5"	"needs_review:6"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"劳保防护"	"安全帽/头部防护"	"2"	"2"	"usable:2"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"劳保防护"	"身体防护"	"4"	"4"	"needs_review:4"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"化工胶粘涂料"	"化工原料"	"3"	"2"	"needs_review:3"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"化工胶粘涂料"	"橡胶材料"	"1"	"1"	"needs_review:1"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"化工胶粘涂料"	"水处理剂"	"1"	"1"	"usable:1"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"化工胶粘涂料"	"防潮材料"	"1"	"1"	"needs_review:1"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"安全消防"	"围挡护栏"	"3"	"2"	"needs_review:3"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"安全消防"	"地面防护"	"1"	"1"	"needs_review:1"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"安全消防"	"安全网/防护网"	"7"	"5"	"needs_review:7"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"定制加工件"	"定制橡胶件（候选）"	"5"	"5"	"needs_review:5"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"工具耗材"	"刀具耗材（候选新增）"	"4"	"3"	"needs_review:1；usable:3"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"工具耗材"	"刷具附件（候选新增）"	"3"	"3"	"needs_review:3"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"工具耗材"	"开孔器"	"1"	"1"	"needs_review:1"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
"工具耗材"	"砂纸/磨料"	"7"	"2"	"needs_review:5；usable:2"	"completed"	"batch_012"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_012.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_012_mixed_third_layer_mapping_v0_1.tsv"
