item_code	item_name	sku_name	required_specs	optional_specs	item_group	top_group	sub_group	material_family	stock_uom	purchase_uom	conversion_factor	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_refs	source_item_codes	merged_count	governance_note	updated_at
SAFE-000140	安全绳	安全绳 Φ12	直径：Φ12		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	米			安全绳Φ12；安全绳	SAFE-000140 安全绳 Φ12 安全绳 安全带/安全绳 劳保防护 直径：Φ12 米 安全绳Φ12			active	standard	auto_select_allowed	canonical=SAFE-000140；source_item_codes=SAFE-000140；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000140	1	来源单位一致	2026-07-04
SAFE-000101	安全绳	安全绳 Φ14	直径：Φ14		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	米			安全绳Φ14；安全绳	SAFE-000101 安全绳 Φ14 安全绳 安全带/安全绳 劳保防护 直径：Φ14 米 安全绳Φ14			active	standard	auto_select_allowed	canonical=SAFE-000101；source_item_codes=SAFE-000101；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000101	1	来源单位一致	2026-07-04
SAFE-000129	安全绳	安全绳 Φ16	直径：Φ16		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	米			安全绳Φ16；安全绳	SAFE-000129 安全绳 Φ16 安全绳 安全带/安全绳 劳保防护 直径：Φ16 米 安全绳Φ16			active	standard	auto_select_allowed	canonical=SAFE-000129；source_item_codes=SAFE-000129；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000129	1	来源单位一致	2026-07-04
SAFE-000138	安全绳	安全绳 Φ8	直径：Φ8		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	米			安全绳Φ8；安全绳	SAFE-000138 安全绳 Φ8 安全绳 安全带/安全绳 劳保防护 直径：Φ8 米 安全绳Φ8			active	standard	auto_select_allowed	canonical=SAFE-000138；source_item_codes=SAFE-000138；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000138	1	来源单位一致	2026-07-04
SAFE-000026	安全绳	安全绳 五点式双钩	类型：五点式；挂钩：双钩		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	套			五点式双钩安全绳；安全绳	SAFE-000026 安全绳 五点式双钩 安全绳 安全带/安全绳 劳保防护 类型：五点式 挂钩：双钩 套 五点式双钩安全绳			active	standard	auto_select_allowed	canonical=SAFE-000026；source_item_codes=SAFE-000026；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000026	1	来源单位一致	2026-07-04
SAFE-000074	防坠器	防坠器 300kg 30米 双锁	承重：300kg；长度：30米；锁具：双锁		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	个			300KG30米防坠器双锁；防坠器	SAFE-000074 防坠器 300kg 30米 双锁 防坠器 安全带/安全绳 劳保防护 承重：300kg 长度：30米 锁具：双锁 个 300KG30米防坠器双锁			active	standard	auto_select_allowed	canonical=SAFE-000074；source_item_codes=SAFE-000074；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000074	1	来源单位一致	2026-07-04
SAFE-000033	安全帽配件	安全帽配件 一字带	类型：一字带		劳保防护/安全帽/头部防护	劳保防护	安全帽/头部防护	安全帽/头部防护	只			安全帽一字带	SAFE-000033 安全帽配件 一字带 安全帽配件 安全帽/头部防护 劳保防护 类型：一字带 只 安全帽一字带			active	standard	auto_select_allowed	canonical=SAFE-000033；source_item_codes=SAFE-000033；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000033	1	来源单位一致；补齐依据：原始规格缺失具体型号，根据名称和类型推断为通用一字带配件	2026-07-04
SAFE-000021	草帽	草帽 58cm	头围：58cm		劳保防护/安全帽/头部防护	劳保防护	安全帽/头部防护	安全帽/头部防护	个			草帽	SAFE-000021 草帽 58cm 草帽 安全帽/头部防护 劳保防护 头围：58cm 个			active	standard	auto_select_allowed	canonical=SAFE-000021；source_item_codes=SAFE-000021；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000021	1	来源单位一致；补齐依据：原始缺少尺寸规格，按常见成人头围58cm补齐	2026-07-04
SAFE-000010	创可贴	创可贴 100片/盒	尺寸：70mm×18mm；包装数量：100片/盒		劳保防护/急救用品	劳保防护	急救用品	急救用品	片			止血贴；创可贴	SAFE-000010 创可贴 100片/盒 创可贴 急救用品 劳保防护 尺寸：70mm×18mm 包装数量：100片/盒 片 止血贴 SAFE-000078 SAFE-000104			active	standard	auto_select_allowed	canonical=SAFE-000010；source_item_codes=SAFE-000010；SAFE-000078；SAFE-000104；merged_count=3；sku_governance=batch_all_sku_governance_20260703	SAFE-000010；SAFE-000078；SAFE-000104	3	来源单位一致；补齐依据：缺失尺寸和包装数量，按常见采购规格补齐（70mm×18mm，100片/盒）；合并依据：相同标准SKU名称和最小规格，建议合并	2026-07-04
SAFE-000011	医用绷带	医用绷带 8cm×600cm	宽度：8cm；长度：600cm		劳保防护/急救用品	劳保防护	急救用品	急救用品	卷			绷带；医用绷带	SAFE-000011 医用绷带 8cm×600cm 医用绷带 急救用品 劳保防护 宽度：8cm 长度：600cm 卷 绷带			active	standard	auto_select_allowed	canonical=SAFE-000011；source_item_codes=SAFE-000011；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000011	1	来源单位一致；补齐依据：原始缺失宽度和长度规格，按常见医用绷带规格8cm×600cm补齐。	2026-07-04
SAFE-000014	医用胶带	医用胶带 1.25cm×5m	宽度：1.25cm；长度：5m		劳保防护/急救用品	劳保防护	急救用品	急救用品	卷				SAFE-000014 医用胶带 1.25cm×5m 医用胶带 急救用品 劳保防护 宽度：1.25cm 长度：5m 卷			active	standard	auto_select_allowed	canonical=SAFE-000014；source_item_codes=SAFE-000014；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000014	1	来源单位一致；补齐依据：宽度和长度缺失，根据常见医用胶带规格，默认宽度1.25cm，长度5m作为初始SKU。	2026-07-04
SAFE-000032	电子血压计	电子血压计 上臂式	测量部位：上臂		劳保防护/急救用品	劳保防护	急救用品	急救用品	台			鱼跃电子血压计；电子血压计	SAFE-000032 电子血压计 上臂式 电子血压计 急救用品 劳保防护 测量部位：上臂 台 鱼跃 鱼跃电子血压计	鱼跃		active	standard	auto_select_allowed	canonical=SAFE-000032；source_item_codes=SAFE-000032；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000032	1	来源单位一致；补齐依据：原始缺失型号及测量方式，按最常见上臂式自动电子血压计补齐	2026-07-04
SAFE-000009	碘伏	碘伏 500ml	容量：500ml		劳保防护/急救用品	劳保防护	急救用品	急救用品	瓶			碘伏500ml；碘伏	SAFE-000009 碘伏 500ml 碘伏 急救用品 劳保防护 容量：500ml 瓶 碘伏500ml			active	standard	auto_select_allowed	canonical=SAFE-000009；source_item_codes=SAFE-000009；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000009	1	来源单位一致	2026-07-04
SAFE-000127	红花油	红花油 20ml	规格/容量：20ml		劳保防护/急救用品	劳保防护	急救用品	急救用品	瓶			红花油	SAFE-000127 红花油 20ml 红花油 急救用品 劳保防护 规格/容量：20ml 瓶			active	standard	auto_select_allowed	canonical=SAFE-000127；source_item_codes=SAFE-000127；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000127	1	来源单位一致；补齐依据：规格/容量缺失，按常见采购规格补为20ml	2026-07-04
SAFE-000046	纱布	纱布 大包	包装：大包		劳保防护/急救用品	劳保防护	急救用品	急救用品	包			纱布大包；纱布	SAFE-000046 纱布 大包 纱布 急救用品 劳保防护 包装：大包 包 纱布大包			active	standard	auto_select_allowed	canonical=SAFE-000046；source_item_codes=SAFE-000046；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000046	1	来源单位一致；补齐依据：原始规格缺失具体尺寸、卷数或片数，仅保留包装信息，按常见采购口径生成初始SKU。	2026-07-04
SAFE-000006	手套	手套 乳胶加厚	材质：乳胶；加厚：是		劳保防护/手套	劳保防护	手套	手套	双			加厚乳胶手套；乳胶手套	SAFE-000006 手套 乳胶加厚 手套 劳保防护 材质：乳胶 加厚：是 双 加厚乳胶手套 乳胶手套			active	standard	auto_select_allowed	canonical=SAFE-000006；source_item_codes=SAFE-000006；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000006	1	来源单位一致	2026-07-04
SAFE-000055	手套	手套 全胶	材质：胶；类型：全胶		劳保防护/手套	劳保防护	手套	手套	双			全胶手套	SAFE-000055 手套 全胶 手套 劳保防护 材质：胶 类型：全胶 双 全胶手套			active	standard	auto_select_allowed	canonical=SAFE-000055；source_item_codes=SAFE-000055；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000055	1	来源单位一致	2026-07-04
SAFE-000091	手套	手套 布加厚	材质：布；加厚：是		劳保防护/手套	劳保防护	手套	手套	双			加厚布手套；布手套	SAFE-000091 手套 布加厚 手套 劳保防护 材质：布 加厚：是 双 加厚布手套 布手套			active	standard	auto_select_allowed	canonical=SAFE-000091；source_item_codes=SAFE-000091；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000091	1	来源单位一致	2026-07-04
SAFE-000020	手套	手套 布加厚双层	材质：布；层数：双层；加厚：是		劳保防护/手套	劳保防护	手套	手套	双			加厚双层布手套；布手套；布加厚双层手套	SAFE-000020 手套 布加厚双层 手套 劳保防护 材质：布 层数：双层 加厚：是 双 加厚双层布手套 布手套 布加厚双层手套 SAFE-000085			active	standard	auto_select_allowed	canonical=SAFE-000020；source_item_codes=SAFE-000020；SAFE-000085；merged_count=2；sku_governance=batch_all_sku_governance_20260703	SAFE-000020；SAFE-000085	2	来源单位一致；合并依据：与SAFE-000085均为布加厚双层，规格一致；与SAFE-000020均为布加厚双层，规格一致	2026-07-04
SAFE-000096	手套	手套 帆布	材质：帆布		劳保防护/手套	劳保防护	手套	手套	双			帆布手套	SAFE-000096 手套 帆布 手套 劳保防护 材质：帆布 双 帆布手套 SAFE-000133			active	standard	auto_select_allowed	canonical=SAFE-000096；source_item_codes=SAFE-000096；SAFE-000133；merged_count=2；sku_governance=batch_all_sku_governance_20260703	SAFE-000096；SAFE-000133	2	来源单位一致；补齐依据：原始库存单位为付，统一为双；合并依据：与SAFE-000133均为帆布，规格一致；与SAFE-000096均为帆布，规格一致	2026-07-04
SAFE-000005	手套	手套 帆布加厚双层	材质：帆布；层数：双层；加厚：是		劳保防护/手套	劳保防护	手套	手套	双			加厚双层帆布手套；帆布手套	SAFE-000005 手套 帆布加厚双层 手套 劳保防护 材质：帆布 层数：双层 加厚：是 双 加厚双层帆布手套 帆布手套 SAFE-000070			active	standard	auto_select_allowed	canonical=SAFE-000005；source_item_codes=SAFE-000005；SAFE-000070；merged_count=2；sku_governance=batch_all_sku_governance_20260703	SAFE-000005；SAFE-000070	2	来源单位一致；合并依据：与SAFE-000070均为帆布加厚双层，规格一致；与SAFE-000005均为帆布加厚双层，规格一致	2026-07-04
SAFE-000001	手套	手套 帆布双层	材质：帆布；层数：双层		劳保防护/手套	劳保防护	手套	手套	双			双重帆布手套；帆布手套；帆布双层手套；双层帆布手套	SAFE-000001 手套 帆布双层 手套 劳保防护 材质：帆布 层数：双层 双 双重帆布手套 帆布手套 帆布双层手套 双层帆布手套 SAFE-000066			active	standard	auto_select_allowed	canonical=SAFE-000001；source_item_codes=SAFE-000001；SAFE-000066；merged_count=2；sku_governance=batch_all_sku_governance_20260703	SAFE-000001；SAFE-000066	2	来源单位一致；合并依据：与SAFE-000066均为帆布双层，规格一致；与SAFE-000001均为帆布双层，规格一致	2026-07-04
SAFE-000016	手套	手套 挂胶厚	材质：胶；工艺：挂胶；厚度：厚		劳保防护/手套	劳保防护	手套	手套	双			厚挂胶手套；挂胶手套	SAFE-000016 手套 挂胶厚 手套 劳保防护 材质：胶 工艺：挂胶 厚度：厚 双 厚挂胶手套 挂胶手套			active	standard	auto_select_allowed	canonical=SAFE-000016；source_item_codes=SAFE-000016；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000016	1	来源单位一致	2026-07-04
SAFE-000097	手套	手套 橡胶	材质：橡胶		劳保防护/手套	劳保防护	手套	手套	双			橡胶手套	SAFE-000097 手套 橡胶 手套 劳保防护 材质：橡胶 双 橡胶手套 SAFE-000142			active	standard	auto_select_allowed	canonical=SAFE-000097；source_item_codes=SAFE-000097；SAFE-000142；merged_count=2；sku_governance=batch_all_sku_governance_20260703	SAFE-000097；SAFE-000142	2	来源单位一致；补齐依据：原始库存单位为付，统一为双；合并依据：与SAFE-000142均为橡胶，规格一致；与SAFE-000097均为橡胶，规格一致	2026-07-04
SAFE-000141	手套	手套 浸塑	工艺：浸塑		劳保防护/手套	劳保防护	手套	手套	双			浸塑手套	SAFE-000141 手套 浸塑 手套 劳保防护 工艺：浸塑 双 浸塑手套			active	standard	auto_select_allowed	canonical=SAFE-000141；source_item_codes=SAFE-000141；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000141	1	来源单位一致；补齐依据：原始库存单位为付，统一为双	2026-07-04
SAFE-000113	手套	手套 浸胶	材质：胶；工艺：浸胶		劳保防护/手套	劳保防护	手套	手套	双			浸胶手套	SAFE-000113 手套 浸胶 手套 劳保防护 材质：胶 工艺：浸胶 双 浸胶手套			active	standard	auto_select_allowed	canonical=SAFE-000113；source_item_codes=SAFE-000113；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000113	1	来源单位一致；补齐依据：原始库存单位为付，统一为双	2026-07-04
SAFE-000100	手套	手套 牛筋	材质：牛筋		劳保防护/手套	劳保防护	手套	手套	双			牛筋手套	SAFE-000100 手套 牛筋 手套 劳保防护 材质：牛筋 双 牛筋手套			active	standard	auto_select_allowed	canonical=SAFE-000100；source_item_codes=SAFE-000100；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000100	1	来源单位一致；补齐依据：原始库存单位为付，统一为双	2026-07-04
SAFE-000007	手套	手套 牛筋加厚	材质：牛筋；加厚：是		劳保防护/手套	劳保防护	手套	手套	双			牛筋加厚手套；牛筋手套	SAFE-000007 手套 牛筋加厚 手套 劳保防护 材质：牛筋 加厚：是 双 牛筋加厚手套 牛筋手套			active	standard	auto_select_allowed	canonical=SAFE-000007；source_item_codes=SAFE-000007；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000007	1	来源单位一致	2026-07-04
SAFE-000062	手套	手套 胶	材质：胶		劳保防护/手套	劳保防护	手套	手套	双			胶手套	SAFE-000062 手套 胶 手套 劳保防护 材质：胶 双 胶手套			active	standard	auto_select_allowed	canonical=SAFE-000062；source_item_codes=SAFE-000062；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000062	1	来源单位一致	2026-07-04
SAFE-000022	焊工手套	焊工手套	材质：牛皮；长度：35cm		劳保防护/手套	劳保防护	手套	手套	双			电焊手套；焊工手套	SAFE-000022 焊工手套 手套 劳保防护 材质：牛皮 长度：35cm 双 电焊手套 SAFE-000108			active	standard	auto_select_allowed	canonical=SAFE-000022；source_item_codes=SAFE-000022；SAFE-000108；merged_count=2；sku_governance=batch_all_sku_governance_20260703	SAFE-000022；SAFE-000108	2	来源单位一致；补齐依据：材质按常见焊工手套推断为牛皮；长度按标准款推断为35cm；单位统一为双；材质推断为牛皮；原单位'付'统一为'双'；合并依据：标准焊工手套，材质和长度推断一致，且无其他特征差异；单位差异已统一	2026-07-04
SAFE-000054	焊工手套	焊工手套 加长	材质：牛皮；长度：40cm		劳保防护/手套	劳保防护	手套	手套	双			加长焊工手套	SAFE-000054 焊工手套 加长 焊工手套 手套 劳保防护 材质：牛皮 长度：40cm 双 加长焊工手套			active	standard	auto_select_allowed	canonical=SAFE-000054；source_item_codes=SAFE-000054；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000054	1	来源单位一致；补齐依据：材质推断为牛皮；长度按加长焊工手套常见规格推断为40cm；单位统一为双	2026-07-04
SAFE-000059	焊工手套	焊工手套 双层加厚	材质：牛皮；特征：双层加厚		劳保防护/手套	劳保防护	手套	手套	双			双层电焊手套厚；电焊手套	SAFE-000059 焊工手套 双层加厚 焊工手套 手套 劳保防护 材质：牛皮 特征：双层加厚 双 双层电焊手套厚 电焊手套			active	standard	auto_select_allowed	canonical=SAFE-000059；source_item_codes=SAFE-000059；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000059	1	来源单位一致；补齐依据：材质推断为牛皮；特征保留原始双层加厚；长度按标准款推断35cm（未写入规格因默认）；单位统一为双	2026-07-04
SAFE-000116	焊工眼镜	焊工眼镜 白色/灰色	镜片颜色：白色/灰色		劳保防护/眼面防护	劳保防护	眼面防护	眼面防护	副			电焊眼镜白色 灰色；焊工眼镜	SAFE-000116 焊工眼镜 白色/灰色 焊工眼镜 眼面防护 劳保防护 镜片颜色：白色/灰色 副 电焊眼镜白色 灰色			active	standard	auto_select_allowed	canonical=SAFE-000116；source_item_codes=SAFE-000116；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000116	1	来源单位一致	2026-07-04
SAFE-000004	焊工眼镜	焊工眼镜 遮光11#	遮光等级：11#；镜片颜色：墨绿色		劳保防护/眼面防护	劳保防护	眼面防护	眼面防护	副			电焊眼镜；焊工眼镜	SAFE-000004 焊工眼镜 遮光11# 焊工眼镜 眼面防护 劳保防护 遮光等级：11# 镜片颜色：墨绿色 副 电焊眼镜 SAFE-000017 SAFE-000105 SAFE-000114			active	standard	auto_select_allowed	canonical=SAFE-000004；source_item_codes=SAFE-000004；SAFE-000017；SAFE-000105；SAFE-000114；merged_count=4；sku_governance=batch_all_sku_governance_20260703	SAFE-000004；SAFE-000017；SAFE-000105；SAFE-000114	4	来源单位一致；补齐依据：遮光等级按常见焊工眼镜默认11#；镜片颜色按电焊防护习惯默认墨绿色；合并依据：所有规格（遮光等级、镜片颜色、标准单位）一致，仅aliases和governance_note略有差异；所有规格一致	2026-07-04
SAFE-000048	焊接面罩	焊接面罩 头戴式	类型：头戴式		劳保防护/眼面防护	劳保防护	眼面防护	眼面防护	个			好电焊帽；电焊帽	SAFE-000048 焊接面罩 头戴式 焊接面罩 眼面防护 劳保防护 类型：头戴式 个 好电焊帽 电焊帽			active	standard	auto_select_allowed	canonical=SAFE-000048；source_item_codes=SAFE-000048；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000048	1	来源单位一致；补齐依据：根据别名'电焊帽'推断为头戴式；遮光等级缺失，未补充	2026-07-04
SAFE-000110	焊接面罩	焊接面罩 头盔式	类型：头盔式		劳保防护/眼面防护	劳保防护	眼面防护	眼面防护	个			头盔式面罩	SAFE-000110 焊接面罩 头盔式 焊接面罩 眼面防护 劳保防护 类型：头盔式 个 头盔式面罩			active	standard	auto_select_allowed	canonical=SAFE-000110；source_item_codes=SAFE-000110；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000110	1	来源单位一致；补齐依据：原始类型明确为头盔式；单位从'只'改为'个'	2026-07-04
SAFE-000082	焊接面罩	焊接面罩 手持式	类型：手持式		劳保防护/眼面防护	劳保防护	眼面防护	眼面防护	个			焊接面罩	SAFE-000082 焊接面罩 手持式 焊接面罩 眼面防护 劳保防护 类型：手持式 个			active	standard	auto_select_allowed	canonical=SAFE-000082；source_item_codes=SAFE-000082；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000082	1	来源单位一致；补齐依据：常见手持式焊接面罩，无其他信息	2026-07-04
SAFE-000117	焊罩镜片	焊罩镜片 白/黑	颜色：白/黑		劳保防护/眼面防护	劳保防护	眼面防护	眼面防护	盒			焊罩镜片 白 黑；焊罩镜片	SAFE-000117 焊罩镜片 白/黑 焊罩镜片 眼面防护 劳保防护 颜色：白/黑 盒 焊罩镜片 白 黑			active	standard	auto_select_allowed	canonical=SAFE-000117；source_item_codes=SAFE-000117；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000117	1	来源单位一致；补齐依据：原始缺失遮光号、尺寸，仅保留颜色，需采购确认。	2026-07-04
WELD-000067	焊罩镜片	焊罩镜片 黑色	颜色：黑色		劳保防护/眼面防护	劳保防护	眼面防护	眼面防护	盒			焊罩镜片黑色；焊罩镜片	WELD-000067 焊罩镜片 黑色 焊罩镜片 眼面防护 劳保防护 颜色：黑色 盒 焊罩镜片黑色			active	standard	auto_select_allowed	canonical=WELD-000067；source_item_codes=WELD-000067；merged_count=1；sku_governance=batch_all_sku_governance_20260703	WELD-000067	1	来源单位一致；补齐依据：原始缺失遮光号、尺寸，仅保留颜色，需采购确认。	2026-07-04
SAFE-000095	防护眼镜	防护眼镜 多功能护目	类型：多功能护目		劳保防护/眼面防护	劳保防护	眼面防护	眼面防护	副			多功能护目眼镜；护目镜	SAFE-000095 防护眼镜 多功能护目 防护眼镜 眼面防护 劳保防护 类型：多功能护目 副 多功能护目眼镜 护目镜			active	standard	auto_select_allowed	canonical=SAFE-000095；source_item_codes=SAFE-000095；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000095	1	来源单位一致	2026-07-04
SAFE-000018	防护眼镜	防护眼镜 平光	镜片类型：平光		劳保防护/眼面防护	劳保防护	眼面防护	眼面防护	副			平镜眼镜；平光防护眼镜	SAFE-000018 防护眼镜 平光 防护眼镜 眼面防护 劳保防护 镜片类型：平光 副 平镜眼镜 平光防护眼镜			active	standard	auto_select_allowed	canonical=SAFE-000018；source_item_codes=SAFE-000018；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000018	1	来源单位一致	2026-07-04
SAFE-000002	防护眼镜	防护眼镜 打磨用	用途：打磨		劳保防护/眼面防护	劳保防护	眼面防护	眼面防护	副			打磨眼镜；防护眼镜	SAFE-000002 防护眼镜 打磨用 防护眼镜 眼面防护 劳保防护 用途：打磨 副 打磨眼镜			active	standard	auto_select_allowed	canonical=SAFE-000002；source_item_codes=SAFE-000002；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000002	1	来源单位一致；补齐依据：用途为打磨，未指定镜片类型/颜色，按常见打磨防护眼镜默认透明防冲击镜片	2026-07-04
