type_id	attribute_key	display_name	requirement	value_type	unit	enum_values	affects_sku_identity	display_order	description	source_evidence
MT-DE02CACB686F	头围	头围	required	text			true	3	头围（安全帽/头部防护）按来源证据填写。	source_required_specs/brand/model
MT-C83489A43472	size	尺寸	required	text			true	1	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-C83489A43472	包装数量	包装数量	required	text			true	2	包装数量（急救用品）按来源证据填写。	source_required_specs/brand/model
MT-41E4A4D4AFD8	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-41E4A4D4AFD8	length	长度	required	text			true	2	长度（急救用品）按来源证据填写。	source_required_specs/brand/model
MT-41E4A4D4AFD8	width	宽度	required	text			true	3	宽度（急救用品）按来源证据填写。	source_required_specs/brand/model
MT-41E4A4D4AFD8	material	材质	required	text			true	4	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-CC06F9AEC06D	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-CC06F9AEC06D	length	长度	required	text			true	2	长度（急救用品）按来源证据填写。	source_required_specs/brand/model
MT-CC06F9AEC06D	width	宽度	required	text			true	3	宽度（急救用品）按来源证据填写。	source_required_specs/brand/model
MT-CC06F9AEC06D	material	材质	required	text			true	4	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-5492BDAC8061	brand	品牌	required	text			true	1	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-5492BDAC8061	显示方式	显示方式	required	text			true	2	显示方式（急救用品）按来源证据填写。	source_required_specs/brand/model
MT-5492BDAC8061	测量部位	测量部位	required	text			true	3	测量部位（急救用品）按来源证据填写。	source_required_specs/brand/model
MT-5492BDAC8061	电源	电源	required	text			true	4	电源（急救用品）按来源证据填写。	source_required_specs/brand/model
MT-DBF672DCB4A7	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-DBF672DCB4A7	capacity	容量	required	text			true	2	容量或包装容量。	source_required_specs/brand/model
MT-DBF672DCB4A7	package_specification	包装规格	required	text			true	3	包装规格，不得建立为物料分类。	source_required_specs/brand/model
MT-DBF672DCB4A7	浓度	浓度	required	text			true	4	浓度（急救用品）按来源证据填写。	source_required_specs/brand/model
MT-0311ABAE51A5	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-0311ABAE51A5	capacity	容量	required	text			true	2	容量或包装容量。	source_required_specs/brand/model
MT-0311ABAE51A5	package_specification	包装规格	required	text			true	3	包装规格，不得建立为物料分类。	source_required_specs/brand/model
MT-9FEA51EF86CA	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-9FEA51EF86CA	size	尺寸	required	text			true	2	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-9FEA51EF86CA	package_specification	包装规格	required	text			true	3	包装规格，不得建立为物料分类。	source_required_specs/brand/model
MT-A6481AC7E3DF	length	长度	required	text			true	1	长度（手套）按来源证据填写。	source_required_specs/brand/model
MT-A6481AC7E3DF	thickness	厚度	required	text			true	2	厚度（手套）按来源证据填写。	source_required_specs/brand/model
MT-A6481AC7E3DF	material	材质	required	text			true	3	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-A6481AC7E3DF	color	颜色	required	text			true	4	颜色（手套）按来源证据填写。	source_required_specs/brand/model
MT-A6481AC7E3DF	process	工艺	required	text			true	5	工艺（手套）按来源证据填写。	source_required_specs/brand/model
MT-A6481AC7E3DF	layer_count	层数	required	text			true	6	层数（手套）按来源证据填写。	source_required_specs/brand/model
MT-A6481AC7E3DF	加厚	加厚	required	text			true	7	加厚（手套）按来源证据填写。	source_required_specs/brand/model
MT-A6481AC7E3DF	类型	类型	required	text			true	8	类型（手套）按来源证据填写。	source_required_specs/brand/model
MT-D71F5D1CC8E5	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-D71F5D1CC8E5	length	长度	required	text			true	2	长度（手套）按来源证据填写。	source_required_specs/brand/model
MT-D71F5D1CC8E5	material	材质	required	text			true	3	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-D71F5D1CC8E5	特征	特征	required	text			true	4	特征（手套）按来源证据填写。	source_required_specs/brand/model
MT-D71F5D1CC8E5	类型	类型	required	text			true	5	类型（手套）按来源证据填写。	source_required_specs/brand/model
MT-A284F23B896D	类型	类型	required	text			true	1	类型（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-A284F23B896D	遮光等级	遮光等级	required	text			true	2	遮光等级（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-A284F23B896D	镜框	镜框	required	text			true	3	镜框（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-A284F23B896D	镜片颜色	镜片颜色	required	text			true	4	镜片颜色（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-14037C946BF7	material	材质	required	text			true	1	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-14037C946BF7	类型	类型	required	text			true	2	类型（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-14037C946BF7	遮光片	遮光片	required	text			true	3	遮光片（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-2F9B1A6891FB	size	尺寸	required	text			true	1	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-2F9B1A6891FB	color	颜色	required	text			true	2	颜色（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-2F9B1A6891FB	包装数量	包装数量	required	text			true	3	包装数量（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-9266F9EAA9BD	color	颜色	required	text			true	1	颜色（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-9266F9EAA9BD	类型	类型	required	text			true	2	类型（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-9266F9EAA9BD	镜框	镜框	required	text			true	3	镜框（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-9266F9EAA9BD	镜片	镜片	required	text			true	4	镜片（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-9266F9EAA9BD	镜片类型	镜片类型	required	text			true	5	镜片类型（眼面防护）按来源证据填写。	source_required_specs/brand/model
MT-C2F752EC5808	protection_rating	防护等级	required	text			true	1	防护等级（足部防护）按来源证据填写。	source_required_specs/brand/model
MT-C2F752EC5808	尺码	尺码	required	text			true	2	尺码（足部防护）按来源证据填写。	source_required_specs/brand/model
MT-C2F752EC5808	帮高	帮高	required	text			true	3	帮高（足部防护）按来源证据填写。	source_required_specs/brand/model
MT-1749C009EF50	material	材质	required	text			true	1	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-1749C009EF50	brand	品牌	required	text			true	2	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-1749C009EF50	尺码	尺码	required	text			true	3	尺码（足部防护）按来源证据填写。	source_required_specs/brand/model
MT-1749C009EF50	特征	特征	required	text			true	4	特征（足部防护）按来源证据填写。	source_required_specs/brand/model
MT-1749C009EF50	筒高	筒高	required	text			true	5	筒高（足部防护）按来源证据填写。	source_required_specs/brand/model
MT-A4D9584C44CE	material	材质	required	text			true	1	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-A4D9584C44CE	规格/尺码	规格/尺码	required	text			true	2	规格/尺码（足部防护）按来源证据填写。	source_required_specs/brand/model
MT-17699DF79C18	material	材质	required	text			true	1	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-17699DF79C18	尺码	尺码	required	text			true	2	尺码（身体防护）按来源证据填写。	source_required_specs/brand/model
MT-E14525C86C5A	尺码	尺码	required	text			true	1	尺码（身体防护）按来源证据填写。	source_required_specs/brand/model
MT-E14525C86C5A	浮力等级	浮力等级	required	text			true	2	浮力等级（身体防护）按来源证据填写。	source_required_specs/brand/model
MT-83CD49BCE40D	款式	款式	required	text			true	1	款式（身体防护）按来源证据填写。	source_required_specs/brand/model
MT-83CD49BCE40D	特征	特征	required	text			true	2	特征（身体防护）按来源证据填写。	source_required_specs/brand/model
MT-94107E95E202	套装	套装	required	text			true	1	套装（雨具）按来源证据填写。	source_required_specs/brand/model
MT-94107E95E202	特征	特征	required	text			true	2	特征（雨具）按来源证据填写。	source_required_specs/brand/model
MT-94107E95E202	类型	类型	required	text			true	3	类型（雨具）按来源证据填写。	source_required_specs/brand/model
MT-FC585B40FE27	size	尺寸	required	text			true	1	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-FC585B40FE27	结构	结构	required	text			true	2	结构（包装袋/吨袋）按来源证据填写。	source_required_specs/brand/model
MT-FC585B40FE27	载重	载重	required	text			true	3	载重（包装袋/吨袋）按来源证据填写。	source_required_specs/brand/model
MT-E3BD97B7E30D	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-E3BD97B7E30D	size	尺寸	required	text			true	2	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-132D7AD2E394	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-8AF8EC1088F7	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-8AF8EC1088F7	size	尺寸	required	text			true	2	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-8AF8EC1088F7	thickness	厚度	required	text			true	3	厚度（包装袋/吨袋）按来源证据填写。	source_required_specs/brand/model
MT-8AF8EC1088F7	material	材质	required	text			true	4	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-0FFB09632DD2	size	尺寸	required	text			true	1	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-CEE6FBE09FD9	size	尺寸	required	text			true	1	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-CEE6FBE09FD9	material	材质	required	text			true	2	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-CEE6FBE09FD9	是否带盖	是否带盖	required	text			true	3	是否带盖（容器周转箱）按来源证据填写。	source_required_specs/brand/model
MT-CEE6FBE09FD9	特征	特征	required	text			true	4	特征（容器周转箱）按来源证据填写。	source_required_specs/brand/model
MT-88BBC19A8F0B	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-88BBC19A8F0B	size	尺寸	required	text			true	2	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-88BBC19A8F0B	capacity	容量	required	text			true	3	容量或包装容量。	source_required_specs/brand/model
MT-88BBC19A8F0B	带盖	带盖	required	text			true	4	带盖（容器周转箱）按来源证据填写。	source_required_specs/brand/model
MT-88BBC19A8F0B	颜色/透明度	颜色/透明度	required	text			true	5	颜色/透明度（容器周转箱）按来源证据填写。	source_required_specs/brand/model
MT-A7D41456C8F0	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-A7D41456C8F0	material	材质	required	text			true	2	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-A7D41456C8F0	capacity	容量	required	text			true	3	容量或包装容量。	source_required_specs/brand/model
MT-A7D41456C8F0	配置	配置	required	text			true	4	配置（容器周转箱）按来源证据填写。	source_required_specs/brand/model
MT-6440E1A47D19	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-6440E1A47D19	material	材质	required	text			true	2	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-6440E1A47D19	capacity	容量	required	text			true	3	容量或包装容量。	source_required_specs/brand/model
MT-6440E1A47D19	配置	配置	required	text			true	4	配置（容器周转箱）按来源证据填写。	source_required_specs/brand/model
MT-DC18568574DE	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-DC18568574DE	material	材质	required	text			true	2	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-DC18568574DE	capacity	容量	required	text			true	3	容量或包装容量。	source_required_specs/brand/model
MT-E7281724DFED	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-E7281724DFED	material	材质	required	text			true	2	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-E7281724DFED	capacity	容量	required	text			true	3	容量或包装容量。	source_required_specs/brand/model
MT-A502E66FD7E7	material	材质	required	text			true	1	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-F909CA530936	size	尺寸	required	text			true	1	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-23E1F38FCE06	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-23E1F38FCE06	size	尺寸	required	text			true	2	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-23E1F38FCE06	material	材质	required	text			true	3	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-23E1F38FCE06	每卷张数	每卷张数	required	text			true	4	每卷张数（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-AF3FB9BF0C16	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-AF3FB9BF0C16	length	长度	required	text			true	2	长度（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-AF3FB9BF0C16	width	宽度	required	text			true	3	宽度（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-AF3FB9BF0C16	thickness	厚度	required	text			true	4	厚度（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-AF3FB9BF0C16	brand	品牌	required	text			true	5	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-AF3FB9BF0C16	基材	基材	required	text			true	6	基材（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-9794F808E59A	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-9794F808E59A	length	长度	required	text			true	2	长度（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-9794F808E59A	width	宽度	required	text			true	3	宽度（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-9794F808E59A	color	颜色	required	text			true	4	颜色（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-9794F808E59A	brand	品牌	required	text			true	5	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-3DF378F8D37E	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-3DF378F8D37E	length	长度	required	text			true	2	长度（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-3DF378F8D37E	width	宽度	required	text			true	3	宽度（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-3DF378F8D37E	material	材质	required	text			true	4	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-82641D9F5721	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-82641D9F5721	width	宽度	required	text			true	2	宽度（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-82641D9F5721	color	颜色	required	text			true	3	颜色（胶带标签）按来源证据填写。	source_required_specs/brand/model
MT-A13BA37E8DA1	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-A13BA37E8DA1	length	长度	required	text			true	2	长度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-A13BA37E8DA1	width	宽度	required	text			true	3	宽度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-A13BA37E8DA1	特征	特征	required	text			true	4	特征（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-8461F4A2048C	length	长度	required	text			true	1	长度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-8461F4A2048C	width	宽度	required	text			true	2	宽度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-8461F4A2048C	color	颜色	required	text			true	3	颜色（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-425C20A7C6C7	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-425C20A7C6C7	width	宽度	required	text			true	2	宽度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-425C20A7C6C7	thickness	厚度	required	text			true	3	厚度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-7B31CD5FF3F7	size	尺寸	required	text			true	1	物料尺寸，按来源记录填写。	source_required_specs/brand/model
MT-7B31CD5FF3F7	特征	特征	required	text			true	2	特征（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-768BB7DA1C09	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-768BB7DA1C09	width	宽度	required	text			true	2	宽度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-768BB7DA1C09	thickness	厚度	required	text			true	3	厚度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-1AE19244679F	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-1AE19244679F	width	宽度	required	text			true	2	宽度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-1AE19244679F	color	颜色	required	text			true	3	颜色（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-1AE19244679F	包装重量	包装重量	required	text			true	4	包装重量（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-DB4FD9496482	length	长度	required	text			true	1	长度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-DB4FD9496482	width	宽度	required	text			true	2	宽度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-DB4FD9496482	特征	特征	required	text			true	3	特征（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-3936CAB90A2E	length	长度	required	text			true	1	长度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-3936CAB90A2E	width	宽度	required	text			true	2	宽度（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-3936CAB90A2E	类型	类型	required	text			true	3	类型（覆盖材料）按来源证据填写。	source_required_specs/brand/model
MT-D87BA9382BAC	形态	形态	required	text			true	1	形态（化工原料）按来源证据填写。	source_required_specs/brand/model
MT-D87BA9382BAC	纯度	纯度	required	text			true	2	纯度（化工原料）按来源证据填写。	source_required_specs/brand/model
MT-B607ADE36D90	类型	类型	required	text			true	1	类型（化工原料）按来源证据填写。	source_required_specs/brand/model
MT-3AE825323765	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-3AE825323765	capacity	容量	required	text			true	2	容量或包装容量。	source_required_specs/brand/model
MT-3AE825323765	brand	品牌	required	text			true	3	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-3AE825323765	model	型号	required	text			true	4	制造商型号；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-3AE825323765	类型	类型	required	text			true	5	类型（干性润滑剂）按来源证据填写。	source_required_specs/brand/model
MT-5790859F3B32	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-5790859F3B32	thickness	厚度	required	text			true	2	厚度（橡胶材料）按来源证据填写。	source_required_specs/brand/model
MT-5790859F3B32	material	材质	required	text			true	3	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-2D5DE27C613E	含量	含量	required	text			true	1	含量（水处理剂）按来源证据填写。	source_required_specs/brand/model
MT-2D5DE27C613E	类型	类型	required	text			true	2	类型（水处理剂）按来源证据填写。	source_required_specs/brand/model
MT-8385DC54351B	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-8385DC54351B	color	颜色	required	text			true	2	颜色（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-8385DC54351B	brand	品牌	required	text			true	3	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-8385DC54351B	包装容量	包装容量	required	text			true	4	包装容量（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-8385DC54351B	特性	特性	required	text			true	5	特性（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-8385DC54351B	系列	系列	required	text			true	6	系列（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-BDB3309EEBBD	配套体系	配套体系	required	text			true	1	配套体系（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-BDB3309EEBBD	配套层次	配套层次	required	text			true	2	配套层次（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-C5C386FEBE51	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-C5C386FEBE51	brand	品牌	required	text			true	2	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-C5C386FEBE51	包装容量	包装容量	required	text			true	3	包装容量（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-AD2B534416EB	package_specification	包装规格	required	text			true	1	包装规格，不得建立为物料分类。	source_required_specs/brand/model
MT-AD2B534416EB	brand	品牌	required	text			true	2	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-AD2B534416EB	配套体系	配套体系	required	text			true	3	配套体系（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-00B736EFBAFE	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-00B736EFBAFE	package_specification	包装规格	required	text			true	2	包装规格，不得建立为物料分类。	source_required_specs/brand/model
MT-00B736EFBAFE	color	颜色	required	text			true	3	颜色（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-00B736EFBAFE	brand	品牌	required	text			true	4	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-00B736EFBAFE	类型	类型	required	text			true	5	类型（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-40601EADD890	brand	品牌	required	text			true	1	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-40601EADD890	特征	特征	required	text			true	2	特征（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-40601EADD890	系列	系列	required	text			true	3	系列（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-299EA1DB79BF	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-299EA1DB79BF	capacity	容量	required	text			true	2	容量或包装容量。	source_required_specs/brand/model
MT-299EA1DB79BF	color	颜色	required	text			true	3	颜色（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-299EA1DB79BF	brand	品牌	required	text			true	4	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-5F1FF80BE457	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-5F1FF80BE457	capacity	容量	required	text			true	2	容量或包装容量。	source_required_specs/brand/model
MT-5F1FF80BE457	color	颜色	required	text			true	3	颜色（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-1CAA06A5C1A8	package_specification	包装规格	required	text			true	1	包装规格，不得建立为物料分类。	source_required_specs/brand/model
MT-1CAA06A5C1A8	color	颜色	required	text			true	2	颜色（油漆涂料）按来源证据填写。	source_required_specs/brand/model
MT-1CAA06A5C1A8	brand	品牌	required	text			true	3	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-8715B3B240A7	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-8715B3B240A7	capacity	容量	required	text			true	2	容量或包装容量。	source_required_specs/brand/model
