item_code	item_name	sku_name	required_specs	optional_specs	item_group	top_group	sub_group	material_family	stock_uom	purchase_uom	conversion_factor	estimated_rate	currency	price_basis	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_item_codes	merged_count	governance_note	updated_at	classification_key	standard_name	required_attribute_keys	missing_required_specs	classification_status	source_item_name	source_sku_name	source_required_specs	source_item_group	source_material_family	rule_version
ADMIN-000012	床垫	床垫 单人 海绵	尺寸: 单人; 材质: 海绵		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	150.00	CNY	按个估价;按物料族“生活后勤”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=0.7500;金额按四舍五入保留两位小数。	床垫 单人	ADMIN-000012 床垫 床垫 单人 单人 海绵			active	standard	auto_select_allowed	ADMIN-000012	1		2026-07-08	清洁办公后勤|生活后勤|床垫	床垫	size,material		ready	床垫	床垫 单人	尺寸:单人;材质:海绵	清洁办公后勤/生活后勤	生活后勤	material-entry-rules-v1.1
ADMIN-000014	电视支架	电视支架 70寸	适配尺寸: 70寸		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	75.00	CNY	按个估价;按物料族“生活后勤”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=0.7500;金额按四舍五入保留两位小数。	70寸电视支架; 电视支架 70寸	ADMIN-000014 电视支架 电视支架 70寸 70寸电视支架 70寸			active	standard	auto_select_allowed	ADMIN-000014	1		2026-07-08	清洁办公后勤|生活后勤|电视支架	电视支架	适配尺寸		ready	电视支架	电视支架 70寸	适配尺寸:70寸	清洁办公后勤/生活后勤	生活后勤	material-entry-rules-v1.1
ADMIN-000015	电源线	电源线 1.8米 C13	长度: 1.8米; 接口: C13		电气电料/电线电缆	电气电料	电线电缆	电线电缆	条	条	1	20.17	CNY	按C13电源线1.8米市场均价10元/条估价;按物料族“电线电缆”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=2.0171;金额按四舍五入保留两位小数。	打印机电源线; 电源线 C13 1.8米	ADMIN-000015 电源线 电源线 C13 1.8米 打印机电源线 1.8米 C13			active	standard	auto_select_allowed	ADMIN-000015	1		2026-07-08	电气电料|电线电缆|电源线	电源线	length,接口		ready	电源线	电源线 C13 1.8米	接口:C13;长度:1.8米	电气电料/电线电缆	电线电缆	material-entry-rules-v1.1
ADMIN-000016	数据线	数据线 2.0 A 1.5m USB 2.0 A-B	规格: 2.0 A; 长度: 1.5m; 接口: USB 2.0 A-B		电气电料/电线电缆	电气电料	电线电缆	电线电缆	条	条	1	16.14	CNY	按USB2.0 A-B数据线1.5米市场均价8元/条估价;按物料族“电线电缆”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=2.0171;金额按四舍五入保留两位小数。	打印机数据线; 数据线 USB 2.0 A-B 1.5m	ADMIN-000016 数据线 数据线 USB 2.0 A-B 1.5m 打印机数据线 2.0 A 1.5m USB 2.0 A-B			active	standard	auto_select_allowed	ADMIN-000016	1		2026-07-08	电气电料|电线电缆|数据线	数据线	specification,length,接口		ready	数据线	数据线 USB 2.0 A-B 1.5m	接口:USB 2.0 A-B;长度:1.5m	电气电料/电线电缆	电线电缆	material-entry-rules-v1.1
ADMIN-000017	办公椅	办公椅 网布 得力	材质: 网布; 品牌: 得力		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	把	把	1	112.50	CNY	按把估价;按物料族“生活后勤”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=0.7500;金额按四舍五入保留两位小数。	多功能办公椅; 得力多功能椅子; 办公椅 网布	ADMIN-000017 办公椅 办公椅 网布 多功能办公椅 得力多功能椅子 网布 得力	得力		active	standard	auto_select_allowed	ADMIN-000017	1		2026-07-08	清洁办公后勤|生活后勤|办公椅	办公椅	material,brand		ready	办公椅	办公椅 网布	材质:网布	清洁办公后勤/生活后勤	生活后勤	material-entry-rules-v1.1
ADMIN-000018	鼠标	鼠标 无线 小米	连接方式: 无线; 品牌: 小米		清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	个	个	1	45.00	CNY	按个计价;按物料族“办公设备”抽样复核中位数调整;样本数=1;可靠性=low;调整系数=0.9000;金额按四舍五入保留两位小数。	小米鼠标; 无线鼠标; 鼠标 无线	ADMIN-000018 鼠标 鼠标 无线 小米鼠标 无线鼠标 无线 小米	小米		active	standard	auto_select_allowed	ADMIN-000018	1		2026-07-08	清洁办公后勤|办公设备|鼠标	鼠标	connection_type,brand		ready	鼠标	鼠标 无线	连接方式:无线	清洁办公后勤/办公设备	办公设备	material-entry-rules-v1.1
ADMIN-000021	除甲醛机	除甲醛机 办公室 100-200m2	适用范围: 办公室; 适用面积: 100-200m2		清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	个	个	1	450.00	CNY	按个计价;按物料族“办公设备”抽样复核中位数调整;样本数=1;可靠性=low;调整系数=0.9000;金额按四舍五入保留两位小数。	办公室除甲醛机	ADMIN-000021 除甲醛机 办公室除甲醛机 办公室 100-200m2			active	standard	auto_select_allowed	ADMIN-000021	1		2026-07-08	清洁办公后勤|办公设备|除甲醛机	除甲醛机	适用面积		ready	除甲醛机	除甲醛机	用途:办公室;适用面积:100-200m2	清洁办公后勤/办公设备	办公设备	material-entry-rules-v1.1
ADMIN-000022	多功能打印机	多功能打印机 惠普 激光多功能一体机	品牌: 惠普; 类型: 激光多功能一体机		清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	台	台	1	1800.00	CNY	按台计价;按物料族“办公设备”抽样复核中位数调整;样本数=1;可靠性=low;调整系数=0.9000;金额按四舍五入保留两位小数。	惠普多功能打印机	ADMIN-000022 多功能打印机 惠普多功能打印机 惠普 激光多功能一体机	惠普		active	standard	auto_select_allowed	ADMIN-000022	1		2026-07-08	清洁办公后勤|办公设备|多功能打印机	多功能打印机	brand,类型		ready	多功能打印机	惠普多功能打印机	品牌:惠普;类型:激光多功能一体机	清洁办公后勤/办公设备	办公设备	material-entry-rules-v1.1
ADMIN-000023	办公桌	办公桌 1.2米*0.6米 板式	尺寸: 1.2米*0.6米; 材质: 板式		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	张	张	1	150.00	CNY	按张估价;按物料族“生活后勤”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=0.7500;金额按四舍五入保留两位小数。	办公桌 1.2米*0.6米 板式	ADMIN-000023 办公桌 办公桌 1.2米*0.6米 板式 1.2米*0.6米 板式			active	standard	auto_select_allowed	ADMIN-000023	1		2026-07-08	清洁办公后勤|生活后勤|办公桌	办公桌	size,material		ready	办公桌	办公桌 1.2米*0.6米 板式	尺寸:1.2米*0.6米;材质:板式	清洁办公后勤/生活后勤	生活后勤	material-entry-rules-v1.1
ADMIN-000026	棉布	棉布 大块	规格: 大块		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	千克	千克	1	7.13	CNY	按kg计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	大块棉布; 棉布 大块	ADMIN-000026 棉布 棉布 大块 大块棉布 大块			active	standard	auto_select_allowed	ADMIN-000026	1		2026-07-08	清洁办公后勤|清洁工具|棉布	棉布	specification		ready	棉布	棉布 大块	规格:大块	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000027	吸油棉	吸油棉 5mm PP 400*500*5mm	规格: 5mm; 材质: PP; 规格/尺寸: 400*500*5mm		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	张	张	1	2.38	CNY	按张计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	40*50*5吸油棉; 5MM厚吸油棉; 吸油棉40cm*50cm*5mm; 吸油棉 400*500*5mm	ADMIN-000027 吸油棉 吸油棉 400*500*5mm 40*50*5吸油棉 5MM厚吸油棉 吸油棉40cm*50cm*5mm 5mm PP 400*500*5mm			active	standard	auto_select_allowed	ADMIN-000027	1		2026-07-08	清洁办公后勤|清洁工具|吸油棉	吸油棉	specification,material,规格/尺寸		ready	吸油棉	吸油棉 400*500*5mm	规格/尺寸:400*500*5mm;材质:PP	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000029	拖把	拖把 通用 棉布	规格: 通用; 材质: 棉布		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	把	1	7.13	CNY	按把计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。		ADMIN-000029 拖把 通用 棉布			active	standard	auto_select_allowed	ADMIN-000029	1		2026-07-08	清洁办公后勤|清洁工具|拖把	拖把	specification,material		ready	拖把	拖把	规格:通用;材质:棉布	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000030	抹布	抹布 棉质	材质: 棉质		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	条	条	1	1.43	CNY	按条计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	抹布 通用	ADMIN-000030 抹布 抹布 通用 棉质			active	needs_review	clarify_specs_before_use	ADMIN-000030	1	missing_required_specs:size,color	2026-07-08	清洁办公后勤|清洁工具|抹布	抹布	size,material,color	size,color	needs_input	抹布	抹布 通用	材质:棉质	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000031	垃圾桶	垃圾桶 120L 塑料	规格: 120L; 材质: 塑料; 容量: 120L		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	38.00	CNY	按个计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	大垃圾桶; 垃圾桶120L; 垃圾桶 120L	ADMIN-000031 垃圾桶 垃圾桶 120L 大垃圾桶 垃圾桶120L 120L 塑料			active	needs_review	clarify_specs_before_use	ADMIN-000031	1	missing_required_specs:配置	2026-07-08	清洁办公后勤|清洁工具|垃圾桶	垃圾桶	specification,material,capacity,配置	配置	needs_input	垃圾桶	垃圾桶 120L	容量:120L;材质:塑料	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000032	垃圾袋	垃圾袋 60cm 50*60cm	规格: 60cm; 尺寸: 50*60cm		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	0.29	CNY	按个计价;按物料族“清洁用品”抽样复核中位数调整;样本数=2;可靠性=low;调整系数=0.9750;金额按四舍五入保留两位小数。	垃圾袋子; 垃圾袋 50*60cm	ADMIN-000032 垃圾袋 垃圾袋 50*60cm 垃圾袋子 60cm 50*60cm			active	needs_review	clarify_specs_before_use	ADMIN-000032	1	missing_required_specs:thickness,color	2026-07-08	清洁办公后勤|清洁用品|垃圾袋	垃圾袋	specification,size,thickness,color	thickness,color	needs_input	垃圾袋	垃圾袋 50*60cm	尺寸:50*60cm	清洁办公后勤/清洁用品	清洁用品	material-entry-rules-v1.1
ADMIN-000033	电视支架	电视支架 通用	适配尺寸: 通用		清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	个	1	60.00	CNY	按个估价;按物料族“生活后勤”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=0.7500;金额按四舍五入保留两位小数。	电视支架 通用	ADMIN-000033 电视支架 电视支架 通用 通用			active	standard	auto_select_allowed	ADMIN-000033	1		2026-07-08	清洁办公后勤|生活后勤|电视支架	电视支架	适配尺寸		ready	电视支架	电视支架 通用	适配尺寸:通用	清洁办公后勤/生活后勤	生活后勤	material-entry-rules-v1.1
ADMIN-000034	垃圾袋	垃圾袋 120cm 100*120cm	规格: 120cm; 尺寸: 100*120cm		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	个	1	0.49	CNY	按个计价;按物料族“清洁用品”抽样复核中位数调整;样本数=2;可靠性=low;调整系数=0.9750;金额按四舍五入保留两位小数。	100*120垃圾袋; 垃圾袋1m*1.2m; 垃圾袋 100*120cm	ADMIN-000034 垃圾袋 垃圾袋 100*120cm 100*120垃圾袋 垃圾袋1m*1.2m 120cm 100*120cm			active	needs_review	clarify_specs_before_use	ADMIN-000034	1	missing_required_specs:thickness,color	2026-07-08	清洁办公后勤|清洁用品|垃圾袋	垃圾袋	specification,size,thickness,color	thickness,color	needs_input	垃圾袋	垃圾袋 100*120cm	尺寸:100*120cm	清洁办公后勤/清洁用品	清洁用品	material-entry-rules-v1.1
ADMIN-000035	扫把	扫把 大 竹	规格: 大; 材质: 竹		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	把	1	7.13	CNY	按把计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	大号竹扫把; 竹扫把; 大竹扫把; 扫把 竹 大	ADMIN-000035 扫把 扫把 竹 大 大号竹扫把 竹扫把 大竹扫把 大 竹			active	standard	auto_select_allowed	ADMIN-000035	1		2026-07-08	清洁办公后勤|清洁工具|扫把	扫把	specification,material		ready	扫把	扫把 竹 大	材质:竹;规格:大	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000037	扫把	扫把 塑料	材质: 塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	把	1	3.80	CNY	按把计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	扫把 通用	ADMIN-000037 扫把 扫把 通用 塑料			active	needs_review	clarify_specs_before_use	ADMIN-000037	1	missing_required_specs:specification	2026-07-08	清洁办公后勤|清洁工具|扫把	扫把	specification,material	specification	needs_input	扫把	扫把 通用	材质:塑料	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000038	扫斗	扫斗 塑料	材质: 塑料		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	2.38	CNY	按个计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	塑料扫斗	ADMIN-000038 扫斗 塑料扫斗 塑料			active	standard	auto_select_allowed	ADMIN-000038	1		2026-07-08	清洁办公后勤|清洁工具|扫斗	扫斗	material		ready	扫斗	塑料扫斗	材质:塑料	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000043	抹布	抹布 大块 棉质 白色	尺寸: 大块; 材质: 棉质; 颜色: 白色		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	千克	千克	1	9.50	CNY	按kg计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	大块白抹布; 抹布 白色大块	ADMIN-000043 抹布 抹布 白色大块 大块白抹布 大块 棉质 白色			active	standard	auto_select_allowed	ADMIN-000043	1		2026-07-08	清洁办公后勤|清洁工具|抹布	抹布	size,material,color		ready	抹布	抹布 白色大块	颜色:白色;尺寸:大块;材质:棉质	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000044	喷壶	喷壶 1L 塑料	规格: 1L; 材质: 塑料; 容量: 1L		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	3.80	CNY	按个计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	喷壶 1L	ADMIN-000044 喷壶 喷壶 1L 1L 塑料			active	standard	auto_select_allowed	ADMIN-000044	1		2026-07-08	清洁办公后勤|清洁工具|喷壶	喷壶	specification,material,capacity		ready	喷壶	喷壶 1L	容量:1L;材质:塑料	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000045	喷壶	喷壶 2L 塑料	规格: 2L; 材质: 塑料; 容量: 2L		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	5.70	CNY	按个计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	2升喷壶; 喷壶 2L	ADMIN-000045 喷壶 喷壶 2L 2升喷壶 2L 塑料			active	standard	auto_select_allowed	ADMIN-000045	1		2026-07-08	清洁办公后勤|清洁工具|喷壶	喷壶	specification,material,capacity		ready	喷壶	喷壶 2L	容量:2L;材质:塑料	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000048	烟灰桶	烟灰桶 304不锈钢	材质: 304不锈钢		清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	个	1	19.00	CNY	按个计价;按物料族“清洁工具”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=0.4750;金额按四舍五入保留两位小数。	不锈钢烟灰桶	ADMIN-000048 烟灰桶 不锈钢烟灰桶 304不锈钢			active	needs_review	clarify_specs_before_use	ADMIN-000048	1	missing_required_specs:size	2026-07-08	清洁办公后勤|清洁工具|烟灰桶	烟灰桶	size,material	size	needs_input	烟灰桶	不锈钢烟灰桶	材质:304不锈钢	清洁办公后勤/清洁工具	清洁工具	material-entry-rules-v1.1
ADMIN-000050	油污清洗剂	油污清洗剂 30KG/桶 重油污	包装规格: 30KG/桶; 适用范围: 重油污		化工胶粘涂料/清洗脱漆剂	化工胶粘涂料	清洗脱漆剂	清洗脱漆剂	桶	桶	1	196.50	CNY	按1桶30KG估价;按物料族“清洗脱漆剂”抽样复核中位数调整;样本数=2;可靠性=low;调整系数=1.3100;金额按四舍五入保留两位小数。	重油污除污剂30KG; 重油污除污剂; 除污剂; 油污清洗剂 重油污 30KG/桶	ADMIN-000050 油污清洗剂 油污清洗剂 重油污 30KG/桶 重油污除污剂30KG 重油污除污剂 除污剂 30KG/桶 重油污			active	needs_review	clarify_specs_before_use	ADMIN-000050	1	missing_required_specs:specification,brand；高风险分类:化工胶粘涂料	2026-07-08	化工胶粘涂料|清洗脱漆剂|油污清洗剂	油污清洗剂	specification,package_specification,brand	specification,brand	needs_input	油污清洗剂	油污清洗剂 重油污 30KG/桶	包装:30KG/桶;用途:重油污	化工胶粘涂料/清洗脱漆剂	清洗脱漆剂	material-entry-rules-v1.1
ADMIN-000051	洗洁精	洗洁精 3KG	容量: 3KG		清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	桶	桶	1	27.30	CNY	按3KG桶装估价;按物料族“清洁用品”抽样复核中位数调整;样本数=2;可靠性=low;调整系数=0.9750;金额按四舍五入保留两位小数。	洗洁精3KG; 洗洁精 3KG	ADMIN-000051 洗洁精 洗洁精 3KG 洗洁精3KG 3KG			active	needs_review	clarify_specs_before_use	ADMIN-000051	1	missing_required_specs:specification	2026-07-08	清洁办公后勤|清洁用品|洗洁精	洗洁精	specification,capacity	specification	needs_input	洗洁精	洗洁精 3KG	容量:3KG	清洁办公后勤/清洁用品	清洁用品	material-entry-rules-v1.1
