item_code	type_id	standard_name	mapping_method	mapping_evidence	mapping_status	source_hash	classification_key	missing_required_specs
ADMIN-000057	MT-2498232B4D7E	记号笔	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	dc149abfa92fdf97bdc1a5ab2202bc35ccfab27eadc94608eb84090477f6407b	清洁办公后勤|办公文具|记号笔	brand,墨水类型
ADMIN-000058	MT-799E958401BE	垃圾袋	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	8bb7caefec78b823656e2871692569302d2166fc5864a592a8d643e43135edc0	清洁办公后勤|清洁用品|垃圾袋	thickness
ADMIN-000060	MT-4B4A5277BC40	洗洁精	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	a270ae029711871974b22b8b815d285dc37a3ea57a1f089da488857f287d8099	清洁办公后勤|清洁用品|洗洁精	specification
ADMIN-000061	MT-4517C97A9C7F	铅笔	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	35400a00fb473e469b05aec056c8ce5f292c4bd457af443226f6fb702444cdf1	清洁办公后勤|办公文具|铅笔	
ADMIN-000062	MT-C819DCBEF975	吸油棉	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	384211b7ab5ef09b4d917b988224b4a202f8280bea081c38be192085c2fad403	清洁办公后勤|清洁工具|吸油棉	
ADMIN-000064	MT-AC52F630752E	圆桌	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	31c6d5c3cf3df30d0034b48c245e7bd4fd45695e21ed4ec9a2b58ab2a52a5a38	清洁办公后勤|生活后勤|圆桌	
ADMIN-000065	MT-73BDB3C6ADA5	办公桌	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	646a069df21272272f711411c179368609a52f86ac38ac1f7ad8dc2881f64f3d	清洁办公后勤|生活后勤|办公桌	
ADMIN-000066	MT-5CA654881928	吸尘器	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	70404ceb15be62138b3cbf26c466541de095b632d98cbdbdd678e3cabd10e832	清洁办公后勤|清洁工具|吸尘器	
ADMIN-000067	MT-2DE1EAF77847	垃圾桶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	cb474bf871fc8007e49a529fd4b9375c9e297879387559dcfe0bc8a17662da90	清洁办公后勤|清洁工具|垃圾桶	
ADMIN-000070	MT-63390AC51CBF	记录本	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	34d8b4945ad14588ad11a536e140c4ccede069566ae38f322a66753de7138a79	清洁办公后勤|办公文具|记录本	
ADMIN-000072	MT-89EA56C0DE30	扫把	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	edc918dc3fa8676e378665e593bfb321e1213194246fcda4131c272e262dc5b3	清洁办公后勤|清洁工具|扫把	specification
CHEM-000001	MT-3F18DA60CBA2	聚氨酯堵漏剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	d9bcbf429789aaa214b81edc63eab9e4866a8379b0fb1bb60e7a969ddf8608c5	化工胶粘涂料|胶粘密封|聚氨酯堵漏剂	类型,组分
CHEM-000002	MT-40601EADD890	涂料	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	79caea607bbcc4c342af992da1e6738d297d944635f8f180972326167ed4805a	化工胶粘涂料|油漆涂料|涂料	
CHEM-000003	MT-D97959E459B9	瞬干胶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	c471a89758ca676600f60b89ef3cf8ce190218e274a39608784257b8437f093d	化工胶粘涂料|胶粘密封|瞬干胶	
CHEM-000004	MT-CD420A84B7D5	除胶剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	0b83bb227b8474654a59016be85ca0312244666252217eb559dcc7bbe5e1d001	化工胶粘涂料|清洗脱漆剂|除胶剂	
CHEM-000005	MT-DDCE3B9C93D8	泡沫填缝剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	16ca216db3f6ef7b37c16c6368935cdbd796240de95c1ab21f941db0a9db36e4	化工胶粘涂料|胶粘密封|泡沫填缝剂	
CHEM-000006	MT-3130BAFDF7B6	防锈润滑剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	ecf9951c03622792620151a06a13e48fbd9be5298090b160a577b9733547705e	化工胶粘涂料|防锈除锈|防锈润滑剂	
CHEM-000007	MT-5F1FF80BE457	调和漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	6f7fe6ed7f2328c88e7aac378876c40efe50a2c5f6b85d1e912196dd3ba58c6e	化工胶粘涂料|油漆涂料|调和漆	
CHEM-000008	MT-5F1FF80BE457	调和漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	d312bb1b38845c68a09ab874d7fa16027886906355f08128bfad6803ae0f5e87	化工胶粘涂料|油漆涂料|调和漆	
CHEM-000009	MT-299EA1DB79BF	自喷漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	bd3beb33024a39ce1602b2aec42f713b83bebe642c3a59f77f56c8bae85d5fcf	化工胶粘涂料|油漆涂料|自喷漆	
CHEM-000010	MT-299EA1DB79BF	自喷漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	30fdd4927356d67f233cedbc862b213c661e020ce34a02d72f3a4d0ddf60d2b4	化工胶粘涂料|油漆涂料|自喷漆	
CHEM-000011	MT-1CAA06A5C1A8	防锈漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	2f6ab7e24b64ff741760b767960c287989f617341a2cec538963c14ce09e5059	化工胶粘涂料|油漆涂料|防锈漆	brand
CHEM-000012	MT-40C47E925CD6	松香水	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	6c87c0669ae8615a4e1d5538435aff84ab23e3066c4b2d26abc60b282260ead4	化工胶粘涂料|清洗脱漆剂|松香水	
CHEM-000014	MT-B5F6E8E59DB1	黄油嘴接头	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	0c4d1e27177dead03f402d0ade1fe7232fe59a08fecddda9d435ff818b9fef2f	设备备件|润滑配件|黄油嘴接头	
CHEM-000015	MT-AA5B85492FF4	黄油嘴弯头	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	efe78465787959dc005b9611eadd9e9bfe1200344ddb0425affe120246888463	设备备件|润滑配件|黄油嘴弯头	
CHEM-000017	MT-299EA1DB79BF	自喷漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	b20f05d4a78e1ab9012418bf250ca5364ce696a171edd33a7d645120d5535c12	化工胶粘涂料|油漆涂料|自喷漆	
CHEM-000018	MT-299EA1DB79BF	自喷漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	ea1704570376a872e81b06b72775ccb7af19a7a7e8c1d0413d50c401c20dcd04	化工胶粘涂料|油漆涂料|自喷漆	
CHEM-000019	MT-0294C2FB0D73	脱漆剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	34fc79d575c3df6eeb9fb14df14db6b3de4b91876a63946c77ca172f5e947b73	化工胶粘涂料|清洗脱漆剂|脱漆剂	
CHEM-000020	MT-3ACF6994E361	电气清洗剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	93eac40d3b49523c96f74a516e89668ea27ad55c3f3c52136a43806dd48180ad	化工胶粘涂料|清洗脱漆剂|电气清洗剂	
CHEM-000021	MT-DB299B787652	黄油泵	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	cb82944c9e0ff293d343b5e47a30e915baf7db9b37c8a7987c7ed0f7a57e1ea8	施工机具设备|泵油润滑设备|黄油泵	配置
CHEM-000022	MT-58D25626C63E	AB胶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	54b503cfe5156f83f3d02d10f745169352b5667964163225f16bcbc5e1de337e	化工胶粘涂料|胶粘密封|AB胶	
CHEM-000023	MT-5F1FF80BE457	调和漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	1245903b62972c98187ed02cb8ffb40fbe76062c8c9e20ff2af951145332d16c	化工胶粘涂料|油漆涂料|调和漆	
CHEM-000025	MT-1BAA4AD8A641	玻璃胶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	891867a34af9640e1fd6b47234d8572bbea7d6991150fe7375751467a78632cd	化工胶粘涂料|胶粘密封|玻璃胶	brand
CHEM-000026	MT-04E0BE02A02D	密封胶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	a0e851987d5f43f849293742feef291e9f7edffb6b321b16bc6c2ea8f79bbc98	化工胶粘涂料|胶粘密封|密封胶	material,package_specification,brand,材料/体系,类型
CHEM-000027	MT-B03FC47E1E0F	双面胶带	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	d402dcfc77af1a17452ac2114c85744a24b810cb252e0bbb549943f3724188e8	化工胶粘涂料|胶粘密封|双面胶带	thickness,brand,特征
CHEM-000028	MT-BDB3309EEBBD	固化剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	abc2d87084a9c0de50c315d104b7bbfd1617933544fb43cbefc6b99d1cf87a8e	化工胶粘涂料|油漆涂料|固化剂	
CHEM-000029	MT-AD2B534416EB	底漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	ec0f231ef63552d1c1ec60f9ee78ba47e11b6d567e745508179f9416429ec0d4	化工胶粘涂料|油漆涂料|底漆	
CHEM-000030	MT-BDB3309EEBBD	固化剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	eef309f32a46f1abebe3d562a3f3edac48f26bfda95814445fc6ece0ec396228	化工胶粘涂料|油漆涂料|固化剂	
CHEM-000031	MT-82641D9F5721	美纹纸胶带	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	c192109ec82ea08d82a5a0dfa394fa8c367cbc99fc6b9e23c1d05ef52208012a	包装覆盖周转|胶带标签|美纹纸胶带	
CHEM-000032	MT-C5C386FEBE51	墙面漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	46974307d61727109e5cba31630da0fd6db7935e164a8349c140d390c60890af	化工胶粘涂料|油漆涂料|墙面漆	
CHEM-000034	MT-299EA1DB79BF	自喷漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	44b9041595c3d3ce7b7280066e0aec36646164ff62b12c833c58584a98db0098	化工胶粘涂料|油漆涂料|自喷漆	
CHEM-000035	MT-299EA1DB79BF	自喷漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	a9d2e223d2d41298b687acc4acd03676a73e8b6c9d41f430ae5be112cf9e5719	化工胶粘涂料|油漆涂料|自喷漆	brand
CHEM-000036	MT-0EBA0B3D740F	万能胶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	b91feb18d627fc7cf2452fb5c1684a05be87aa1edc0d4e6197c4c354f7d3d27a	化工胶粘涂料|胶粘密封|万能胶	
CHEM-000037	MT-0B5ADF6838B6	齿轮油	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	3202ef1a85c1c369ed8a91633c568030487e11f3f9ec54aa5ae6f527b69f5173	化工胶粘涂料|润滑油|齿轮油	brand
CHEM-000038	MT-3EBC1D713EA7	植筋胶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	2b1a8e38fbe0c656dd6be41f145ed336d8b217ffde4701a30cc342867e2a7f75	化工胶粘涂料|胶粘密封|植筋胶	
CHEM-000039	MT-AF3FB9BF0C16	双面胶带	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	9c29e5f15de891df8e0bb3e7676d052f957e3a1c3b7f0baa8ff381d0a35fc651	包装覆盖周转|胶带标签|双面胶带	thickness,brand
CHEM-000040	MT-5F1FF80BE457	调和漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	19bb8450707cbb744a3317b034a3b2c2539b9f6c9eb6964b744199ad04204d5b	化工胶粘涂料|油漆涂料|调和漆	
CHEM-000041	MT-3F18DA60CBA2	聚氨酯堵漏剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	9385cbbcaa8bd472824bed5bede09afbf8c163c45120ece101783576c4298d03	化工胶粘涂料|胶粘密封|聚氨酯堵漏剂	specification,组分
CHEM-000042	MT-3F18DA60CBA2	聚氨酯堵漏剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	99a199b2b9227913e410883f166e5225be8affa29901fed9c207a51777a1e5cd	化工胶粘涂料|胶粘密封|聚氨酯堵漏剂	specification,组分
CHEM-000043	MT-63B368CD82FF	橡胶支座	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	e932e0fa7f8fb506cd5ce49d96d76ef2ae4aec13f1807752b6a479e83b428d88	定制加工件|定制橡胶件|橡胶支座	
CHEM-000044	MT-AF3FB9BF0C16	双面胶带	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	178a0d08ae7f5bed88a665e8cb4b89eca86c722020f9c7afad7ffd59e03779a6	包装覆盖周转|胶带标签|双面胶带	thickness,brand
CHEM-000045	MT-F72BC9831090	胶水	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	ec01ea2fba1ace0beccc9e5e87c50976c07e994f578a569726024e9d86062957	化工胶粘涂料|胶粘密封|胶水	适用材料
CHEM-000046	MT-B03FC47E1E0F	双面胶带	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	17ed2bc69dc30a8b336508a169bdf12bc14829a5477bf8c71b4e9cf2c0fa6518	化工胶粘涂料|胶粘密封|双面胶带	brand,类型
CHEM-000047	MT-5F1FF80BE457	调和漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	ef234cf8c3a0cd5e16d9047630d7af4251a9cd7a4de06884e1314fabc808f5e9	化工胶粘涂料|油漆涂料|调和漆	
CHEM-000048	MT-5F1FF80BE457	调和漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	cfaee31d540583d7abc97a861033fca10999ed89c7d95098ac85fbec6a261926	化工胶粘涂料|油漆涂料|调和漆	
CHEM-000050	MT-5790859F3B32	橡胶板	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	2ed660263cc52264f1117fa3eace882b1d1d6da636faa7391f0c078667617b67	化工胶粘涂料|橡胶材料|橡胶板	
CHEM-000051	MT-6225EE557EA9	强力胶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	35eca0e5b4aa47316485f704681d961dd4da53dad9ebad15b8a860a96eda4bd3	化工胶粘涂料|胶粘密封|强力胶	
CHEM-000052	MT-9794F808E59A	封箱胶带	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	e305154243e7848a074f72248ac8b017111ca38256b61d9bb323d560224f7d0d	包装覆盖周转|胶带标签|封箱胶带	brand
CHEM-000053	MT-299EA1DB79BF	自喷漆	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	4b96b0308b0d99360658a173d7901ac501fa4db5c5e6389ba11702351cc4ac03	化工胶粘涂料|油漆涂料|自喷漆	
CHEM-000054	MT-3130BAFDF7B6	防锈润滑剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	9c98ecc266b77c7c64ffd0ceb3125ae6cd63bfb20304bd0969ffadf32e8f7893	化工胶粘涂料|防锈除锈|防锈润滑剂	
CHEM-000055	MT-8AFC5CA44BC5	胶枪	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	5da5ad65427d1b0b20f7130b4b62037d6bc7f4da0d0bcfe419a679f55c7af948	工具量具|胶枪/施胶工具|胶枪	specification,brand,适用
CHEM-000056	MT-CE2F06F5BC5C	油漆笔	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	aa85adc6e3c72a6759db019e7a651a1f7a6b701299ca28c43ea6fbdb117d38db	清洁办公后勤|办公文具|油漆笔	
CHEM-000057	MT-B808D0AAB21B	橡胶垫块	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	ce00f7c31730e01cac854d551e24a8a2b69de3bbf6a58069b96d5ffc062dadd8	定制加工件|定制橡胶件|橡胶垫块	
CHEM-000058	MT-3AE825323765	干性润滑剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	998a3ce507c4a488f3062bceab606783533cda33e402ecc8457463ea41411ab6	化工胶粘涂料|干性润滑剂|干性润滑剂	
