raw_name,normalized_raw_name,candidate_count,candidate_codes,import_ready_candidate_codes,requires_confirmation,ambiguity_reason,candidate_contexts
1.5T吨袋,1.5t吨袋,1,REVIEW-MAT-00774,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00774 | 集装袋 | 包装与标识/袋箱膜包装/袋箱膜 | 载重: 1.5T | 个
1.5千瓦2寸污水泵,1.5千瓦2寸污水泵,1,REVIEW-MAT-00588,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00588 | 污水泵 | 设备备件与加工件/设备专用备件/设备备件 | 功率: 1.5kW；口径: 2寸 | 台
1.5千瓦污水泵,1.5千瓦污水泵,1,REVIEW-MAT-00497,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00497 | 污水泵 | 设备备件与加工件/设备专用备件/设备备件 | 功率: 1.5kW；类型: 污水泵 | 台
1.5千瓦自动自吸泵,1.5千瓦自动自吸泵,1,REVIEW-MAT-01091,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01091 | 自动自吸泵 | 设备备件与加工件/设备专用备件/设备备件 | 功率: 1.5kW；功能: 自动；类型: 自吸泵 | 套
1.5吨袋,1.5吨袋,1,REVIEW-MAT-00462,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00462 | 吨袋 | 包装与标识/袋箱膜包装/袋箱膜 | 承重/容量: 1.5吨 | 个
1.5寸高压堵头,1.5寸高压堵头,1,REVIEW-MAT-00915,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00915 | 高压堵头 | 液压气动/液压管路/高压胶管 | 规格: 1.5寸；类型: 堵头 | 个
1.5米折叠圆桌,1.5米折叠圆桌,1,REVIEW-MAT-02158,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-02158 | 折叠圆桌 | 行政办公与清洁/生活后勤/生活用品 | 直径/规格: 1.5米；结构: 折叠；形状: 圆桌 | 张
1.6*0.84彩钢瓦,1.6*0.84彩钢瓦,1,REVIEW-MAT-00512,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00512 | 彩钢瓦 | 工程建材/板材型材/板材 | 规格: 1.6*0.84 | 米
1.6T*6米手扳葫芦,1.6t*6米手扳葫芦,1,REVIEW-MAT-01113,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01113 | 手扳葫芦 | 吊装索具/其他/葫芦 | 额定载荷: 1.6T；链长: 6米 | 个
1.8*1.6*0.6定做加厚电箱罩,1.8*1.6*0.6定做加厚电箱罩,1,REVIEW-MAT-00909,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00909 | 定制电箱罩 | 设备备件与加工件/金属加工件/金属加工件 | 尺寸: 1.8*1.6*0.6；定制: 是；特征: 加厚 | 套
1.8米*6米安全网,1.8米*6米安全网,1,REVIEW-MAT-01327,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01327 | 安全网 | 安全防护/隔离防护/防护网 | 尺寸: 1.8米*6米 | 张
1/2高压堵头,1/2高压堵头,1,REVIEW-MAT-00912,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00912 | 高压堵头 | 液压气动/液压管路/高压胶管 | 规格: 1/2英寸；类型: 堵头 | 个
10#B型槽钢,10#b型槽钢,1,REVIEW-MAT-02274,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-02274 | B型槽钢 | 金属原材料/钢材型材/钢材型材 | 规格: 10#；型号: B型 | 米
10#厚槽钢,10#厚槽钢,1,REVIEW-MAT-00675,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00675 | 槽钢 | 金属原材料/其他/型钢 | 规格: 10#；特征: 厚 | 米
10#国标槽钢,10#国标槽钢,1,REVIEW-MAT-00838,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00838 | 槽钢 | 金属原材料/钢材型材/钢材型材 | 规格: 10#；执行标准: 国标 | 米
10#型槽钢,10#型槽钢,1,REVIEW-MAT-01060,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01060 | 槽钢 | 金属原材料/钢材型材/钢材型材 | 规格: 10# | 米
10#槽钢,10#槽钢,1,REVIEW-MAT-01060,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01060 | 槽钢 | 金属原材料/钢材型材/钢材型材 | 规格: 10# | 米
10#自封袋,10#自封袋,1,REVIEW-MAT-00288,REVIEW-MAT-00288,false,唯一可导入候选。,REVIEW-MAT-00288 | 自封袋 | 包装与标识/袋箱膜包装/袋箱膜 | 规格: 10# | 个
10*1.5黄油嘴,10*1.5黄油嘴,1,REVIEW-MAT-01037,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01037 | 黄油嘴 | 润滑系统/润滑设备配件/润滑泵管路 | 螺纹: M10*1.5 | 个
10*200钻头,10*200钻头,1,REVIEW-MAT-01436,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01436 | 钻头 | 工具器具/工具耗材/钻头 | 直径: 10mm；长度: 200mm | 个
10*30cm尼龙扎带,10*30cm尼龙扎带,1,REVIEW-MAT-01236,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01236 | 尼龙扎带 | 电气与自动化/其他/扎带 | 规格: 10*30cm；材质: 尼龙 | 包
10*400扎带,10*400扎带,1,REVIEW-MAT-00375,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00375 | 扎带 | 电气与自动化/其他/扎带 | 规格: 10*400 | 包
10*40cm尼龙扎带,10*40cm尼龙扎带,1,REVIEW-MAT-01235,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01235 | 尼龙扎带 | 电气与自动化/其他/扎带 | 规格: 10*40cm；材质: 尼龙 | 包
10*40六角螺丝,10*40六角螺丝,1,REVIEW-MAT-00404,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00404 | 六角螺丝 | 五金备件/其他/紧固件 | 规格: 10*40；类型: 六角 | 套
10*40内六角,10*40内六角,1,REVIEW-MAT-00323,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00323 | 内六角螺丝 | 五金备件/其他/紧固件 | 规格: 10*40；类型: 内六角 | 套
10*500大包扎带,10*500大包扎带,1,REVIEW-MAT-00953,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00953 | 尼龙扎带 | 电气与自动化/其他/扎带 | 规格: 10*500；包装: 大包 | 包
10*500扎带,10*500扎带,1,REVIEW-MAT-00376,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00376 | 扎带 | 电气与自动化/其他/扎带 | 规格: 10*500 | 包
10*50cm尼龙扎带,10*50cm尼龙扎带,1,REVIEW-MAT-01234,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01234 | 尼龙扎带 | 电气与自动化/其他/扎带 | 规格: 10*50cm；材质: 尼龙 | 包
10*50扎带200根,10*50扎带200根,1,REVIEW-MAT-00492,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00492 | 扎带 | 电气与自动化/其他/扎带 | 规格: 10*50；包装: 200根/包 | 包
10*60膨胀螺丝,10*60膨胀螺丝,1,REVIEW-MAT-01364,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01364 | 膨胀螺丝 | 紧固件/锚固件/膨胀锚栓 | 规格: M10*60 | 个
10*70爆炸螺丝,10*70爆炸螺丝,1,REVIEW-MAT-00406,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00406 | 膨胀螺丝 | 五金备件/其他/紧固件 | 规格: 10*70；别名: 爆炸螺丝 | 个
10*80膨胀螺丝,10*80膨胀螺丝,1,REVIEW-MAT-00907,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00907 | 膨胀螺丝 | 紧固件/锚固件/膨胀锚栓 | 规格: M10*80 | 套
10.9级M12*100内六角螺栓,10.9级m12*100内六角螺栓,1,REVIEW-MAT-01663,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01663 | 内六角螺栓 | 紧固件/螺纹紧固件/螺丝螺栓 | 强度等级: 10.9；规格: M12*100；头型: 内六角 | 个
10.9级M12*1m全芽丝杆,10.9级m12*1m全芽丝杆,1,REVIEW-MAT-02108,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-02108 | 高强度全螺纹丝杆 | 紧固件/其他/螺杆 | 强度等级: 10.9；规格: M12*1m；原始: 全芽 | 根
100#国标槽钢,100#国标槽钢,1,REVIEW-MAT-00337,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00337 | 槽钢 | 金属原材料/其他/型钢 | 规格: 100#；标准: 国标 | 米
100*120垃圾袋,100*120垃圾袋,1,REVIEW-MAT-01131,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01131 | 垃圾袋 | 行政办公与清洁/清洁用品/清洁工具耗材 | 规格: 100*120 | 个
100*50镀锌大小头,100*50镀锌大小头,1,REVIEW-MAT-00849,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00849 | 镀锌异径接头 | 管道管件/金属管件/镀锌管件 | 规格: 100*50；表面: 镀锌；类型: 大小头 | 个
1000M华为路由器,1000m华为路由器,1,REVIEW-MAT-00557,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00557 | 路由器 | 电气与自动化/其他/网络设备 | 品牌: 华为；速率: 1000M | 套
100A总开关,100a总开关,1,REVIEW-MAT-00535,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00535 | 总开关 | 电气与自动化/低压电器/低压电器 | 电流: 100A；用途: 总开关 | 个
100A铜鼻子,100a铜鼻子,2,REVIEW-MAT-00092；REVIEW-MAT-01806,,true,同一原始叫法命中多个候选；Agent 检索时必须结合规格、分组、用途让用户确认。,REVIEW-MAT-00092 | 铜鼻子 | 电气与自动化/接线连接/接线端子 | 规格: 100A；材质: 铜 | 个 || REVIEW-MAT-01806 | 铜接线端子 | 电气与自动化/接线连接/接线端子 | 材质: 铜；规格: 100A；俗称: 铜鼻子 | 个
100cm水平尺,100cm水平尺,1,REVIEW-MAT-00739,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00739 | 水平尺 | 工具器具/量具测量/量具测量 | 长度: 100cm | 把
100切割片,100切割片,1,REVIEW-MAT-00227,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00227 | 切割片 | 工具器具/其他/磨切耗材 | 规格: 100 | 块
100加厚铜头,100加厚铜头,1,REVIEW-MAT-01409,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01409 | 加厚铜接头 | 液压气动/液压管路/高压胶管 | 规格: 100；材质: 铜；特征: 加厚 | 个
100加厚铝合金扣,100加厚铝合金扣,1,REVIEW-MAT-01408,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01408 | 加厚铝合金扣 | 液压气动/液压管路/高压胶管 | 规格: 100；材质: 铝合金；特征: 加厚 | 个
100型切割嘴,100型切割嘴,1,REVIEW-MAT-00726,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00726 | 切割嘴 | 焊接焊割/其他/焊割配件 | 规格: 100型 | 个
100型割炬,100型割炬,1,REVIEW-MAT-00721,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00721 | 割炬 | 焊接焊割/其他/焊割工具 | 规格: 100型 | 把
100橡胶防爆水带,100橡胶防爆水带,1,REVIEW-MAT-00692,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00692 | 橡胶防爆水带 | 消防器材/灭火器与水带/消防水带 | 规格: 100；材质: 橡胶；特征: 防爆 | 米
100磨光片,100磨光片,1,REVIEW-MAT-00228,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00228 | 磨光片 | 工具器具/其他/磨切耗材 | 规格: 100 | 块
100管卡,100管卡,1,REVIEW-MAT-01316,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01316 | 管卡 | 管道管件/管道紧固/管夹卡箍 | 规格: 100 | 个
100胶管接头,100胶管接头,1,REVIEW-MAT-01448,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01448 | 胶管接头 | 液压气动/液压管路/高压胶管 | 规格: 100；类型: 胶管接头 | 套
100连接头,100连接头,1,REVIEW-MAT-01317,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01317 | 连接头 | 消防器材/消防管件与接头/消防接头 | 规格: 100 | 个
100高压接头,100高压接头,1,REVIEW-MAT-01407,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01407 | 高压接头 | 液压气动/液压管路/高压胶管 | 规格: 100；类型: 接头 | 个
100高压水管,100高压水管,1,REVIEW-MAT-01435,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01435 | 高压水管 | 液压气动/液压管路/高压胶管 | 规格: 100；用途: 高压水 | 米
100高压胶管,100高压胶管,1,REVIEW-MAT-01406,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01406 | 高压胶管 | 液压气动/液压管路/高压胶管 | 规格: 100；材质: 胶管 | 米
101胶水,101胶水,1,REVIEW-MAT-00565,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00565 | 101胶水 | 化工油漆胶粘/胶粘密封/胶粘剂 | 型号: 101 | 个
10A公牛三插,10a公牛三插,1,REVIEW-MAT-00252,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00252 | 三脚插头 | 电气与自动化/插头插座/插头插座 | 品牌: 公牛；电流: 10A；类型: 三插 | 个
10A公牛插头,10a公牛插头,1,REVIEW-MAT-00239,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00239 | 插头 | 电气与自动化/插头插座/插头插座 | 品牌: 公牛；电流: 10A | 个
10cm反光警示带黄黑,10cm反光警示带黄黑,1,REVIEW-MAT-01011,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01011 | 反光警示带 | 安全防护/警示标识/反光警示 | 宽度: 10cm；颜色: 黄黑；功能: 反光 | 卷
10mm宽泡沫棉双面胶3M,10mm宽泡沫棉双面胶3m,1,REVIEW-MAT-01961,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01961 | 泡沫棉双面胶 | 包装与标识/胶带标签/胶带 | 品牌: 3M；宽度: 10mm；材质: 泡沫棉 | 卷
10mm气管,10mm气管,1,REVIEW-MAT-01114,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01114 | 气管 | 液压气动/气动元件/接头阀管 | 外径: 10mm | 米
10m长电浮球阀,10m长电浮球阀,1,REVIEW-MAT-01300,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01300 | 电浮球阀 | 仪器仪表/流量液位仪表/流量液位 | 线长: 10m；类型: 电浮球阀 | 个
10T卸扣,10t卸扣,1,REVIEW-MAT-01343,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01343 | 卸扣 | 吊装索具/吊装连接件/卸扣吊钩 | 额定载荷: 10T | 个
10加长六角套筒,10加长六角套筒,1,REVIEW-MAT-01164,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01164 | 加长六角套筒 | 工具器具/其他/套筒 | 规格: 10；特征: 加长；类型: 六角 | 个
10厘卡扣,10厘卡扣,1,REVIEW-MAT-01305,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01305 | 钢丝绳卡扣 | 吊装索具/吊带索具/钢丝绳链条 | 规格: 10厘 | 个
10厘卡环,10厘卡环,1,REVIEW-MAT-00696,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00696 | 卡环 | 吊装索具/其他/连接件 | 规格: 10厘 | 个
10厘气管三通,10厘气管三通,1,REVIEW-MAT-00990,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00990 | 气管三通接头 | 液压气动/液压接头/液压接头 | 规格: 10厘；类型: 三通 | 个
10厘气管弯头,10厘气管弯头,1,REVIEW-MAT-00987,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00987 | 气管弯头接头 | 液压气动/液压接头/液压接头 | 规格: 10厘；类型: 弯头 | 个
10厘气管直通,10厘气管直通,1,REVIEW-MAT-00984,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00984 | 气管直通接头 | 液压气动/液压接头/液压接头 | 规格: 10厘；类型: 直通 | 个
10厘膨胀钩,10厘膨胀钩,1,REVIEW-MAT-00733,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00733 | 膨胀钩 | 五金备件/其他/紧固件 | 规格: 10厘 | 个
10厘花篮,10厘花篮,2,REVIEW-MAT-00732；REVIEW-MAT-01306,,true,同一原始叫法命中多个候选；Agent 检索时必须结合规格、分组、用途让用户确认。,REVIEW-MAT-00732 | 花篮螺丝 | 吊装索具/其他/拉紧器 | 规格: 10厘 | 个 || REVIEW-MAT-01306 | 花篮螺栓 | 吊装索具/其他/紧固调节 | 规格: 10厘 | 套
10厘钢丝绳,10厘钢丝绳,1,REVIEW-MAT-01304,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01304 | 钢丝绳 | 吊装索具/吊带索具/钢丝绳链条 | 直径: 10厘 | 米
10号槽钢,10号槽钢,1,REVIEW-MAT-01060,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01060 | 槽钢 | 金属原材料/钢材型材/钢材型材 | 规格: 10# | 米
10吨U型卸扣,10吨u型卸扣,1,REVIEW-MAT-00797,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00797 | U型卸扣 | 吊装索具/吊装连接件/卸扣吊钩 | 额定载荷: 10T；型式: U型 | 个
10寸排风扇,10寸排风扇,1,REVIEW-MAT-00450,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00450 | 排风扇 | 电气与自动化/其他/通风设备 | 规格: 10寸 | 个
10寸水泵钳,10寸水泵钳,1,REVIEW-MAT-01336,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01336 | 水泵钳 | 工具器具/手动工具/通用手动工具 | 规格: 10寸 | 支
10米得力卷尺,10米得力卷尺,1,REVIEW-MAT-00167,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00167 | 卷尺 | 工具器具/量具测量/量具测量 | 品牌: 得力；长度: 10米 | 个
10针防尘网,10针防尘网,1,REVIEW-MAT-00587,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00587 | 防尘网 | 安全防护/隔离防护/防护网 | 规格: 10针 | 平方
110不锈钢合页,110不锈钢合页,1,REVIEW-MAT-00740,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00740 | 不锈钢合页 | 五金备件/其他/门窗五金 | 规格: 110；材质: 不锈钢 | 副
12#铁丝,12#铁丝,1,REVIEW-MAT-00357,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00357 | 铁丝 | 五金备件/其他/金属丝材 | 规格: 12# | kg
12*1.5黄油嘴,12*1.5黄油嘴,1,REVIEW-MAT-01038,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01038 | 黄油嘴 | 润滑系统/润滑设备配件/润滑泵管路 | 螺纹: M12*1.5 | 个
12*200钻头,12*200钻头,1,REVIEW-MAT-01437,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01437 | 钻头 | 工具器具/工具耗材/钻头 | 直径: 12mm；长度: 200mm | 个
12*30米彩条布,12*30米彩条布,1,REVIEW-MAT-00207,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00207 | 彩条布 | 工程建材/其他/篷布油布 | 规格: 12*30米 | 平方
12*40螺丝,12*40螺丝,1,REVIEW-MAT-00651,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00651 | 螺丝 | 五金备件/其他/紧固件 | 规格: 12*40 | 套
12*50螺丝,12*50螺丝,1,REVIEW-MAT-00226,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00226 | 螺丝 | 五金备件/其他/紧固件 | 规格: 12*50 | 套
12*60螺丝,12*60螺丝,1,REVIEW-MAT-00223,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00223 | 螺丝 | 五金备件/其他/紧固件 | 规格: 12*60 | 套
12.9级 10*150螺丝,12.9级10*150螺丝,1,REVIEW-MAT-00374,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00374 | 高强度螺丝 | 五金备件/其他/紧固件 | 强度等级: 12.9级；规格: 10*150 | 套
12.9级M24*60全芽螺丝带平弹垫,12.9级m24*60全芽螺丝带平弹垫,1,REVIEW-MAT-02240,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-02240 | 高强度全螺纹螺丝套件 | 紧固件/螺纹紧固件/螺丝螺栓 | 强度等级: 12.9；规格: M24*60；原始: 全芽；包含: 平垫+弹垫 | 套
12.9级M27*100全芽螺丝,12.9级m27*100全芽螺丝,1,REVIEW-MAT-02188,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-02188 | 高强度全螺纹螺丝 | 紧固件/螺纹紧固件/螺丝螺栓 | 强度等级: 12.9；规格: M27*100；原始: 全芽 | 套
12.9级m30*250全芽螺丝,12.9级m30*250全芽螺丝,1,REVIEW-MAT-01847,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01847 | 高强度全螺纹螺丝 | 紧固件/螺纹紧固件/螺丝螺栓 | 强度等级: 12.9；规格: M30*250；原始: 全芽 | 套
12.9级全芽螺杆m30*1m,12.9级全芽螺杆m30*1m,1,REVIEW-MAT-01836,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01836 | 高强度全螺纹螺杆 | 紧固件/其他/螺杆 | 强度等级: 12.9；规格: M30*1m；原始: 全芽 | 根
12.9级螺母M30,12.9级螺母m30,1,REVIEW-MAT-01837,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01837 | 高强度螺母 | 紧固件/螺纹紧固件/螺母垫圈 | 强度等级: 12.9；规格: M30 | 个
120*140厚垃圾袋,120*140厚垃圾袋,1,REVIEW-MAT-00169,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00169 | 垃圾袋 | 行政办公与清洁/清洁用品/清洁工具耗材 | 规格: 120*140；特征: 厚 | 个
120垃圾袋,120垃圾袋,1,REVIEW-MAT-01418,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01418 | 垃圾袋 | 行政办公与清洁/清洁用品/清洁工具耗材 | 规格: 120 | 个
120撬杠,120撬杠,1,REVIEW-MAT-00702,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00702 | 撬杠 | 工具器具/其他/手动工具 | 规格: 120 | 个
1220MMLED防爆机床方形灯,1220mmled防爆机床方形灯,1,REVIEW-MAT-00179,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00179 | LED防爆机床方形灯 | 电气与自动化/照明与报警/灯具 | 长度: 1220MM；类型: LED；功能: 防爆；形状: 方形；用途: 机床 | 套
12T卸扣,12t卸扣,1,REVIEW-MAT-01344,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01344 | 卸扣 | 吊装索具/吊装连接件/卸扣吊钩 | 额定载荷: 12T | 个
12V1A适配器,12v1a适配器,1,REVIEW-MAT-00486,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00486 | 电源适配器 | 电气与自动化/电源电池/电源电池 | 输出: 12V 1A | 个
12v蓄电池,12v蓄电池,1,REVIEW-MAT-00586,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00586 | 蓄电池 | 电气与自动化/电源电池/电源电池 | 电压: 12V | 个
