draft_sku_id	draft_item_code	import_status	放行等级	标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	candidate_count	source_candidate_rows	confirmation_required	confirmation_reason
SKU-DRAFT-000089	PIPE-000016	ready_to_import	A	PPR异径直接	规格：32*25；类型：大小头/异径		工程材料/PPR管件	个	PPR32*25大小头	1	90	否	
SKU-DRAFT-000094	SAFE-000002	ready_to_import	A	防护眼镜	用途：打磨		劳保耗材/眼面防护	个	打磨眼镜	1	95	否	
SKU-DRAFT-000095	PIPE-000017	confirm_then_import	B	PPR三通	规格：25；类型：三通		工程材料/PPR管件	个	25PPR三通	1	96	是	品牌缺失，需后续确认
SKU-DRAFT-000096	PIPE-000018	ready_to_import	A	PPR内牙弯头	规格：PPR25*4分；连接：内牙；类型：弯头		工程材料/PPR管件	个	PPR25*4内牙弯头	1	97	否	
SKU-DRAFT-000100	PIPE-000020	confirm_then_import	B	排水异径补心	品牌：公元；规格：75*50；类型：补心/异径		工程材料/排水管件	个	公元75*50补心	1	101	是	材质需按同批胶管确认
SKU-DRAFT-000101	PIPE-000021	confirm_then_import	B	排水弯头	品牌：公元；规格：75；类型：弯头		工程材料/排水管件	个	公元75弯头	1	102	是	材质需按同批胶管确认
SKU-DRAFT-000102	PIPE-000022	confirm_then_import	B	排水三通	品牌：公元；规格：50；类型：三通		工程材料/排水管件	个	公元50三通	1	103	是	材质需按同批胶管确认
SKU-DRAFT-000103	PIPE-000023	confirm_then_import	B	排水弯头	品牌：公元；规格：50；类型：弯头		工程材料/排水管件	个	公元50弯头	1	104	是	材质需按同批胶管确认
SKU-DRAFT-000104	PIPE-000024	confirm_then_import	B	排水异径三通	品牌：公元；规格：75*50；类型：三通		工程材料/排水管件	个	公元75*50三通	1	105	是	材质需按同批胶管确认
SKU-DRAFT-000108	PIPE-000027	ready_to_import	A	PPR阀门	品牌：公元；规格：25；类型：阀门		工程材料/PPR管件	个	公元25PPR阀门	1	109	否	
SKU-DRAFT-000110	PIPE-000028	confirm_then_import	B	PPR弯头	规格：25；类型：弯头		工程材料/PPR管件	个	25PPR弯头	1	111	是	原始未提供品牌；需复核是否与同类 PPR 弯头合并
SKU-DRAFT-000112	TOOL-000012	ready_to_import	A	冲击钻头	规格：6厘		工具器具/工具配件	支	6厘冲击钻头	1	113	否	
SKU-DRAFT-000113	TOOL-000013	ready_to_import	A	冲击钻头	规格：20厘		工具器具/工具配件	支	20厘冲击钻头	1	114	否	
SKU-DRAFT-000115	TOOL-000015	ready_to_import	A	玻璃刮	类型：玻璃刮		清洁用品/清洁工具	支	玻璃刮	1	116	否	
SKU-DRAFT-000116	FAST-000001	ready_to_import	A	膨胀螺丝	规格：14*120		五金备件/紧固件	支	14*120膨胀螺丝	1	117	否	
SKU-DRAFT-000117	METAL-000004	ready_to_import	A	不锈钢洗脸盆	材质：不锈钢；规格：120*80；特征：加厚		工程材料/洁具	套	不锈钢120*80加厚洗脸盆	1	118	否	
SKU-DRAFT-000119	ELEC-000034	confirm_then_import	B	BV电线	型号：BV；截面积：2.5平方		电气材料/电线电缆	米	BV2.5平方电线	1	120	是	原始未提供品牌；需复核是否与同类 BV 电线合并
SKU-DRAFT-000120	PIPE-000029	confirm_then_import	B	PPR给水管	规格：32；用途：给水		工程材料/PPR管件	米	32PPR给水管	1	121	是	品牌缺失
SKU-DRAFT-000121	PIPE-000030	ready_to_import	A	铜止回阀	品牌：埃美柯；材质：铜；规格：32；类型：止回阀		工程材料/阀门	个	32埃美柯铜止回阀	1	122	否	
SKU-DRAFT-000126	TOOL-000016	ready_to_import	A	玻璃胶枪	用途：打玻璃胶		工具器具/涂装工具	个	玻璃胶枪	1	127	否	
SKU-DRAFT-000128	ADMIN-000007	ready_to_import	A	重油污清洗剂	品牌：宝雅；用途：重油污		清洁用品/清洁剂	KG	宝雅重油污清洗剂	1	129	否	
SKU-DRAFT-000129	METAL-000005	ready_to_import	A	不锈钢角阀	材质：不锈钢；规格：4分		工程材料/阀门	个	4分不锈钢角阀	1	130	否	
SKU-DRAFT-000130	PIPE-000031	ready_to_import	A	不锈钢内接	材质：不锈钢；规格：4分；连接：内接		工程材料/水暖管件	个	4分不锈钢内接	1	131	否	
SKU-DRAFT-000131	PIPE-000032	ready_to_import	A	不锈钢外接	材质：不锈钢；规格：4分；连接：外接		工程材料/水暖管件	个	4分不锈钢外接	1	132	否	
SKU-DRAFT-000132	PIPE-000033	ready_to_import	A	不锈钢三通	材质：不锈钢；规格：4分；类型：三通		工程材料/水暖管件	个	4分不锈钢三通	1	133	否	
SKU-DRAFT-000137	PIPE-000034	ready_to_import	A	镀锌钢管	规格：DN25；标准：国标；表面：镀锌		金属材料/管材	米	DN25国标镀锌钢管	1	138	否	
SKU-DRAFT-000139	PIPE-000036	ready_to_import	A	铜止回阀	品牌：埃美柯；材质：铜；规格：25；类型：止回阀		工程材料/阀门	个	25埃美柯铜止回阀	1	140	否	
SKU-DRAFT-000141	PIPE-000037	ready_to_import	A	重型管卡	规格：135；类型：重型		工程材料/管道辅材	个	135重型管卡	1	142	否	
SKU-DRAFT-000145	MAT-000015	confirm_then_import	B	冷热水龙头	规格：4分；类型：冷热		工程材料/水暖五金	套	4分冷热龙头	1	146	是	与其他批次同类物料单位待统一
SKU-DRAFT-000146	PIPE-000038	confirm_then_import	B	金属软管	规格：4分；长度：60		工程材料/水暖五金	根	4分*60金属软管	1	147	是	长度 60 未注明单位，疑似 cm，需确认
SKU-DRAFT-000147	METAL-000008	ready_to_import	A	不锈钢合页	材质：不锈钢；规格：6寸		五金备件/门窗五金	付	6寸不锈钢合页	1	148	否	
SKU-DRAFT-000148	METAL-000009	ready_to_import	A	不锈钢合页	材质：不锈钢；规格：5寸		五金备件/门窗五金	付	5寸不锈钢合页	1	149	否	
SKU-DRAFT-000150	PIPE-000039	ready_to_import	A	高压铜球阀	规格：DN20；压力：350kg；材质：铜；类型：球阀		工程材料/阀门	个	DN20*350kg高压铜球阀	1	151	否	
SKU-DRAFT-000152	TOOL-000018	ready_to_import	A	垃圾夹	类型：垃圾夹		清洁用品/清洁工具	个	垃圾夹	1	153	否	
SKU-DRAFT-000155	ELEC-000037	ready_to_import	A	线槽	规格：30*15		电气材料/电气辅材	米	30*15线槽	1	156	否	
SKU-DRAFT-000156	PIPE-000040	confirm_then_import	B	高压油管	规格：DN51；等级：4SH		液压/高压管路	米	DN51*4SH高压油管	1	157	是	接头形式缺失；按米计量暂按油管本体候选
SKU-DRAFT-000157	PIPE-000041	confirm_then_import	B	高压油管	规格：DN32；等级：4SH		液压/高压管路	米	DN32*4SH高压油管	1	158	是	接头形式缺失；按米计量暂按油管本体候选
SKU-DRAFT-000158	MAT-000016	ready_to_import	A	吊带	载荷：2T；长度：1.5米		吊装索具/吊带	付	2T*1.5米吊带	1	159	否	
SKU-DRAFT-000161	WELD-000002	ready_to_import	A	电焊快速接头	规格：35-50		焊接耗材/焊机配件	套	35-50电焊快速接头	1	162	否	
SKU-DRAFT-000162	SPARE-000012	ready_to_import	A	加厚铁合页	材质：铁；规格：4寸；特征：加厚		五金备件/门窗五金	付	4寸加厚铁合页	1	163	否	
SKU-DRAFT-000163	SPARE-000013	ready_to_import	A	加厚铁合页	材质：铁；规格：5寸；特征：加厚		五金备件/门窗五金	付	5寸加厚铁合页	1	164	否	
SKU-DRAFT-000164	TOOL-000020	ready_to_import	A	卷尺	品牌：得力；长度：3米		工具器具/测量工具	个	得力3米卷尺	1	165	否	
SKU-DRAFT-000165	TOOL-000021	ready_to_import	A	卷尺	品牌：得力；长度：5米		工具器具/测量工具	个	得力5米卷尺	1	166	否	
SKU-DRAFT-000166	TOOL-000022	ready_to_import	A	卷尺	品牌：得力；长度：10米		工具器具/测量工具	个	得力10米卷尺	1	167	否	
SKU-DRAFT-000167	CHEM-000004	ready_to_import	A	除胶剂	品牌：得力；容量：500ML		化工耗材/清洗剂	支	得力500ML除胶剂	1	168	否	
SKU-DRAFT-000168	ADMIN-000008	ready_to_import	A	垃圾袋	规格：120*140；特征：厚		清洁用品/垃圾袋	个	120*140厚垃圾袋	1	169	否	
SKU-DRAFT-000169	ELEC-000038	ready_to_import	A	变压USB插座	品牌：公牛；输入：220V；输出：36V；功能：USB		电气材料/插头插座	套	公牛220V转36VUSB插座	1	170	否	
SKU-DRAFT-000171	TOOL-000024	ready_to_import	A	钢丝刷	类型：刀型		工具器具/打磨工具	支	刀型钢丝刷	1	172	否	
SKU-DRAFT-000173	TOOL-000026	ready_to_import	A	锂电池电钻	品牌：大艺；电压：21V；动力：锂电池		工具器具/电动工具	台	21V大艺锂电池电钻	1	174	否	
SKU-DRAFT-000175	ELEC-000039	ready_to_import	A	电池	电压：9V		电气材料/电池	个	9V电池	1	176	否	
SKU-DRAFT-000180	MAT-000019	ready_to_import	A	弓形卸扣	载荷：6.5吨；标准：国标；形状：弓形		吊装索具/卸扣	个	6.5吨国标弓形卸扣	1	181	否	
SKU-DRAFT-000182	ELEC-000041	ready_to_import	A	排风扇	规格：50*50		电气材料/通风设备	个	50*50排风扇；排气扇	1	183	否	
SKU-DRAFT-000183	ADMIN-000009	ready_to_import	A	塑料方凳	材质：塑料；规格：50CM；特征：加厚		办公生活用品/家具	个	加厚50CM塑料方凳	1	184	否	
SKU-DRAFT-000186	ADMIN-000010	confirm_then_import	B	重油污清洗剂	用途：去重油污		清洁用品/清洁剂	公斤	去重油污清洗剂	1	187	是	品牌未提供，按用途候选
SKU-DRAFT-000187	ELEC-000042	ready_to_import	A	电池	规格：5号		电气材料/电池	个	5号电池	1	188	否	
SKU-DRAFT-000189	TOOL-000028	ready_to_import	A	内六角扳手	规格：19		工具器具/手动工具	支	19内六角扳手	1	190	否	
SKU-DRAFT-000190	WELD-000003	ready_to_import	A	等离子割嘴	型号：P80；类型：割嘴		焊接耗材/等离子切割配件	个	P80等离子割嘴	1	191	否	
SKU-DRAFT-000194	TOOL-000029	ready_to_import	A	砖刀	用途：砌砖/切砖		工具器具/施工工具	个	砖刀	1	195	否	
SKU-DRAFT-000195	TOOL-000030	ready_to_import	A	灰刀	用途：抹灰		工具器具/施工工具	个	灰刀	1	196	否	
SKU-DRAFT-000196	ELEC-000043	ready_to_import	A	防水网线接头	功能：防水；用途：网线连接		电气材料/弱电材料	个	防水网线接头连接	1	197	否	
SKU-DRAFT-000197	CHEM-000006	confirm_then_import	B	防锈润滑剂	品牌/型号：WD-40；容量：500		化工耗材/润滑防锈	支	WD-40500防锈润滑剂	1	198	是	容量单位缺失，原始仅写500
SKU-DRAFT-000201	WELD-000004	confirm_then_import	B	焊条	型号：507；直径：3.2		焊接耗材/焊条	件	507*3.2焊条	1	202	是	包装重量缺失；直径单位按原始规格保留
SKU-DRAFT-000203	METAL-000012	ready_to_import	A	不锈钢球阀	品牌：埃美柯；规格：DN65；材质：不锈钢；特征：加厚		工程材料/阀门	个	DN65埃美柯加厚不锈钢球阀	1	204	否	
SKU-DRAFT-000204	METAL-000013	ready_to_import	A	不锈钢球阀	品牌：埃美柯；规格：40；材质：不锈钢；特征：加厚		工程材料/阀门	个	40埃美柯加厚不锈钢球阀	1	205	否	
SKU-DRAFT-000206	MAT-000021	ready_to_import	A	彩条布	规格：12*30米		工程材料/篷布油布	平方	12*30米彩条布	1	207	否	
SKU-DRAFT-000207	ELEC-000045	ready_to_import	A	漏电保护器	品牌：德力西；电流：400A；极数：4P		电气材料/低压电器	个	400A4P德力西漏电保护器	1	208	否	
SKU-DRAFT-000208	ELEC-000046	ready_to_import	A	漏电保护器	品牌：德力西；电流：250A；极数：4P		电气材料/低压电器	个	250A4P德力西漏电保护器	1	209	否	
SKU-DRAFT-000210	METAL-000014	ready_to_import	A	不锈钢名牌	定制：是；材质：不锈钢；规格：120*60		定制件/标识铭牌	个	定做不锈钢名牌120*60	1	211	否	
SKU-DRAFT-000211	METAL-000015	ready_to_import	A	不锈钢名牌	定制：是；材质：不锈钢；规格：100*80		定制件/标识铭牌	个	定做不锈钢名牌100*80	1	212	否	
SKU-DRAFT-000212	METAL-000016	ready_to_import	A	不锈钢名牌	定制：是；材质：不锈钢；规格：30*60		定制件/标识铭牌	个	定做不锈钢名牌30*60	1	213	否	
SKU-DRAFT-000217	TOOL-000031	ready_to_import	A	扫把	材质：高粱；规格：小		清洁用品/清洁工具	个	高粱小扫把	1	219	否	
SKU-DRAFT-000222	HW-LOCK-000006	confirm_then_import	B	挂锁	材质：不锈钢；规格：40；品质：好		五金备件/锁具	个	40好不锈钢挂锁	1	224	是	“好”为原始品质描述，具体质量等级需确认
SKU-DRAFT-000223	HW-LOCK-000007	confirm_then_import	B	挂锁	材质：不锈钢；规格：40；品质：好；类型：通用		五金备件/锁具	个	40好不锈钢通用挂锁	1	225	是	“好”为原始品质描述；与同规格不锈钢挂锁是否合并需确认
SKU-DRAFT-000227	SAFE-000006	ready_to_import	A	乳胶手套	材质：乳胶；特征：加厚		劳保耗材/手套	双	加厚乳胶手套	1	229	否	
SKU-DRAFT-000228	SAFE-000007	ready_to_import	A	牛筋手套	材质/类型：牛筋；特征：加厚		劳保耗材/手套	双	牛筋加厚手套	1	230	否	
SKU-DRAFT-000229	SAFE-000008	ready_to_import	A	防护眼镜	颜色：透明		劳保耗材/眼面防护	付	透明防护眼镜	1	231	否	
SKU-DRAFT-000234	SAFE-000009	ready_to_import	A	碘伏	容量：500ml		劳保耗材/急救用品	瓶	碘伏500ml	1	236	否	
SKU-DRAFT-000244	METAL-000017	confirm_then_import	B	不锈钢卡扣接头	规格：DN6*6；材质：不锈钢		气动/高压管路	个	DN6*6不锈钢卡扣接头	1	246	是	压力等级缺失，需后续确认
SKU-DRAFT-000245	METAL-000018	confirm_then_import	B	不锈钢卡扣接头	规格：DN6*10；材质：不锈钢		气动/高压管路	个	DN6*10不锈钢卡扣接头	1	247	是	压力等级缺失，需后续确认
SKU-DRAFT-000248	WELD-000005	confirm_then_import	B	割枪	规格：30号		焊接耗材/焊割工具	支	30号割枪	1	250	是	气体类型/品牌缺失，需后续确认
SKU-DRAFT-000250	ELEC-000049	ready_to_import	A	三脚插头	品牌：公牛；电流：10A；类型：三插		电气材料/插头插座	个	10A公牛三插	1	252	否	
SKU-DRAFT-000251	TOOL-000038	ready_to_import	A	毛刷	规格：4寸		工具器具/涂装工具	支	4寸毛刷	1	253	否	
SKU-DRAFT-000252	METAL-000019	confirm_then_import	B	不锈钢加长接头	规格：8*6；材质：不锈钢；特征：加长		气动/高压管路	个	8*6不锈钢加长接头	1	254	是	连接形式/压力等级缺失
SKU-DRAFT-000253	PIPE-000045	confirm_then_import	B	不锈钢加长弯头	规格：8*6；材质：不锈钢；特征：加长；类型：弯头		气动/高压管路	个	8*6不锈钢加长弯头	1	255	是	连接形式/压力等级缺失
SKU-DRAFT-000255	WELD-000007	confirm_then_import	B	碳棒	直径：6mm		焊接耗材/气刨耗材	支	碳棒6MM	1	257	是	包装规格缺失
SKU-DRAFT-000260	METAL-000020	confirm_then_import	B	不锈钢卡套接头	规格：6*8；材质：不锈钢		气动/高压管路	个	卡6*8不锈钢接头	1	262	是	“卡”按卡套接头整理，压力等级缺失
SKU-DRAFT-000261	METAL-000021	confirm_then_import	B	不锈钢卡套接头	规格：6*12；材质：不锈钢		气动/高压管路	个	卡6*12不锈钢接头	1	263	是	“卡”按卡套接头整理，压力等级缺失
SKU-DRAFT-000271	ELEC-000050	confirm_then_import	B	电焊线	品牌：起帆；截面积：35平方		电气材料/电线电缆	米	35平方起帆电焊线	1	273	是	芯数/材质缺失
SKU-DRAFT-000272	ELEC-000051	confirm_then_import	B	电焊线	品牌：起帆；截面积：50平方		电气材料/电线电缆	米	50平方起帆电焊线	1	274	是	芯数/材质缺失
SKU-DRAFT-000284	PIPE-000050	confirm_then_import	B	不锈钢卡套三通	规格：6*12；材质：不锈钢；类型：三通		气动/高压管路	个	卡6*12不锈钢三通	1	286	是	连接形式/压力等级缺失
SKU-DRAFT-000285	CHEM-000016	confirm_then_import	B	重油污清洗剂	用途：重油污清洗		化工耗材/清洗剂	KG	重油污清洗剂	1	287	是	品牌/浓度/包装缺失
SKU-DRAFT-000286	MAT-000025	ready_to_import	A	自封袋	规格：10#		包装材料/自封袋	个	10#自封袋	1	288	否	
SKU-DRAFT-000287	TOOL-000043	confirm_then_import	B	毛刷	规格：2寸		工具器具/涂装工具	个	2寸毛刷	1	289	是	材质缺失；同类毛刷单位需复核
SKU-DRAFT-000288	ELEC-000052	confirm_then_import	B	电缆防水接头	规格：M50		电气材料/电缆附件	个	M50电缆防水接头	1	290	是	材质/IP等级缺失
SKU-DRAFT-000289	ELEC-000053	confirm_then_import	B	电缆防水接头	规格：M40		电气材料/电缆附件	个	M40电缆防水接头	1	291	是	材质/IP等级缺失
SKU-DRAFT-000290	ELEC-000054	confirm_then_import	B	电缆防水接头	规格：M32		电气材料/电缆附件	个	M32电缆防水接头	1	292	是	材质/IP等级缺失
SKU-DRAFT-000313	CHEM-000026	confirm_then_import	B	588密封胶	型号：588		化工耗材/胶粘剂	支	588胶	1	315	是	品牌/颜色/容量缺失，按588密封胶型号候选
SKU-DRAFT-000320	SAFE-000015	confirm_then_import	B	五点式安全带	类型：五点式；款式：欧式		劳保耗材/坠落防护	套	五点式欧式安全带	1	322	是	执行标准/承载等级缺失，按欧式五点安全带候选
SKU-DRAFT-000330	PIPE-000061	confirm_then_import	B	无缝管	规格：325；壁厚：14		原材料/钢管	米	325无缝管&14	1	332	是	材质/执行标准缺失，按规格和壁厚候选；原别名符号已保留
SKU-DRAFT-000332	PIPE-000063	confirm_then_import	B	抱箍钢卡	规格：325；特征：加厚；材质：钢		工程材料/管道紧固	个	加厚325抱箍钢卡	1	334	是	表面处理/标准缺失，按325加厚钢抱箍候选
SKU-DRAFT-000334	METAL-000030	confirm_then_import	B	花纹钢板	厚度：3mm；类型：花纹钢板		原材料/钢板	平方	3MM花纹钢板	1	336	是	材质缺失；按平方米计量时长宽可作为采购裁切信息复核
SKU-DRAFT-000335	METAL-000031	confirm_then_import	B	槽钢	规格：100#；标准：国标		原材料/型钢	米	100#国标槽钢	1	337	是	材质牌号缺失，按100#国标槽钢候选
SKU-DRAFT-000340	ELEC-000059	confirm_then_import	B	五孔插座面板	类型：五孔面板		电气材料/插头插座	个	五孔面板	1	342	是	品牌/明暗装/电流缺失，按五孔面板候选
SKU-DRAFT-000342	SAFE-000016	confirm_then_import	B	挂胶手套	特征：厚；类型：挂胶		劳保耗材/手套	双	厚挂胶手套	1	344	是	材质/尺码缺失，按厚挂胶手套候选
SKU-DRAFT-000343	CONST-000005	confirm_then_import	B	亚克力板	尺寸：81*81*5		原材料/塑料板材	块	81×81×5亚克力板	1	345	是	尺寸单位未注明，需确认是否mm
SKU-DRAFT-000346	SAFE-000018	confirm_then_import	B	平光防护眼镜	类型：平镜/平光		劳保耗材/眼面防护	副	平镜眼镜	1	348	是	防护标准缺失，按平光防护眼镜候选
SKU-DRAFT-000354	SAFE-000020	ready_to_import	A	布手套	特征：加厚、双层		劳保耗材/手套	双	加厚双层布手套	1	356	否	
SKU-DRAFT-000355	SPARE-000038	confirm_then_import	B	铁丝	规格：12#		五金备件/金属丝材	KG	12#铁丝	1	357	是	材质/是否镀锌未说明，按12#铁丝候选
SKU-DRAFT-000356	SPARE-000039	confirm_then_import	B	铁丝	规格：14#		五金备件/金属丝材	KG	14#铁丝	1	358	是	材质/是否镀锌未说明，按14#铁丝候选
SKU-DRAFT-000358	TOOL-000047	confirm_then_import	B	台式砂轮机	功率：1.1kW；类型：台式砂轮机		工具器具/电动工具	台	1.1千W台式沙轮机	1	360	是	别名“沙轮机”规范为砂轮机；砂轮规格/电压缺失
SKU-DRAFT-000359	TOOL-000048	ready_to_import	A	钨钢钻头	材质：钨钢；直径：8mm		工具器具/工具配件	支	钨钢钻头8厘	1	361	否	
SKU-DRAFT-000360	TOOL-000049	ready_to_import	A	钨钢钻头	材质：钨钢；直径：10mm		工具器具/工具配件	支	钨钢钻头10厘	1	362	否	
SKU-DRAFT-000361	TOOL-000050	ready_to_import	A	钨钢钻头	材质：钨钢；直径：12mm		工具器具/工具配件	支	钨钢钻头12厘	1	363	否	
SKU-DRAFT-000362	TOOL-000051	ready_to_import	A	钨钢钻头	材质：钨钢；直径：16mm		工具器具/工具配件	支	钨钢钻头16厘	1	364	否	
SKU-DRAFT-000364	ELEC-000061	confirm_then_import	B	导轨五孔插座	安装：导轨；类型：五孔插座		电气材料/插头插座	个	导轨5孔插座	1	366	是	额定电流/品牌缺失，按导轨五孔插座候选
SKU-DRAFT-000369	PIPE-000067	ready_to_import	A	PVC直通	品牌：公元；规格：75；材质：PVC		工程材料/PVC管件	个	公元75pvc直通；公元75直通	2	371;383	否	
SKU-DRAFT-000370	SAFE-000021	confirm_then_import	B	草帽	类型：草帽		劳保耗材/防晒用品	个	草帽	1	372	是	尺寸/款式缺失，按普通草帽候选
