batch	issue_id	source_name	identify	spec_normalization	standard_name_normalization	group_normalization	release_grade	judgement	next_action
001	ISSUE-00019	不锈钢合页	不锈钢合页	4寸、5寸、6寸、110保留；无规格项需补	不锈钢合页	五金备件/门窗五金/合页	C	部分规格完整，部分只有类型无尺寸	有尺寸项拆SKU；无尺寸项补尺寸
001	ISSUE-00020	不锈钢合页	不锈钢合页	4寸、5寸、6寸、110保留	不锈钢合页	五金备件/门窗五金/合页	C	低精度项来自“类型:合页”无尺寸	补尺寸、厚度、开合形式
001	ISSUE-00021	不锈钢插销	不锈钢插销	材质不锈钢；规格缺失	不锈钢插销	五金备件/门窗五金/插销	C	只有材质没有长度/规格，不能建完整SKU	补长度或规格；个/套需确认包装
001	ISSUE-00022	不锈钢插销	不锈钢插销	材质不锈钢；规格缺失	不锈钢插销	五金备件/门窗五金/插销	C	低精度，缺尺寸	补尺寸、安装形式
001	ISSUE-00023	加厚铁合页	加厚铁合页	4寸、5寸保留	加厚铁合页	五金备件/门窗五金/合页	B	尺寸不同拆SKU；材质和加厚特征明确	按尺寸拆SKU，单位用付
001	ISSUE-00024	插销	插销	4寸保留；300推断为300mm	插销	五金备件/门窗五金/插销	B	规格表达不同但可归一；需确认300单位	确认300是否mm，按规格拆SKU
001	ISSUE-00025	闭门器	闭门器	大=大号	闭门器	五金备件/门窗五金/闭门器	C	大号不是稳定规格，缺型号/承重范围	补型号、门重适用范围
001	ISSUE-00026	不锈钢挂锁	不锈钢挂锁	40、50保留；好为质量备注不做规格	不锈钢挂锁	五金备件/门锁锁具/挂锁	B	40和50拆SKU；重复40合并	把/个统一为把，质量备注不入标准名
001	ISSUE-00027	不锈钢挂锁	不锈钢挂锁	规格40；个/把同义	不锈钢挂锁	五金备件/门锁锁具/挂锁	A	单位同义，规格和材质明确	统一库存单位把
001	ISSUE-00028	不锈钢挂锁	不锈钢挂锁	40、50保留；好为备注	不锈钢挂锁	五金备件/门锁锁具/挂锁	C	低精度来自无规格挂锁项和质量描述	保留40/50，补无规格项
001	ISSUE-00029	不锈钢锁扣	不锈钢锁扣	用途外门作为用途，不是规格	不锈钢锁扣	五金备件/门窗五金/锁扣	C	缺尺寸/孔距，外门用途不能唯一化	补规格尺寸或孔距
001	ISSUE-00030	万向脚轮	万向脚轮	万向轮=万向车轮	万向脚轮	仓储物流/搬运设备/脚轮	C	缺轮径、承载、带刹/不带刹	补轮径、承载和刹车形式
001	ISSUE-00031	电流表	电流表	600/5A保留；6L2为型号	电流表	仪器仪表/电气仪表/电流表	C	一个是泛称600/5A，一个是人民6L2 600/5A，不能直接合并	补型号/品牌；有型号项单独建SKU
001	ISSUE-00032	一次性口罩	一次性口罩	一次性=一次性口罩	一次性口罩	劳保用品/呼吸防护/口罩	B	规格粗但低值耗材可按通用项管理	确认是否需要医用/防尘等级
001	ISSUE-00033	创可贴	创可贴	品类/类型同义	创可贴	劳保用品/急救用品/创可贴	C	单位个/盒涉及包装数量，缺包装规格	补每盒数量或按盒管理
001	ISSUE-00034	创可贴	创可贴	品类/类型同义	创可贴	劳保用品/急救用品/创可贴	C	低精度，缺包装数量	补包装规格
001	ISSUE-00035	拖把	拖把	支/个统一为把或支	拖把	行政办公与清洁/清洁工具/拖把	B	通用低值工具，单位冲突可处理	统一库存单位把或支
001	ISSUE-00036	平光防护眼镜	平光防护眼镜	平镜/平光同义；白色为颜色	平光防护眼镜	劳保用品/眼面防护/防护眼镜	B	类型明确，可作为通用防护眼镜子类	统一标准名并保留颜色
001	ISSUE-00037	护目镜	护目镜	多功能护目眼镜=护目眼镜	护目镜	劳保用品/眼面防护/护目镜	B	同义写法，可合并	统一名称为护目镜
001	ISSUE-00038	焊工眼镜	焊工防护眼镜	焊工防护=电焊防护	焊工防护眼镜	劳保用品/眼面防护/焊工眼镜	B	用途同义；颜色可做可选属性	统一为焊工防护眼镜
001	ISSUE-00039	电焊眼镜	焊工防护眼镜	电焊=电焊防护	焊工防护眼镜	劳保用品/眼面防护/焊工眼镜	B	和焊工眼镜同族，适合做别名	统一标准名为焊工防护眼镜
001	ISSUE-00040	电焊眼镜	焊工防护眼镜	电焊=电焊防护	焊工防护眼镜	劳保用品/眼面防护/焊工眼镜	B	低精度但业务语义明确	确认是否需要镜片色号
001	ISSUE-00041	防护眼镜	防护眼镜	打磨用途和透明颜色保留	防护眼镜	劳保用品/眼面防护/防护眼镜	C	用途/颜色不足以确认具体型号	补镜片类型、用途等级
001	ISSUE-00042	油布	油布	加厚为特征；平方/m2统一	油布	辅料耗材/防护覆盖/油布	C	缺材质、厚度或克重	补材质/厚度，单位m2
001	ISSUE-00043	油布	油布	平方=m2	油布	辅料耗材/防护覆盖/油布	B	单位同义可处理，但规格仍需完善	统一单位m2，补材质厚度
001	ISSUE-00044	油布	油布	加厚为特征	油布	辅料耗材/防护覆盖/油布	C	低精度，缺材质厚度	补材质、厚度或克重
001	ISSUE-00045	雨鞋	回力雨鞋	加厚/厚底为特征；品牌回力保留	雨鞋	劳保用品/足部防护/雨鞋	C	缺鞋码，鞋码影响SKU	补尺码；厚底/加厚可做规格属性
001	ISSUE-00046	一次性雨衣	一次性雨衣	加厚为特征；套/件/个先统一套	一次性雨衣	劳保用品/雨具/雨衣	B	类型明确，特征可拆普通/加厚SKU	按普通/加厚拆SKU，单位套
001	ISSUE-00047	一次性雨衣	一次性雨衣	件/套/个统一为套	一次性雨衣	劳保用品/雨具/雨衣	B	单位可归一；加厚是规格特征	统一单位套
001	ISSUE-00048	一次性雨衣	一次性雨衣	普通/加厚区分	一次性雨衣	劳保用品/雨具/雨衣	B	低精度可通过特征规则治理	确认是否分普通和加厚
001	ISSUE-00049	布手套	加厚双层布手套	加厚、双层、布材质合并成规格	布手套	劳保用品/手部防护/手套	B	特征明确，可作为手套规格	标准名布手套，规格加厚双层
001	ISSUE-00050	布手套	加厚双层布手套	加厚/双层保留	布手套	劳保用品/手部防护/手套	B	低精度但规格语义明确	统一为加厚双层布手套
001	ISSUE-00051	帆布手套	帆布手套	双重=双层；加厚双层保留	帆布手套	劳保用品/手部防护/手套	B	普通/双层/加厚双层可拆SKU	按结构和加厚特征拆SKU
001	ISSUE-00052	帆布手套	帆布手套	双重=双层	帆布手套	劳保用品/手部防护/手套	B	低精度可通过结构规则治理	确认普通与双层是否分开
001	ISSUE-00053	焊工手套	焊工手套	电焊防护=焊工防护；加长为特征	焊工手套	劳保用品/手部防护/焊工手套	B	用途明确，加长可作为不同SKU	普通/加长拆SKU
001	ISSUE-00054	牛筋手套	牛筋手套	牛筋为材质/类型；加厚为特征	牛筋手套	劳保用品/手部防护/手套	B	材质明确；加厚可拆SKU	普通/加厚拆SKU
001	ISSUE-00055	牛筋手套	牛筋手套	牛筋为材质/类型	牛筋手套	劳保用品/手部防护/手套	B	低精度但物料族明确	确认是否分加厚
001	ISSUE-00056	PET条码不干胶标签	PET条码标签	40*25/1200张与30*10/5000张分别成SKU	PET条码不干胶标签	包装材料/标签/不干胶标签	B	尺寸和每卷张数明确，应拆SKU	按尺寸+每卷数量拆SKU
001	ISSUE-00057	透明胶带	透明胶带	5mm*100m明确；3M透明缺宽长；透明缺规格	透明胶带	辅料耗材/胶带/透明胶带	C	部分候选缺宽度长度，不能直接合并	完整规格可B，缺规格项补宽长
001	ISSUE-00058	透明胶带	透明胶带	5mm*100m明确；其他缺规格	透明胶带	辅料耗材/胶带/透明胶带	C	低精度，缺宽度/长度	补宽度长度品牌
001	ISSUE-00059	吨袋	吨袋	大号不稳定；1.5吨为承重	吨袋	包装材料/袋类/吨袋	C	缺尺寸和承重统一口径	补承重、尺寸、吊带形式
001	ISSUE-00060	编织袋	编织袋	大号/小号/0.8*1.2	编织袋	包装材料/袋类/编织袋	C	大号小号不稳定，尺寸项可建档	补尺寸或容量；尺寸明确项B
001	ISSUE-00061	麻袋	麻袋	70*100明确；大号不稳定	麻袋	包装材料/袋类/麻袋	B	有明确尺寸可拆SKU；大号需确认	70*100可B，大号需补尺寸
001	ISSUE-00062	油性聚氨酯	油性聚氨酯	10KG包装明确；无包装项缺失	油性聚氨酯	化工油漆胶粘/防水堵漏/聚氨酯	C	包装规格影响采购和库存	补包装规格，区分油性/水性
001	ISSUE-00063	聚氨酯堵漏剂	聚氨酯堵漏剂	油性、水性、20KG包装分别处理	聚氨酯堵漏剂	化工油漆胶粘/防水堵漏/堵漏剂	C	油性/水性和包装影响SKU	按类型+包装拆SKU；缺包装补齐
001	ISSUE-00064	防锈润滑剂	防锈润滑剂	WD-40与DM40不同品牌/型号	防锈润滑剂	化工油漆胶粘/润滑防锈/防锈润滑剂	C	品牌型号不同，容量缺失时不能合并	按品牌型号容量建SKU
001	ISSUE-00065	润滑脂	润滑脂	黄油为俗称；克虏伯NB52为具体型号	润滑脂	化工油漆胶粘/润滑防锈/润滑脂	D	泛称黄油与具体型号不能自动合并	黄油作为别名候选，需确认型号/牌号
001	ISSUE-00066	抗盐膨润土	抗盐膨润土	T/吨同义	抗盐膨润土	工程材料/土工材料/膨润土	A	类型和单位明确，单位同义	统一单位吨
001	ISSUE-00067	抗盐膨润土	抗盐膨润土	T/吨同义	抗盐膨润土	工程材料/土工材料/膨润土	A	单位同义，不构成冲突	统一单位吨
001	ISSUE-00068	齿轮油	齿轮油	HL-20、长城18L、20L包装分别处理	齿轮油	化工油漆胶粘/润滑油脂/齿轮油	C	型号、品牌、包装混杂，不能直接合并	按品牌+型号+包装拆SKU
001	ISSUE-00069	除锈剂	除锈剂	WD40 500mL、陶喜450mL、WD40 350mL分别成SKU	除锈剂	化工油漆胶粘/清洗除锈/除锈剂	B	品牌和容量明确，规格不同拆SKU	按品牌+容量拆SKU
001	ISSUE-00070	地坪漆底漆	地坪漆底漆	好地坪漆底漆；20KG包装明确	地坪漆底漆	化工油漆胶粘/油漆涂料/地坪漆	C	无包装项缺包装规格	补包装规格后可建SKU
001	ISSUE-00071	地坪漆底漆	地坪漆底漆	20KG包装明确；无包装项缺失	地坪漆底漆	化工油漆胶粘/油漆涂料/地坪漆	C	低精度，包装规格缺失	补包装规格
001	ISSUE-00072	油漆	油漆	立邦18KG按颜色拆SKU	油漆	化工油漆胶粘/油漆涂料/油漆	B	品牌、颜色、包装明确，颜色不同拆SKU	按品牌+颜色+包装拆SKU
001	ISSUE-00073	油漆	油漆	立邦18KG按颜色拆SKU	油漆	化工油漆胶粘/油漆涂料/油漆	B	低精度但关键规格完整	颜色不同拆SKU
001	ISSUE-00074	稀释剂	稀释剂	立邦12KG与通用12KG区分	稀释剂	化工油漆胶粘/油漆涂料/稀释剂	C	品牌缺失可能影响采购	补品牌或确认通用
001	ISSUE-00075	自喷漆	自喷漆	按品牌+颜色拆SKU；无品牌按通用颜色项	自喷漆	化工油漆胶粘/油漆涂料/自喷漆	B	颜色不同拆SKU；品牌可作为规格属性	按颜色拆，品牌明确则保留
001	ISSUE-00076	自喷漆	自喷漆	瓶/支同义；三和灰色明确	自喷漆	化工油漆胶粘/油漆涂料/自喷漆	B	单位可归一	统一单位瓶
001	ISSUE-00077	自喷漆	自喷漆	瓶/支/个统一为瓶；白色喷漆明确	自喷漆	化工油漆胶粘/油漆涂料/自喷漆	B	单位可归一，颜色明确	统一单位瓶
001	ISSUE-00078	调和油漆	调和漆	铁红、白色分别成SKU	调和漆	化工油漆胶粘/油漆涂料/调和漆	B	颜色不同拆SKU	统一标准名调和漆
001	ISSUE-00079	调和漆	调和漆	按颜色拆SKU	调和漆	化工油漆胶粘/油漆涂料/调和漆	B	颜色明确，桶为单位	按颜色拆SKU
001	ISSUE-00080	防水乳胶漆	防水乳胶漆	立邦18KG；白色为颜色	防水乳胶漆	化工油漆胶粘/油漆涂料/乳胶漆	C	一个有颜色白色，一个未写颜色，不能直接合并	补颜色，按品牌+颜色+包装建SKU
001	ISSUE-00081	防锈漆	防锈漆	按颜色+品牌+包装拆SKU	防锈漆	化工油漆胶粘/油漆涂料/防锈漆	B	颜色不同拆SKU；包装多数明确	按颜色和包装拆SKU
001	ISSUE-00082	AB胶	AB胶	卡夹特、三和分别成SKU	AB胶	化工油漆胶粘/胶粘密封/胶粘剂	C	品牌型号影响采购，单位套/支也可能不同	补包装/容量，按品牌型号拆SKU
001	ISSUE-00083	PVC胶水	PVC胶水	公元1KG明确；通用PVC粘接缺品牌包装	PVC胶水	化工油漆胶粘/胶粘密封/PVC胶水	C	通用项缺品牌和包装	补品牌/包装；公元1KG可B
001	ISSUE-00084	泡沫双面胶	泡沫双面胶	泡沫基材；厚为特征	泡沫双面胶	辅料耗材/胶带/双面胶	C	缺宽度、长度、厚度数值	补宽长厚
001	ISSUE-00085	玻璃胶	玻璃胶	白色、道康宁为属性	玻璃胶	化工油漆胶粘/胶粘密封/玻璃胶	C	白色无品牌/容量；道康宁无颜色容量	补品牌、颜色、容量
001	ISSUE-00086	聚氨酯密封胶	聚氨酯密封胶	普赛达600mL明确；无容量项缺失	聚氨酯密封胶	化工油漆胶粘/胶粘密封/密封胶	C	容量影响SKU	补容量/包装
001	ISSUE-00087	螺纹锁固胶	螺纹锁固胶	乐泰243明确；只/瓶统一为瓶	螺纹锁固胶	化工油漆胶粘/胶粘密封/螺纹锁固胶	B	品牌型号明确，单位可归一	统一单位瓶，补容量可选
001	ISSUE-00088	鸭嘴吊具	鸭嘴吊具	20T；万能/鸭嘴为形式	鸭嘴吊具	吊装索具/吊具/钢板夹具	B	额定载荷和形式明确	统一为万能鸭嘴吊具20T
001	ISSUE-00089	花篮螺丝	花篮螺栓	M20保留；10厘->M10	花篮螺栓	吊装索具/紧固调节/花篮螺栓	B	规格可归一；花篮螺丝为俗称	按M规格拆SKU
001	ISSUE-00090	花篮螺栓	花篮螺栓	14*200->M14*200；10厘->M10但缺长度	花篮螺栓	吊装索具/紧固调节/花篮螺栓	C	M10缺长度/开口形式	完整规格可B，10厘补长度
001	ISSUE-00091	手扳葫芦	手扳葫芦	2T*6m；1.6T*6m	手扳葫芦	吊装索具/葫芦/手扳葫芦	B	额定载荷不同拆SKU，链长明确	按载荷+链长拆SKU
001	ISSUE-00092	手拉葫芦	手拉葫芦	1T*6m；2T*6m；2T*3m；三角为品牌	手拉葫芦	吊装索具/葫芦/手拉葫芦	B	载荷和链长不同拆SKU	按品牌+载荷+链长拆SKU
001	ISSUE-00093	钢板起重钳	钢板起重钳	2T；3.2T	钢板起重钳	吊装索具/钢板夹/起重钳	B	载荷不同拆SKU	按额定载荷拆SKU
001	ISSUE-00094	吊带	吊装带	载荷+长度归一；5吨=5T；6m=6米	吊装带	吊装索具/吊带索具/吊带	B	载荷和长度明确；“好”为质量备注	按载荷+长度拆SKU，忽略质量备注
001	ISSUE-00095	吊带	吊装带	载荷+长度归一	吊装带	吊装索具/吊带索具/吊带	B	低精度可由载荷长度规则治理	确认是否需要材质/颜色
001	ISSUE-00096	吊装带	吊装带	载荷+长度归一；米=m	吊装带	吊装索具/吊带索具/吊带	B	载荷长度明确，应拆SKU	按载荷+长度拆SKU
001	ISSUE-00097	扁平吊装带	扁平吊装带	载荷+长度归一；颜色彩色；国标为标准	扁平吊装带	吊装索具/吊带索具/扁平吊装带	B	载荷长度明确；颜色和标准为属性	按载荷+长度拆SKU，保留国标/颜色
001	ISSUE-00098	扁平吊装带	扁平吊装带	付/根同义；5T*6米彩色明确	扁平吊装带	吊装索具/吊带索具/扁平吊装带	B	单位可归一	统一单位根或条
001	ISSUE-00099	扁平吊装带	扁平吊装带	载荷+长度归一	扁平吊装带	吊装索具/吊带索具/扁平吊装带	B	低精度可由载荷长度规则治理	按载荷+长度拆SKU，补材质可选
001	ISSUE-00100	尼龙绳	尼龙绳	14mm、18mm、16mm归一；仅材质尼龙缺直径	尼龙绳	吊装索具/绳索/尼龙绳	C	直径影响SKU；有一项仅材质无直径	完整直径项可B，无直径项补规格
