"raw_name","proposed_item_code","standard_name","item_group","specs","unit"
"公元25PPR弯头","REVIEW-MAT-00029","PPR弯头","工程材料/PPR管件","品牌: 公元；规格: 25；类型: 弯头","个"
"公元热熔机","REVIEW-MAT-00030","PPR热熔机","工具器具/管道工具","品牌: 公元；用途: PPR热熔","个"
"公元PPR剪刀","REVIEW-MAT-00031","PPR管剪刀","工具器具/管道工具","品牌: 公元；用途: PPR管剪切","个"
"4-6MM石子","REVIEW-MAT-00032","石子","建筑材料/水泥砂石","粒径: 4-6MM","斤"
"公牛380V*25A插头","REVIEW-MAT-00033","工业插头","电气材料/插头插座","品牌: 公牛；电压: 380V；电流: 25A","个"
"3M电胶布","REVIEW-MAT-00034","电工胶布","电气材料/绝缘材料","品牌: 3M","个"
"世达多功能剥线钳","REVIEW-MAT-00035","多功能剥线钳","工具器具/手动工具","品牌: 世达；类型: 多功能剥线钳","只"
"找断点电笔","REVIEW-MAT-00036","断点检测电笔","工具器具/电工工具","功能: 找断点/测电","只"
"公牛16A插座","REVIEW-MAT-00037","插座","电气材料/插头插座","品牌: 公牛；电流: 16A","个"
"洁厕灵","REVIEW-MAT-00038","洁厕灵","清洁用品/清洁剂","类型: 洁厕清洁剂","瓶"
"窗帘架拉链","REVIEW-MAT-00039","窗帘架拉链","装修材料/窗帘配件","类型: 拉链/配件","套"
"20钢钉线卡","REVIEW-MAT-00040","钢钉线卡","电气材料/电气辅材","规格: 20","个"
"4分三角阀","REVIEW-MAT-00041","三角阀","工程材料/阀门","规格: 4分","个"
"公元PPR25三通","REVIEW-MAT-00042","PPR三通","工程材料/PPR管件","品牌: 公元；规格: 25；类型: 三通","个"
"公元PPR25内牙三通","REVIEW-MAT-00043","PPR内牙三通","工程材料/PPR管件","品牌: 公元；规格: 25；连接: 内牙；类型: 三通","个"
"公元PPR25*4内牙直通","REVIEW-MAT-00044","PPR内牙直通","工程材料/PPR管件","品牌: 公元；规格: PPR25*4分；连接: 内牙；类型: 直通","个"
"公元PPR25内牙弯头","REVIEW-MAT-00045","PPR内牙弯头","工程材料/PPR管件","品牌: 公元；规格: 25；连接: 内牙；类型: 弯头","个"
"洗衣机龙头","REVIEW-MAT-00046","洗衣机龙头","工程材料/水暖五金","用途: 洗衣机","个"
"4分堵头","REVIEW-MAT-00047","堵头","工程材料/管件","规格: 4分","个"
"6分堵头","REVIEW-MAT-00048","堵头","工程材料/管件","规格: 6分","个"
"25水管钩","REVIEW-MAT-00049","水管钩","工程材料/管道辅材","规格: 25","个"
"4位镀锌电线架","REVIEW-MAT-00050","镀锌电线架","电气材料/电气辅材","材质: 镀锌；位数: 4位","个"
"50不锈钢挂锁","REVIEW-MAT-00051","不锈钢挂锁","五金备件/锁具","材质: 不锈钢；规格: 50","个"
"不锈钢插销","REVIEW-MAT-00052","不锈钢插销","五金备件/门窗五金","材质: 不锈钢","个"
"不锈钢插销带锁","REVIEW-MAT-00053","带锁不锈钢插销","五金备件/门窗五金","材质: 不锈钢；功能: 带锁","个"
"立邦环保涂料5合1","REVIEW-MAT-00054","环保涂料","化工耗材/涂料","品牌: 立邦；系列: 5合1","桶"
"4寸滚筒","REVIEW-MAT-00055","滚筒刷","工具器具/涂装工具","规格: 4寸","个"
"4寸插销","REVIEW-MAT-00056","插销","五金备件/门窗五金","规格: 4寸","付"
"4寸不锈钢加厚合页","REVIEW-MAT-00057","加厚不锈钢合页","五金备件/门窗五金","材质: 不锈钢；规格: 4寸；特征: 加厚","付"
"5寸不锈钢抽锁","REVIEW-MAT-00058","不锈钢抽锁","五金备件/锁具","材质: 不锈钢；规格: 5寸","个"
"塑料扫把","REVIEW-MAT-00059","塑料扫把","清洁用品/清洁工具","材质: 塑料","个"
"40不锈钢挂锁","REVIEW-MAT-00060","不锈钢挂锁","五金备件/锁具","材质: 不锈钢；规格: 40","个"
"高粱扫把","REVIEW-MAT-00061","高粱扫把","清洁用品/清洁工具","材质/类型: 高粱","把"
"加厚PVC地板胶","REVIEW-MAT-00062","PVC地板胶","装修材料/地面材料","材质: PVC；特征: 加厚","平方"
"厚环保墙布","REVIEW-MAT-00063","环保墙布","装修材料/墙面材料","特征: 厚、环保","平方"
"6.5升不锈钢水壶","REVIEW-MAT-00064","不锈钢水壶","办公生活用品/小电器","材质: 不锈钢；容量: 6.5升","个"
"锂电池电钻","REVIEW-MAT-00065","锂电池电钻","工具器具/电动工具","动力: 锂电池","台"
"水桶","REVIEW-MAT-00066","水桶","办公生活用品/容器","类型: 水桶","个"
"水龙头花洒","REVIEW-MAT-00067","水龙头花洒套装","工程材料/水暖五金","类型: 水龙头+花洒","套"
"闭门器大","REVIEW-MAT-00068","闭门器","五金备件/门窗五金","规格: 大","套"
"不锈钢插销","REVIEW-MAT-00069","不锈钢插销","五金备件/门窗五金","材质: 不锈钢","套"
"水龙头","REVIEW-MAT-00070","水龙头","工程材料/水暖五金","类型: 水龙头","个"
"公牛16A空调插座","REVIEW-MAT-00071","空调插座","电气材料/插头插座","品牌: 公牛；电流: 16A；用途: 空调","个"
"16A公牛空调插座","REVIEW-MAT-00071","空调插座","电气材料/插头插座","品牌: 公牛；电流: 16A；用途: 空调","个"
"公牛插座3米*8孔","REVIEW-MAT-00072","插排","电气材料/插头插座","品牌: 公牛；线长: 3米；孔位: 8孔","个"
"启辉器","REVIEW-MAT-00073","启辉器","电气材料/照明配件","类型: 启辉器","个"
"螺口灯头","REVIEW-MAT-00074","螺口灯头","电气材料/照明配件","接口: 螺口","个"
"50*50排气扇","REVIEW-MAT-00075","排气扇","电气材料/通风设备","规格: 50*50","台"
"2P*63A施耐德漏电保护器","REVIEW-MAT-00076","漏电保护器","电气材料/低压电器","品牌: 施耐德；极数: 2P；电流: 63A","个"
"3P*63A施耐德空气开关","REVIEW-MAT-00077","空气开关","电气材料/低压电器","品牌: 施耐德；极数: 3P；电流: 63A","个"
"2米加厚不锈钢洗脸盆","REVIEW-MAT-00078","不锈钢洗脸盆","工程材料/洁具","材质: 不锈钢；长度: 2米；特征: 加厚","台"
"大弯水龙头","REVIEW-MAT-00079","大弯水龙头","工程材料/水暖五金","类型: 大弯","个"
"洗脸盆下水管","REVIEW-MAT-00080","洗脸盆下水管","工程材料/洁具配件","用途: 洗脸盆；类型: 下水管","套"
"大包沙子","REVIEW-MAT-00081","沙子","建筑材料/水泥砂石","包装: 大包","包"
"大包石子","REVIEW-MAT-00082","石子","建筑材料/水泥砂石","包装: 大包","包"
"双重帆布手套","REVIEW-MAT-00083","帆布手套","劳保耗材/手套","类型: 双重/双层帆布","双"
"铜挂锁","REVIEW-MAT-00084","铜挂锁","五金备件/锁具","材质: 铜","个"
"扫把","REVIEW-MAT-00085","扫把","清洁用品/清洁工具","类型: 扫把","个"
"找断点电笔","REVIEW-MAT-00086","断点检测电笔","工具器具/电工工具","功能: 找断点/测电","个"
"世达多功能剥线钳","REVIEW-MAT-00087","多功能剥线钳","工具器具/手动工具","品牌: 世达；类型: 多功能剥线钳","个"
"4分冷热水龙头","REVIEW-MAT-00088","冷热水龙头","工程材料/水暖五金","规格: 4分；类型: 冷热","个"
"公元25PPR过桥弯","REVIEW-MAT-00089","PPR过桥弯","工程材料/PPR管件","品牌: 公元；规格: 25；类型: 过桥弯","个"
"PPR32*25大小头","REVIEW-MAT-00090","PPR异径直接","工程材料/PPR管件","规格: 32*25；类型: 大小头/异径","个"
"3*6+1起帆电缆","REVIEW-MAT-00091","电缆","电气材料/电线电缆","品牌: 起帆；规格: 3*6+1","米"
"100A铜鼻子","REVIEW-MAT-00092","铜鼻子","电气材料/接线端子","规格: 100A；材质: 铜","个"
"200A铜鼻子","REVIEW-MAT-00093","铜鼻子","电气材料/接线端子","规格: 200A；材质: 铜","个"
"大垃圾袋","REVIEW-MAT-00094","垃圾袋","清洁用品/垃圾袋","规格: 大","个"
"打磨眼镜","REVIEW-MAT-00095","防护眼镜","劳保耗材/眼面防护","用途: 打磨","个"
"25PPR三通","REVIEW-MAT-00096","PPR三通","工程材料/PPR管件","规格: 25；类型: 三通","个"
"PPR25*4内牙弯头","REVIEW-MAT-00097","PPR内牙弯头","工程材料/PPR管件","规格: PPR25*4分；连接: 内牙；类型: 弯头","个"
"4*4*0.5镀锌角铁","REVIEW-MAT-00098","镀锌角铁","金属材料/型材","材质/表面: 镀锌；规格: 4*4*0.5","米"
"4寸羊毛刷","REVIEW-MAT-00099","羊毛刷","工具器具/涂装工具","规格: 4寸","个"
"公元75三通","REVIEW-MAT-00100","三通","工程材料/排水管件","品牌: 公元；规格: 75；类型: 三通","个"
"公元75*50补心","REVIEW-MAT-00101","补心","工程材料/排水管件","品牌: 公元；规格: 75*50；类型: 补心/异径","个"
"公元75弯头","REVIEW-MAT-00102","弯头","工程材料/排水管件","品牌: 公元；规格: 75；类型: 弯头","个"
"公元50三通","REVIEW-MAT-00103","三通","工程材料/排水管件","品牌: 公元；规格: 50；类型: 三通","个"
"公元50弯头","REVIEW-MAT-00104","弯头","工程材料/排水管件","品牌: 公元；规格: 50；类型: 弯头","个"
"公元75*50三通","REVIEW-MAT-00105","异径三通","工程材料/排水管件","品牌: 公元；规格: 75*50；类型: 三通","个"
"80公分金属软管","REVIEW-MAT-00106","金属软管","工程材料/水暖五金","长度: 80公分；材质: 金属","个"
"40公分金属软管","REVIEW-MAT-00107","金属软管","工程材料/水暖五金","长度: 40公分；材质: 金属","个"
"生料带","REVIEW-MAT-00108","生料带","工程材料/水暖辅材","类型: 密封带","个"
"公元25PPR阀门","REVIEW-MAT-00109","PPR阀门","工程材料/PPR管件","品牌: 公元；规格: 25；类型: 阀门","个"
"记号笔","REVIEW-MAT-00110","记号笔","办公低耗/文具","类型: 记号笔","个"
"25PPR弯头","REVIEW-MAT-00111","PPR弯头","工程材料/PPR管件","规格: 25；类型: 弯头","个"
"4寸羊毛刷","REVIEW-MAT-00112","羊毛刷","工具器具/涂装工具","规格: 4寸","支"
"6厘冲击钻头","REVIEW-MAT-00113","冲击钻头","工具器具/工具配件","规格: 6厘","支"
"20厘冲击钻头","REVIEW-MAT-00114","冲击钻头","工具器具/工具配件","规格: 20厘","支"
"得力美工刀","REVIEW-MAT-00115","美工刀","工具器具/手动工具","品牌: 得力","支"
"玻璃刮","REVIEW-MAT-00116","玻璃刮","清洁用品/清洁工具","类型: 玻璃刮","支"
"14*120膨胀螺丝","REVIEW-MAT-00117","膨胀螺丝","五金备件/紧固件","规格: 14*120","支"
"不锈钢120*80加厚洗脸盆","REVIEW-MAT-00118","不锈钢洗脸盆","工程材料/洁具","材质: 不锈钢；规格: 120*80；特征: 加厚","套"
"德力西16A插头","REVIEW-MAT-00119","插头","电气材料/插头插座","品牌: 德力西；电流: 16A","个"
"BV2.5平方电线","REVIEW-MAT-00120","BV电线","电气材料/电线电缆","型号: BV；截面积: 2.5平方","米"
"32PPR给水管","REVIEW-MAT-00121","PPR给水管","工程材料/PPR管件","规格: 32；用途: 给水","米"
"32埃美柯铜止回阀","REVIEW-MAT-00122","铜止回阀","工程材料/阀门","品牌: 埃美柯；材质: 铜；规格: 32；类型: 止回阀","个"
"平面蹲厕","REVIEW-MAT-00123","蹲便器","工程材料/洁具","类型: 平面蹲厕","个"
"冲水水箱","REVIEW-MAT-00124","冲水水箱","工程材料/洁具配件","用途: 冲水","个"
"小便斗","REVIEW-MAT-00125","小便斗","工程材料/洁具","类型: 小便斗","个"
"按压龙头","REVIEW-MAT-00126","按压水龙头","工程材料/水暖五金","类型: 按压","个"
"玻璃胶枪","REVIEW-MAT-00127","玻璃胶枪","工具器具/涂装工具","用途: 打玻璃胶","个"
"加工100*108*5钢圈","REVIEW-MAT-00128","钢圈","加工件/金属加工件","材质: 钢；规格: 100*108*5；加工: 是","个"
"宝雅重油污清洗剂","REVIEW-MAT-00129","重油污清洗剂","清洁用品/清洁剂","品牌: 宝雅；用途: 重油污","KG"
"4分不锈钢角阀","REVIEW-MAT-00130","不锈钢角阀","工程材料/阀门","规格: 4分；材质: 不锈钢","个"
"4分不锈钢内接","REVIEW-MAT-00131","不锈钢内接","工程材料/水暖管件","规格: 4分；材质: 不锈钢；连接: 内接","个"
"4分不锈钢外接","REVIEW-MAT-00132","不锈钢外接","工程材料/水暖管件","规格: 4分；材质: 不锈钢；连接: 外接","个"
"4分不锈钢三通","REVIEW-MAT-00133","不锈钢三通","工程材料/水暖管件","规格: 4分；材质: 不锈钢；类型: 三通","个"
"大拖把","REVIEW-MAT-00134","拖把","清洁用品/清洁工具","规格: 大","个"
"洗脸盆龙头","REVIEW-MAT-00135","洗脸盆龙头","工程材料/水暖五金","用途: 洗脸盆","个"
"不锈钢锁扣","REVIEW-MAT-00136","不锈钢锁扣","五金备件/门窗五金","材质: 不锈钢","个"
"998高强度耐磨焊丝","REVIEW-MAT-00137","耐磨焊丝","焊接耗材/焊丝","型号/牌号: 998；特性: 高强度耐磨","KG"
"DN25国标镀锌钢管","REVIEW-MAT-00138","镀锌钢管","金属材料/管材","规格: DN25；标准: 国标；表面: 镀锌","米"
"DN25*4高压油管","REVIEW-MAT-00139","高压油管","液压/高压管路","规格: DN25*4；类型: 高压油管","条"
"25埃美柯铜止回阀","REVIEW-MAT-00140","铜止回阀","工程材料/阀门","品牌: 埃美柯；规格: 25；材质: 铜；类型: 止回阀","个"
"泡沫填缝剂","REVIEW-MAT-00141","泡沫填缝剂","化工耗材/填缝剂","类型: 泡沫填缝剂","支"
"135重型管卡","REVIEW-MAT-00142","重型管卡","工程材料/管道辅材","规格: 135；类型: 重型","个"
"加工100*110*10钢圈","REVIEW-MAT-00143","钢圈","加工件/金属加工件","材质: 钢；规格: 100*110*10；加工: 是","个"
"加工110*100*5垫片","REVIEW-MAT-00144","垫片","加工件/金属加工件","规格: 110*100*5；加工: 是","个"
"50*50*6国标角铁","REVIEW-MAT-00145","角铁","金属材料/型材","规格: 50*50*6；标准: 国标","米"
"4分冷热龙头","REVIEW-MAT-00146","冷热水龙头","工程材料/水暖五金","规格: 4分；类型: 冷热","套"
"4分*60金属软管","REVIEW-MAT-00147","金属软管","工程材料/水暖五金","规格: 4分；长度: 60","根"
"6寸不锈钢合页","REVIEW-MAT-00148","不锈钢合页","五金备件/门窗五金","材质: 不锈钢；规格: 6寸","付"
"5寸不锈钢合页","REVIEW-MAT-00149","不锈钢合页","五金备件/门窗五金","材质: 不锈钢；规格: 5寸","付"
"502胶水","REVIEW-MAT-00150","502胶水","化工耗材/胶粘剂","类型: 502","支"
"DN20*350kg高压铜球阀","REVIEW-MAT-00151","高压铜球阀","工程材料/阀门","规格: DN20；压力: 350kg；材质: 铜；类型: 球阀","个"
"大块棉布","REVIEW-MAT-00152","棉布","劳保耗材/擦拭材料","规格: 大块","KG"
"垃圾夹","REVIEW-MAT-00153","垃圾夹","清洁用品/清洁工具","类型: 垃圾夹","个"
"250A电箱","REVIEW-MAT-00154","电箱","电气材料/配电箱","规格: 250A","个"
"五孔插座","REVIEW-MAT-00155","五孔插座","电气材料/插头插座","类型: 五孔","个"
"30*15线槽","REVIEW-MAT-00156","线槽","电气材料/电气辅材","规格: 30*15","米"
"DN51*4SH高压油管","REVIEW-MAT-00157","高压油管","液压/高压管路","规格: DN51；等级: 4SH","米"
"DN32*4SH高压油管","REVIEW-MAT-00158","高压油管","液压/高压管路","规格: DN32；等级: 4SH","米"
"2T*1.5米吊带","REVIEW-MAT-00159","吊带","吊装索具/吊带","载荷: 2T；长度: 1.5米","付"
"2T卸扣","REVIEW-MAT-00160","卸扣","吊装索具/卸扣","载荷: 2T","个"
"剪刀","REVIEW-MAT-00161","剪刀","工具器具/手动工具","类型: 剪刀","个"
"35-50电焊快速接头","REVIEW-MAT-00162","电焊快速接头","焊接耗材/焊机配件","规格: 35-50","套"
"4寸加厚铁合页","REVIEW-MAT-00163","加厚铁合页","五金备件/门窗五金","材质: 铁；规格: 4寸；特征: 加厚","付"
"5寸加厚铁合页","REVIEW-MAT-00164","加厚铁合页","五金备件/门窗五金","材质: 铁；规格: 5寸；特征: 加厚","付"
"得力3米卷尺","REVIEW-MAT-00165","卷尺","工具器具/测量工具","品牌: 得力；长度: 3米","个"
"得力5米卷尺","REVIEW-MAT-00166","卷尺","工具器具/测量工具","品牌: 得力；长度: 5米","个"
"得力10米卷尺","REVIEW-MAT-00167","卷尺","工具器具/测量工具","品牌: 得力；长度: 10米","个"
"得力500ML除胶剂","REVIEW-MAT-00168","除胶剂","化工耗材/清洗剂","品牌: 得力；容量: 500ML","支"
"120*140厚垃圾袋","REVIEW-MAT-00169","垃圾袋","清洁用品/垃圾袋","规格: 120*140；特征: 厚","个"
"公牛220V转36VUSB插座","REVIEW-MAT-00170","变压USB插座","电气材料/插头插座","品牌: 公牛；输入: 220V；输出: 36V；功能: USB","套"
"3寸毛刷","REVIEW-MAT-00171","毛刷","工具器具/涂装工具","规格: 3寸","支"
"刀型钢丝刷","REVIEW-MAT-00172","钢丝刷","工具器具/打磨工具","类型: 刀型","支"
"大拖把","REVIEW-MAT-00173","拖把","清洁用品/清洁工具","规格: 大","支"
"21V大艺锂电池电钻","REVIEW-MAT-00174","锂电池电钻","工具器具/电动工具","品牌: 大艺；电压: 21V；动力: 锂电池","台"
"大艺锂电池角磨机","REVIEW-MAT-00175","锂电池角磨机","工具器具/电动工具","品牌: 大艺；动力: 锂电池","台"
"9V电池","REVIEW-MAT-00176","电池","电气材料/电池","电压: 9V","个"
"4T卸扣","REVIEW-MAT-00177","卸扣","吊装索具/卸扣","载荷: 4T","个"
"16*50螺丝","REVIEW-MAT-00178","螺丝","五金备件/紧固件","规格: 16*50","套"
"1220MMLED防爆机床方形灯","REVIEW-MAT-00179","LED防爆机床方形灯","电气材料/防爆照明","长度: 1220MM；类型: LED；功能: 防爆；形状: 方形；用途: 机床","套"
"14*50螺丝","REVIEW-MAT-00180","螺丝","五金备件/紧固件","规格: 14*50","套"
"6.5吨国标弓形卸扣","REVIEW-MAT-00181","弓形卸扣","吊装索具/卸扣","载荷: 6.5吨；标准: 国标；形状: 弓形","个"
"热水器挂钩","REVIEW-MAT-00182","热水器挂钩","工程材料/水暖五金","用途: 热水器","个"
"50*50排风扇","REVIEW-MAT-00183","排风扇","电气材料/通风设备","规格: 50*50","个"
"加厚50CM塑料方凳","REVIEW-MAT-00184","塑料方凳","办公生活用品/家具","材质: 塑料；规格: 50CM；特征: 加厚","个"
"250不锈钢弯头","REVIEW-MAT-00185","不锈钢弯头","工程材料/管件","材质: 不锈钢；规格: 250；类型: 弯头","个"
"雨虹高倍发泡胶","REVIEW-MAT-00186","发泡胶","化工耗材/填缝剂","品牌: 雨虹；特性: 高倍","支"
"去重油污清洗剂","REVIEW-MAT-00187","重油污清洗剂","清洁用品/清洁剂","用途: 去重油污","公斤"
"5号电池","REVIEW-MAT-00188","电池","电气材料/电池","规格: 5号","个"
"电焊眼镜","REVIEW-MAT-00189","电焊眼镜","劳保耗材/眼面防护","用途: 电焊","付"
"19内六角扳手","REVIEW-MAT-00190","内六角扳手","工具器具/手动工具","规格: 19","支"
"P80等离子割嘴","REVIEW-MAT-00191","等离子割嘴","焊接耗材/等离子切割配件","型号: P80；类型: 割嘴","个"
"200B槽钢","REVIEW-MAT-00192","槽钢","金属材料/型材","规格: 200B","米"
"160B槽钢","REVIEW-MAT-00193","槽钢","金属材料/型材","规格: 160B","米"
"水泥砖","REVIEW-MAT-00194","水泥砖","建筑材料/砌块砖","材质: 水泥","块"
"砖刀","REVIEW-MAT-00195","砖刀","工具器具/施工工具","用途: 砌砖/切砖","个"
"灰刀","REVIEW-MAT-00196","灰刀","工具器具/施工工具","用途: 抹灰","个"
"防水网线接头连接","REVIEW-MAT-00197","防水网线接头","电气材料/弱电材料","功能: 防水；用途: 网线连接","个"
"WD-40500防锈润滑剂","REVIEW-MAT-00198","防锈润滑剂","化工耗材/润滑防锈","品牌/型号: WD-40；容量: 500","支"
"8*250螺丝","REVIEW-MAT-00199","螺丝","五金备件/紧固件","规格: 8*250","套"
"铁红油漆","REVIEW-MAT-00200","调和油漆","化工耗材/涂料","颜色: 铁红","桶"
"公牛20WLED灯泡","REVIEW-MAT-00201","LED灯泡","电气材料/照明","品牌: 公牛；功率: 20W","个"
"507*3.2焊条","REVIEW-MAT-00202","焊条","焊接耗材/焊条","型号: 507；直径: 3.2","件"
"DN65埃美柯加厚蝶阀","REVIEW-MAT-00203","加厚蝶阀","工程材料/阀门","品牌: 埃美柯；规格: DN65；特征: 加厚","个"
"DN65埃美柯加厚不锈钢球阀","REVIEW-MAT-00204","加厚不锈钢球阀","工程材料/阀门","品牌: 埃美柯；规格: DN65；材质: 不锈钢；特征: 加厚","个"
"40埃美柯加厚不锈钢球阀","REVIEW-MAT-00205","加厚不锈钢球阀","工程材料/阀门","品牌: 埃美柯；规格: 40；材质: 不锈钢；特征: 加厚","个"
"白色调和油漆","REVIEW-MAT-00206","调和油漆","化工耗材/涂料","颜色: 白色；类型: 调和油漆","桶"
"12*30米彩条布","REVIEW-MAT-00207","彩条布","工程材料/篷布油布","规格: 12*30米","平方"
"400A4P德力西漏电保护器","REVIEW-MAT-00208","漏电保护器","电气材料/低压电器","品牌: 德力西；电流: 400A；极数: 4P","个"
"250A4P德力西漏电保护器","REVIEW-MAT-00209","漏电保护器","电气材料/低压电器","品牌: 德力西；电流: 250A；极数: 4P","个"
"太阳能4G4K摄像头","REVIEW-MAT-00210","太阳能4G摄像头","电气材料/安防监控","供电: 太阳能；通信: 4G；清晰度: 4K","个"
"定做不锈钢名牌120*60","REVIEW-MAT-00211","不锈钢名牌","定制件/标识铭牌","定制: 是；材质: 不锈钢；规格: 120*60","个"
"定做不锈钢名牌100*80","REVIEW-MAT-00212","不锈钢名牌","定制件/标识铭牌","定制: 是；材质: 不锈钢；规格: 100*80","个"
"定做不锈钢名牌30*60","REVIEW-MAT-00213","不锈钢名牌","定制件/标识铭牌","定制: 是；材质: 不锈钢；规格: 30*60","个"
"热水器隔电堵","REVIEW-MAT-00214","热水器隔电堵","工程材料/水暖五金","用途: 热水器；功能: 隔电","个"
"热水器安全阀","REVIEW-MAT-00215","热水器安全阀","工程材料/阀门","用途: 热水器；类型: 安全阀","个"
"水龙头花洒","REVIEW-MAT-00216","水龙头花洒套装","工程材料/水暖五金","类型: 水龙头+花洒","个"
"三和黄色喷漆","REVIEW-MAT-00217","喷漆","化工耗材/涂料","品牌: 三和；颜色: 黄色","支"
"三和天蓝色喷漆","REVIEW-MAT-00218","喷漆","化工耗材/涂料","品牌: 三和；颜色: 天蓝色","支"
"高粱小扫把","REVIEW-MAT-00219","高粱扫把","清洁用品/清洁工具","材质: 高粱；规格: 小","个"
"加厚双层帆布手套","REVIEW-MAT-00220","帆布手套","劳保耗材/手套","特征: 加厚、双层","双"
"8*30螺丝","REVIEW-MAT-00221","螺丝","五金备件/紧固件","规格: 8*30","套"
"16*30螺丝","REVIEW-MAT-00222","螺丝","五金备件/紧固件","规格: 16*30","套"
"12*60螺丝","REVIEW-MAT-00223","螺丝","五金备件/紧固件","规格: 12*60","套"
"40好不锈钢挂锁","REVIEW-MAT-00224","不锈钢挂锁","五金备件/锁具","材质: 不锈钢；规格: 40；品质: 好","个"
"40好不锈钢通用挂锁","REVIEW-MAT-00225","不锈钢通用挂锁","五金备件/锁具","材质: 不锈钢；规格: 40；品质: 好；类型: 通用","个"
"12*50螺丝","REVIEW-MAT-00226","螺丝","五金备件/紧固件","规格: 12*50","套"
"100切割片","REVIEW-MAT-00227","切割片","工具器具/磨切耗材","规格: 100","块"
"100磨光片","REVIEW-MAT-00228","磨光片","工具器具/磨切耗材","规格: 100","块"
"加厚乳胶手套","REVIEW-MAT-00229","乳胶手套","劳保耗材/手套","材质: 乳胶；特征: 加厚","双"
"牛筋加厚手套","REVIEW-MAT-00230","牛筋手套","劳保耗材/手套","材质/类型: 牛筋；特征: 加厚","双"
"透明防护眼镜","REVIEW-MAT-00231","防护眼镜","劳保耗材/眼面防护","颜色: 透明","付"
"美工刀","REVIEW-MAT-00232","美工刀","工具器具/手动工具","类型: 美工刀","支"
"高压水枪过滤总成","REVIEW-MAT-00233","高压水枪过滤总成","设备备件/清洗设备配件","适用设备: 高压水枪；类型: 过滤总成","套"
"高压水枪滤芯","REVIEW-MAT-00234","高压水枪滤芯","设备备件/滤芯","适用设备: 高压水枪；类型: 滤芯","个"
