merged_item_code,standard_name,reviewed_group_paths,canonical_group_path,specs,unit,source_count,source_statuses,alias_names,source_rows,notes,merged_from_codes,merge_reason,merge_confidence,needs_human_review,import_ready,resolution_status,resolution_reason,related_conflict_types,blocking_conflict_types
REVIEW-MAT-00715,PPR管卡,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 卡扣/管卡,个,1,可建档,公元ppr25卡扣,Sheet1:1312,卡扣/管卡叫法需统一,REVIEW-MAT-00715,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00871,开口/梅花扳手,工具/手动工具,工具器具/手动工具/通用手动工具,规格: 42号,支,1,可建档,42号扳手,Sheet1:1542,类型开口/梅花/两用需确认,REVIEW-MAT-00871,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00872,开口/梅花扳手,工具/手动工具,工具器具/手动工具/通用手动工具,规格: 12号,支,1,可建档,12号扳手,Sheet1:1543,类型开口/梅花/两用需确认,REVIEW-MAT-00872,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00873,开口/梅花扳手,工具/手动工具,工具器具/手动工具/通用手动工具,规格: 19号,支,1,可建档,19号扳手,Sheet1:1544,类型开口/梅花/两用需确认,REVIEW-MAT-00873,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00897,传动皮带,备品备件/传动件,设备备件与加工件/传动轴承/传动轴承,型号: BLI1753,条,1,可建档,Bli1753皮带,Sheet1:1576,型号大小写/皮带类型需确认,REVIEW-MAT-00897,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00929,电磁阀,气动元件/阀,液压气动/气动元件/接头阀管,型号: 4M210L-8,个,1,可建档,4M210L-8电磁阀,Sheet1:1624,电压/位通数可由型号解析但需确认,REVIEW-MAT-00929,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00942,固定扳手,工具/手动工具,工具器具/手动工具/通用手动工具,品牌: 世达；规格: 24号,个,1,可建档,24世达固定扳手,Sheet1:1638,开口/梅花/两用需确认,REVIEW-MAT-00942,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00954,气动阀,气动元件/阀,液压气动/气动元件/接头阀管,型号: APL-210V,个,1,可建档,APL-210V气动阀,Sheet1:1658,阀门类型/电压或限位开关属性需确认,REVIEW-MAT-00954,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00963,扳手,工具/手动工具,工具器具/手动工具/通用手动工具,品牌: 世达；规格: 13号,个,1,可建档,13号世达扳手,Sheet1:1670,类型开口/梅花/两用需确认,REVIEW-MAT-00963,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00973,垫片,紧固件/垫圈,紧固件/螺纹紧固件/螺母垫圈,规格: M10,个,1,可建档,M10垫片,Sheet1:1682,平垫/弹垫/材质需确认,REVIEW-MAT-00973,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00998,铜头铝合金夹,液压/高压管路,液压气动/液压管路/高压胶管,规格: 80；组成: 铜头、铝合金夹,个,1,可合并,80铜头铝合金夹,Sheet1:1715,与1654同类，连接形式需确认,REVIEW-MAT-00998,single_candidate;source_status_contains_merge,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-01012,传动皮带,备品备件/传动件,设备备件与加工件/传动轴承/传动轴承,型号: XPL2800,个,1,可建档,XPL2800皮带,Sheet1:1729,单位建议条，皮带类型需确认,REVIEW-MAT-01012,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-01013,传动皮带,备品备件/传动件,设备备件与加工件/传动轴承/传动轴承,型号: XPL2650,个,1,可建档,XPL2650皮带,Sheet1:1730,单位建议条，皮带类型需确认,REVIEW-MAT-01013,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-01177,机油,化工耗材/润滑油,化工油漆胶粘/油品化学品/润滑油脂,品牌: 道达尔；牌号: 46#；包装: 20L,桶,1,可建档,道达尔46#机油20升,Sheet1:1962,系列型号/油品类型需确认,REVIEW-MAT-01177,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-01243,传动皮带,备品备件/传动件,设备备件与加工件/传动轴承/传动轴承,型号: 1041,支,1,可建档,皮带1041,Sheet1:2055,皮带类型/单位建议条,REVIEW-MAT-01243,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-01261,垫片,紧固件/垫圈,紧固件/螺纹紧固件/螺母垫圈,规格: M27,个,1,可建档,M27垫片,Sheet1:2077,平垫/弹垫/材质需确认,REVIEW-MAT-01261,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-01412,垫片,紧固件/垫圈,紧固件/螺纹紧固件/螺母垫圈,规格: M30,个,2,可合并 | 可建档,30垫片,Sheet1:2297；Sheet1:2303,平垫/弹垫/材质需确认 | 与2297同类，平垫/弹垫需确认,REVIEW-MAT-01412,single_candidate;source_status_contains_merge,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-01471,不锈钢骑马卡,定制件/管夹卡箍,设备备件与加工件/金属加工件/金属加工件,定制: 是；规格: 36；材质: 不锈钢；厚度/螺纹: 36*2.0,个,1,可建档-定制件,订制36不锈钢骑马卡36*2.0,Sheet1:2374,图纸/用途/尺寸口径需确认,REVIEW-MAT-01471,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-01703,漆刷,涂装工具/刷子,工具器具/涂装工具/刷辊喷涂,规格: 3寸；用途: 涂漆,把,1,可合并,漆刷3寸,Sheet1:2724,与羊毛刷3寸可能同类，刷毛材质需确认,REVIEW-MAT-01703,single_candidate;source_status_contains_merge,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-02296,塑壳断路器,电气/断路器,电气与自动化/低压电器/断路器,品牌: 常熟；型号: CM3E-630-3300,个,1,可建档,常熟断路器CM3E-630-3300,Sheet1:3568,极数/额定电流脱扣参数需确认,REVIEW-MAT-02296,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
