conflict_type,standard_name,canonical_group_path,unit_values,specs_values,candidate_codes,source_rows,reason
specs_conflict,铁丝,五金备件/其他/金属丝材,KG；公斤,规格: 12号 || 规格: 14号 || 规格: 12# || 规格: 14#,REVIEW-MAT-00259；REVIEW-MAT-00260；REVIEW-MAT-00357；REVIEW-MAT-00358；REVIEW-MAT-00551,Sheet1:444；Sheet1:445；Sheet1:623；Sheet1:624；Sheet1:774；Sheet1:894；Sheet1:895；Sheet1:999,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
unit_conflict,铁丝,五金备件/其他/金属丝材,KG；公斤,规格: 14号,REVIEW-MAT-00260；REVIEW-MAT-00551,Sheet1:445；Sheet1:895；Sheet1:999,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。
low_precision_conflict,铁丝,五金备件/其他/金属丝材,KG；公斤,规格: 12号 || 规格: 14号 || 规格: 12# || 规格: 14#,REVIEW-MAT-00259；REVIEW-MAT-00260；REVIEW-MAT-00357；REVIEW-MAT-00358；REVIEW-MAT-00551,Sheet1:444；Sheet1:445；Sheet1:623；Sheet1:624；Sheet1:774；Sheet1:894；Sheet1:895；Sheet1:999,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
specs_conflict,黑扎丝,五金备件/其他/金属丝材,米,直径: 1mm；颜色: 黑色 || 直径: 2mm；颜色: 黑色,REVIEW-MAT-00533；REVIEW-MAT-00534,Sheet1:951；Sheet1:952,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,不锈钢合页,五金备件/其他/门窗五金,套；付；副,材质: 不锈钢；规格: 4寸 || 材质: 不锈钢；规格: 6寸 || 材质: 不锈钢；规格: 5寸 || 规格: 110；材质: 不锈钢 || 材质: 不锈钢；类型: 合页,REVIEW-MAT-00024；REVIEW-MAT-00148；REVIEW-MAT-00149；REVIEW-MAT-00740；REVIEW-MAT-01934,Sheet1:1362；Sheet1:261；Sheet1:262；Sheet1:3070；Sheet1:39；Sheet1:58,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
low_precision_conflict,不锈钢合页,五金备件/其他/门窗五金,套；付；副,材质: 不锈钢；规格: 4寸 || 材质: 不锈钢；规格: 6寸 || 材质: 不锈钢；规格: 5寸 || 规格: 110；材质: 不锈钢 || 材质: 不锈钢；类型: 合页,REVIEW-MAT-00024；REVIEW-MAT-00148；REVIEW-MAT-00149；REVIEW-MAT-00740；REVIEW-MAT-01934,Sheet1:1362；Sheet1:261；Sheet1:262；Sheet1:3070；Sheet1:39；Sheet1:58,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
unit_conflict,不锈钢插销,五金备件/其他/门窗五金,个；套,材质: 不锈钢,REVIEW-MAT-00052；REVIEW-MAT-00069,Sheet1:107；Sheet1:82,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。
low_precision_conflict,不锈钢插销,五金备件/其他/门窗五金,个；套,材质: 不锈钢,REVIEW-MAT-00052；REVIEW-MAT-00069,Sheet1:107；Sheet1:82,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
specs_conflict,加厚铁合页,五金备件/其他/门窗五金,付,材质: 铁；规格: 4寸；特征: 加厚 || 材质: 铁；规格: 5寸；特征: 加厚,REVIEW-MAT-00163；REVIEW-MAT-00164,Sheet1:296；Sheet1:297,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,插销,五金备件/其他/门窗五金,付；套,规格: 4寸 || 规格: 300；类型: 插销,REVIEW-MAT-00056；REVIEW-MAT-01809,Sheet1:2885；Sheet1:87,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,闭门器,五金备件/其他/门窗五金,套；个,规格: 大 || 规格: 大号,REVIEW-MAT-00068；REVIEW-MAT-00378,Sheet1:106；Sheet1:657,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,不锈钢挂锁,五金备件/门锁锁具/门锁锁具,个；把,材质: 不锈钢；规格: 50 || 材质: 不锈钢；规格: 40 || 材质: 不锈钢；规格: 40；品质: 好 || 规格: 40；材质: 不锈钢；类型: 通用挂锁 || 规格: 40；材质: 不锈钢 || 材质: 不锈钢；类型: 挂锁,REVIEW-MAT-00051；REVIEW-MAT-00060；REVIEW-MAT-00224；REVIEW-MAT-01705；REVIEW-MAT-01807；REVIEW-MAT-01823；REVIEW-MAT-02009,Sheet1:2727；Sheet1:2882；Sheet1:2909；Sheet1:3167；Sheet1:396；Sheet1:81；Sheet1:91,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
unit_conflict,不锈钢挂锁,五金备件/门锁锁具/门锁锁具,个；把,材质: 不锈钢；规格: 40 || 规格: 40；材质: 不锈钢,REVIEW-MAT-00060；REVIEW-MAT-01807；REVIEW-MAT-02009,Sheet1:2882；Sheet1:3167；Sheet1:91,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。
low_precision_conflict,不锈钢挂锁,五金备件/门锁锁具/门锁锁具,个；把,材质: 不锈钢；规格: 50 || 材质: 不锈钢；规格: 40 || 材质: 不锈钢；规格: 40；品质: 好 || 规格: 40；材质: 不锈钢；类型: 通用挂锁 || 规格: 40；材质: 不锈钢 || 材质: 不锈钢；类型: 挂锁,REVIEW-MAT-00051；REVIEW-MAT-00060；REVIEW-MAT-00224；REVIEW-MAT-01705；REVIEW-MAT-01807；REVIEW-MAT-01823；REVIEW-MAT-02009,Sheet1:2727；Sheet1:2882；Sheet1:2909；Sheet1:3167；Sheet1:396；Sheet1:81；Sheet1:91,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
specs_conflict,不锈钢锁扣,五金备件/门锁锁具/门锁锁具,套,材质: 不锈钢；类型: 锁扣 || 材质: 不锈钢；用途: 外门；类型: 锁扣,REVIEW-MAT-01822；REVIEW-MAT-01937,Sheet1:2908；Sheet1:3074,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,万向脚轮,仓储物流/搬运设备/手推车叉车,只,类型: 万向轮 || 类型: 万向车轮,REVIEW-MAT-01730；REVIEW-MAT-01808,Sheet1:2761；Sheet1:2884,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,电流表,仪器仪表/其他/电气仪表,只,变比: 600/5A；类型: 电流表 || 品牌: 人民；型号: 6L2；变比: 600/5A,REVIEW-MAT-01560；REVIEW-MAT-01955,Sheet1:2528；Sheet1:3097,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,一次性口罩,劳保用品/其他/呼吸防护,个；只,类型: 一次性 || 类型: 一次性口罩,REVIEW-MAT-00243；REVIEW-MAT-01723,Sheet1:1015；Sheet1:2751；Sheet1:2887；Sheet1:423；Sheet1:826,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,创可贴,劳保用品/其他/急救用品,个；盒,品类: 创可贴 || 类型: 创可贴,REVIEW-MAT-01134；REVIEW-MAT-01728,Sheet1:1903；Sheet1:2759；Sheet1:3267,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
low_precision_conflict,创可贴,劳保用品/其他/急救用品,个；盒,品类: 创可贴 || 类型: 创可贴,REVIEW-MAT-01134；REVIEW-MAT-01728,Sheet1:1903；Sheet1:2759；Sheet1:3267,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
unit_conflict,拖把,劳保用品/其他/清洁工具,支；个,类型: 拖把,REVIEW-MAT-00607；REVIEW-MAT-00734,Sheet1:1108；Sheet1:1352,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。
specs_conflict,平光防护眼镜,劳保用品/其他/眼面防护,副；个,类型: 平镜/平光 || 颜色: 白色；镜片: 平光,REVIEW-MAT-00348；REVIEW-MAT-01032,Sheet1:1759；Sheet1:598,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,护目镜,劳保用品/其他/眼面防护,付,类型: 多功能护目眼镜 || 类型: 护目眼镜,REVIEW-MAT-01635；REVIEW-MAT-01863,Sheet1:2637；Sheet1:2970；Sheet1:3125,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,焊工眼镜,劳保用品/其他/眼面防护,付,用途: 焊工防护 || 用途: 电焊防护 || 用途: 电焊防护；颜色: 白色/灰色,REVIEW-MAT-01755；REVIEW-MAT-01976；REVIEW-MAT-02010,Sheet1:2795；Sheet1:3126；Sheet1:3168,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,电焊眼镜,劳保用品/其他/眼面防护,付；副,用途: 电焊 || 用途: 电焊防护,REVIEW-MAT-00189；REVIEW-MAT-00347,Sheet1:1334；Sheet1:338；Sheet1:595,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
low_precision_conflict,电焊眼镜,劳保用品/其他/眼面防护,付；副,用途: 电焊 || 用途: 电焊防护,REVIEW-MAT-00189；REVIEW-MAT-00347,Sheet1:1334；Sheet1:338；Sheet1:595,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
specs_conflict,防护眼镜,劳保用品/其他/眼面防护,个；付,用途: 打磨 || 颜色: 透明,REVIEW-MAT-00095；REVIEW-MAT-00231,Sheet1:151；Sheet1:403,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,油布,劳保用品/其他/覆盖防护,平方；m2,特征: 加厚 || 品类: 油布,REVIEW-MAT-00806；REVIEW-MAT-01036；REVIEW-MAT-01291,Sheet1:1458；Sheet1:1500；Sheet1:1650；Sheet1:1767；Sheet1:1803；Sheet1:1951；Sheet1:2112；Sheet1:2141,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
unit_conflict,油布,劳保用品/其他/覆盖防护,平方；m2,特征: 加厚,REVIEW-MAT-00806；REVIEW-MAT-01036,Sheet1:1458；Sheet1:1500；Sheet1:1650；Sheet1:1767；Sheet1:1803；Sheet1:1951；Sheet1:2141,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。
low_precision_conflict,油布,劳保用品/其他/覆盖防护,平方；m2,特征: 加厚 || 品类: 油布,REVIEW-MAT-00806；REVIEW-MAT-01036；REVIEW-MAT-01291,Sheet1:1458；Sheet1:1500；Sheet1:1650；Sheet1:1767；Sheet1:1803；Sheet1:1951；Sheet1:2112；Sheet1:2141,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
specs_conflict,雨鞋,劳保用品/其他/足部防护,双,品牌: 回力；特征: 厚底 || 品牌: 回力；类型: 雨鞋 || 品牌: 回力；特征: 加厚 || 品牌: 回力,REVIEW-MAT-00712；REVIEW-MAT-01031；REVIEW-MAT-01130；REVIEW-MAT-01237,Sheet1:1308；Sheet1:1757；Sheet1:1899；Sheet1:1969；Sheet1:2047,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,一次性雨衣,劳保用品/其他/雨具,套；件；个,类型: 一次性 || 类型: 一次性；特征: 加厚 || 类型: 一次性雨衣 || 特征: 加厚；类型: 一次性雨衣,REVIEW-MAT-00472；REVIEW-MAT-00813；REVIEW-MAT-01079；REVIEW-MAT-01138；REVIEW-MAT-01870；REVIEW-MAT-01941,Sheet1:1466；Sheet1:1829；Sheet1:1913；Sheet1:2978；Sheet1:3078；Sheet1:3103；Sheet1:825；Sheet1:885,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
unit_conflict,一次性雨衣,劳保用品/其他/雨具,件；套；个,类型: 一次性；特征: 加厚,REVIEW-MAT-00813；REVIEW-MAT-01079；REVIEW-MAT-01138,Sheet1:1466；Sheet1:1829；Sheet1:1913,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。
low_precision_conflict,一次性雨衣,劳保用品/其他/雨具,套；件；个,类型: 一次性 || 类型: 一次性；特征: 加厚 || 类型: 一次性雨衣 || 特征: 加厚；类型: 一次性雨衣,REVIEW-MAT-00472；REVIEW-MAT-00813；REVIEW-MAT-01079；REVIEW-MAT-01138；REVIEW-MAT-01870；REVIEW-MAT-01941,Sheet1:1466；Sheet1:1829；Sheet1:1913；Sheet1:2978；Sheet1:3078；Sheet1:3103；Sheet1:825；Sheet1:885,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
specs_conflict,布手套,劳保用品/手部防护/手套,双,特征: 加厚、双层 || 材质: 布；结构: 双层；特征: 加厚 || 材质: 布；特征: 加厚,REVIEW-MAT-00356；REVIEW-MAT-01294；REVIEW-MAT-01384,Sheet1:2120；Sheet1:2250；Sheet1:622,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
low_precision_conflict,布手套,劳保用品/手部防护/手套,双,特征: 加厚、双层 || 材质: 布；结构: 双层；特征: 加厚 || 材质: 布；特征: 加厚,REVIEW-MAT-00356；REVIEW-MAT-01294；REVIEW-MAT-01384,Sheet1:2120；Sheet1:2250；Sheet1:622,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
specs_conflict,帆布手套,劳保用品/手部防护/手套,双；付,类型: 双重/双层帆布 || 特征: 加厚、双层 || 材质: 帆布；特征: 加厚、双层 || 材质: 帆布；结构: 双层 || 材质: 帆布；结构: 双层；特征: 加厚 || 材质: 帆布,REVIEW-MAT-00083；REVIEW-MAT-00220；REVIEW-MAT-00634；REVIEW-MAT-01028；REVIEW-MAT-01052；REVIEW-MAT-01636；REVIEW-MAT-02321,Sheet1:1163；Sheet1:131；Sheet1:1754；Sheet1:1758；Sheet1:1794；Sheet1:2298；Sheet1:2638；Sheet1:2793；Sheet1:2814；Sheet1:2847；Sheet1:3022；Sheet1:3080；Sheet1:3098；Sheet1:3353；Sheet1:3408；Sheet1:3600；Sheet1:3641；Sheet1:384,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
low_precision_conflict,帆布手套,劳保用品/手部防护/手套,双；付,类型: 双重/双层帆布 || 特征: 加厚、双层 || 材质: 帆布；特征: 加厚、双层 || 材质: 帆布；结构: 双层 || 材质: 帆布；结构: 双层；特征: 加厚 || 材质: 帆布,REVIEW-MAT-00083；REVIEW-MAT-00220；REVIEW-MAT-00634；REVIEW-MAT-01028；REVIEW-MAT-01052；REVIEW-MAT-01636；REVIEW-MAT-02321,Sheet1:1163；Sheet1:131；Sheet1:1754；Sheet1:1758；Sheet1:1794；Sheet1:2298；Sheet1:2638；Sheet1:2793；Sheet1:2814；Sheet1:2847；Sheet1:3022；Sheet1:3080；Sheet1:3098；Sheet1:3353；Sheet1:3408；Sheet1:3600；Sheet1:3641；Sheet1:384,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
specs_conflict,焊工手套,劳保用品/手部防护/手套,双；付,用途: 电焊防护 || 特征: 加长；用途: 焊工 || 用途: 焊工防护,REVIEW-MAT-00377；REVIEW-MAT-00804；REVIEW-MAT-01864,Sheet1:1169；Sheet1:1456；Sheet1:2971；Sheet1:656,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,牛筋手套,劳保用品/手部防护/手套,双；付,材质/类型: 牛筋；特征: 加厚 || 材质/俗称: 牛筋,REVIEW-MAT-00230；REVIEW-MAT-01645,Sheet1:2649；Sheet1:2669；Sheet1:2794；Sheet1:402；Sheet1:572,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
low_precision_conflict,牛筋手套,劳保用品/手部防护/手套,双；付,材质/类型: 牛筋；特征: 加厚 || 材质/俗称: 牛筋,REVIEW-MAT-00230；REVIEW-MAT-01645,Sheet1:2649；Sheet1:2669；Sheet1:2794；Sheet1:402；Sheet1:572,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
specs_conflict,PET条码不干胶标签,包装与标识/胶带标签/标签碳带,卷,材质: 哑银PET；尺寸: 40mm*25mm；每卷: 1200张 || 材质: 哑银PET；尺寸: 30mm*10mm；每卷: 5000张,REVIEW-MAT-01744；REVIEW-MAT-01745,Sheet1:2781；Sheet1:2782,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,透明胶带,包装与标识/胶带标签/胶带,卷,宽度: 5mm；长度: 100米；颜色: 透明 || 品牌: 3M；颜色: 透明 || 颜色: 透明,REVIEW-MAT-00687；REVIEW-MAT-01729；REVIEW-MAT-01992,Sheet1:1258；Sheet1:2760；Sheet1:3143；Sheet1:3149,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
low_precision_conflict,透明胶带,包装与标识/胶带标签/胶带,卷,宽度: 5mm；长度: 100米；颜色: 透明 || 品牌: 3M；颜色: 透明 || 颜色: 透明,REVIEW-MAT-00687；REVIEW-MAT-01729；REVIEW-MAT-01992,Sheet1:1258；Sheet1:2760；Sheet1:3143；Sheet1:3149,低精度/缺规格项与高精度项同时存在；低精度项已保留 needs_human_review。
specs_conflict,吨袋,包装与标识/袋箱膜包装/袋箱膜,个,规格: 大号 || 承重/容量: 1.5吨,REVIEW-MAT-00258；REVIEW-MAT-00462,Sheet1:443；Sheet1:800；Sheet1:900,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,编织袋,包装与标识/袋箱膜包装/袋箱膜,个；条,类型: 编织袋 || 规格: 大号 || 规格: 小号 || 品类: 编织袋 || 规格: 大号；类型: 编织袋 || 尺寸: 0.8m*1.2m,REVIEW-MAT-00424；REVIEW-MAT-00508；REVIEW-MAT-00521；REVIEW-MAT-01238；REVIEW-MAT-02065；REVIEW-MAT-02138,Sheet1:1000；Sheet1:1006；Sheet1:1036；Sheet1:1037；Sheet1:2048；Sheet1:3238；Sheet1:3328；Sheet1:738；Sheet1:878；Sheet1:902；Sheet1:929；Sheet1:930；Sheet1:953；Sheet1:985,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,麻袋,包装与标识/袋箱膜包装/袋箱膜,个；条,尺寸: 70*100 || 规格: 大号；类型: 麻袋,REVIEW-MAT-00810；REVIEW-MAT-02066,Sheet1:1463；Sheet1:3239,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,油性聚氨酯,化工油漆胶粘/其他/堵漏材料,公斤；桶,类型: 油性；材料: 聚氨酯 || 类型: 油性；材料: 聚氨酯；包装: 10KG,REVIEW-MAT-01370；REVIEW-MAT-01542,Sheet1:2233；Sheet1:2461,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,聚氨酯堵漏剂,化工油漆胶粘/其他/堵漏材料,KG；桶,类型: 油性；材质: 聚氨酯 || 类型: 水性；材质: 聚氨酯 || 材料: 聚氨酯；用途: 堵漏；包装: 20KG,REVIEW-MAT-00515；REVIEW-MAT-00516；REVIEW-MAT-01769,Sheet1:1023；Sheet1:1024；Sheet1:1034；Sheet1:2818；Sheet1:915；Sheet1:916；Sheet1:975；Sheet1:976,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,防锈润滑剂,化工油漆胶粘/其他/润滑剂,瓶；支,品牌/型号: WD-40 || 品牌/型号: WD-40；功能: 除锈润滑 || 品牌/型号: WD-40；功能: 除锈 || 型号: DM40；功能: 防锈润滑,REVIEW-MAT-00776；REVIEW-MAT-00861；REVIEW-MAT-00883；REVIEW-MAT-01224,Sheet1:1420；Sheet1:1527；Sheet1:1555；Sheet1:2023,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,润滑脂,化工油漆胶粘/其他/润滑脂,桶；公斤,俗称: 黄油 || 品牌: 克虏伯；型号: NB52,REVIEW-MAT-00882；REVIEW-MAT-01381,Sheet1:1554；Sheet1:2246,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
specs_conflict,抗盐膨润土,化工油漆胶粘/其他/膨润土,T；吨,类型: 抗盐膨润土 || 特性: 抗盐,REVIEW-MAT-01510；REVIEW-MAT-01522；REVIEW-MAT-02327,Sheet1:2416；Sheet1:2429；Sheet1:2435；Sheet1:2438；Sheet1:2440；Sheet1:2441；Sheet1:2442；Sheet1:2443；Sheet1:2445；Sheet1:2446；Sheet1:2447；Sheet1:3319；Sheet1:3613,同一标准名称和规范分组下存在多个规格签名；已保守拆开，需人工确认是否为不同物料。
unit_conflict,抗盐膨润土,化工油漆胶粘/其他/膨润土,T；吨,类型: 抗盐膨润土,REVIEW-MAT-01510；REVIEW-MAT-01522,Sheet1:2416；Sheet1:2429；Sheet1:2435；Sheet1:2438；Sheet1:2440；Sheet1:2441；Sheet1:2442；Sheet1:2443；Sheet1:2445；Sheet1:2446；Sheet1:2447；Sheet1:3319,同一标准名称、规范分组和规格下存在非同义单位；未自动合并。
