draft_sku_id	draft_item_code	code_prefix	release_status	放行等级	标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	candidate_count	source_candidate_rows	source_file_rows	grade_counts	matched_category	import_decision	missing_specs	整理依据	dedupe_key
SKU-DRAFT-000019	ELEC-000017	ELEC	needs_missing_specs	C	BV电线	品牌：起帆；型号：BV；截面积：25平方		电气材料/电线电缆	米	起帆BV25平方电线	1	19	20	C:1	电气材料	do_not_import_missing_specs	颜色	颜色缺失，BV电线通常需按颜色区分SKU	bv电线|品牌:起帆|型号:bv|截面积:25平方|电气材料/电线电缆|米
SKU-DRAFT-000020	TOOL-000001	TOOL	ready	A	紧线器	额定载荷：1T		工具器具/电力工具	套	1T紧线器	1	20	21	A:1	工具器具	import_ready			紧线器|额定载荷:1t|工具器具/电力工具|套
SKU-DRAFT-000021	CONST-000001	CONST	needs_confirmation	B	木方	规格：4*9		建筑材料/模板木方	米	4*9木方	1	21	22	B:1	工程建材	confirm_then_import	材质；尺寸	输入规格单位未确认，按原4*9保留	木方|规格:4x9|建筑材料/模板木方|米
SKU-DRAFT-000022	CONST-000002	CONST	needs_confirmation	B	木方	规格：4*4		建筑材料/模板木方	米	4*4木方	1	22	23	B:1	工程建材	confirm_then_import	材质；尺寸	输入规格单位未确认，按原4*4保留	木方|规格:4x4|建筑材料/模板木方|米
SKU-DRAFT-000023	SPARE-000001	SPARE	ready	A	铁钉	长度：2寸		五金备件/紧固件	斤	2寸铁钉	1	23	24	A:1	设备备件与加工件	import_ready			铁钉|长度:2寸|五金备件/紧固件|斤
SKU-DRAFT-000024	METAL-000001	METAL	ready	A	不锈钢合页	材质：不锈钢；规格：4寸		五金备件/门窗五金	套	4寸不锈钢合页	1	24	25	A:1	金属材料	import_ready			不锈钢合页|材质:不锈钢|规格:4寸|五金备件/门窗五金|套
SKU-DRAFT-000025	MAT-000001	MAT	needs_missing_specs	C	墙纸	包装/规格：大卷		装修材料/墙面材料	卷	墙纸大卷	1	25	26	C:1	通用物料	do_not_import_missing_specs	材质	款式/材质缺失，大卷墙纸不足以区分SKU	墙纸|包装/规格:大卷|装修材料/墙面材料|卷
SKU-DRAFT-000026	ADMIN-000001	ADMIN	needs_missing_specs	C	热水壶	类型：热水壶		办公生活用品/小电器	个	热水壶	1	26	27	C:1	行政办公与清洁	do_not_import_missing_specs	品牌；容量	容量/品牌缺失，热水壶无法唯一确定SKU	热水壶|类型:热水壶|办公生活用品/小电器|个
SKU-DRAFT-000027	PIPE-000001	PIPE	ready	A	PPR管	品牌：公元；规格：25		工程材料/PPR管件	米	公元25PPR管	1	27	28	A:1	管材管件	import_ready			ppr管|品牌:公元|规格:25|工程材料/ppr管件|米
SKU-DRAFT-000028	PIPE-000002	PIPE	ready	A	PPR直通	品牌：公元；规格：25；类型：直通		工程材料/PPR管件	个	公元25PPR直通	1	28	29	A:1	管材管件	import_ready			ppr直通|品牌:公元|类型:直通|规格:25|工程材料/ppr管件|个
SKU-DRAFT-000029	PIPE-000003	PIPE	ready	A	PPR弯头	品牌：公元；规格：25；类型：弯头		工程材料/PPR管件	个	公元25PPR弯头	1	29	30	A:1	管材管件	import_ready			ppr弯头|品牌:公元|类型:弯头|规格:25|工程材料/ppr管件|个
SKU-DRAFT-000030	PIPE-000004	PIPE	needs_missing_specs	C	PPR热熔机	品牌：公元；用途：PPR热熔		工具器具/管道工具	个	公元热熔机	1	30	31	C:1	管材管件	do_not_import_missing_specs	型号	型号缺失，PPR热熔机按品牌和用途低精度建候选	ppr热熔机|品牌:公元|用途:ppr热熔|工具器具/管道工具|个
SKU-DRAFT-000031	PIPE-000005	PIPE	ready	A	PPR管剪刀	品牌：公元；用途：PPR管剪切		工具器具/管道工具	个	公元PPR剪刀	1	31	32	A:1	管材管件	import_ready			ppr管剪刀|品牌:公元|用途:ppr管剪切|工具器具/管道工具|个
SKU-DRAFT-000032	MAT-CEM-000001	MAT-CEM	ready	A	石子	粒径：4-6mm		建筑材料/水泥砂石	斤	4-6MM石子	1	32	33	A:1	水泥砂石	import_ready			石子|粒径:4-6mm|建筑材料/水泥砂石|斤
SKU-DRAFT-000033	ELEC-000018	ELEC	needs_missing_specs	C	工业插头	品牌：公牛；电压：380V；电流：25A		电气材料/插头插座	个	公牛380V*25A插头	1	33	34	C:1	电气材料	do_not_import_missing_specs	型号；安装方式	极数/插脚数缺失，工业插头可能无法唯一确定SKU	工业插头|品牌:公牛|电压:380v|电流:25a|电气材料/插头插座|个
SKU-DRAFT-000034	ELEC-000019	ELEC	needs_missing_specs	C	电工胶布	品牌：3M		电气材料/绝缘材料	个	3M电胶布	1	34	35	C:1	电气材料	do_not_import_missing_specs	颜色	颜色缺失，电工胶布通常需按颜色区分SKU	电工胶布|品牌:3m|电气材料/绝缘材料|个
SKU-DRAFT-000035	TOOL-000002	TOOL	needs_missing_specs	C	多功能剥线钳	品牌：世达；类型：多功能剥线钳		工具器具/手动工具	只	世达多功能剥线钳	1	35	36	C:1	工具器具	do_not_import_missing_specs	型号	型号缺失，世达剥线钳可能无法唯一确定SKU	多功能剥线钳|品牌:世达|类型:多功能剥线钳|工具器具/手动工具|个
SKU-DRAFT-000036	TOOL-000003	TOOL	needs_missing_specs	C	断点检测电笔	功能：找断点/测电		工具器具/电工工具	只	找断点电笔	2	36;86	37;87	B:1;C:1	工具器具	do_not_import_missing_specs	型号	型号缺失，断点检测电笔按功能低精度建候选；输入提示称同物料存在单位差异，需统一单位	断点检测电笔|功能:找断点/测电|工具器具/电工工具|个
SKU-DRAFT-000037	ELEC-000020	ELEC	needs_missing_specs	C	插座	品牌：公牛；电流：16A		电气材料/插头插座	个	公牛16A插座	1	37	38	C:1	电气材料	do_not_import_missing_specs	型号；电压；安装方式	明装/暗装未说明，可能影响插座SKU区分	插座|品牌:公牛|电流:16a|电气材料/插头插座|个
SKU-DRAFT-000038	ADMIN-000002	ADMIN	needs_missing_specs	C	洁厕灵	类型：洁厕清洁剂		清洁用品/清洁剂	瓶	洁厕灵	1	38	39	C:1	行政办公与清洁	do_not_import_missing_specs	容量	容量缺失，洁厕清洁剂无法唯一确定SKU	洁厕灵|类型:洁厕清洁剂|清洁用品/清洁剂|瓶
SKU-DRAFT-000039	MAT-000002	MAT	needs_missing_specs	C	窗帘架拉链	类型：拉链/配件		装修材料/窗帘配件	套	窗帘架拉链	1	39	40	C:1	通用物料	do_not_import_missing_specs	规格；长度	规格长度缺失，窗帘架拉链低精度建候选	窗帘架拉链|类型:拉链/配件|装修材料/窗帘配件|套
SKU-DRAFT-000040	ELEC-000021	ELEC	ready	A	钢钉线卡	规格：20		电气材料/电气辅材	个	20钢钉线卡	1	40	41	A:1	电气材料	import_ready			钢钉线卡|规格:20|电气材料/电气辅材|个
SKU-DRAFT-000041	PIPE-000006	PIPE	needs_missing_specs	C	三角阀	规格：4分		工程材料/阀门	个	4分三角阀	1	41	42	C:1	管材管件	do_not_import_missing_specs	材质	材质缺失，三角阀可能无法唯一确定SKU	三角阀|规格:4分|工程材料/阀门|个
SKU-DRAFT-000042	PIPE-000007	PIPE	ready	A	PPR三通	品牌：公元；规格：25；类型：三通		工程材料/PPR管件	个	公元PPR25三通	1	42	43	A:1	管材管件	import_ready			ppr三通|品牌:公元|类型:三通|规格:25|工程材料/ppr管件|个
SKU-DRAFT-000043	PIPE-000008	PIPE	needs_confirmation	B	PPR内牙三通	品牌：公元；规格：25；连接：内牙；类型：三通		工程材料/PPR管件	个	公元PPR25内牙三通	1	43	44	B:1	管材管件	confirm_then_import	口径	内牙口径未说明，按原25规格低精度建候选	ppr内牙三通|品牌:公元|类型:三通|规格:25|连接:内牙|工程材料/ppr管件|个
SKU-DRAFT-000044	PIPE-000009	PIPE	ready	A	PPR内牙直通	品牌：公元；规格：PPR25*4分；连接：内牙；类型：直通		工程材料/PPR管件	个	公元PPR25*4内牙直通	1	44	45	A:1	管材管件	import_ready			ppr内牙直通|品牌:公元|类型:直通|规格:ppr25x4分|连接:内牙|工程材料/ppr管件|个
SKU-DRAFT-000045	PIPE-000010	PIPE	needs_confirmation	B	PPR内牙弯头	品牌：公元；规格：25；连接：内牙；类型：弯头		工程材料/PPR管件	个	公元PPR25内牙弯头	1	45	46	B:1	管材管件	confirm_then_import	口径	内牙口径未说明，按原25规格低精度建候选	ppr内牙弯头|品牌:公元|类型:弯头|规格:25|连接:内牙|工程材料/ppr管件|个
SKU-DRAFT-000046	MAT-000003	MAT	needs_confirmation	B	洗衣机龙头	用途：洗衣机		工程材料/水暖五金	个	洗衣机龙头	1	46	47	B:1	通用物料	confirm_then_import	材质	材质缺失，洗衣机龙头低精度建候选	洗衣机龙头|用途:洗衣机|工程材料/水暖五金|个
SKU-DRAFT-000047	PIPE-000011	PIPE	needs_missing_specs	C	堵头	规格：4分		工程材料/管件	个	4分堵头	1	47	48	C:1	管材管件	do_not_import_missing_specs	材质	材质缺失，堵头可能无法唯一确定SKU	堵头|规格:4分|工程材料/管件|个
SKU-DRAFT-000048	PIPE-000012	PIPE	needs_missing_specs	C	堵头	规格：6分		工程材料/管件	个	6分堵头	1	48	49	C:1	管材管件	do_not_import_missing_specs	材质	材质缺失，堵头可能无法唯一确定SKU	堵头|规格:6分|工程材料/管件|个
SKU-DRAFT-000049	PIPE-000013	PIPE	needs_confirmation	B	水管钩	规格：25		工程材料/管道辅材	个	25水管钩	1	49	50	B:1	管材管件	confirm_then_import	材质；精度	材质缺失，水管钩低精度建候选	水管钩|规格:25|工程材料/管道辅材|个
SKU-DRAFT-000050	ELEC-000022	ELEC	ready	A	镀锌电线架	材质：镀锌；位数：4位		电气材料/电气辅材	个	4位镀锌电线架	1	50	51	A:1	电气材料	import_ready			镀锌电线架|位数:4位|材质:镀锌|电气材料/电气辅材|个
SKU-DRAFT-000051	HW-LOCK-000002	HW-LOCK	ready	A	挂锁	材质：不锈钢；规格：50		五金备件/锁具	个	50不锈钢挂锁	1	51	52	A:1	锁具	import_ready			挂锁|材质:不锈钢|规格:50|五金备件/锁具|个
SKU-DRAFT-000052	SPARE-000002	SPARE	needs_missing_specs	C	插销	材质：不锈钢		五金备件/门窗五金	个	不锈钢插销	1	52	53	C:1	设备备件与加工件	do_not_import_missing_specs	尺寸	尺寸缺失，无法区分不同不锈钢插销 SKU	插销|材质:不锈钢|五金备件/门窗五金|个
SKU-DRAFT-000053	SPARE-000003	SPARE	needs_missing_specs	C	插销	材质：不锈钢；功能：带锁		五金备件/门窗五金	个	不锈钢插销带锁	1	53	54	C:1	设备备件与加工件	do_not_import_missing_specs	尺寸	尺寸缺失，无法区分不同带锁插销 SKU	插销|功能:带锁|材质:不锈钢|五金备件/门窗五金|个
SKU-DRAFT-000054	CHEM-000002	CHEM	needs_missing_specs	C	涂料	品牌：立邦；系列：5合1；特征：环保		化工耗材/涂料	桶	立邦环保涂料5合1	1	54	55	C:1	化工油漆胶粘	do_not_import_missing_specs	容量；颜色	容量、颜色缺失，会影响涂料 SKU 区分	涂料|品牌:立邦|特征:环保|系列:5合1|化工耗材/涂料|桶
SKU-DRAFT-000055	TOOL-000004	TOOL	ready	A	滚筒刷	规格：4寸		工具器具/涂装工具	个	4寸滚筒	1	55	56	A:1	工具器具	import_ready			滚筒刷|规格:4寸|工具器具/涂装工具|个
SKU-DRAFT-000056	SPARE-000004	SPARE	needs_missing_specs	C	插销	规格：4寸		五金备件/门窗五金	付	4寸插销	1	56	57	C:1	设备备件与加工件	do_not_import_missing_specs	材质	材质缺失，会影响插销 SKU 区分	插销|规格:4寸|五金备件/门窗五金|付
SKU-DRAFT-000057	SPARE-000005	SPARE	ready	A	合页	材质：不锈钢；规格：4寸；特征：加厚		五金备件/门窗五金	付	4寸不锈钢加厚合页	1	57	58	A:1	设备备件与加工件	import_ready			合页|材质:不锈钢|特征:加厚|规格:4寸|五金备件/门窗五金|付
SKU-DRAFT-000058	HW-LOCK-000003	HW-LOCK	ready	A	抽锁	材质：不锈钢；规格：5寸		五金备件/锁具	个	5寸不锈钢抽锁	1	58	59	A:1	锁具	import_ready			抽锁|材质:不锈钢|规格:5寸|五金备件/锁具|个
SKU-DRAFT-000059	TOOL-000005	TOOL	ready	A	扫把	材质：塑料		清洁用品/清洁工具	个	塑料扫把	1	59	60	A:1	工具器具	import_ready			扫把|材质:塑料|清洁用品/清洁工具|个
SKU-DRAFT-000060	HW-LOCK-000004	HW-LOCK	ready	A	挂锁	材质：不锈钢；规格：40		五金备件/锁具	个	40不锈钢挂锁	1	60	61	A:1	锁具	import_ready			挂锁|材质:不锈钢|规格:40|五金备件/锁具|个
SKU-DRAFT-000061	TOOL-000006	TOOL	ready	A	扫把	材质/类型：高粱		清洁用品/清洁工具	把	高粱扫把	1	61	62	A:1	工具器具	import_ready			扫把|材质/类型:高粱|清洁用品/清洁工具|把
SKU-DRAFT-000062	CONST-000003	CONST	needs_missing_specs	C	地板胶	材质：PVC；特征：加厚		装修材料/地面材料	平方	加厚PVC地板胶	1	62	63	C:1	工程建材	do_not_import_missing_specs	厚度	厚度缺失，会影响 PVC 地板胶 SKU 区分	地板胶|材质:pvc|特征:加厚|装修材料/地面材料|平方
SKU-DRAFT-000063	MAT-000004	MAT	needs_missing_specs	C	墙布	特征：厚、环保		装修材料/墙面材料	平方	厚环保墙布	1	63	64	C:1	通用物料	do_not_import_missing_specs	材质	材质、花色缺失，会影响墙布 SKU 区分	墙布|特征:厚、环保|装修材料/墙面材料|平方
SKU-DRAFT-000064	ADMIN-000003	ADMIN	ready	A	水壶	材质：不锈钢；容量：6.5升		办公生活用品/小电器	个	6.5升不锈钢水壶	1	64	65	A:1	行政办公与清洁	import_ready			水壶|容量:6.5升|材质:不锈钢|办公生活用品/小电器|个
SKU-DRAFT-000065	TOOL-000007	TOOL	needs_missing_specs	C	电钻	动力：锂电池		工具器具/电动工具	台	锂电池电钻	1	65	66	C:1	工具器具	do_not_import_missing_specs	品牌；电压	品牌、电压缺失，会影响锂电池电钻 SKU 区分	电钻|动力:锂电池|工具器具/电动工具|台
SKU-DRAFT-000066	ADMIN-000004	ADMIN	needs_missing_specs	C	水桶	规格：未注明		办公生活用品/容器	个	水桶	1	66	67	C:1	行政办公与清洁	do_not_import_missing_specs	容量	容量缺失，无法区分不同水桶 SKU	水桶|规格:未注明|办公生活用品/容器|个
SKU-DRAFT-000067	MAT-000005	MAT	needs_missing_specs	C	水龙头花洒套装	组合：水龙头+花洒		工程材料/水暖五金	套	水龙头花洒	2	67;216	68;217	C:2	通用物料	do_not_import_missing_specs	规格；材质	材质、接口规格缺失，会影响套装 SKU 区分；输入提示称与其他行同物料，未在本批合并；材质、接口规格缺失，会影响套装SKU区分；输入单位为个，按套装规范为套，需与同物料统一	水龙头花洒套装|组合:水龙头+花洒|工程材料/水暖五金|套
SKU-DRAFT-000068	SPARE-000006	SPARE	needs_confirmation	B	闭门器	规格：大		五金备件/门窗五金	套	闭门器大	1	68	69	B:1	设备备件与加工件	confirm_then_import	型号	适用门重、型号缺失，需后续确认	闭门器|规格:大|五金备件/门窗五金|套
SKU-DRAFT-000069	SPARE-000007	SPARE	needs_missing_specs	C	插销	材质：不锈钢		五金备件/门窗五金	套	不锈钢插销	1	69	70	C:1	设备备件与加工件	do_not_import_missing_specs	尺寸	尺寸缺失；输入提示称同名物料存在单位差异，需统一单位	插销|材质:不锈钢|五金备件/门窗五金|套
SKU-DRAFT-000070	MAT-000006	MAT	needs_missing_specs	C	水龙头	规格：未注明		工程材料/水暖五金	个	水龙头	1	70	71	C:1	通用物料	do_not_import_missing_specs	材质	材质、接口规格缺失，无法区分不同水龙头 SKU	水龙头|规格:未注明|工程材料/水暖五金|个
SKU-DRAFT-000071	ELEC-000023	ELEC	needs_confirmation	B	空调插座	品牌：公牛；电流：16A；用途：空调		电气材料/插头插座	个	公牛16A空调插座；16A公牛空调插座	1	71	72	B:1	电气材料	confirm_then_import	型号	明装/暗装未说明，需后续确认；输入提示称与其他行同物料，未在本批合并	空调插座|品牌:公牛|用途:空调|电流:16a|电气材料/插头插座|个
SKU-DRAFT-000072	ELEC-000024	ELEC	ready	A	插排	品牌：公牛；线长：3米；孔位：8孔		电气材料/插头插座	个	公牛插座3米*8孔	1	72	73	A:1	电气材料	import_ready			插排|品牌:公牛|孔位:8孔|线长:3米|电气材料/插头插座|个
SKU-DRAFT-000073	ELEC-000025	ELEC	needs_missing_specs	C	启辉器	类型：启辉器		电气材料/照明配件	个	启辉器	1	73	74	C:1	电气材料	do_not_import_missing_specs	规格	适配灯管规格缺失，无法区分不同启辉器 SKU	启辉器|类型:启辉器|电气材料/照明配件|个
SKU-DRAFT-000074	ELEC-000026	ELEC	needs_missing_specs	C	灯头	接口：螺口		电气材料/照明配件	个	螺口灯头	1	74	75	C:1	电气材料	do_not_import_missing_specs	规格	E27/E14 等接口规格缺失，无法区分不同螺口灯头 SKU	灯头|接口:螺口|电气材料/照明配件|个
SKU-DRAFT-000075	ELEC-000027	ELEC	ready	A	排气扇	规格：50*50		电气材料/通风设备	台	50*50排气扇	1	75	76	A:1	电气材料	import_ready			排气扇|规格:50x50|电气材料/通风设备|台
SKU-DRAFT-000076	ELEC-000028	ELEC	ready	A	漏电保护器	品牌：施耐德；极数：2P；电流：63A		电气材料/低压电器	个	2P*63A施耐德漏电保护器	1	76	77	A:1	电气材料	import_ready			漏电保护器|品牌:施耐德|极数:2p|电流:63a|电气材料/低压电器|个
SKU-DRAFT-000077	ELEC-000029	ELEC	ready	A	空气开关	品牌：施耐德；极数：3P；电流：63A		电气材料/低压电器	个	3P*63A施耐德空气开关	1	77	78	A:1	电气材料	import_ready			空气开关|品牌:施耐德|极数:3p|电流:63a|电气材料/低压电器|个
SKU-DRAFT-000078	METAL-000002	METAL	ready	A	洗脸盆	材质：不锈钢；长度：2米；特征：加厚		工程材料/洁具	台	2米加厚不锈钢洗脸盆	1	78	79	A:1	金属材料	import_ready			洗脸盆|材质:不锈钢|特征:加厚|长度:2米|工程材料/洁具|台
SKU-DRAFT-000079	MAT-000007	MAT	needs_missing_specs	C	水龙头	类型：大弯		工程材料/水暖五金	个	大弯水龙头	1	79	80	C:1	通用物料	do_not_import_missing_specs	规格；材质	材质、接口规格缺失，无法区分不同大弯水龙头 SKU	水龙头|类型:大弯|工程材料/水暖五金|个
SKU-DRAFT-000080	PIPE-000014	PIPE	needs_confirmation	B	洗脸盆下水管	用途：洗脸盆；类型：下水管		工程材料/洁具配件	套	洗脸盆下水管	1	80	81	B:1	管材管件	confirm_then_import	材质；口径	材质、接口规格未注明，需后续确认；输入提示称与其他行同物料，未在本批合并	洗脸盆下水管|用途:洗脸盆|类型:下水管|工程材料/洁具配件|套
SKU-DRAFT-000081	MAT-CEM-000002	MAT-CEM	needs_missing_specs	C	沙子	包装：大包		建筑材料/水泥砂石	包	大包沙子	1	81	82	C:1	水泥砂石	do_not_import_missing_specs	类型；强度等级；包装重量；品牌	粒径、重量缺失，无法区分不同沙子 SKU	沙子|包装:大包|建筑材料/水泥砂石|包
SKU-DRAFT-000082	MAT-CEM-000003	MAT-CEM	needs_missing_specs	C	石子	包装：大包		建筑材料/水泥砂石	包	大包石子	1	82	83	C:1	水泥砂石	do_not_import_missing_specs	类型；强度等级；包装重量；品牌	粒径、重量缺失，无法区分不同石子 SKU	石子|包装:大包|建筑材料/水泥砂石|包
SKU-DRAFT-000083	SAFE-000001	SAFE	ready	A	帆布手套	类型：双重/双层帆布		劳保耗材/手套	双	双重帆布手套	1	83	84	A:1	安防劳保	import_ready			帆布手套|类型:双重/双层帆布|劳保耗材/手套|双
SKU-DRAFT-000084	HW-LOCK-000005	HW-LOCK	needs_missing_specs	C	挂锁	材质：铜		五金备件/锁具	个	铜挂锁	1	84	85	C:1	锁具	do_not_import_missing_specs	规格；尺寸	规格尺寸缺失，无法区分不同铜挂锁 SKU	挂锁|材质:铜|五金备件/锁具|个
SKU-DRAFT-000085	TOOL-000008	TOOL	needs_missing_specs	C	扫把	规格：未注明		清洁用品/清洁工具	个	扫把	1	85	86	C:1	工具器具	do_not_import_missing_specs	材质	材质缺失，无法区分不同扫把 SKU	扫把|规格:未注明|清洁用品/清洁工具|个
SKU-DRAFT-000086	TOOL-000009	TOOL	needs_confirmation	B	剥线钳	品牌：世达；类型：多功能剥线钳		工具器具/手动工具	个	世达多功能剥线钳	1	87	88	B:1	工具器具	confirm_then_import	型号	输入提示称同物料存在单位差异，需统一单位	剥线钳|品牌:世达|类型:多功能剥线钳|工具器具/手动工具|个
SKU-DRAFT-000087	MAT-000008	MAT	needs_confirmation	B	水龙头	规格：4分；类型：冷热		工程材料/水暖五金	个	4分冷热水龙头	1	88	89	B:1	通用物料	confirm_then_import	材质	材质缺失，需后续确认；输入提示称与其他行同物料，未在本批合并	水龙头|类型:冷热|规格:4分|工程材料/水暖五金|个
SKU-DRAFT-000088	PIPE-000015	PIPE	ready	A	PPR过桥弯	品牌：公元；规格：25；类型：过桥弯		工程材料/PPR管件	个	公元25PPR过桥弯	1	89	90	A:1	管材管件	import_ready			ppr过桥弯|品牌:公元|类型:过桥弯|规格:25|工程材料/ppr管件|个
SKU-DRAFT-000089	PIPE-000016	PIPE	ready	A	PPR异径直接	规格：32*25；类型：大小头/异径		工程材料/PPR管件	个	PPR32*25大小头	1	90	91	A:1	管材管件	import_ready			ppr异径直接|类型:大小头/异径|规格:32x25|工程材料/ppr管件|个
SKU-DRAFT-000090	ELEC-000030	ELEC	needs_missing_specs	C	电缆	品牌：起帆；规格：3*6+1		电气材料/电线电缆	米	3*6+1起帆电缆	1	91	92	C:1	电气材料	do_not_import_missing_specs	型号	电缆型号如 YJV/RVV 缺失，无法区分不同电缆 SKU	电缆|品牌:起帆|规格:3x6+1|电气材料/电线电缆|米
SKU-DRAFT-000091	ELEC-000031	ELEC	ready	A	铜鼻子	规格：100A；材质：铜		电气材料/接线端子	个	100A铜鼻子	1	92	93	A:1	电气材料	import_ready			铜鼻子|材质:铜|规格:100a|电气材料/接线端子|个
