item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	aliases	brand	model
MAT-000115	闭门器	闭门器 中型	规格：中型	清洁办公后勤	门窗五金	门窗五金	个	闭门器		
TOOL-000119	水平尺	水平尺 60cm 铝合金	长度：60cm；材质：铝合金	工具量具	测量工具	测量工具	把	60cm水平尺；水平尺；水平尺0.6m		
PIPE-000475	水带	高压水带 80mm	口径：80mm；压力等级：高压	管材管件阀门	管材	管材	米	高压水带Φ80；高压水带		
PIPE-000069	三通	UPVC三通 32mm	材质：UPVC；规格/口径：32mm	管材管件阀门	三通	三通	个	UPVC三通		
CONST-000039	绝缘橡胶板	绝缘橡胶板 3mm	厚度：3mm	电气电料	电工辅材	电工辅材	千克	绝缘橡胶板3mm；绝缘橡胶板		
MAT-000198	卸扣	卸扣 25T	载荷：25T	吊装索具	卸扣/卡环	卸扣/卡环	个	卸扣25T；卸扣		
TOOL-000244	毛刷	毛刷 2.5寸 羊毛	规格：2.5寸；材质：羊毛	工具耗材	刷涂耗材	刷涂耗材	把	羊毛刷2.5寸；羊毛刷		
PIPE-000283	消防接头	消防接头 DN100	口径：DN100；材质：铝合金；接口：内扣式；压力：1.6MPa	安全消防	消防管件	消防管件	个	100连接头；连接头；消防接头		
SAFE-000051	油布	油布 4m*6m 通用型	尺寸：4m*6m；特征：通用	包装覆盖周转	覆盖材料	覆盖材料	平方米	油布		
METAL-000016	铭牌	铭牌 不锈钢 30*60	材质：不锈钢；尺寸：30*60mm	定制加工件	定制板牌件	定制板牌件	块	定做不锈钢名牌30*60；不锈钢名牌		
MAT-000141	压力表	压力表 60公斤	量程：60公斤；表盘直径：100mm；接口螺纹：M20×1.5	工具量具	检测仪器（候选新增）	检测仪器（候选新增）	个	60公斤压力表；压力表		
CONST-000006	建筑模板	建筑模板 2440*1220*30 黑	尺寸：2440*1220 mm；厚度：30 mm；颜色：黑	建筑材料	砖板模板	砖板模板	张	1.22*2.44*3.0黑模板；黑模板；黑模板3.0厚		
CHEM-000165	黄油嘴	黄油嘴 45度 M6*1.0	角度：45度；螺纹：M6*1.0	设备备件	润滑配件	润滑配件	个	黄油嘴45度M6；黄油嘴		
FAST-000041	螺母	螺母 M48	规格：M48；材质：碳钢；强度等级：8	紧固件与连接件	螺母	螺母	个	48螺母；M48螺母		
TOOL-000162	手锤	手锤 6磅	重量：6磅	工具量具	锤铲撬工具	锤铲撬工具	把	6磅手锤；手锤		
WELD-000008	电焊钳	电焊钳 500A	额定电流：500A	焊接切割	焊割工具	焊割工具	把	500A电焊钳；电焊钳		
MAT-CEM-000008	水泥	水泥 42.5 袋装 50kg	强度等级：42.5；包装：袋装；包装重量：50kg	建筑材料	水泥砂石	水泥砂石	包	水泥		
SAFE-000004	焊工眼镜	焊工眼镜 遮光11# 墨绿色	遮光等级：11#；镜片颜色：墨绿色；镜框：黑色	劳保防护	眼面防护	眼面防护	副	电焊眼镜；焊工眼镜		
SAFE-000019	棉签	棉签 10cm 双头	规格/口径：10cm；头型：双头；包装数量：100支	清洁办公后勤	清洁用品	清洁用品	包	棉签		
MAT-000024	吨袋	吨袋 大号	尺寸：1.2m*1.2m*1.5m；载重：2吨	包装覆盖周转	包装袋/吨袋	包装袋/吨袋	个	大吨袋；吨袋		
SPARE-000126	O型圈	O型圈 63*5 NBR	内径：63mm；线径：5mm；材质：NBR	设备备件	密封过滤件	密封过滤件	只	O型圈63*5; O型圈		
ELEC-000153	配电箱壳体	配电箱壳体 不锈钢 500*600*300 室外	材质：不锈钢；尺寸：500*600*300；安装环境：室外	电气电料	电气箱柜	电气箱柜	个	不锈钢室外箱500*600*300；配电箱壳体		
MAT-000016	吊装带	吊装带 2T*1.5米	额定载荷：2T；长度：1.5米	吊装索具	吊带/吊装带	吊带/吊装带	根	2T*1.5米吊带；吊带；2T*1.5m吊带；扁平吊装带		
METAL-000064	螺纹钢	螺纹钢 22mm HRB400 12m	直径：22mm；牌号：HRB400；长度：12m	金属材料	钢筋/线材	钢筋/线材	条	22钢筋；螺纹钢筋		
CHEM-000056	油漆笔	油漆笔 黑色	颜色：黑色；笔尖规格：1.0mm	清洁办公后勤	办公文具	办公文具	个			
SAFE-000127	红花油	红花油 20ml	容量：20ml；包装：瓶装	劳保防护	急救用品	急救用品	瓶	红花油		
MAT-000083	气源处理双联件	气源处理双联件 G1/2	型号系列：AFC；接口口径：G1/2	液压气动	液压气动阀	液压气动阀	个	AFC双联件		
SAFE-000013	口罩	一次性口罩 三层 50只/盒	材质：无纺布；层数：三层；包装数量：50只/盒	劳保防护	呼吸防护	呼吸防护	盒	一次性口罩		
SAFE-000035	灭火器	灭火器 4KG 干粉	容量：4kg；灭火剂类型：干粉；压力：1.2MPa	安全消防	消防器材	消防器材	个	4KG灭火器；灭火器		
MAT-000144	弹性销	弹性销 M6*28 弹簧钢	直径：M6；长度：28；材质：弹簧钢	紧固件与连接件	销/卡簧	销/卡簧	只	弹性销M6*28；弹性销		
SAFE-000058	雨衣	雨衣 加厚套装	套装：是；特征：加厚	劳保防护	雨具	雨具	套	加厚雨衣套装；雨衣套装		
SPARE-000122	电机	电机 5.5kW 380V	功率：5.5kW；电压：380V	设备备件	电机/驱动件（候选）	电机/驱动件（候选）	台	电机5.5KW；电机		
SAFE-000021	草帽	草帽 58cm	头围：58cm；材质：草编	劳保防护	安全帽/头部防护	安全帽/头部防护	个	草帽		
PIPE-000271	软连接	法兰软连接 65*50	两端口径：65mm*50mm；连接方式：法兰	管材管件阀门	软连接	软连接	个	65*50法兰软连接；法兰软连接		
TOOL-000271	宝塔钻头开孔器	宝塔钻头开孔器 4-52mm	规格范围：4-52mm	工具耗材	开孔器	开孔器	套	宝塔钻头开孔器4-52；宝塔钻头开孔器		
CHEM-000050	橡胶板	橡胶板 2cm 普通橡胶	厚度：2cm；材质：普通橡胶	化工胶粘涂料	橡胶材料	橡胶材料	千克	2cm橡胶板		
SPARE-000096	设备垫块	设备垫块 86×65 合成纤维	尺寸：86×65mm；材质：合成纤维	设备备件	设备垫块/缓冲件（候选）	设备垫块/缓冲件（候选）	个	86*65合成纤维垫块；合成纤维垫块		
SPARE-000100	鼓风机	鼓风机 2.2kW	功率：2.2kW；电压：380V；风量：2000m³/h；风压：1500Pa	施工机具设备	风机设备（候选）	风机设备（候选）	个	2.2千瓦鼓风机；鼓风机		
