item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	aliases	brand	model
ELEC-000187	接线端子	接线端子 UK5N 黄绿色	型号：UK5N；颜色：黄绿色	电气电料	接线端子/线鼻子	接线端子/线鼻子	个	黄绿色接线端子UK5N；接线端子		UK5N
METAL-000053	合页	不锈钢合页 110mm	材质：不锈钢；规格/尺寸：110mm	清洁办公后勤	门窗五金	门窗五金	付	110不锈钢合页；不锈钢合页		
TOOL-000171	游标卡尺	游标卡尺 300mm 得力	量程：300mm；精度：0.01mm；材质：不锈钢	工具量具	测量工具	测量工具	把	300mm得力高精度卡尺；游标卡尺	得力	
CHEM-000027	双面胶带	双面胶带 10mm*30m 通用型	宽度：10mm；长度：30m；类型：通用型	化工胶粘涂料	胶粘密封	胶粘密封	卷	双面胶		
PIPE-000375	三通	碳钢三通 DN65	材质：碳钢；规格/口径：DN65	管材管件阀门	三通	三通	个	DN65三通；三通		
ELEC-000218	接地桩	接地桩 M16*1m	规格：M16*1m	电气电料	电工辅材	电工辅材	根	接地桩M16*1m；接地桩		
FAST-000011	膨胀锚栓	膨胀锚栓 M8*60	规格/口径：M8；长度：60mm；表面处理：镀锌	紧固件与连接件	膨胀锚栓	膨胀锚栓	个	8*60膨胀螺丝；膨胀螺丝；膨胀锚栓		
PIPE-000204	三通接头	塑料气动三通接头 8mm	口径：8mm；材质：塑料	液压气动	气动接头	气动接头	个	8厘气管三通；气管三通接头		
SAFE-000131	消防水带	消防水带 DN50	口径：DN50；特性：防爆耐磨；压力：1.6MPa；接口：内扣式；材质：橡胶；长度：按米计	安全消防	消防管件	消防管件	米	防爆耐磨水带DN50；防爆耐磨水带		
TOOL-000116	尖嘴钳	尖嘴钳 6寸 世达	规格：6寸；材质：铬钒钢；表面：热处理	工具量具	钳类	钳类	把	世达尖嘴钳；尖嘴钳；得力尖嘴钳；世达尖嘴钳6寸	世达	
METAL-000028	标识牌	标识牌 不锈钢标志 20cm	材质：不锈钢；尺寸：20cm；标识内容类型：标志	定制加工件	定制板牌件	定制板牌件	块	定做不锈钢标志牌；不锈钢标志牌		
SPARE-000099	自吸泵	自吸泵 1.5kW 自动	功率：1.5kW；控制方式：自动；电压：220V；扬程：25m；口径：25mm	施工机具设备	泵类设备	泵类设备	台	1.5千瓦自动自吸泵；自动自吸泵		
MAT-000216	木方	木方 30*30*3.6m	截面：30*30mm；长度：3.6m；材质：松木	建筑材料	砖板模板	砖板模板	根	方木30*30*3.6m；方木		
CONST-000010	彩钢瓦	彩钢瓦 1*0.84	规格：1m*0.84m；颜色：蓝色；厚度：0.5mm	建筑材料	装饰装修材料	装饰装修材料	米	1*0.84彩钢瓦		
METAL-000154	螺母	不锈钢螺母 M5	材质：不锈钢；规格：M5	紧固件与连接件	螺母	螺母	个	不锈钢M5螺母；不锈钢螺母		
MAT-000107	收纳箱	收纳箱 75L	容量：75L	包装覆盖周转	容器周转箱	容器周转箱	个	大塑料箱75；塑料箱		
WELD-000009	电焊钳	电焊钳 800A	额定电流：800A	焊接切割	焊割工具	焊割工具	把	800A电焊钳；电焊钳		
MAT-000127	注浆枪头	注浆枪头 M14*1.5	接口：M14*1.5	设备备件	泵类配件	泵类配件	个	注浆枪头；聚氨酯枪头		
SAFE-000095	防护眼镜	防护眼镜 多功能护目	类型：多功能护目；镜片：透明；镜框：黑色	劳保防护	眼面防护	眼面防护	副	多功能护目眼镜；护目镜		
MAT-000145	离心机滤网	离心机滤网 1.4m×0.31m×0.72m	尺寸：1.4米×0.31米×0.72米；材质：不锈钢	定制加工件	设备定制配件	设备定制配件	个	订做离心机滤网1.4米*0.31米*0.72米；定做离心机滤网1.4米*0.31米*0.72米；离心机滤网		
MAT-000053	编织袋	编织袋 小号	尺寸：40cm*60cm	包装覆盖周转	包装袋/吨袋	包装袋/吨袋	条	小编织袋；编织袋		
WELD-000034	气瓶手推车	气瓶手推车 乙炔 大充气轮	适用气体：乙炔；轮子类型：大充气轮；承重：200kg	施工机具设备	手推搬运设备	手推搬运设备	台	大充气轮乙炔车；乙炔瓶手推车		
METAL-000126	电柜	电柜 不锈钢内外门 1000*650*450	材质：不锈钢；结构：内外门；尺寸：1000*650*450	电气电料	电气箱柜	电气箱柜	只	不锈钢内外门电柜1000*650*450；不锈钢内外门电柜		
TOOL-000140	热风机	热风机 2000W	功率：2000W	电动气动工具	电动工具	电动工具	个	2000W热风机；热风机		
MAT-000049	止水蝴蝶扣	止水蝴蝶扣 16*600	规格/口径：16mm；长度：600mm	紧固件与连接件	扣件/连接件	扣件/连接件	套	16*600止水蝴蝶扣；止水蝴蝶扣		
MAT-000023	旋转吊环	旋转吊环 8吨	载荷：8吨；螺纹规格：M20	吊装索具	吊钩/吊具	吊钩/吊具	个	8吨旋转吊环；旋转吊环		
ELEC-000108	RJ45水晶头	RJ45水晶头 非屏蔽 Cat5e	屏蔽类型：非屏蔽；Cat等级：Cat5e	弱电安防	网络通信	网络通信	个	水晶头；RJ45水晶头		
MAT-000211	链条	链条调节器 15T	额定载荷：15T；适配链条直径：10mm	吊装索具	牵引捆绑绳链（候选）	牵引捆绑绳链（候选）	个	起重链条调节器15T；起重链条调节器		
CHEM-000057	橡胶垫块	橡胶垫块 260*330*5mm	尺寸：260*330*5mm；材质：橡胶	定制加工件	定制橡胶件（候选）	定制橡胶件（候选）	块	加工260*330*5橡胶垫块；橡胶垫块		
TOOL-000126	石笔	石笔 单支	包装：单支	工具耗材	砂纸/磨料	砂纸/磨料	个	石笔		
TOOL-000207	尖凿	尖凿 五坑 大号	接口：五坑；规格：大	工具耗材	刀具耗材（候选新增）	刀具耗材（候选新增）	支	大五坑尖凿；五坑尖凿；尖凿		
TOOL-000281	滚筒柄	滚筒柄 45cm 内螺纹	长度：45cm；接口：内螺纹	工具耗材	刷具附件（候选新增）	刷具附件（候选新增）	把	滚筒柄		
SAFE-000089	防护服	防护服 连体加厚	款式：连体；特征：加厚	劳保防护	身体防护	身体防护	套	加厚连体裤；连体工作服；防护服		
MAT-000219	对讲机	对讲机 小米 二代	品牌：小米；型号：二代；频率：400-470MHz	弱电安防	对讲通信	对讲通信	部	小米二代对讲机；对讲机	小米	
MAT-000159	井盖	污水井盖 580	用途：污水；规格：580	建筑材料	井盖/道路附属件	井盖/道路附属件	个	污水井盖580；井盖		
SPARE-000129	导流罩	导流罩 QJB-4/6 不锈钢	适配型号：QJB-4/6；材质：不锈钢	设备备件	搅拌机配件（候选）	搅拌机配件（候选）	只	导流罩QJB-4/6；导流罩		
MAT-000129	PAC污水处理剂	PAC 28% 污水处理剂	类型：PAC；含量：28%	化工胶粘涂料	水处理剂	水处理剂	吨	28%PAC污水处理剂；PAC污水处理剂		
TOOL-000181	混凝土试模	混凝土试模 150*150*150	尺寸：150*150*150mm；材质：铸铁	工具量具	试验器具（候选新增）	试验器具（候选新增）	个	150*150*150混凝土模具；混凝土试模		
