item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	aliases	brand	model
SPARE-000051	箱体	钢箱 4立方 定制	容量：4立方米；材质：钢；定制：是	定制加工件	定制结构件	定制结构件	个	加工定做4立方钢箱；钢箱		
PIPE-000094	管卡	管卡 PVC 40	材质：PVC；规格：40mm	紧固件与连接件	管卡/抱箍	管卡/抱箍	个	PVC管卡		
ELEC-000225	冷压端子	冷压端子 OT4-6 铜 100只/包	型号：OT4-6；材质：铜；包装数量：100只/包	电气电料	接线端子/线鼻子	接线端子/线鼻子	包	冷压线鼻端子OT4-6；冷压线鼻端子		OT4-6
METAL-000105	工字钢	工字钢 14# Q235	规格：14#；材质：Q235	金属材料	型钢	型钢	米	工字钢14#；工字钢		
PIPE-000219	水带	橡胶水带 50mm 加厚	口径：50mm；材质：橡胶；特征：加厚；工作压力：1.0MPa	管材管件阀门	管材	管材	米	50加厚橡胶水带；橡胶水带		
CHEM-000082	密封胶	密封胶 管片密封 5kg/桶	用途：管片密封；包装：5kg/桶	化工胶粘涂料	胶粘密封	胶粘密封	桶	管片密封胶水；管片密封胶		
TOOL-000297	活动扳手	活动扳手 10寸 世达	规格：10寸；材质：铬钒钢	工具量具	扳手	扳手	把	世达活动扳手10寸；活动扳手	世达	
MAT-000047	卸扣	卸扣 8.5T	载荷：8.5T	吊装索具	卸扣/卡环	卸扣/卡环	个	8.5T卸扣；卸扣		
FAST-000113	膨胀锚栓	膨胀锚栓 M8*90	规格/口径：M8；长度：90mm；表面处理：镀锌	紧固件与连接件	膨胀锚栓	膨胀锚栓	个	膨胀螺丝Φ8*90；膨胀螺丝；膨胀锚栓		
CHEM-000006	防锈润滑剂	防锈润滑剂 WD-40 500ml/瓶	型号：WD-40；容量：500ml/瓶	化工胶粘涂料	润滑防锈	润滑防锈	瓶	WD-40500防锈润滑剂；防锈润滑剂	WD-40	
METAL-000002	洗脸盆	不锈钢洗脸盆 2000mm 加厚	材质：不锈钢；长度：2000mm；特征：加厚	管材管件阀门	水龙头/洁具配件	水龙头/洁具配件	台	2米加厚不锈钢洗脸盆；洗脸盆		
FAST-000007	平垫圈	平垫圈 M27	规格：M27	紧固件与连接件	垫圈/垫片	垫圈/垫片	个	M27平垫；平垫片；垫圈		
SAFE-000113	手套	手套 浸胶	材质：胶；工艺：浸胶；长度：35cm	劳保防护	手套	手套	双	浸胶手套		
ELEC-000084	头灯	头灯 充电式 LED	供电方式：充电；光源类型：LED	电气电料	照明光源	照明光源	个	LED充电头灯		
SPARE-000085	传动皮带	传动皮带 BLI1753	型号：BLI1753	设备备件	传动件	传动件	条	Bli1753皮带；传动皮带		
TOOL-000175	套筒	加长六角套筒 6mm	规格：6mm；特征：加长；类型：六角；连接方头：1/4英寸	工具量具	套筒	套筒	个	6加长六角套筒；加长六角套筒		
PIPE-000120	钢管	钢管 32*4.5 碳钢	外径：32mm；壁厚：4.5mm；材质：碳钢	金属材料	钢管	钢管	米	32*4.5钢管；钢管		
WELD-000043	气体软管	气体软管 氧气 内径8mm 30m	介质：氧气；长度：30m；内径：8mm；压力等级：1.0MPa	焊接切割	气体减压附件	气体减压附件	卷	30米国标红色氧气管；氧气胶管		
METAL-000164	钢丝绳	钢丝绳 镀锌 12mm	表面处理：镀锌；直径：12mm；结构：6×37+FC	吊装索具	钢丝绳	钢丝绳	米	镀锌钢丝绳Φ12；镀锌钢丝绳		
WELD-000007	碳棒	碳棒 6mm×355mm	直径：6mm；长度：355mm	焊接切割	焊材	焊材	支	碳棒6MM；碳棒		
SAFE-000065	反光警示带	反光警示带 10cm×50m 黄黑	宽度：10cm；长度：50m；颜色：黄黑；材质：PVC反光膜	安全消防	安全警示	安全警示	卷	10cm反光警示带黄黑；反光警示带		
PIPE-000040	高压油管	高压油管 DN51-4SH	规格/口径：DN51；等级：4SH	液压气动	高压油管/胶管	高压油管/胶管	米	DN51*4SH高压油管；高压油管		
SAFE-000101	安全绳	安全绳 Φ14	直径：Φ14mm；材质：尼龙；长度：100m/卷	劳保防护	安全带/安全绳	安全带/安全绳	米	安全绳Φ14；安全绳		
CHEM-000019	脱漆剂	脱漆剂 1L/瓶	容量：1L/瓶	化工胶粘涂料	清洗脱漆剂	清洗脱漆剂	瓶	高效脱漆剂；脱漆剂		
MAT-000151	聚氨酯防水材料	聚氨酯防水材料 油性 10kg	体系：油性；包装：10kg/桶	建筑材料	防水保温材料	防水保温材料	桶	油性聚氨酯10KG；油性聚氨酯		
TOOL-000170	螺丝刀	一字螺丝刀 6*250	头型：一字；规格：6*250mm；材质：铬钒钢	工具量具	螺丝刀/批类	螺丝刀/批类	把	6*250一字螺丝刀；一字螺丝刀；螺丝刀		
ELEC-000195	电缆防水接头	电缆防水接头 M50*1.5 金属	螺纹规格：M50*1.5；材质：金属	电气电料	电缆附件	电缆附件	个	金属电缆防水接头M50*1.5；金属电缆防水接头		
MAT-000065	手持打码机	手持打码机 大字符	功能：大字符；类型：手持；适用：金属/塑料	施工机具设备	小型施工设备	小型施工设备	台	手持大字符打码机；手持打码机		
SAFE-000031	防坠安全网	防坠安全网 1.8m×6m	尺寸：1.8m×6m；材质：锦纶；网目：5cm×5cm；类型：防坠安全网	安全消防	安全网/防护网	安全网/防护网	张	定做防坠安全网；防坠安全网		
TOOL-000228	胶枪	胶枪 通用 世达	规格：通用；适用：玻璃胶/硅胶	工具量具	胶枪/施胶工具（候选新增）	胶枪/施胶工具（候选新增）	把	世达胶枪；胶枪	世达	
PIPE-000166	法兰	碳钢法兰 DN273 16kg	公称直径：DN273；压力等级：16kg；材质：碳钢	管材管件阀门	法兰	法兰	个	273法兰盘；法兰		
MAT-CEM-000009	水泥钉	水泥钉 25mm 盒装	长度：25mm；直径：1.0mm；包装数量：100颗/盒	紧固件与连接件	钉类	钉类	盒	水泥钉		
ELEC-000090	蓄电池	蓄电池 12V 20Ah	电压：12V；容量：20Ah	电气电料	电源/电池	电源/电池	个	12v蓄电池；蓄电池		
SAFE-000039	伸缩杆	伸缩杆 红色 2米	颜色：红色；长度：2米；材质：铝合金	安全消防	围挡护栏	围挡护栏	个	红色伸缩杆；伸缩杆		
MAT-000146	膨润土	膨润土 抗盐型	类型：抗盐	化工胶粘涂料	化工原料	化工原料	吨	抗盐膨润土		
PIPE-000233	气管	PU气管 16mm	外径：16mm；材质：PU	液压气动	气管	气管	米	16mm气管；气管		
CONST-000007	土工布	土工布 200g/m² 宽4m	材质：涤纶；克重：200g/m²；宽度：4m	建筑材料	土工材料	土工材料	平方米			
TOOL-000094	表笔	表笔 摇表用	适用设备：摇表；类型：测试表笔；插头类型：香蕉头	工具量具	检测仪器配件（候选新增）	检测仪器配件（候选新增）	个	摇表笔；摇表表笔		
TOOL-000155	液压扳手套装	液压扳手套装 恩耐克 2000N.m	品牌：恩耐克；扭矩范围：2000N.m；驱动轴：3/4英寸	工具量具	液压工具	液压工具	套	恩耐克液压扳手套装；液压扳手套装	恩耐克	A2000
MAT-000109	窗户	窗户 定制 铝合金 推拉	材质：铝合金；尺寸：定制；开启方式：推拉；定制：是	建筑材料	门窗构件（候选新增）	门窗构件（候选新增）	个	定做窗户		
