编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01427	高压球阀	品牌: 埃美柯；规格: 20；类型: 高压球阀	阀门/球阀	个	20埃美柯高压球阀	材质/压力等级/连接形式缺失
REVIEW-MAT-01428	高压对丝	规格: 20；类型: 对丝	液压/高压管路	个	20高压对丝	螺纹标准/压力等级缺失
REVIEW-MAT-01429	堵漏聚氨酯主剂	材料: 聚氨酯；用途: 堵漏；组分: 主剂	化工原料/堵漏材料	斤	堵漏聚氨酯主剂	包装规格/配比/品牌缺失
REVIEW-MAT-01430	堵漏聚氨酯副剂	材料: 聚氨酯；用途: 堵漏；组分: 副剂	化工原料/堵漏材料	斤	堵漏聚氨酯副剂	包装规格/配比/品牌缺失
REVIEW-MAT-01431	双快水泥	类型: 双快水泥	建材/水泥砂浆	包	双快水泥	状态：可合并；与2350同类，强度等级/包装重量缺失 | 与2321同类，强度等级/包装重量缺失
REVIEW-MAT-01432	铝合金枪头	规格: 65；材质: 铝合金；部件: 枪头	注浆设备/配件	套	65铝合金枪头	适配设备/接口缺失
REVIEW-MAT-01433	聚氨酯枪头	用途: 聚氨酯注浆；部件: 枪头	注浆设备/配件	个	聚氨酯枪头	规格/接口/适配设备缺失
REVIEW-MAT-01434	齿轮泵	功率: 2.2kW；类型: 齿轮泵	设备备件/泵	台	2.2千瓦齿轮泵	流量/压力/接口/型号缺失
REVIEW-MAT-01435	高压水管	规格: 100；用途: 高压水	液压/高压管路	米	100高压水管	压力等级/材质/层数缺失
REVIEW-MAT-01436	钻头	直径: 10mm；长度: 200mm	工具/钻头	个	10*200钻头	钻头类型/柄型/材质缺失
REVIEW-MAT-01437	钻头	直径: 12mm；长度: 200mm	工具/钻头	个	12*200钻头	钻头类型/柄型/材质缺失
REVIEW-MAT-01438	钻头	直径: 14mm；长度: 200mm	工具/钻头	个	14*200钻头	钻头类型/柄型/材质缺失
REVIEW-MAT-01439	钻头	直径: 16mm；长度: 200mm	工具/钻头	个	16*200钻头	钻头类型/柄型/材质缺失
REVIEW-MAT-01440	注浆管接头	部件: 管头/接头；用途: 注浆	注浆设备/配件	个	注浆管头子	规格/接口/材质缺失
REVIEW-MAT-01441	胶钳	品牌: 世达；规格: 200mm；类型: 胶钳	工具/手动工具	个	200世达胶钳	准确品类是否钢丝钳/胶柄钳需确认
REVIEW-MAT-01442	注浆枪头	用途: 注浆；部件: 枪头	注浆设备/配件	个	注浆枪头	规格/接口/适配设备缺失
REVIEW-MAT-01443	尖嘴钳	品牌: 世达；类型: 尖嘴钳	工具/手动工具	个	世达尖嘴钳	长度/型号缺失
REVIEW-MAT-01444	高压球阀	品牌: 埃美柯；规格: 25；类型: 高压球阀	阀门/球阀	个	25埃美柯高压球阀	材质/压力等级/连接形式缺失
REVIEW-MAT-01445	钢丝管	规格: 25；结构: 钢丝增强	液压/高压管路	米	25钢丝管	压力等级/层数/材质缺失
REVIEW-MAT-01446	转换宝塔接头	类型: 宝塔头；用途: 转换接头	液压/高压管路	套	转换宝塔头	两端规格/材质/压力等级缺失
REVIEW-MAT-01447	高压胶管	规格: 50；结构等级: 4SH	液压/高压管路	米	50*4SH高压胶管	压力等级/标准/接头形式缺失
REVIEW-MAT-01448	胶管接头	规格: 100；类型: 胶管接头	液压/高压管路	套	100胶管接头	连接形式/材质/压力等级缺失
REVIEW-MAT-01449	钻头	直径: 20mm；长度: 800mm	工具/钻头	个	20*800钻头	钻头类型/柄型/材质缺失
REVIEW-MAT-01450	棉被	类型: 棉被	行政后勤/生活用品	个	棉被	尺寸/重量/用途缺失
