item_code	original_item_name	proposed_item_name	original_sku_name	proposed_sku_name	original_required_specs	proposed_required_specs	original_optional_specs	proposed_optional_specs	original_stock_uom	proposed_stock_uom	original_aliases	proposed_aliases	original_brand	proposed_brand	original_model	proposed_model	duplicate_with_item_code	change_reason
PIPE-000107	弯头	弯头	碳钢焊接弯头 89mm 90°	碳钢焊接弯头 89mm 90度	材质：碳钢；规格/口径：89mm；连接：焊接；角度：90度	材质：碳钢；规格/口径：89mm；连接方式：焊接；角度：90度			个	个	89焊接弯头；焊接弯头	89焊接弯头；焊接弯头						碳钢焊接弯头按89mm口径与90度角度规范，未标注壁厚不推断。
PIPE-000108	弯头	弯头	碳钢焊接弯头 168mm 90°	碳钢焊接弯头 168mm 90度	材质：碳钢；规格/口径：168mm；连接：焊接；角度：90度	材质：碳钢；规格/口径：168mm；连接方式：焊接；角度：90度			个	个	168焊接弯头；焊接弯头	168焊接弯头；焊接弯头						碳钢焊接弯头按168mm口径与90度角度规范，未标注壁厚不推断。
PIPE-000124	弯头	弯头	碳钢焊接弯头 325mm 加厚 90°	碳钢焊接弯头 325mm 加厚 90度	材质：碳钢；规格/口径：325mm；特征：加厚；连接：焊接；角度：90度	材质：碳钢；规格/口径：325mm；特征：加厚；连接方式：焊接；角度：90度			个	个	325加厚焊接弯头；焊接弯头	325加厚焊接弯头；焊接弯头						碳钢焊接弯头按325mm口径、加厚与90度角度规范，未标注壁厚不推断。
PIPE-000148	弯头	弯头	碳钢焊接弯头 325mm 90°	碳钢焊接弯头 325mm 90度	材质：碳钢；规格/口径：325mm；连接：焊接；角度：90度	材质：碳钢；规格/口径：325mm；连接方式：焊接；角度：90度			个	个	325焊接弯头；焊接弯头	325焊接弯头；焊接弯头						碳钢焊接弯头按325mm口径与90度角度规范，无加厚特征。
PIPE-000149	弯头	弯头	碳钢焊接弯头 325mm 45°	碳钢焊接弯头 325mm 45度	材质：碳钢；规格/口径：325mm；连接：焊接；角度：45度	材质：碳钢；规格/口径：325mm；连接方式：焊接；角度：45度			个	个	325*45焊接弯头；焊接弯头	325×45焊接弯头；焊接弯头						碳钢焊接弯头按325mm口径与45度角度规范。
PIPE-000208	弯头	弯头	镀锌弯头 DN80	镀锌弯头 DN80	口径：DN80；表面处理：镀锌	规格/口径：DN80；表面处理：镀锌			个	个	80镀锌弯头；镀锌弯头	80镀锌弯头；镀锌弯头						按镀锌表面处理与DN80公称通径规范，基体材质未标注不推断。
PIPE-000213	弯头	弯头	PPR弯头 63mm	PPR弯头 63mm	材质：PPR；规格/口径：63mm	材质：PPR；规格/口径：63mm			个	个	63PPR弯头；PPR弯头	63PPR弯头；PPR弯头						PPR按公称外径63mm规范为弯头，角度未标注不推断。
PIPE-000252	弯头	弯头	碳钢焊接弯头 89mm*10mm	碳钢焊接弯头 89×10mm	材质：碳钢；规格/口径：89mm；壁厚：10mm；连接：焊接	材质：碳钢；规格/口径：89mm；壁厚：10mm；连接方式：焊接			个	个	89*10焊接弯头；焊接弯头	89×10焊接弯头；焊接弯头						碳钢焊接弯头按89mm×10mm壁厚规范，未标注角度不推断。
PIPE-000253	弯头	弯头	碳钢焊接弯头 168mm*10mm	碳钢焊接弯头 168×10mm	材质：碳钢；规格/口径：168mm；壁厚：10mm；连接：焊接	材质：碳钢；规格/口径：168mm；壁厚：10mm；连接方式：焊接			个	个	168*10焊接弯头；焊接弯头	168×10焊接弯头；焊接弯头						碳钢焊接弯头按168mm×10mm壁厚规范，未标注角度不推断。
PIPE-000372	弯头	弯头	PVC弯头 315mm 45°	PVC弯头 315mm 45度	材质：PVC；规格/口径：315mm；角度：45度	材质：PVC；规格/口径：315mm；角度：45度			个	个	PVC弯头	PVC弯头						整族PVC弯头命名统一，角度由45°归一为45度
PIPE-000373	弯头	弯头	PVC弯头 315mm 90°	PVC弯头 315mm 90度	材质：PVC；规格/口径：315mm；角度：90度	材质：PVC；规格/口径：315mm；角度：90度			个	个	PVC弯头	PVC弯头						整族PVC弯头命名统一，角度由90°归一为90度
PIPE-000425	弯头	弯头	UPVC弯头 25mm 90°	UPVC弯头 25mm 90度	材质：UPVC；规格/口径：25mm；角度：90度	材质：UPVC；规格/口径：25mm；角度：90度			个	个	UPVC弯头	UPVC弯头						UPVC弯头按材质和角度区分，角度归一为90度
PIPE-000426	弯头	弯头	UPVC弯头 25mm 45°	UPVC弯头 25mm 45度	材质：UPVC；规格/口径：25mm；角度：45度	材质：UPVC；规格/口径：25mm；角度：45度			个	个	UPVC弯头	UPVC弯头						UPVC弯头按材质和角度区分，角度归一为45度
PIPE-000434	弯头	内丝弯头	镀锌内丝弯头 2寸	镀锌内丝弯头 2寸	口径：2寸；表面处理：镀锌；接口：内丝	规格/口径：2寸；接口：内丝；表面处理：镀锌			个	个	镀锌内丝弯头2寸；镀锌内丝弯头	镀锌内丝弯头2寸；镀锌内丝弯头						按接口属性归类为内丝弯头，统一口径和表面处理字段
PIPE-000435	弯头	内丝弯头	镀锌内丝弯头 3寸	镀锌内丝弯头 3寸	口径：3寸；表面处理：镀锌；接口：内丝	规格/口径：3寸；接口：内丝；表面处理：镀锌			个	个	镀锌内丝弯头3寸；镀锌内丝弯头	镀锌内丝弯头3寸；镀锌内丝弯头						按接口属性归类为内丝弯头，统一口径和表面处理字段
PIPE-000440	弯头	内丝弯头	镀锌内丝弯头 4分	镀锌内丝弯头 4分	口径：4分；表面处理：镀锌；接口：内丝	规格/口径：4分；接口：内丝；表面处理：镀锌			个	个	镀锌内丝弯头4分；镀锌内丝弯头	镀锌内丝弯头4分；镀锌内丝弯头						按接口属性归类为内丝弯头，统一口径和表面处理字段
PIPE-000449	弯头	弯头	碳钢焊接弯头 159mm 90°	碳钢焊接弯头 159mm 90度	材质：碳钢；规格/口径：159mm；连接：焊接；角度：90度	材质：碳钢；规格/口径：159mm；连接方式：焊接；角度：90度			个	个	焊接90度弯头159；焊接弯头	焊接90度弯头159；焊接弯头						整族碳钢焊接弯头命名统一，角度由90°归一为90度，连接字段统一为连接方式
PIPE-000463	弯头	弯头	PPR弯头 32mm	PPR弯头 32mm	材质：PPR；规格/口径：32mm	材质：PPR；规格/口径：32mm			个	个	PPR弯头	PPR弯头						PPR弯头按材质和口径区分，原始未标注角度故不补充
PIPE-000466	弯头	弯头	PVC弯头 100mm	PVC弯头 100mm	材质：PVC；规格/口径：100mm	材质：PVC；规格/口径：100mm			个	个	PVC弯头	PVC弯头						PVC弯头按材质和口径区分，原始未标注角度故不补充
PIPE-000478	弯头	弯头	镀锌弯头 2寸	镀锌弯头 2寸	口径：2寸；表面处理：镀锌	规格/口径：2寸；表面处理：镀锌			个	个	镀锌弯头2寸；镀锌弯头	镀锌弯头2寸；镀锌弯头						镀锌作为表面处理属性保留，统一口径表示为寸，未标注角度不补充
PIPE-000485	弯头	弯头	镀锌弯头 6分	镀锌弯头 6分	口径：6分；表面处理：镀锌	规格/口径：6分；表面处理：镀锌			个	个	镀锌弯头6分；镀锌弯头	镀锌弯头6分；镀锌弯头						镀锌作为表面处理属性保留，统一口径表示为分，未标注角度不补充
