group_id	item_name	old_groups	sku_count	suggested_category	suggested_subcategory	needs_split	split_basis	confidence	reason
IMG-0797	电焊机接线夹	焊接工具/焊机配件	1	焊接切割	焊割工具	no		high	接线夹为电焊机作业连接工具。
IMG-0798	电焊眼镜	劳保耗材/眼面防护	2	劳保防护	眼面防护	no		high	样例均为电焊防护眼镜。
IMG-0799	电焊线	电气材料/电线电缆	2	电气电料	电线电缆	no		high	电焊线按专用电缆线材归类。
IMG-0800	电焊钳	焊割耗材/焊钳；焊接工具/焊钳；焊接耗材/焊割工具	6	焊接切割	焊割工具	no		high	电焊钳是焊接夹持工具，旧耗材口径不准确。
IMG-0801	电瓶夹线	电气材料/电工工具	1	电气电料	电气辅材	no		medium	电瓶夹带线为临时接电连接辅材，旧电工工具偏窄。
IMG-0802	电磁阀	气动元件/阀；阀门/电磁阀	2	液压气动	气动阀件	no		medium	样例含4M系列气动电磁阀，标准表无气动阀件二级，新增二级。
IMG-0803	电箱	电气材料/配电箱	2	电气电料	低压电器	no		high	电箱为低压配电箱柜类电气物料。
IMG-0804	电箱刀闸推拉杆	电气/配电箱配件	1	电气电料	电气辅材	no		high	刀闸推拉杆为配电箱操作辅件。
IMG-0805	电箱围栏	定制件/安全围栏	1	安全消防	围挡护栏	no		high	二级电箱围栏用于现场隔离防护，旧定制件口径不如安全设施准确。
IMG-0806	电箱提手	电气/配电箱配件	1	电气电料	电气辅材	no		high	电箱提手是配电箱附件。
IMG-0807	电箱罩	定制件/电气箱柜	2	定制加工件	金属加工件	no		high	样例为定做加厚电箱罩，属非标加工防护件。
IMG-0808	电箱锁	电气/配电箱配件	1	电气电料	电气辅材	no		high	电箱锁为配电箱附件，不按普通门锁归类。
IMG-0809	电箱门锁	电气材料/配电箱附件	1	电气电料	电气辅材	no		high	电箱门锁用于配电箱，归电气辅材。
IMG-0810	电线	电气材料/电线电缆	4	电气电料	电线电缆	no		high	样例均为起帆不同截面积电线。
IMG-0811	电线扎丝	电气耗材/绑扎耗材	1	电气电料	电气辅材	no		high	用于电线绑扎，归电气辅材；耗材不作为分类。
IMG-0812	电缆	电气/电线电缆；电气材料/电线电缆	9	电气电料	电线电缆	no		high	样例均为多芯电缆。
IMG-0813	电缆三角支架	电气/电缆支架	1	电气电料	电气辅材	no		high	电缆支架用于电缆敷设固定。
IMG-0814	电缆线	电气材料/电线电缆	7	电气电料	电线电缆	no		high	样例均为电缆线规格。
IMG-0815	电缆防水接头	电气材料/电缆附件	3	电气电料	电气辅材	no		high	电缆防水接头是电缆进出线附件。
IMG-0816	电视支架	行政后勤/办公用品；行政后勤/办公设备配件	2	清洁办公后勤	办公用品	no		medium	电视支架服务办公后勤设备安装，归办公用品。
IMG-0817	电钻	工具器具/电动工具	1	电动气动工具	电动工具	no		high	电钻为电动工具整机。
IMG-0818	电钻夹头钥匙	电动工具/电钻配件	1	电动气动工具	工具附件	no		high	电钻夹头钥匙为电钻附件。
IMG-0819	电镐	工具器具/电动工具	1	电动气动工具	电动工具	no		high	电镐为电动工具整机。
IMG-0820	电镐碳刷	工具备件/电动工具配件	1	电动气动工具	工具附件	no		high	碳刷为电镐电动工具附件。
IMG-0821	白布	劳保耗材/擦拭材料	1	清洁办公后勤	清洁耗材	no		medium	白布用于擦拭清洁，旧劳保耗材口径不准确。
IMG-0822	百兆交换机	弱电安防/网络设备	1	弱电安防	网络材料	no		high	交换机属于弱电网络设备，按网络材料归入。
IMG-0823	百叶砂轮片	工具器具/磨切耗材	1	工具耗材	砂轮片	no		high	百叶砂轮片为打磨耗材。
IMG-0824	百叶轮	磨具磨料/百叶轮	1	工具耗材	磨具	no		high	百叶轮属于打磨磨具耗材。
IMG-0825	监控摄像头	弱电安防/监控设备	1	弱电安防	监控设备	no		high	监控摄像头属于监控设备。
IMG-0826	直接扣件	建筑施工耗材/脚手架扣件	1	紧固件与连接件	卡扣	no		medium	脚手架直接扣件用于连接固定，旧建筑施工耗材口径过宽。
IMG-0827	直角接头	定制件/管路接头	1	定制加工件	管路接头	no		high	样例标明加工直角管路接头。
IMG-0828	直角接头加工件	定制件/管路接头	1	定制加工件	管路接头	no		high	名称和样例均为加工直角接头。
IMG-0829	直通	工程材料/PVC管件	1	管材管件阀门	直接	no		high	PVC直通为管路直接件，工程材料旧类目过宽。
IMG-0830	石子	建筑材料/水泥砂石	2	建筑材料	水泥砂石	no		high	石子属于砂石骨料。
IMG-0831	石笔	工具耗材/划线耗材；焊接耗材/划线工具	2	工具耗材	划线耗材	no		medium	石笔用于现场划线标记，标准表无划线耗材二级，新增二级。
IMG-0832	砂纸	工具器具/磨切耗材；工具耗材/磨料磨具；磨具磨料/砂纸	5	工具耗材	磨具	no		high	砂纸为打磨耗材。
IMG-0833	砖刀	工具器具/施工工具	1	工具量具	手动工具	no		high	砖刀为砌筑施工手动工具。
IMG-0834	硅晶板	板材/硅晶板	1	建筑材料	装饰材料	no		medium	硅晶板为建筑板材，按装饰板材归类。
IMG-0835	硅胶枪	工具/施胶工具	1	工具量具	手动工具	no		high	硅胶枪为手动施胶工具。
IMG-0836	硅酸盐水泥	建材/水泥	1	建筑材料	水泥砂石	no		high	硅酸盐水泥属于水泥材料。
IMG-0837	碘伏	劳保耗材/急救用品	1	劳保防护	急救用品	no		medium	碘伏为现场急救消毒用品，标准表无急救二级，新增二级。
IMG-0838	碳刷	电动工具/电机配件	2	电动气动工具	工具附件	no		high	样例为电动工具碳刷配件。
IMG-0839	碳弧气刨枪套装	焊接工具/气刨工具	1	焊接切割	焊割工具	no		high	碳弧气刨枪为焊割作业工具。
IMG-0840	碳棒	焊接材料/气刨耗材；焊接耗材/气刨耗材	2	焊接切割	切割耗材	no		high	气刨碳棒为焊割切割耗材。
IMG-0841	碳钢焊条	焊接材料/焊条	1	焊接切割	焊接耗材	no		high	碳钢焊条为焊接耗材。
IMG-0842	磨光片	工具器具/磨切耗材	1	工具耗材	磨具	no		high	磨光片用于打磨抛光，归磨具耗材。
IMG-0843	离心机滤网	定制件/设备滤网	1	定制加工件	图纸件	no		medium	样例为订做离心机滤网，非标设备配套件按图纸件。
IMG-0844	离心机钢板	定制件/设备加工件	1	定制加工件	金属加工件	no		high	加工离心机钢板为非标金属加工件。
IMG-0845	稀释剂	油漆涂料/稀释剂	2	化工胶粘涂料	涂料	no		medium	稀释剂为油漆涂料配套溶剂，归化工涂料类。
IMG-0846	空气净化器	行政后勤/空气净化设备	1	清洁办公后勤	生活用品	no		medium	空气净化器为后勤生活设备，归生活用品。
IMG-0847	空气开关	电气材料/低压电器	2	电气电料	低压电器	no		high	空气开关是低压断路器。
IMG-0848	空调	行政后勤/空调设备	2	清洁办公后勤	生活用品	no		medium	空调为后勤生活电器，归生活用品。
IMG-0849	空调插座	电气材料/插头插座	1	电气电料	插头插座	no		high	空调插座属于插头插座类电气材料。
IMG-0850	窗帘支架	行政后勤/设施配件	1	清洁办公后勤	门窗五金	no		medium	窗帘支架为门窗附属五金件。
IMG-0851	窗帘架拉链	装修材料/窗帘配件	1	清洁办公后勤	门窗五金	no		medium	窗帘架拉链为窗帘门窗配件。
IMG-0852	窗户	定制件/门窗制品	1	建筑材料	装饰材料	no		medium	定做窗户属于建筑门窗装饰材料，旧定制件口径偏加工属性。
IMG-0853	立式排污泵	设备/泵类设备	1	施工机具设备	泵类设备	no		high	立式排污泵为泵类设备整机。
IMG-0854	立式灭火标志	消防材料/消防标识	1	安全消防	警示标识	no		high	灭火标志属于消防警示标识。
IMG-0855	端子压线钳	工具器具/电工工具	1	工具量具	电工工具	no		high	端子压线钳为电工压接工具。
IMG-0856	端子排	电气材料/接线端子	1	电气电料	接线端子	no		high	端子排属于接线端子。
IMG-0857	竹扫把	清洁工具/扫把；清洁用品/扫把；行政后勤/清洁用品	4	清洁办公后勤	清洁工具	no		high	竹扫把是清洁工具。
IMG-0858	竹梯	工具/登高工具	1	工具量具	手动工具	no		medium	竹梯为现场登高手动工具。
IMG-0859	等离子割嘴	焊接耗材/等离子切割配件	1	焊接切割	切割耗材	no		high	等离子割嘴为切割耗材。
IMG-0860	管卡	工程材料/管道紧固；管道紧固/管卡	5	紧固件与连接件	管卡	no		high	管卡用于管道固定，工程材料旧类目过宽。
IMG-0861	管型接线端子	电气/接线端子	2	电气电料	接线端子	no		high	管型端子属于接线端子。
IMG-0862	管夹	管夹/管路固定件	2	紧固件与连接件	管卡	no		high	管夹用于管路固定，按管卡类连接固定件处理。
IMG-0863	管片密封胶	化工耗材/胶粘剂	1	化工胶粘涂料	密封材料	no		high	管片密封胶用于接缝密封，旧胶粘剂偏宽。
IMG-0864	管片强力胶	化工耗材/胶粘剂	1	化工胶粘涂料	胶粘剂	no		high	强力胶用于管片粘接，归胶粘剂。
IMG-0865	管片螺丝	定制件/紧固件	1	定制加工件	金属加工件	no		medium	样例为加工管片螺丝，非标紧固金属加工件。
IMG-0866	管箍	管件/管箍	1	管材管件阀门	直接	no		medium	管箍用于管路直连套接，按直接类管件处理。
IMG-0867	管道增压泵	设备备件/泵	2	施工机具设备	泵类设备	no		high	管道增压泵为泵类整机，旧设备备件口径偏维修。
IMG-0868	管道泵	设备备件/泵	1	施工机具设备	泵类设备	no		high	管道泵为泵类设备整机。
IMG-0869	管钳	工具/手动工具	7	工具量具	手动工具	no		high	管钳为管道作业手动工具。
IMG-0870	紧线器	工具器具/电力工具	1	工具量具	电工工具	no		high	紧线器用于电力线路张紧，归电工工具。
IMG-0871	红花油	劳保/急救用品	1	劳保防护	急救用品	no		medium	红花油为现场急救药品，标准表无急救二级，新增二级。
IMG-0872	纱布	劳保耗材/急救用品	1	劳保防护	急救用品	no		medium	纱布为急救包扎用品，标准表无急救二级，新增二级。
IMG-0873	纸箱	包装材料/纸箱	1	包装覆盖周转	周转容器	no		medium	纸箱为包装容器，按周转容器类归入。
IMG-0874	线槽	电气材料/电气辅材	1	电气电料	电气辅材	no		high	线槽用于电线敷设保护。
IMG-0875	线盒	电气材料/电气辅材	1	电气电料	电气辅材	no		high	明装线盒为电气安装辅材。
IMG-0876	组合枪头	注浆设备/配件	1	设备备件	通用机械备件	no		medium	组合枪头为注浆设备配件，归设备备件而非整机。
IMG-0877	绝缘一字螺丝刀	工具/电工工具	1	工具量具	电工工具	no		high	绝缘螺丝刀为电工手动工具。
IMG-0878	绝缘十字螺丝刀	工具/电工工具	2	工具量具	电工工具	no		high	绝缘十字螺丝刀为电工手动工具。
IMG-0879	绝缘摇表	工具器具/检测仪器	1	工具量具	检测仪器	no		high	绝缘摇表用于绝缘检测。
IMG-0880	绝缘橡胶板	绝缘材料/橡胶板	1	电气电料	绝缘材料	no		high	绝缘橡胶板用于电气绝缘防护。
IMG-0881	绝缘电阻表	仪表/电气仪表	1	工具量具	检测仪器	no		high	绝缘电阻表用于绝缘测量，归检测仪器。
IMG-0882	绝缘胶带	电气材料/电工耗材	1	电气电料	绝缘材料	no		high	绝缘胶带属于电气绝缘材料。
IMG-0883	继电器套装	电气/继电器	1	电气电料	低压电器	no		high	继电器带底座为低压控制电器。
IMG-0884	编织袋	包装材料/编织袋；包装材料/袋类	6	包装覆盖周转	包装袋	no		high	编织袋属于包装袋。
IMG-0885	缠绕膜	包装材料/缠绕膜	1	包装覆盖周转	覆盖材料	no		high	缠绕膜用于包装覆盖。
IMG-0886	网线对接头	弱电安防/网络配件	1	弱电安防	网络材料	no		high	网线对接头为弱电网络连接材料。
IMG-0887	网线钳	工具器具/电工工具	1	工具量具	电工工具	no		high	网线钳为弱电压接电工工具。
IMG-0888	网线防水对接头	电气材料/弱电材料	1	弱电安防	网络材料	no		high	防水网线对接头属于弱电网络材料，旧电气材料偏宽。
IMG-0889	羊毛刷	工具器具/涂装工具；涂装工具/刷子	10	工具耗材	刷具	no		high	羊毛刷为涂装刷具耗材。
IMG-0890	羊毛漆刷	涂装工具/刷子	1	工具耗材	刷具	no		high	羊毛漆刷属于涂装刷具耗材。
IMG-0891	美工刀	工具/刀具；工具器具/手动工具	6	工具量具	手动工具	no		high	美工刀为手动切割工具。
IMG-0892	美工刀片	工具器具/手动工具配件；工具耗材/刀片	3	工具耗材	刀片	no		medium	美工刀片是消耗刀片，标准表无刀片二级，新增二级。
IMG-0893	美纹纸	化工耗材/胶粘带	1	包装覆盖周转	胶带	no		high	美纹纸为遮蔽胶带，旧化工耗材口径不准确。
IMG-0894	老虎钳	工具/手动工具；工具器具/手动工具	3	工具量具	手动工具	no		high	老虎钳为常用手动工具。
IMG-0895	耐磨水管	管材/水管	1	管材管件阀门	管材	no		high	耐磨水管属于管材。
IMG-0896	耐磨焊丝	焊接耗材/焊丝	1	焊接切割	焊接耗材	no		high	耐磨焊丝为焊接耗材。
IMG-0897	耦合剂	检测耗材/耦合剂	1	化工胶粘涂料	检测耗材	no		low	耦合剂为检测用化学介质，标准表无检测耗材二级，新增二级。
IMG-0898	聚氨酯堵漏主剂	化工原料/堵漏材料	1	化工胶粘涂料	密封材料	no		medium	聚氨酯堵漏主剂用于堵漏密封，归化工密封材料。
IMG-0899	聚氨酯堵漏剂	化工原料/堵漏材料；化工耗材/堵漏剂；化工耗材/堵漏材料	4	化工胶粘涂料	密封材料	no		high	聚氨酯堵漏剂用于防水堵漏密封，化工耗材旧口径不保留。
IMG-0900	聚氨酯堵漏副剂	化工原料/堵漏材料	1	化工胶粘涂料	密封材料	no		medium	聚氨酯堵漏副剂为堵漏密封配套材料。
IMG-0901	聚氨酯密封胶	化工耗材/密封胶	2	化工胶粘涂料	密封材料	no		high	聚氨酯密封胶属于密封材料。
IMG-0902	聚氨酯枪头	注浆设备/配件	1	设备备件	通用机械备件	no		medium	聚氨酯注浆枪头是注浆设备配件。
IMG-0903	聚氨酯泡沫填缝剂	化工辅料/密封填缝材料	1	化工胶粘涂料	密封材料	no		high	泡沫填缝剂用于填缝密封。
IMG-0904	背胶草皮	行政后勤/绿化用品	1	建筑材料	装饰材料	no		medium	背胶草皮为铺装装饰材料，旧行政后勤口径偏用途。
IMG-0905	胶垫	密封材料/胶垫	1	化工胶粘涂料	密封材料	no		high	胶垫用于密封垫片。
IMG-0906	胶带切割器	包装材料/包装工具	1	工具量具	手动工具	no		medium	胶带切割器是手动包装操作工具。
IMG-0907	胶手套	劳保耗材/手套	1	劳保防护	手套	no		high	胶手套为手部防护用品。
IMG-0908	胶接头	管件/软管接头	1	管材管件阀门	直接	no		medium	胶接头为管路软接连接件，按直接类管件处理。
IMG-0909	胶枪	工具/手动工具；工具/施胶工具	2	工具量具	手动工具	no		high	胶枪为手动施胶工具。
IMG-0910	胶水	化工耗材/胶粘剂	1	化工胶粘涂料	胶粘剂	no		high	胶水属于胶粘剂。
IMG-0911	胶管总成	液压/高压管路	33	液压气动	高压管路	no		high	样例均为带规格长度的高压胶管总成。
IMG-0912	胶管接头	液压/高压管路	1	液压气动	液压接头	no		high	胶管接头用于高压液压管路连接。
IMG-0913	胶粘剂	化工耗材/胶粘剂	1	化工胶粘涂料	胶粘剂	no		high	胶粘剂本体归化工胶粘剂。
IMG-0914	胶钳	工具/手动工具	1	工具量具	手动工具	no		medium	胶钳按钳类手动工具处理。
IMG-0915	脚手架钢管	建筑周转材料/脚手架	1	金属材料	钢管	no		high	架子管本质为脚手架用钢管，旧周转材料不是标准分类。
IMG-0916	脱漆剂	化工耗材/清洗剂；化工耗材/脱漆剂	2	化工胶粘涂料	清洗剂	no		high	脱漆剂用于漆膜清除，按化工清洗剂处理。
IMG-0917	膨胀止水条	建材/防水材料	1	建筑材料	防水材料	no		high	膨胀止水条属于防水止水材料。
IMG-0918	膨胀螺丝	五金备件/紧固件；紧固件/膨胀件；紧固件/膨胀螺丝	24	紧固件与连接件	膨胀锚栓	no		high	样例均为膨胀螺丝，五金备件旧口径过宽。
IMG-0919	膨胀钩	五金备件/紧固件；紧固件/膨胀件	2	紧固件与连接件	膨胀锚栓	no		high	膨胀钩属于膨胀锚固件。
IMG-0920	自动自吸泵	设备备件/泵	1	施工机具设备	泵类设备	no		high	自动自吸泵为泵类设备整机。
IMG-0921	自喷漆	化工耗材/涂料；油漆涂料/自喷漆	19	化工胶粘涂料	涂料	no		high	自喷漆为涂料类化工材料。
IMG-0922	自封袋	包装材料/自封袋	1	包装覆盖周转	包装袋	no		high	自封袋属于包装袋。
IMG-0923	自攻螺丝	紧固件/自攻螺丝	3	紧固件与连接件	螺丝	no		high	自攻螺丝属于螺丝类紧固件。
IMG-0924	自紧钻夹头	电动工具/电钻配件	1	电动气动工具	工具附件	no		high	自紧钻夹头为电钻工具附件。
IMG-0925	自锁气管接头公头	气动元件/气管接头	1	液压气动	气动接头	no		high	气管接头公头属于气动接头。
IMG-0926	自锁气管接头螺母	气动元件/气管接头	1	液压气动	气动接头	no		high	气管接头螺母属于气动接头配件。
IMG-0927	航空插头插座套装	电气/插头插座	1	电气电料	插头插座	no		high	航空插头插座套装属于插头插座。
IMG-0928	花兰螺丝	紧固件/拉紧件	1	吊装索具	牵引捆绑	no		medium	花兰螺丝用于拉紧调节，按索具牵引捆绑件处理。
IMG-0929	花篮螺丝	吊装索具/拉紧器	2	吊装索具	牵引捆绑	no		high	花篮螺丝是吊装牵引用拉紧器。
IMG-0930	花篮螺栓	吊装索具/紧固调节	2	吊装索具	牵引捆绑	no		high	花篮螺栓用于索具拉紧调节。
IMG-0931	花纹钢板	原材料/钢板；钢材/板材；钢材/钢板	6	金属材料	钢板	no		high	花纹钢板属于钢板原材。
IMG-0932	草帽	劳保耗材/防晒用品	1	劳保防护	头部防护	no		medium	草帽用于现场头部防晒防护，旧劳保耗材口径不保留。
IMG-0933	草皮	行政后勤/绿化用品	1	建筑材料	装饰材料	no		medium	草皮用于铺装绿化装饰，旧行政后勤偏用途。
IMG-0934	药芯焊丝	焊割耗材/焊材；焊接材料/焊丝	2	焊接切割	焊接耗材	no		high	药芯焊丝为焊接耗材。
IMG-0935	蒸饭柜	设备/厨房设备	1	清洁办公后勤	生活用品	no		medium	蒸饭柜为食堂后勤生活设备。
IMG-0936	蓄电池	电气材料/电池	1	电气电料	电气辅材	no		high	蓄电池为电气供电储能辅材。
IMG-0937	蚕丝被	行政后勤/生活用品	2	清洁办公后勤	生活用品	no		high	蚕丝被为生活后勤用品。
IMG-0938	蛇皮袋	包装材料/编织袋	1	包装覆盖周转	包装袋	no		high	蛇皮袋即编织包装袋。
IMG-0939	蝴蝶扣	吊装索具/连接件	1	吊装索具	卸扣	no		medium	蝴蝶扣为吊装链具连接扣，按卸扣连接件处理。
IMG-0940	蝴蝶扣子母环	吊装索具/链条配件	1	吊装索具	卸扣	no		medium	蝴蝶扣子母环为吊装链条连接配件。
IMG-0941	蝶阀	工程材料/阀门	1	管材管件阀门	阀门	no		high	蝶阀属于阀门，工程材料旧类目过宽。
IMG-0942	螺丝	五金备件/紧固件；紧固件/螺丝	23	紧固件与连接件	螺丝	no		high	样例均为各规格螺丝，五金备件旧口径过宽。
IMG-0943	螺丝取出器	工具/拆卸工具	1	工具量具	手动工具	no		high	螺丝取出器为拆卸手动工具。
IMG-0944	螺丝套件	紧固件/螺丝套件	9	紧固件与连接件	螺丝	no		high	螺丝带平垫弹垫仍属螺丝紧固件。
IMG-0945	螺丝杆	紧固件/螺杆	1	紧固件与连接件	螺杆	no		high	螺丝杆按螺杆类紧固件处理。
IMG-0946	螺丝组件	紧固件/螺丝	13	紧固件与连接件	螺丝	no		high	成套螺丝组件仍属螺丝类紧固件。
IMG-0947	螺杆	紧固件/螺杆	5	紧固件与连接件	螺杆	no		high	样例均为各规格螺杆。
IMG-0948	螺杆泵水封	备品备件/密封件	1	设备备件	泵类备件	no		high	螺杆泵水封为泵类维修密封备件。
IMG-0949	螺杆泵电机套装	设备备件/泵	1	施工机具设备	泵类设备	no		medium	螺杆泵加电机为泵类设备套装，旧设备备件偏维修。
IMG-0950	螺母	五金备件/紧固件；紧固件/螺母	13	紧固件与连接件	螺母	no		high	样例均为各规格螺母。
IMG-0951	螺纹接头	液压/高压管路	1	液压气动	液压接头	no		high	螺纹接头用于高压液压管路连接。
IMG-0952	螺纹灯座	电气/照明配件	1	电气电料	照明灯具	no		high	螺纹灯座为照明灯具配件。
IMG-0953	螺纹规	工具/测量工具	1	工具量具	测量工具	no		high	螺纹规用于螺纹测量。
IMG-0954	螺纹钢	钢材/螺纹钢	1	金属材料	钢筋	no		high	螺纹钢按钢筋类金属材料归类。
IMG-0955	螺纹钢筋	钢材/钢筋	1	金属材料	钢筋	no		high	螺纹钢筋属于钢筋。
IMG-0956	螺纹钢筋加工件	定制件/钢筋加工件	2	定制加工件	钢筋加工件	no		high	样例为加工指定长度螺纹钢筋。
IMG-0957	螺纹锁固胶	胶粘剂/螺纹锁固胶	2	化工胶粘涂料	胶粘剂	no		high	螺纹锁固胶属于胶粘剂。
IMG-0958	被子	行政后勤/生活用品	1	清洁办公后勤	生活用品	no		high	被子为生活后勤用品。
IMG-0959	角码	五金建材/连接件	1	紧固件与连接件	连接件	no		medium	角码为L形连接固定件，标准表无连接件二级，新增二级。
