item_code	item_name	required_specs	optional_specs	item_group	stock_uom	purchase_uom	conversion_factor	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_refs	governance_note	updated_at
ELEC-000009	电箱	型号/规格：P230		电气电料/低压电器	个			P230电箱	ELEC-000009 电箱 电气材料/配电箱 个 型号/规格：P230 P230电箱 P230			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=11；purchase_2024_source_rows=12；draft_sku_id=SKU-DRAFT-000011	缺失规格：品牌；型号；整理依据：P230语义未明，按原型号/规格保留；导入口径：confirm_then_import；重分类：电气材料/配电箱 -> 电气电料/低压电器；分类置信度：high；电箱为低压配电箱柜类电气物料。	2026-07-03
ELEC-000010	五孔插座	品牌：公牛；类型：五孔		电气电料/插头插座	个			公牛五孔插座	ELEC-000010 五孔插座 电气材料/插座开关 个 品牌：公牛 类型：五孔 公牛五孔插座 公牛 五孔	公牛		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=12；purchase_2024_source_rows=13；draft_sku_id=SKU-DRAFT-000012	缺失规格：型号；电压；电流；安装方式；整理依据：明装/暗装未说明，可能影响插座SKU区分；导入口径：do_not_import_missing_specs；重分类：电气材料/插座开关 -> 电气电料/插头插座；分类置信度：high；五孔插座属于插头插座类电气材料。	2026-07-03
ELEC-000011	四位开关	品牌：公牛；位数：4位		电气电料/开关按钮	个			公牛4位开关	ELEC-000011 四位开关 电气材料/插座开关 个 品牌：公牛 位数：4位 公牛4位开关 公牛 4位	公牛		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=13；purchase_2024_source_rows=14；draft_sku_id=SKU-DRAFT-000013	缺失规格：型号；电压；电流；安装方式；整理依据：明装/暗装未说明，可能影响开关SKU区分；导入口径：do_not_import_missing_specs；重分类：电气材料/插座开关 -> 电气电料/开关按钮；分类置信度：high；四位开关属开关按钮类电料。	2026-07-03
ELEC-000012	一位开关	品牌：公牛；位数：1位		电气电料/开关按钮	个			公牛1位开关	ELEC-000012 一位开关 电气材料/插座开关 个 品牌：公牛 位数：1位 公牛1位开关 公牛 1位	公牛		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=14；purchase_2024_source_rows=15；draft_sku_id=SKU-DRAFT-000014	缺失规格：型号；电压；电流；安装方式；整理依据：明装/暗装未说明，可能影响开关SKU区分；导入口径：do_not_import_missing_specs；重分类：电气材料/插座开关 -> 电气电料/开关按钮；分类置信度：high；一位开关属于开关按钮类电气材料。	2026-07-03
ELEC-000013	二位开关	品牌：公牛；位数：2位		电气电料/开关按钮	个			公牛2位开关	ELEC-000013 二位开关 电气材料/插座开关 个 品牌：公牛 位数：2位 公牛2位开关 公牛 2位	公牛		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=15；purchase_2024_source_rows=16；draft_sku_id=SKU-DRAFT-000015	缺失规格：型号；电压；电流；安装方式；整理依据：明装/暗装未说明，可能影响开关SKU区分；导入口径：do_not_import_missing_specs；重分类：电气材料/插座开关 -> 电气电料/开关按钮；分类置信度：high；二位开关属于开关按钮类电气材料。	2026-07-03
ELEC-000014	LED灯泡	品牌：公牛；功率：40W		电气电料/照明灯具	个			40WLED公牛灯泡	ELEC-000014 LED灯泡 电气材料/照明 个 品牌：公牛 功率：40W 40WLED公牛灯泡 公牛 40W	公牛		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=16；purchase_2024_source_rows=17；draft_sku_id=SKU-DRAFT-000016	缺失规格：规格；整理依据：色温/灯头规格缺失，可能影响LED灯泡SKU区分；导入口径：do_not_import_missing_specs；重分类：电气材料/照明 -> 电气电料/照明灯具；分类置信度：high；样例均为LED灯泡，功率/品牌为规格差异。	2026-07-03
ELEC-000015	BV电线	品牌：起帆；型号：BV；截面积：2.5平方		电气电料/电线电缆	米			起帆BV2.5平方电线；BV2.5起帆平方电线	ELEC-000015 BV电线 电气材料/电线电缆 米 品牌：起帆 型号：BV 截面积：2.5平方 起帆BV2.5平方电线 BV2.5起帆平方电线 起帆 BV 2.5平方	起帆	BV	candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=17；purchase_2024_source_rows=18；draft_sku_id=SKU-DRAFT-000017	缺失规格：颜色；整理依据：颜色缺失，BV电线通常需按颜色区分SKU；导入口径：do_not_import_missing_specs；重分类：电气材料/电线电缆 -> 电气电料/电线电缆；分类置信度：high；BV为常用电线型号，按电线电缆归类。	2026-07-03
ELEC-000016	BV电线	品牌：起帆；型号：BV；截面积：10平方		电气电料/电线电缆	米			起帆BV10平方电线	ELEC-000016 BV电线 电气材料/电线电缆 米 品牌：起帆 型号：BV 截面积：10平方 起帆BV10平方电线 起帆 BV 10平方	起帆	BV	candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=18；purchase_2024_source_rows=19；draft_sku_id=SKU-DRAFT-000018	缺失规格：颜色；整理依据：颜色缺失，BV电线通常需按颜色区分SKU；导入口径：do_not_import_missing_specs；重分类：电气材料/电线电缆 -> 电气电料/电线电缆；分类置信度：high；BV为常用电线型号，按电线电缆归类。	2026-07-03
ELEC-000017	BV电线	品牌：起帆；型号：BV；截面积：25平方		电气电料/电线电缆	米			起帆BV25平方电线	ELEC-000017 BV电线 电气材料/电线电缆 米 品牌：起帆 型号：BV 截面积：25平方 起帆BV25平方电线 起帆 BV 25平方	起帆	BV	candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=19；purchase_2024_source_rows=20；draft_sku_id=SKU-DRAFT-000019	缺失规格：颜色；整理依据：颜色缺失，BV电线通常需按颜色区分SKU；导入口径：do_not_import_missing_specs；重分类：电气材料/电线电缆 -> 电气电料/电线电缆；分类置信度：high；BV为常用电线型号，按电线电缆归类。	2026-07-03
TOOL-000001	紧线器	额定载荷：1T		工具量具/电工工具	套			1T紧线器	TOOL-000001 紧线器 工具器具/电力工具 套 额定载荷：1T 1T紧线器 1T			active	standard	auto_select_allowed	purchase_2024_candidate_rows=20；purchase_2024_source_rows=21；draft_sku_id=SKU-DRAFT-000020	导入口径：import_ready；重分类：工具器具/电力工具 -> 工具量具/电工工具；分类置信度：high；紧线器用于电力线路张紧，归电工工具。	2026-07-03
CONST-000001	木方	规格：4*9		建筑材料/模板木方	米			4*9木方	CONST-000001 木方 建筑材料/模板木方 米 规格：4*9 4*9木方 4*9			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=21；purchase_2024_source_rows=22；draft_sku_id=SKU-DRAFT-000021	缺失规格：材质；尺寸；整理依据：输入规格单位未确认，按原4*9保留；导入口径：confirm_then_import	2026-07-03
CONST-000002	木方	规格：4*4		建筑材料/模板木方	米			4*4木方	CONST-000002 木方 建筑材料/模板木方 米 规格：4*4 4*4木方 4*4			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=22；purchase_2024_source_rows=23；draft_sku_id=SKU-DRAFT-000022	缺失规格：材质；尺寸；整理依据：输入规格单位未确认，按原4*4保留；导入口径：confirm_then_import	2026-07-03
SPARE-000001	铁钉	长度：2寸		紧固件与连接件/钉	斤			2寸铁钉	SPARE-000001 铁钉 五金备件/紧固件 斤 长度：2寸 2寸铁钉 2寸			active	standard	auto_select_allowed	purchase_2024_candidate_rows=23；purchase_2024_source_rows=24；draft_sku_id=SKU-DRAFT-000023	导入口径：import_ready；重分类：五金备件/紧固件 -> 紧固件与连接件/钉；分类置信度：high；新建二级钉；铁钉为钉类紧固件，旧五金备件过泛。	2026-07-03
METAL-000001	不锈钢合页	材质：不锈钢；规格：4寸		清洁办公后勤/门窗五金	套			4寸不锈钢合页	METAL-000001 不锈钢合页 五金备件/门窗五金 套 材质：不锈钢 规格：4寸 4寸不锈钢合页 不锈钢 4寸			active	standard	auto_select_allowed	purchase_2024_candidate_rows=24；purchase_2024_source_rows=25；draft_sku_id=SKU-DRAFT-000024	导入口径：import_ready；重分类：五金备件/门窗五金 -> 清洁办公后勤/门窗五金；分类置信度：high；合页属于门窗五金，旧五金备件按标准归并。	2026-07-03
MAT-000001	墙纸	包装/规格：大卷		建筑材料/装饰材料	卷			墙纸大卷	MAT-000001 墙纸 装修材料/墙面材料 卷 包装/规格：大卷 墙纸大卷 大卷			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=25；purchase_2024_source_rows=26；draft_sku_id=SKU-DRAFT-000025	缺失规格：材质；整理依据：款式/材质缺失，大卷墙纸不足以区分SKU；导入口径：do_not_import_missing_specs；重分类：装修材料/墙面材料 -> 建筑材料/装饰材料；分类置信度：high；墙纸为墙面装饰材料。	2026-07-03
ADMIN-000001	热水壶	类型：热水壶		清洁办公后勤/生活用品	个			热水壶	ADMIN-000001 热水壶 办公生活用品/小电器 个 类型：热水壶			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=26；purchase_2024_source_rows=27；draft_sku_id=SKU-DRAFT-000026	缺失规格：品牌；容量；整理依据：容量/品牌缺失，热水壶无法唯一确定SKU；导入口径：do_not_import_missing_specs；重分类：办公生活用品/小电器 -> 清洁办公后勤/生活用品；分类置信度：high；热水壶是后勤生活用品。	2026-07-03
PIPE-000001	PPR管	品牌：公元；规格：25		管材管件阀门/管材	米			公元25PPR管	PIPE-000001 PPR管 工程材料/PPR管件 米 品牌：公元 规格：25 公元25PPR管 公元 25	公元		active	standard	auto_select_allowed	purchase_2024_candidate_rows=27；purchase_2024_source_rows=28；draft_sku_id=SKU-DRAFT-000027	导入口径：import_ready；重分类：工程材料/PPR管件 -> 管材管件阀门/管材；分类置信度：high；样例均为PPR管材，旧工程材料/PPR管件有误。	2026-07-03
PIPE-000002	PPR直通	品牌：公元；规格：25；类型：直通		管材管件阀门/直接	个			公元25PPR直通	PIPE-000002 PPR直通 工程材料/PPR管件 个 品牌：公元 规格：25 类型：直通 公元25PPR直通 公元 25 直通	公元		active	standard	auto_select_allowed	purchase_2024_candidate_rows=28；purchase_2024_source_rows=29；draft_sku_id=SKU-DRAFT-000028	导入口径：import_ready；重分类：工程材料/PPR管件 -> 管材管件阀门/直接；分类置信度：high；PPR直通与直接同属直连管件。	2026-07-03
PIPE-000003	PPR弯头	品牌：公元；规格：25；类型：弯头		管材管件阀门/弯头	个			公元25PPR弯头	PIPE-000003 PPR弯头 工程材料/PPR管件 个 品牌：公元 规格：25 类型：弯头 公元25PPR弯头 公元 25 弯头	公元		active	standard	auto_select_allowed	purchase_2024_candidate_rows=29；purchase_2024_source_rows=30；draft_sku_id=SKU-DRAFT-000029	导入口径：import_ready；重分类：工程材料/PPR管件 -> 管材管件阀门/弯头；分类置信度：high；样例均为PPR弯头，口径/品牌是规格差异。	2026-07-03
PIPE-000004	PPR热熔机	品牌：公元；用途：PPR热熔		电动气动工具/电动工具	个			公元热熔机	PIPE-000004 PPR热熔机 工具器具/管道工具 个 品牌：公元 用途：PPR热熔 公元热熔机 公元 PPR热熔	公元		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=30；purchase_2024_source_rows=31；draft_sku_id=SKU-DRAFT-000030	缺失规格：型号；整理依据：型号缺失，PPR热熔机按品牌和用途低精度建候选；导入口径：do_not_import_missing_specs；重分类：工具器具/管道工具 -> 电动气动工具/电动工具；分类置信度：medium；PPR热熔机是电加热管道工具，旧管道工具需转电动工具。	2026-07-03
PIPE-000005	PPR管剪刀	品牌：公元；用途：PPR管剪切		工具量具/手动工具	个			公元PPR剪刀	PIPE-000005 PPR管剪刀 工具器具/管道工具 个 品牌：公元 用途：PPR管剪切 公元PPR剪刀 公元 PPR管剪切	公元		active	standard	auto_select_allowed	purchase_2024_candidate_rows=31；purchase_2024_source_rows=32；draft_sku_id=SKU-DRAFT-000031	导入口径：import_ready；重分类：工具器具/管道工具 -> 工具量具/手动工具；分类置信度：high；PPR管剪刀为手动剪切工具。	2026-07-03
MAT-CEM-000001	石子	粒径：4-6mm		建筑材料/水泥砂石	斤			4-6MM石子	MAT-CEM-000001 石子 建筑材料/水泥砂石 斤 粒径：4-6mm 4-6MM石子 4-6mm			active	standard	auto_select_allowed	purchase_2024_candidate_rows=32；purchase_2024_source_rows=33；draft_sku_id=SKU-DRAFT-000032	导入口径：import_ready	2026-07-03
ELEC-000018	工业插头	品牌：公牛；电压：380V；电流：25A		电气电料/插头插座	个			公牛380V*25A插头	ELEC-000018 工业插头 电气材料/插头插座 个 品牌：公牛 电压：380V 电流：25A 公牛380V*25A插头 公牛 380V 25A	公牛		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=33；purchase_2024_source_rows=34；draft_sku_id=SKU-DRAFT-000033	缺失规格：型号；安装方式；整理依据：极数/插脚数缺失，工业插头可能无法唯一确定SKU；导入口径：do_not_import_missing_specs；重分类：电气材料/插头插座 -> 电气电料/插头插座；分类置信度：high；工业插头属插头插座类电料。	2026-07-03
ELEC-000019	电工胶布	品牌：3M		电气电料/绝缘材料	个			3M电胶布	ELEC-000019 电工胶布 电气材料/绝缘材料 个 品牌：3M 3M电胶布 3M	3M		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=34；purchase_2024_source_rows=35；draft_sku_id=SKU-DRAFT-000034	缺失规格：颜色；整理依据：颜色缺失，电工胶布通常需按颜色区分SKU；导入口径：do_not_import_missing_specs；重分类：电气材料/绝缘材料 -> 电气电料/绝缘材料；分类置信度：high；电工胶布是电气绝缘材料。	2026-07-03
TOOL-000002	多功能剥线钳	品牌：世达；类型：多功能剥线钳		工具量具/电工工具	只			世达多功能剥线钳	TOOL-000002 多功能剥线钳 工具器具/手动工具 只 品牌：世达 类型：多功能剥线钳 世达多功能剥线钳 世达	世达		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=35；purchase_2024_source_rows=36；draft_sku_id=SKU-DRAFT-000035	缺失规格：型号；整理依据：型号缺失，世达剥线钳可能无法唯一确定SKU；导入口径：do_not_import_missing_specs；重分类：工具器具/手动工具 -> 工具量具/电工工具；分类置信度：high；剥线钳是电工手动工具。	2026-07-03
TOOL-000003	断点检测电笔	功能：找断点/测电		工具量具/电工工具	只			找断点电笔	TOOL-000003 断点检测电笔 工具器具/电工工具 只 功能：找断点/测电 找断点电笔 找断点/测电			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=36;86；purchase_2024_source_rows=37;87；draft_sku_id=SKU-DRAFT-000036	缺失规格：型号；整理依据：型号缺失，断点检测电笔按功能低精度建候选；输入提示称同物料存在单位差异，需统一单位；导入口径：do_not_import_missing_specs；重分类：工具器具/电工工具 -> 工具量具/电工工具；分类置信度：high；找断点电笔属于电工检测工具。	2026-07-03
ELEC-000020	插座	品牌：公牛；电流：16A		电气电料/插头插座	个			公牛16A插座	ELEC-000020 插座 电气材料/插头插座 个 品牌：公牛 电流：16A 公牛16A插座 公牛 16A	公牛		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=37；purchase_2024_source_rows=38；draft_sku_id=SKU-DRAFT-000037	缺失规格：型号；电压；安装方式；整理依据：明装/暗装未说明，可能影响插座SKU区分；导入口径：do_not_import_missing_specs；重分类：电气材料/插头插座 -> 电气电料/插头插座；分类置信度：high；墙插和工业插座均属插头插座类。	2026-07-03
ADMIN-000002	洁厕灵	类型：洁厕清洁剂		清洁办公后勤/清洁耗材	瓶			洁厕灵	ADMIN-000002 洁厕灵 清洁用品/清洁剂 瓶 类型：洁厕清洁剂 洁厕清洁剂			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=38；purchase_2024_source_rows=39；draft_sku_id=SKU-DRAFT-000038	缺失规格：容量；整理依据：容量缺失，洁厕清洁剂无法唯一确定SKU；导入口径：do_not_import_missing_specs；重分类：清洁用品/清洁剂 -> 清洁办公后勤/清洁耗材；分类置信度：high；洁厕灵属于清洁耗材。	2026-07-03
MAT-000002	窗帘架拉链	类型：拉链/配件		清洁办公后勤/门窗五金	套			窗帘架拉链	MAT-000002 窗帘架拉链 装修材料/窗帘配件 套 类型：拉链/配件 拉链/配件			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=39；purchase_2024_source_rows=40；draft_sku_id=SKU-DRAFT-000039	缺失规格：规格；长度；整理依据：规格长度缺失，窗帘架拉链低精度建候选；导入口径：do_not_import_missing_specs；重分类：装修材料/窗帘配件 -> 清洁办公后勤/门窗五金；分类置信度：medium；窗帘架拉链为窗帘门窗配件。	2026-07-03
ELEC-000021	钢钉线卡	规格：20		电气电料/电气辅材	个			20钢钉线卡	ELEC-000021 钢钉线卡 电气材料/电气辅材 个 规格：20 20钢钉线卡 20			active	standard	auto_select_allowed	purchase_2024_candidate_rows=40；purchase_2024_source_rows=41；draft_sku_id=SKU-DRAFT-000040	导入口径：import_ready；重分类：电气材料/电气辅材 -> 电气电料/电气辅材；分类置信度：high；钢钉线卡用于电线固定，归电气辅材。	2026-07-03
PIPE-000006	三角阀	规格：4分		管材管件阀门/阀门	个			4分三角阀	PIPE-000006 三角阀 工程材料/阀门 个 规格：4分 4分三角阀 4分			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=41；purchase_2024_source_rows=42；draft_sku_id=SKU-DRAFT-000041	缺失规格：材质；整理依据：材质缺失，三角阀可能无法唯一确定SKU；导入口径：do_not_import_missing_specs；重分类：工程材料/阀门 -> 管材管件阀门/阀门；分类置信度：high；三角阀是水暖管路阀门，旧工程材料过宽。	2026-07-03
PIPE-000007	PPR三通	品牌：公元；规格：25；类型：三通		管材管件阀门/三通	个			公元PPR25三通	PIPE-000007 PPR三通 工程材料/PPR管件 个 品牌：公元 规格：25 类型：三通 公元PPR25三通 公元 25 三通	公元		active	standard	auto_select_allowed	purchase_2024_candidate_rows=42；purchase_2024_source_rows=43；draft_sku_id=SKU-DRAFT-000042	导入口径：import_ready；重分类：工程材料/PPR管件 -> 管材管件阀门/三通；分类置信度：high；PPR三通是标准管件；旧工程材料过宽。	2026-07-03
PIPE-000008	PPR内牙三通	品牌：公元；规格：25；连接：内牙；类型：三通		管材管件阀门/三通	个			公元PPR25内牙三通	PIPE-000008 PPR内牙三通 工程材料/PPR管件 个 品牌：公元 规格：25 连接：内牙 类型：三通 公元PPR25内牙三通 公元 25 内牙 三通	公元		candidate	usable	confirm_before_use	purchase_2024_candidate_rows=43；purchase_2024_source_rows=44；draft_sku_id=SKU-DRAFT-000043	缺失规格：口径；整理依据：内牙口径未说明，按原25规格低精度建候选；导入口径：confirm_then_import；重分类：工程材料/PPR管件 -> 管材管件阀门/三通；分类置信度：high；内牙只是连接形式，物料族仍为PPR三通。	2026-07-03
PIPE-000009	PPR内牙直通	品牌：公元；规格：PPR25*4分；连接：内牙；类型：直通		管材管件阀门/直接	个			公元PPR25*4内牙直通	PIPE-000009 PPR内牙直通 工程材料/PPR管件 个 品牌：公元 规格：PPR25*4分 连接：内牙 类型：直通 公元PPR25*4内牙直通 公元 PPR25*4分 内牙 直通	公元		active	standard	auto_select_allowed	purchase_2024_candidate_rows=44；purchase_2024_source_rows=45；draft_sku_id=SKU-DRAFT-000044	导入口径：import_ready；重分类：工程材料/PPR管件 -> 管材管件阀门/直接；分类置信度：high；内牙直通为PPR直接类管件。	2026-07-03
PIPE-000010	PPR内牙弯头	品牌：公元；规格：25；连接：内牙；类型：弯头		管材管件阀门/弯头	个			公元PPR25内牙弯头	PIPE-000010 PPR内牙弯头 工程材料/PPR管件 个 品牌：公元 规格：25 连接：内牙 类型：弯头 公元PPR25内牙弯头 公元 25 内牙 弯头	公元		candidate	usable	confirm_before_use	purchase_2024_candidate_rows=45；purchase_2024_source_rows=46；draft_sku_id=SKU-DRAFT-000045	缺失规格：口径；整理依据：内牙口径未说明，按原25规格低精度建候选；导入口径：confirm_then_import；重分类：工程材料/PPR管件 -> 管材管件阀门/弯头；分类置信度：high；内牙只是连接形式，物料族仍为PPR弯头。	2026-07-03
MAT-000003	洗衣机龙头	用途：洗衣机		管材管件阀门/水暖五金	个			洗衣机龙头	MAT-000003 洗衣机龙头 工程材料/水暖五金 个 用途：洗衣机 洗衣机			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=46；purchase_2024_source_rows=47；draft_sku_id=SKU-DRAFT-000046	缺失规格：材质；整理依据：材质缺失，洗衣机龙头低精度建候选；导入口径：confirm_then_import；重分类：工程材料/水暖五金 -> 管材管件阀门/水暖五金；分类置信度：high；洗衣机龙头属于水暖五金。	2026-07-03
PIPE-000011	堵头	规格：4分		管材管件阀门/堵头	个			4分堵头	PIPE-000011 堵头 工程材料/管件 个 规格：4分 4分堵头 4分			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=47；purchase_2024_source_rows=48；draft_sku_id=SKU-DRAFT-000047	缺失规格：材质；整理依据：材质缺失，堵头可能无法唯一确定SKU；导入口径：do_not_import_missing_specs；重分类：工程材料/管件 -> 管材管件阀门/堵头；分类置信度：medium；堵头属管件封堵件；推荐无对应二级，按堵头新建。	2026-07-03
PIPE-000012	堵头	规格：6分		管材管件阀门/堵头	个			6分堵头	PIPE-000012 堵头 工程材料/管件 个 规格：6分 6分堵头 6分			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=48；purchase_2024_source_rows=49；draft_sku_id=SKU-DRAFT-000048	缺失规格：材质；整理依据：材质缺失，堵头可能无法唯一确定SKU；导入口径：do_not_import_missing_specs；重分类：工程材料/管件 -> 管材管件阀门/堵头；分类置信度：medium；堵头属管件封堵件；推荐无对应二级，按堵头新建。	2026-07-03
PIPE-000013	水管钩	规格：25		紧固件与连接件/管卡	个			25水管钩	PIPE-000013 水管钩 工程材料/管道辅材 个 规格：25 25水管钩 25			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=49；purchase_2024_source_rows=50；draft_sku_id=SKU-DRAFT-000049	缺失规格：材质；精度；整理依据：材质缺失，水管钩低精度建候选；导入口径：confirm_then_import；重分类：工程材料/管道辅材 -> 紧固件与连接件/管卡；分类置信度：medium；水管钩是管道固定件，旧工程材料过宽。	2026-07-03
