标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
气管弯头接头	规格：16厘；类型：弯头		气动元件/气管接头	个	16厘气管弯头	B	材质/螺纹或快插形式缺失
气管三通接头	规格：8厘；类型：三通		气动元件/气管接头	个	8厘气管三通	B	材质/快插形式缺失
气管三通接头	规格：10厘；类型：三通		气动元件/气管接头	个	10厘气管三通	B	材质/快插形式缺失
气管三通接头	规格：16厘；类型：三通		气动元件/气管接头	个	16厘气管三通	B	材质/快插形式缺失
油雾器专用油	用途：油雾器		化工耗材/润滑剂	瓶	油雾专用油	C	粘度/容量/品牌缺失，无法稳定区分润滑剂SKU
塑料焊枪	适用材料：塑料		工具/焊接工具	套	塑料焊枪	C	功率/温度范围/配置缺失，无法稳定区分焊枪SKU
不锈钢数字牌	材质：不锈钢；类型：数字牌		标识耗材/标牌	个	不锈钢数字牌	C	尺寸/数字范围/安装方式缺失，无法稳定区分标牌SKU
502瞬干胶	型号/俗称：502		化工耗材/胶粘剂	个	502胶水	C	容量/品牌缺失，可能影响胶粘剂SKU区分
滤芯	型号：06/08-25		备品备件/过滤件	个	06/08-25滤芯	B	适配设备/过滤精度缺失，按型号先建候选
油封	品牌：SKF；型号：37327；进口：是		备品备件/密封件	个	进口SKF-37327油封	B	尺寸/材质缺失，按品牌型号先建候选
铜头铝合金夹	规格：80；组成：铜头、铝合金夹		液压/高压管路	个	80铜头铝合金夹	B	连接形式需确认
齿轮油	类型：齿轮油；包装：20L		化工耗材/润滑油	桶	20L齿轮油	C	粘度等级/品牌缺失；原单位为个，20L包装建议按桶管理
镀锌弯头	规格：80；表面：镀锌；类型：弯头		管件/镀锌管件	个	80镀锌弯头	C	角度/连接形式/螺纹标准缺失，可能影响管件SKU区分
