标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
铝合金梯子	定制：是；长度：4米；材质：铝合金；特征：加厚		定制件/工具治具	个	定做4米加厚铝合金梯子	C	定制件承重/节数/图纸缺失，无法唯一确定梯子SKU
焊接面罩	用途：焊接		劳保耗材/眼面防护	个	焊接面罩	C	手持/头戴/滤光等级缺失，无法稳定区分焊接面罩SKU
离心机钢板	加工：是；适用设备：离心机；材质：钢板		定制件/设备加工件	个	加工离心机钢板	C	定制加工件尺寸/材质牌号/图纸缺失，无法唯一确定SKU
螺丝	规格：M27*100		紧固件/螺丝	个	M27*100螺丝	C	头型/强度等级/材质缺失，无法稳定区分螺丝SKU
螺母	规格：M27		紧固件/螺母	个	m27螺母	C	材质/强度等级缺失，可能影响螺母SKU区分
建筑模板	尺寸：2.44*1.22*1.5；特征：厚		建筑材料/模板木方	张	2.44*1.22*1.5厚模板	B	厚度单位需确认，按原尺寸和厚模板描述先建候选
钢筋接驳器	适配钢筋直径：22		建筑材料/钢筋连接件	个	22钢筋接驳器	C	螺纹形式/执行标准缺失，无法稳定区分钢筋接驳器SKU
气动扳手	规格：1寸		工具/气动工具	个	1寸气动扳手	C	扭矩/品牌/型号缺失，无法稳定区分气动扳手SKU
一体式触摸屏	型号：TPC1570；结构：一体式		电气材料/工控配件	台	TPC1570一体式触摸屏	B	品牌/接口/系统配置缺失，按型号先建候选
尼龙扎带	规格：10*50cm；材质：尼龙		电气材料/扎带	包	10*50cm尼龙扎带	B	颜色/每包数量缺失，按规格和材质先建候选
尼龙扎带	规格：10*40cm；材质：尼龙		电气材料/扎带	包	10*40cm尼龙扎带	B	颜色/每包数量缺失，按规格和材质先建候选
尼龙扎带	规格：10*30cm；材质：尼龙		电气材料/扎带	包	10*30cm尼龙扎带	B	颜色/每包数量缺失，按规格和材质先建候选
雨鞋	品牌：回力		劳保耗材/足部防护	双	回力雨鞋	C	尺码缺失，无法稳定区分雨鞋SKU
编织袋	规格：待补		包装材料/袋类	个	编织袋	C	尺寸/克重/承重缺失，无法稳定区分编织袋SKU
铁锹柄	部件：柄；适用：铁锹		工具备件/手动工具配件	支	铁锹柄	C	材质/长度缺失，无法稳定区分铁锹柄SKU
铁锹	规格：待补		工具/手动工具	支	铁锹	C	规格/柄材质缺失，无法稳定区分铁锹SKU
铁合页	规格：6；材质：铁；工艺：焊接		五金建材/门窗五金	付	6焊接铁合页	B	规格6的尺寸单位/厚度缺失，按原规格先建候选
自喷漆	颜色：白色；类型：自喷漆		化工耗材/涂料	支	白色喷漆	C	品牌/容量缺失，可能影响自喷漆SKU区分
传动皮带	型号：1041		备品备件/传动件	支	皮带1041	B	皮带类型需确认；单位建议条，按原单位先保留
S型挂钩	规格：大号；形状：S型；承重：20kg		五金耗材/挂钩	支	大S挂钩20kg	B	材质/表面处理缺失，按规格和承重先建候选
接地跨接线	用途：电柜接地跨接		电气材料/接地材料	支	电柜接地跨线	C	长度/截面积/端子规格缺失，无法稳定区分接地跨接线SKU
乙炔割嘴	适用气体：乙炔；类型：割嘴		焊割耗材/割炬配件	个	乙炔割嘴	C	规格号/适配割炬缺失，无法稳定区分割嘴SKU
焊机快速接头	用途：焊机；类型：快速接头		焊割耗材/焊机配件	个	焊机快连接头	C	规格/电流等级缺失，无法稳定区分焊机快速接头SKU
重型平口钳	规格：5寸；特征：重型		工具/夹持工具	台	5寸重型平口钳	B	开口宽度/品牌缺失，按规格和重型特征先建候选
管钳	长度：600mm；特征：防锈型		工具/手动工具	支	防锈型管钳600	B	品牌/材质缺失，按长度和防锈型先建候选
LED灯泡	功率：50W；类型：LED		电气材料/照明	个	50WLED灯泡；50wLED灯泡	C	灯头规格/色温缺失，可能影响LED灯泡SKU区分
