标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
不锈钢锁扣	材质：不锈钢		五金备件/门窗五金	个	不锈钢锁扣	C	规格缺失，无法区分锁扣 SKU
耐磨焊丝	型号/牌号：998；特性：高强度耐磨		焊接耗材/焊丝	KG	998高强度耐磨焊丝	C	直径缺失，无法区分焊丝 SKU
镀锌钢管	规格：DN25；标准：国标；表面：镀锌		金属材料/管材	米	DN25国标镀锌钢管	A	
高压油管	规格：DN25*4；类型：高压油管		液压/高压管路	条	DN25*4高压油管	C	压力等级/接头形式缺失，无法区分高压油管 SKU
铜止回阀	品牌：埃美柯；材质：铜；规格：25；类型：止回阀		工程材料/阀门	个	25埃美柯铜止回阀	A	
泡沫填缝剂	类型：泡沫填缝剂		化工耗材/填缝剂	支	泡沫填缝剂	C	容量缺失，无法区分填缝剂 SKU
重型管卡	规格：135；类型：重型		工程材料/管道辅材	个	135重型管卡	A	
钢圈	材质：钢；规格：100*110*10；加工：是		加工件/金属加工件	个	加工100*110*10钢圈	C	加工件图纸/材质牌号缺失
垫片	规格：110*100*5；加工：是		加工件/金属加工件	个	加工110*100*5垫片	C	加工件材质/图纸缺失
角铁	规格：50*50*6；标准：国标		金属材料/型材	米	50*50*6国标角铁	A	
冷热水龙头	规格：4分；类型：冷热		工程材料/水暖五金	套	4分冷热龙头	B	与其他批次同类物料单位待统一
金属软管	规格：4分；长度：60		工程材料/水暖五金	根	4分*60金属软管	B	长度 60 未注明单位，疑似 cm，需确认
不锈钢合页	材质：不锈钢；规格：6寸		五金备件/门窗五金	付	6寸不锈钢合页	A	
不锈钢合页	材质：不锈钢；规格：5寸		五金备件/门窗五金	付	5寸不锈钢合页	A	
502胶水	类型：502		化工耗材/胶粘剂	支	502胶水	C	容量缺失，无法区分胶水 SKU
