标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
羊毛刷	规格：2寸；材质：羊毛		工具器具/涂装工具	支	2寸羊毛刷	A	
钻头	规格：5.0；材质/用途：不锈钢		工具器具/工具配件	支	5.0不锈钢钻头	C	原规格未区分不锈钢为材质或用途，柄型/长度缺失
噪音计	用途：噪音检测		工具器具/检测仪器	台	噪音仪	C	量程/精度/品牌缺失，无法区分不同噪音计SKU
防撞条	特征：背胶；类型：防撞条		安全设施/防撞防护	米	背胶防撞条	C	宽度/材质缺失，无法区分背胶防撞条SKU
雾炮机	功率：3kW；控制：全自动		设备/环保喷淋设备	台	3千瓦全自动雾炮机	C	射程/水量/电压缺失，无法区分不同雾炮机SKU
冰块	重量：50kg		行政后勤/临时消耗品	个	50kg冰块	B	输入提示与其他记录同物料，单位个/块需统一
人工草皮	规格：3.0；颜色：绿色		装饰/地面材料	平方	3.0绿草皮	B	规格3.0单位/含义未说明，按原规格和颜色先建候选；输入提示与其他记录可合并
六角自攻螺丝	规格：6；类型：六角自攻		五金备件/紧固件	盒	6六角自攻螺丝	C	长度/材质缺失，规格6不足以唯一确定自攻螺丝SKU
测电笔	类型：多功能电笔		工具器具/电工工具	支	多功能电笔	B	电压范围缺失，按多功能电笔先建候选
定向轮	规格：4寸；类型：定向轮		五金备件/脚轮	个	4寸定向轮	B	承重/材质缺失，按4寸定向轮先建候选
定向轮	规格：4寸；特征：带刹车		五金备件/脚轮	个	4寸定向轮刹	B	承重/材质缺失，按4寸带刹车定向轮先建候选
手推车	载荷：300kg；特征：加厚		工具器具/搬运工具	台	300kg手推车加厚	B	尺寸/轮型缺失，按300kg加厚手推车先建候选
路锥	高度：90cm		安全设施/交通标识	个	90cm路锥	B	材质/反光等级缺失，按高度先建候选
伸缩杆	颜色：红色；类型：伸缩杆		安全设施/隔离设施	个	红色伸缩杆	C	长度/配套底座缺失，红色不足以唯一确定伸缩杆SKU
警示牌	规格：大号		安全设施/警示用品	个	大警示牌	C	警示内容/尺寸/材质缺失，大号不足以唯一确定警示牌SKU
漏电断路器	品牌：施耐德；电流：400A		电气材料/低压电器	个	施耐德400A漏电开关	B	极数/型号/漏电动作电流缺失，按品牌和电流先建候选
遮阳网	特征：密		安全设施/防护网	平方	密遮阳网	C	针数/遮光率/材质缺失，密不足以唯一确定遮阳网SKU
冰块	重量：50kg		行政后勤/临时消耗品	块	50kg冰块	B	输入提示与其他记录同物料，单位个/块需统一
电瓶夹线	类型：电瓶夹；包含：线		电气材料/电工工具	套	电瓶夹带线	C	线径/长度/电流缺失，无法区分不同电瓶夹线SKU
测电笔	类型：测电笔		工具器具/电工工具	个	测电笔	B	电压范围缺失，且与同类测电笔存在单位支/个差异需统一
蓄电池	电压：12V		电气材料/电池	个	12v蓄电池	C	容量Ah/型号缺失，12V不足以唯一确定蓄电池SKU
防尘网	规格：10针		安全设施/防护网	平方	10针防尘网	B	材质/颜色/克重缺失，按10针防尘网先建候选
污水泵	功率：1.5kW；口径：2寸		设备/泵类设备	台	1.5千瓦2寸污水泵	B	扬程/流量/电压缺失，按功率和口径先建候选
钢丝球	类型：钢丝球		劳保耗材/清洁用品	个	钢丝球	A	
钢丝刷	类型：钢丝刷		工具器具/清洁工具	支	钢丝刷	C	规格缺失，无法区分不同钢丝刷SKU
办公椅	类型：多功能办公椅		行政后勤/办公家具	把	多功能办公椅	C	材质/规格缺失，多功能办公椅不足以唯一确定办公椅SKU
绝缘摇表	量程/电压：2500		工具器具/检测仪器	个	2500绝缘摇表	B	2500单位未说明，按原始量程/电压保留；精度/品牌缺失
摇表表笔	适用设备：摇表；类型：表笔		工具器具/检测仪器配件	个	摇表笔	C	接口/耐压缺失，无法区分不同摇表表笔SKU
电热水壶	品牌：苏泊尔		行政后勤/生活电器	个	苏泊尔热水壶	C	容量/功率缺失，品牌不足以唯一确定电热水壶SKU
鼠标	品牌：小米；类型：鼠标		行政后勤/办公用品	个	小米鼠标	C	有线/无线/型号缺失，品牌不足以唯一确定鼠标SKU
鼠标	类型：无线鼠标		行政后勤/办公用品	个	无线鼠标	C	品牌/型号缺失，按无线鼠标低精度候选
缠绕膜	颜色：透明；宽度：50cm；重量：5KG		包装材料/缠绕膜	个	透明缠绕膜50cm*5KG	B	材质/芯径缺失，按颜色/宽度/重量先建候选
纸箱	规格：70*50		包装材料/纸箱	个	70*50纸箱	C	高度/层数缺失，70*50不足以唯一确定纸箱SKU
胶带切割器	适用：透明胶带		包装材料/包装工具	个	透明胶带切割器	B	适配宽度缺失，按透明胶带切割器先建候选
钢筋加工件	加工：是；钢筋规格：12；长度：1.6米		定制件/钢筋加工件	个	加工12钢筋1.6米	C	定制件图纸/材质/弯折要求缺失，按钢筋规格和长度低精度候选
