current_top_category	current_material_family	sku_count	target_top_category	target_second_layer_family	decision	confidence	manual_judgment	next_action	examples
工具耗材	钢丝轮	1	工具耗材	切磨耗材	合并	高	钢丝轮装在工具上做打磨除锈，属于旋转磨刷/切磨耗材，不是手持钢丝刷。	合并到切磨耗材，第三层保留钢丝轮，补外径、孔径、丝径。	METAL-000107 钢丝轮 用途：打磨；类型：钢丝轮
工具耗材	钢丝刷	4	工具耗材	刷涂耗材	合并	高	钢丝刷用于除锈和清理打磨，目标刷涂耗材包含钢丝刷。	合并到刷涂耗材，第三层保留钢丝刷，补规格、材质、柄型。	TOOL-000024 钢丝刷 类型：刀型；TOOL-000092 钢丝刷 类型：钢丝刷；TOOL-000185 钢丝刷 类型：钢丝刷；TOOL-000286 钢丝刷 柄材质：铁柄；类型：钢丝刷
工具耗材	滚筒柄	1	工具耗材	刷具附件（候选新增）	复核	中	滚筒柄是滚筒刷配件，不是滚筒刷耗材本体；目标二级表没有刷具附件。	next_action: 与滚筒伸缩杆、边角刷伸缩杆一起复核是否新增刷具附件。	TOOL-000281 滚筒柄 部件：滚筒柄
工具耗材	滚筒伸缩杆	1	工具耗材	刷具附件（候选新增）	复核	中	滚筒伸缩杆是滚筒配套附件，和滚筒刷头的消耗属性不同。	next_action: 不直接并入滚筒刷本体，建议新增刷具附件或归入统一工具附件。	TOOL-000334 滚筒伸缩杆 适配工具：滚筒；部件：伸缩杆
工具耗材	滚筒刷	11	工具耗材	刷涂耗材	合并	高	滚筒刷和油漆滚筒都是刷涂耗材，大小、用途和包装数量是 SKU 属性。	合并到刷涂耗材，第三层保留滚筒刷/油漆滚筒，补尺寸、毛长、材质。	CHEM-000107 油漆滚筒 规格：大号；用途：油漆；CHEM-000117 油漆滚筒 规格：小号；用途：油漆；CHEM-000140 油漆滚筒 用途：油漆；CHEM-000143 油漆滚筒 规格：中号；用途：油漆
工具耗材	尖凿	1	工具耗材	刀具耗材（候选新增）	复核	中	尖凿是电镐或破拆工具配套凿具，属于易损工作头，不是电镐本体；目标表缺凿具耗材族。	next_action: 建议在刀具耗材或工具附件中明确凿具归属，补接口、长度和适配电镐。	TOOL-000207 尖凿 规格：大；接口：五坑；类型：尖凿
工具耗材	金刚磨片	1	工具耗材	切磨耗材	合并	高	金刚磨片用于磨削，是切磨类消耗件，和钻头、开孔器边界清楚。	合并到切磨耗材，第三层保留金刚磨片，补外径、孔径、粒度和用途。	TOOL-000061 金刚磨片 类型：金刚磨片
工具耗材	开孔器	1	工具耗材	开孔器	保留	高	宝塔钻头开孔器用于大孔或阶梯孔加工，目标表已单列开孔器，区别于普通钻头。	进入第三层治理，拆宝塔钻、合金开孔器等，补规格范围、材质和柄型。	TOOL-000271 宝塔钻头开孔器 类型：宝塔钻头/开孔器；规格范围：4-52
工具耗材	毛刷	15	工具耗材	刷涂耗材	合并	高	毛刷和羊毛刷是刷漆刷涂耗材，尺寸和材质是属性。	合并到刷涂耗材，第三层保留毛刷/羊毛刷，补宽度、材质、用途。	TOOL-000010 羊毛刷 规格：4寸；TOOL-000011 羊毛刷 规格：4寸；TOOL-000023 毛刷 规格：3寸；TOOL-000035 毛刷 规格：3寸
工具耗材	美工刀片	3	工具量具	刀具/刃具	移出	高	美工刀片是美工刀配套刃具，目标表刀具/刃具已包含美工刀片；它不是钻磨刷类耗材。	移到刀具/刃具，第三层保留美工刀片，补刀片宽度、包装数量。	TOOL-000114 美工刀片 品牌：得力；类型：刀片；TOOL-000184 美工刀片 类型：美工刀片；TOOL-000213 美工刀片 品牌：得力
工具耗材	磨光片	1	工具耗材	切磨耗材	合并	高	磨光片是角磨机等工具使用的磨削耗材，目标表切磨耗材包含磨光片。	合并到切磨耗材，第三层保留磨光片，补直径、厚度、孔径。	TOOL-000033 磨光片 规格：100
工具耗材	漆刷	1	工具耗材	刷涂耗材	合并	高	漆刷是刷漆耗材，与毛刷同一二级族，不需要单独作为二级。	合并到刷涂耗材，第三层保留漆刷或毛刷，补宽度和材质。	TOOL-000253 漆刷 规格：3寸
工具耗材	切割片	4	工具耗材	切磨耗材	合并	高	切割片和马路切割片都是切割消耗件，直径和适用材质是属性。	合并到切磨耗材，第三层保留切割片，补直径、厚度、孔径和适用材质。	TOOL-000032 切割片 规格：100；TOOL-000045 切割片 品牌：金立克；TOOL-000083 马路切割片 规格：400；用途：马路切割；WELD-000050 切割片 直径：Φ355
工具耗材	砂轮片	1	工具耗材	切磨耗材	合并	高	砂轮片用于磨削，属于切磨耗材；百叶只是结构类型。	合并到切磨耗材，第三层保留砂轮片/百叶砂轮片，补直径、孔径、粒度。	TOOL-000037 百叶砂轮片 规格：4寸
工具耗材	砂纸	5	工具耗材	砂纸/磨料	保留	高	砂纸按粒度和尺寸区分，目标表已单列砂纸/磨料。	进入第三层治理，补粒度、尺寸、包装数量。	MAT-000194 砂纸 粒度：240#；MAT-000195 砂纸 粒度：80#；TOOL-000041 砂纸 粒度：600；TOOL-000042 砂纸 粒度：80
工具耗材	石笔	2	工具耗材	砂纸/磨料	合并	高	石笔在目标砂纸/磨料族的包含项中，属于低值划线耗材，不是办公笔。	合并到砂纸/磨料，第三层保留石笔，补规格和包装数量。	TOOL-000126 石笔 品类：石笔；TOOL-000293 石笔 类型：石笔
工具耗材	丝锥	1	工具耗材	刀具耗材（候选新增）	复核	中	丝锥用于攻丝，是加工刃具耗材，不属于钻头、开孔器或切磨耗材；目标表缺攻丝刀具族。	next_action: 建议新增刀具耗材或明确并入刀具/刃具，第三层保留丝锥，补螺纹规格、材质。	TOOL-000069 丝锥 规格：M20
工具耗材	铣刀钻头	2	工具耗材	钻头	合并	中	铣刀钻头当前描述仍以钻削孔加工为主，可先归钻头；若后续出现铣刀本体，应拆到刀具耗材候选。	合并到钻头，第三层保留铣刀钻头，复核是否需要刀具耗材族。	TOOL-000284 铣刀钻头 适用材质：不锈钢；直径：4mm；TOOL-000285 铣刀钻头 适用材质：不锈钢；直径：10mm
工具耗材	钻头	54	工具耗材	钻头	保留	高	当前族主要是冲击钻头、钨钢钻头、合金钻头、五坑钻头等钻孔耗材，目标表已单列钻头。	进入第三层治理，按冲击钻头、麻花钻头、合金钻头等拆名称，补直径、长度、柄型、材质。	TOOL-000012 冲击钻头 规格：6厘；TOOL-000013 冲击钻头 规格：20厘；TOOL-000048 钨钢钻头 材质：钨钢；直径：8mm；TOOL-000049 钨钢钻头 材质：钨钢；直径：10mm
工具量具	扳手	28	工具量具	扳手	拆分	中	大多数样例是手动扳手，应归扳手；但族内混有液压扳手套装和工具套装口径，需要从手动扳手中拆出。	手动扳手归扳手；液压扳手套装复核是否新增液压工具；成套扳手按主体归扳手并记录件数。	TOOL-000028 内六角扳手 规格：19；TOOL-000039 链条扳手 类型：链条扳手；TOOL-000117 活动扳手 品牌：世达；类型：活动扳手；TOOL-000131 内六角扳手套装 品牌：世达；类型：六角扳手套装
工具量具	玻璃胶枪	1	工具量具	胶枪/施胶工具（候选新增）	复核	中	玻璃胶枪是手动施胶工具，不是胶粘密封材料本身；目标二级表没有胶枪或施胶工具族。	next_action: 建议新增胶枪/施胶工具，或明确并入更宽的手动工具族。	TOOL-000016 玻璃胶枪 用途：打玻璃胶
工具量具	剥线钳	2	工具量具	钳类	合并	高	剥线钳是电工用钳类工具，目标钳类包含剥线钳。	合并到钳类，第三层保留剥线钳，补规格、绝缘等级、适配线径。	TOOL-000009 剥线钳 品牌：世达；类型：多功能剥线钳；TOOL-000307 剥线钳 类型：多功能剥线钳
工具量具	不锈钢抹刀	1	工具量具	锤铲撬工具	合并	中	不锈钢抹刀是抹灰修整类土建手工具，目标表没有抹灰工具族，锤铲撬工具可承接低频土建手工具。	合并到锤铲撬工具，第三层保留抹刀，后续视数量决定是否拆抹灰工具族。	METAL-000084 不锈钢抹刀 材质：不锈钢；类型：抹刀
工具量具	测电笔	3	工具量具	测量工具	合并	高	测电笔是电气检测类手持测量工具，目标测量工具包含测电笔。	合并到测量工具，第三层保留测电笔，补电压范围和显示方式。	TOOL-000089 测电笔 类型：多功能电笔；TOOL-000091 测电笔 类型：测电笔；TOOL-000112 测电笔 外观：透明；类型：电笔
工具量具	铲刀	1	工具量具	刀具/刃具	合并	高	铲刀属于刮削类刃具，与目标刀具/刃具中的刮刀边界一致。	合并到刀具/刃具，第三层保留铲刀/刮刀，补宽度和材质。	TOOL-000252 铲刀 类型：铲刀
工具量具	沉降观测钉带牌	1	工具量具	测量工具	复核	中	沉降观测钉带牌是测量观测用定位附件，不是通用钉类紧固件；可随测量工具治理，但不是量具本体。	暂归测量工具复核，若测量附件数量增加，可新增测量附件族。	MAT-000054 沉降观测钉带牌 类型：观测钉；包含：标识牌
工具量具	冲凿套装	1	工具量具	锤铲撬工具	合并	中	冲凿套装是敲击破拆类手工具套装，主体是凿具而非电动工具整机。	合并到锤铲撬工具，第三层保留冲凿套装，补件数和规格组成。	TOOL-000318 冲凿套装 品牌：上匠；件数：12件
工具量具	电工包	2	工具量具	工具附件（候选新增）	复核	中	电工包是收纳携行工具附件，不是电工工具本体，也不属于包装周转容器。	next_action: 建议新增工具附件或工具包族，补材质、尺寸和用途。	TOOL-000309 电工包 材质：帆布；用途：电工；TOOL-000326 电工包 品牌：得力；用途：电工
工具量具	电流表	2	工具量具	检测仪器（候选新增）	复核	中	电流表是电气仪表，目标测量工具明确排除仪表，当前目标二级表缺检测仪器族。	next_action: 建议新增检测仪器或电工仪表族，补变比、精度、型号。	ELEC-000152 电流表 变比：600/5A；ELEC-000210 电流表 品牌：人民；型号：6L2；变比：600/5A
工具量具	电源极性检测器	1	工具量具	测量工具	合并	中	电源极性检测器是电气检测工具，功能接近测电笔，尚未达到独立仪表族需求。	合并到测量工具，第三层保留电源极性检测器，补电压范围和接口。	TOOL-000079 电源极性检测器 用途：电源极性检测
工具量具	电子秤	1	工具量具	测量工具	合并	高	电子秤用于重量测量，属于测量工具；精度和量程作为规格。	合并到测量工具，第三层保留电子秤，补量程、精度、品牌型号。	TOOL-000157 电子秤 精度：高精度
工具量具	钉锤	1	工具量具	锤铲撬工具	合并	高	钉锤是锤类手工具，目标锤铲撬工具覆盖锤类。	合并到锤铲撬工具，第三层保留钉锤，补重量、柄材质。	TOOL-000164 钉锤 规格：大号
工具量具	定制铝合金梯子	1	工具量具	登高工具（候选新增）	复核	中	定制铝合金梯子本质是登高工具，定制只是属性；目标二级表没有登高工具族。	next_action: 建议新增登高工具，补高度、节数、承重、材质和安全标准。	TOOL-000156 定制铝合金梯子 定制：是；长度：4米；规格：3.5；材质：铝合金；特征：加厚
工具量具	镀锌板剪刀	1	工具量具	刀具/刃具	合并	高	镀锌板剪刀是剪切刃具，目标刀具/刃具覆盖剪刀和剪切刃具。	合并到刀具/刃具，第三层保留板剪/剪刀，补长度、适用板厚。	TOOL-000283 镀锌板剪刀 材质：合金钢；用途：镀锌板；规格：20寸
工具量具	端子压线钳	1	工具量具	钳类	合并	高	端子压线钳是压接类钳具，属于钳类工具，不是接线端子本身。	合并到钳类，第三层保留压线钳，补适配端子范围和规格。	TOOL-000103 端子压线钳 适用：接线端子；类型：压钳
工具量具	断点检测电笔	1	工具量具	测量工具	合并	高	断点检测电笔是电气检测工具，和测电笔同属测量工具。	合并到测量工具，第三层保留断点检测电笔，补检测电压和功能。	TOOL-000003 断点检测电笔 功能：找断点/测电
工具量具	多功能剥线钳	1	工具量具	钳类	合并	高	多功能剥线钳是剥线钳的功能型名称，目标钳类覆盖。	合并到钳类，第三层统一为剥线钳，功能作为属性。	TOOL-000002 多功能剥线钳 品牌：世达；类型：多功能剥线钳
工具量具	发泡剂枪	1	工具量具	胶枪/施胶工具（候选新增）	复核	中	发泡剂枪是手动施胶发泡工具，和发泡胶材料分开；目标二级表无施胶工具族。	next_action: 与玻璃胶枪、硅胶枪、软胶枪统一复核新增胶枪/施胶工具。	TOOL-000214 发泡剂枪 适用材料：发泡剂
工具量具	方头铁锹	2	工具量具	锤铲撬工具	合并	高	方头铁锹是土方铲类手工具，大小是规格属性。	合并到锤铲撬工具，第三层保留铁锹/方头铁锹，补尺寸、材质、柄型。	TOOL-000105 方头铁锹 规格：大号；类型：方头；TOOL-000106 方头铁锹 规格：小号；类型：方头
工具量具	防火涂层测厚仪	1	工具量具	检测仪器（候选新增）	复核	中	防火涂层测厚仪是专用检测仪器，目标测量工具排除仪表类，当前缺检测仪器族。	next_action: 建议新增检测仪器，第三层保留测厚仪并补量程、精度、标准。	TOOL-000074 防火涂层测厚仪 用途：防火涂层测厚
工具量具	感应电笔	1	工具量具	测量工具	合并	高	感应电笔是非接触电气检测工具，属于测量工具。	合并到测量工具，第三层保留感应电笔，补电压范围和显示方式。	TOOL-000308 感应电笔 类型：感应电笔
工具量具	钢丝钳	2	工具量具	钳类	合并	高	钢丝钳是夹持剪切类钳具，目标钳类覆盖。	合并到钳类，第三层保留钢丝钳，补规格、绝缘等级。	TOOL-000168 钢丝钳 品牌：世达；TOOL-000348 钢丝钳 规格：7寸
工具量具	钢直尺	1	工具量具	测量工具	合并	高	钢直尺是长度测量工具，长度和材质是规格属性。	合并到测量工具，第三层保留钢直尺。	TOOL-000262 钢直尺 长度：200mm；材质：钢
工具量具	高压水枪	1	设备备件	泵类配件	移出	中	高压水枪更像高压清洗或泵类设备配套枪头，不是量具，也不是普通手工具。	移到泵类配件复核，确认是否为清洗机水枪、喷枪或整机附件。	TOOL-000044 高压水枪 材质：金属；类型：高压水枪
工具量具	高压油压表	1	工具量具	检测仪器（候选新增）	复核	中	高压油压表是油压检测仪表，不属于普通测量工具；目标二级缺检测仪器。	next_action: 建议新增检测仪器，补量程、精度、接口和介质。	MAT-000100 高压油压表 介质：油；类型：高压表
工具量具	刮板	1	工具量具	刀具/刃具	合并	中	刮板用于刮削或整平，接近目标刀具/刃具中的刮刀类。	合并到刀具/刃具，第三层保留刮板/刮刀，补材质和尺寸。	CONST-000033 刮板 类型：刮板
工具量具	管钳	7	工具量具	钳类	合并	高	管钳是夹持管件的钳类工具，目标钳类明确包含管钳。	合并到钳类，第三层保留管钳，补长度、开口范围、材质。	TOOL-000128 管钳 长度：300mm；TOOL-000129 管钳 长度：350mm；TOOL-000130 管钳 长度：400mm；TOOL-000199 管钳 长度：600mm；特征：防锈型
工具量具	硅胶枪	1	工具量具	胶枪/施胶工具（候选新增）	复核	中	硅胶枪是施胶工具，不是硅胶材料；目标二级表缺胶枪类。	next_action: 与玻璃胶枪等统一到候选胶枪/施胶工具。	CHEM-000080 硅胶枪 适用材料：玻璃胶/硅胶
工具量具	黄油枪	1	施工机具设备	泵油润滑设备	移出	中	黄油枪用于润滑脂加注，更接近润滑加注设备或工具，不是量具；现有目标族中泵油润滑设备最接近。	移到泵油润滑设备复核，若手动黄油枪数量较多，建议新增润滑加注工具。	CHEM-000167 黄油枪 结构：双柱
工具量具	灰刀	1	工具量具	锤铲撬工具	合并	中	灰刀是抹灰施工手工具，目标无抹灰工具族，先归土建手工具。	合并到锤铲撬工具，第三层保留灰刀，补尺寸和材质。	TOOL-000030 灰刀 用途：抹灰
工具量具	灰斗	1	包装覆盖周转	容器周转箱	移出	中	灰斗主要是盛放砂浆或灰料的容器，不是工具本体或量具。	移到容器周转箱复核，确认尺寸、材质和用途。	TOOL-000336 灰斗 材质：铁；类型：灰斗
工具量具	混凝土试模	2	工具量具	检测仪器（候选新增）	复核	中	混凝土试模是试验检测配套器具，不是施工手工具；目标二级表缺检测器具族。	next_action: 建议归入检测仪器或新增试验器具，补尺寸、材质和标准。	TOOL-000181 混凝土试模 尺寸：150*150*150；TOOL-000192 混凝土试模 规格：待补
工具量具	火钳	1	工具量具	钳类	合并	高	火钳是夹持类手工具，按功能归钳类。	合并到钳类，第三层保留火钳，补长度和材质。	TOOL-000306 火钳 类型：火钳
工具量具	激光水平仪	1	工具量具	测量工具	合并	高	激光水平仪用于水平和放线测量，属于测量工具。	合并到测量工具，第三层保留激光水平仪，补线数、精度和型号。	TOOL-000270 激光水平仪 品牌：莱赛；类型：激光红外水平仪
工具量具	尖嘴钳	4	工具量具	钳类	合并	高	尖嘴钳是钳类手工具，品牌和规格是属性。	合并到钳类，第三层保留尖嘴钳，补规格、绝缘等级。	TOOL-000116 尖嘴钳 品牌：世达；类型：尖嘴钳；TOOL-000226 尖嘴钳 品牌：世达；类型：尖嘴钳；TOOL-000278 尖嘴钳 品牌：得力；类型：尖嘴钳；TOOL-000320 尖嘴钳 品牌：世达；类型：尖嘴钳；规格：6寸
工具量具	剪刀	1	工具量具	刀具/刃具	合并	高	剪刀是剪切刃具，目标刀具/刃具包含剪刀。	合并到刀具/刃具，第三层保留剪刀，补长度和材质。	TOOL-000019 剪刀 类型：剪刀
工具量具	胶带切割器	1	工具量具	刀具/刃具	合并	中	胶带切割器是带刃口的切割工具，不是胶带材料本身。	合并到刀具/刃具，第三层保留胶带切割器，补适配胶带宽度。	TOOL-000095 胶带切割器 适用：透明胶带
工具量具	胶钳	1	工具量具	钳类	合并	中	胶钳按名称和样例更接近夹持钳具，目标钳类可承接；需后续确认具体类型。	合并到钳类复核，补钳型、规格和品牌。	TOOL-000225 胶钳 品牌：世达；规格：200mm；类型：胶钳
工具量具	胶枪	2	工具量具	胶枪/施胶工具（候选新增）	复核	中	胶枪是施胶工具，适配胶种是属性，不应并入胶粘密封材料。	next_action: 建议新增胶枪/施胶工具，统一玻璃胶枪、硅胶枪、软胶枪、发泡剂枪。	CHEM-000055 胶枪 适用材料：聚氨酯胶；TOOL-000228 胶枪 品牌：世达
工具量具	金属测绳	2	工具量具	测量工具	合并	高	金属测绳用于长度或深度测量，属于测量工具。	合并到测量工具，第三层保留测绳，补长度、材质、刻度。	TOOL-000065 金属测绳 材质：金属；类型：测绳；TOOL-000219 金属测绳 材质：金属；类型：测绳
工具量具	紧线器	1	吊装索具	葫芦/起重工具	移出	中	紧线器带额定载荷，用于张紧或牵引，风险属性更接近起重牵引工具，而不是普通手工具。	移到葫芦/起重工具复核，补额定载荷、行程、适用钢丝绳或线缆。	TOOL-000001 紧线器 额定载荷：1T
工具量具	卷尺	14	工具量具	测量工具	合并	高	卷尺是典型长度测量工具，品牌和长度为规格属性。	合并到测量工具，第三层保留卷尺，补长度、宽度、精度。	TOOL-000020 卷尺 品牌：得力；长度：3米；TOOL-000021 卷尺 品牌：得力；长度：5米；TOOL-000022 卷尺 品牌：得力；长度：10米；TOOL-000142 卷尺 品牌：得力；长度：5米
工具量具	绝缘电阻表	1	工具量具	检测仪器（候选新增）	复核	中	绝缘电阻表是电工仪表，目标测量工具排除仪表，需候选检测仪器承接。	next_action: 建议新增检测仪器或电工仪表，补测试电压、量程、精度和校准要求。	ELEC-000220 绝缘电阻表 品牌：人民；测试电压：500V；量程：500兆欧
工具量具	绝缘摇表	1	工具量具	检测仪器（候选新增）	复核	中	绝缘摇表是绝缘电阻检测仪表，不是普通测量工具。	next_action: 与绝缘电阻表统一到检测仪器候选，补测试电压、量程、型号。	TOOL-000093 绝缘摇表 量程/电压：2500
工具量具	抗振储气式压力表	1	工具量具	检测仪器（候选新增）	复核	中	抗振储气式压力表是压力仪表，目标测量工具排除仪表。	next_action: 建议新增检测仪器或压力仪表族，补量程、接口、表径和精度。	MAT-000242 抗振储气式压力表 特性：抗振；结构：储气式；类型：压力表
工具量具	刻度勺	1	工具量具	测量工具	合并	中	刻度勺用于容量取量，属于低值测量工具，容量范围是关键规格。	合并到测量工具，第三层保留刻度勺，补容量范围和材质。	TOOL-000158 刻度勺 容量范围：待补
工具量具	老虎钳	3	工具量具	钳类	合并	高	老虎钳是通用夹持钳具，目标钳类覆盖。	合并到钳类，第三层保留老虎钳，补规格、绝缘等级。	TOOL-000115 老虎钳 品牌：世达；类型：老虎钳；TOOL-000241 老虎钳 品牌：世达；类型：老虎钳；TOOL-000277 老虎钳 品牌：得力；类型：老虎钳
工具量具	量杯	2	工具量具	测量工具	合并	高	量杯用于容量测量，属于测量工具。	合并到测量工具，第三层保留量杯，补容量、材质、刻度精度。	TOOL-000211 量杯 容量：5L；TOOL-000217 量杯 容量：2000ml
工具量具	流量计	1	工具量具	检测仪器（候选新增）	复核	中	流量计是流体测量仪表，目标测量工具排除仪表；当前缺检测仪器族。	next_action: 建议新增检测仪器或仪表族，补口径、量程、介质、衬里和精度。	CHEM-000084 流量计 公称直径：DN150；材质/衬里：橡胶；类型：自动
工具量具	镂空数字喷涂模板	1	定制加工件	定制板牌件	移出	中	镂空数字喷涂模板是喷涂标识模板或板牌类件，不是工具本体。	移到定制板牌件复核，补材质、尺寸、字符内容和是否定制。	CONST-000026 镂空数字喷涂模板 字符：0-9；类型：镂空数字模板
工具量具	铝合金梯	1	工具量具	登高工具（候选新增）	复核	中	铝合金梯是登高工具，目标二级表目前缺登高工具族。	next_action: 建议新增登高工具，补高度、承重、材质、结构和安全标准。	SAFE-000132 铝合金梯 材质：铝合金；特征：加厚；高度：4m
工具量具	铝合金梯子	4	工具量具	登高工具（候选新增）	复核	中	铝合金梯子均为登高工具，定制、加厚、长度是属性；不适合并入锤铲撬工具。	next_action: 建议新增登高工具，统一梯、梯子、伸缩梯、梯凳。	TOOL-000153 铝合金梯子 长度：4米；型式：B型；材质：铝合金；TOOL-000172 铝合金梯子 定制：是；长度：4米；规格：5.2；材质：铝合金；特征：加厚；TOOL-000191 铝合金梯子 长度：2.5米；材质：铝合金；特征：加厚；TOOL-000194 铝合金梯子 定制：是；长度：4米；材质：铝合金；特征：加厚
