sample_group	family_total_count	family_sample_count	item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	estimated_rate	currency	price_basis	default_fill_basis	aliases	brand	model	source_item_codes	merged_count
液压接头	69	7	PIPE-000349	转换接头	高压转换接头 36*2 外丝转内丝	螺纹：M36*2；接口：外丝转内丝；压力等级：高压；材质：碳钢	液压气动	液压接头	液压接头	套	20.00	CNY	按每套转换接头估价，单价对应单位=套	材质补齐	高压接头36*2外丝转内丝；高压转换接头			PIPE-000349	1
液压接头	69	7	PIPE-000368	接头	高压外丝接头 1寸	规格：1寸；接口：外丝；压力等级：高压；材质：碳钢	液压气动	液压接头	液压接头	只	15.00	CNY	按每只接头估价，单价对应单位=只	材质补齐	液压高压外丝接头1寸；液压高压外丝接头			PIPE-000368	1
液压接头	69	7	PIPE-000410	两半扣	合金两半扣 DN100	材质：合金；口径：DN100	液压气动	液压接头	液压接头	套	45.00	CNY	按常见合金两半扣单价估算	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	合金两半扣DN100；合金两半扣			PIPE-000410	1
定制管路件	62	7	PIPE-000064	卡槽接头加工件	卡槽接头加工件 DN325	口径：DN325；连接方式：卡槽；材质：碳钢	定制加工件	定制管路件	定制管路件	个	120.00	CNY	按每个碳钢卡槽接头估价	补齐口径单位DN，材质为碳钢	定做325卡槽钢圈接头；卡槽钢圈接头			PIPE-000064	1
定制管路件	62	7	PIPE-000106	管加工件	管加工件 80 外丝 钢管	材质：钢管；公称口径：80（DN80）；接口：外丝；长度：按需定尺	定制加工件	定制管路件	定制管路件	根	80.00	CNY	按定制钢管外丝80每根估价，单位根	长度按常规1米补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	加工80钢管带牙；带牙钢管加工件			PIPE-000106	1
定制管路件	62	7	PIPE-000146	卡槽加工件	卡槽加工件 DN89 加厚	口径：DN89；特征：加厚；材质：碳钢	定制加工件	定制管路件	定制管路件	个	35.00	CNY	按每个碳钢加厚卡槽估价	补齐口径单位DN，材质为碳钢	加工89加厚卡槽；加厚卡槽			PIPE-000146	1
定制管路件	62	7	PIPE-000187	气源分配器	气源分配器 6路 不锈钢	材质：不锈钢；路数：6路；类型：定制	定制加工件	定制管路件	定制管路件	个	400.00	CNY	按定制6路不锈钢气源分配器估价，单位个	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	定做6路不锈钢气源分配器；气源分配器			PIPE-000187	1
定制管路件	62	7	PIPE-000210	管加工件	管加工件 DN25 单头外丝	材质：无缝管；公称口径：DN25；接口：单头外丝；长度：按需定尺	定制加工件	定制管路件	定制管路件	根	25.00	CNY	按定制单头外丝无缝管DN25每根估价，单位根	长度按常规1米补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	加工单头外丝无缝管；单头外丝无缝管加工件			PIPE-000210	1
定制管路件	62	7	PIPE-000228	弯头加工件	弯头加工件 DN52 高压	口径：DN52；压力等级：高压；材质：碳钢	定制加工件	定制管路件	定制管路件	个	50.00	CNY	按每个高压碳钢弯头估价	补齐口径单位DN，材质为碳钢	52高压弯头；高压弯头			PIPE-000228	1
定制管路件	62	7	PIPE-000457	管加工件	管加工件 PVC Φ200*1.5m	材质：PVC；公称口径：Φ200mm；长度：1.5m	定制加工件	定制管路件	定制管路件	根	80.00	CNY	按定制PVC管Φ200*1.5m估价，单位根	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	加工PVC管Φ200*1.5m；PVC管加工件			PIPE-000457	1
阀门	60	6	METAL-000013	球阀	球阀 40 不锈钢 加厚	材质：不锈钢；规格/口径：DN40；特征：加厚	管材管件阀门	阀门	阀门	个	80.00	CNY	按单个估价	口径40按DN40补齐	40埃美柯加厚不锈钢球阀；不锈钢球阀	埃美柯		METAL-000013	1
阀门	60	6	METAL-000146	球阀	球阀 3分 内外丝 304不锈钢	材质：304不锈钢；规格：3分；接口：内外丝	管材管件阀门	阀门	阀门	个	22.00	CNY	按单个估价	无需补齐	304不锈钢3分内外丝球阀；不锈钢内外丝球阀			METAL-000146	1
阀门	60	6	METAL-000160	球阀	球阀 4寸 不锈钢	材质：不锈钢；规格：4寸；连接方式：法兰	管材管件阀门	阀门	阀门	个	200.00	CNY	按单个估价	连接方式按常见法兰补齐	4寸不锈钢补水球阀；不锈钢补水球阀			METAL-000160	1
阀门	60	6	PIPE-000105	止回阀	止回阀 DN80 铜	材质：铜；公称直径：DN80；连接方式：法兰	管材管件阀门	阀门	阀门	个	150.00	CNY	按单个估价	连接方式按常见法兰连接补齐	埃美柯80单向阀；单向阀	埃美柯		PIPE-000105	1
阀门	60	6	PIPE-000257	减压阀	减压阀 DN50	公称直径：DN50	管材管件阀门	阀门	阀门	个	60.00	CNY	按DN50减压阀每个估价	无需补齐	DN50国标减压阀；减压阀			PIPE-000257	1
阀门	60	6	PIPE-000493	球阀	球阀 DN10 304	材质：304；规格/口径：DN10	管材管件阀门	阀门	阀门	个	20.00	CNY	按单个估价	无需补齐	304不锈钢球阀DN10；不锈钢球阀			PIPE-000493	1
钻头	54	6	TOOL-000050	钻头	钨钢钻头 12*90	材质：钨钢；直径：12mm；长度：90mm	工具耗材	钻头	钻头	支	18.00	CNY	按支估价	长度按常见规格补90mm；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	钨钢钻头12厘；钨钢钻头			TOOL-000050	1
钻头	54	6	TOOL-000053	钻头	合金钻头 8*100	材质：合金；直径：8mm；长度：100mm	工具耗材	钻头	钻头	支	4.00	CNY	按支估价	长度按常见规格补100mm；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	合金钻头8厘；合金钻头			TOOL-000053	1
钻头	54	6	TOOL-000066	钻头	钻头 16mm 短型	材质：高速钢；直径：16mm；长度：100mm	工具耗材	钻头	钻头	支	20.00	CNY	按支估价	补齐材质高速钢	16*100钻头；钻头			TOOL-000066	1
钻头	54	6	TOOL-000077	冲击钻头	冲击钻头 30*400	规格/直径: 30mm；长度: 400mm	工具耗材	钻头	钻头	支	40.00	CNY	按支估价	无需补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	方大同30x400冲击钻头；冲击钻头	方大同		TOOL-000077	1
钻头	54	6	TOOL-000201	麻花钻头	麻花钻头 9mm	材质：高速钢；直径：9mm；长度：150mm	工具耗材	钻头	钻头	支	14.00	CNY	按支估价	补齐材质高速钢，长度150mm	9厘麻花钻头；麻花钻头			TOOL-000201	1
钻头	54	6	TOOL-000344	二坑二槽钻头	二坑二槽钻头 Φ14*160	材质：硬质合金；柄型：二坑二槽；直径：14mm；长度：160mm	工具耗材	钻头	钻头	支	18.00	CNY	按支估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	博世二坑二槽钻头Φ14*160；二坑二槽钻头	博世		TOOL-000344	1
低压电器	48	5	ELEC-000079	开关电源	开关电源 36V 400W	输出电压：36V；功率：400W；输入电压：220V AC	电气电料	低压电器	低压电器	个	80.00	CNY	按单个估价	补充输入电压；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	36V 400w电源；开关电源			ELEC-000079	1
低压电器	48	5	ELEC-000132	压力开关	压力开关 4分	接口：4分；电压：220V；电流：10A	电气电料	低压电器	低压电器	个	25.00	CNY	按单个估价	补充电压和电流（常见规格）；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	4分压力开关；压力开关			ELEC-000132	1
低压电器	48	5	ELEC-000147	按钮指示灯	按钮指示灯 AC220V 红色 22mm	电压：AC220V；颜色：红色；开孔尺寸：22mm	电气电料	低压电器	低压电器	套	12.00	CNY	按套估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	启动按钮指示灯			ELEC-000147	1
低压电器	48	5	ELEC-000201	按钮开关	按钮开关 红+绿 AC220V	颜色：红+绿；电压：AC220V	电气电料	低压电器	低压电器	只	18.00	CNY	按只估价，市场参考价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	按钮开关红+绿；按钮开关			ELEC-000201	1
低压电器	48	5	ELEC-000223	接触器	接触器 CJX2-1810	额定电流：18A；电流类型：交流	电气电料	低压电器	低压电器	个	60.00	CNY	按个估价，品牌人民	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	人民交流接触器CJX2-1810；交流接触器	人民		ELEC-000223	1
油漆涂料	40	4	CHEM-000120	油漆	立邦 蓝色油漆 18kg	颜色：蓝色；包装：18kg	化工胶粘涂料	油漆涂料	油漆涂料	桶	180.00	CNY	按每桶180元估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	立邦蓝色油漆18kg；油漆	立邦		CHEM-000120	1
油漆涂料	40	4	CHEM-000135	油漆	立邦 金属漆 18kg	类型：金属；包装：18kg	化工胶粘涂料	油漆涂料	油漆涂料	桶	200.00	CNY	按每桶200元估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	立邦金属漆18KG；金属漆	立邦		CHEM-000135	1
油漆涂料	40	4	CHEM-000142	乳胶漆	立邦 白色防水乳胶漆 18KG	品牌：立邦；颜色：白色；特性：防水；包装容量：18KG	化工胶粘涂料	油漆涂料	油漆涂料	桶	200.00	CNY	按每桶200元估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	立邦白色防水乳胶漆18KG；防水乳胶漆	立邦		CHEM-000142	1
油漆涂料	40	4	CHEM-000157	油漆	立邦 白色油漆 18kg	颜色：白色；包装：18kg	化工胶粘涂料	油漆涂料	油漆涂料	桶	180.00	CNY	按每桶180元估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	立邦白色油漆18KG；油漆	立邦		CHEM-000157	1
生活后勤	36	4	ADMIN-000001	热水壶	热水壶 不锈钢 2L	材质：不锈钢；容量：2L	清洁办公后勤	生活后勤	生活后勤	个	50.00	CNY	按个估价	无需补齐	热水壶			ADMIN-000001	1
生活后勤	36	4	ADMIN-000012	床垫	床垫 单人	尺寸：单人；材质：海绵	清洁办公后勤	生活后勤	生活后勤	个	200.00	CNY	按个估价	无需补齐	床垫			ADMIN-000012	1
生活后勤	36	4	MAT-000040	枕头	枕头 标准尺寸	尺寸：标准；材质：通用	清洁办公后勤	生活后勤	生活后勤	个	50.00	CNY	按个估价	无需补齐	枕头			MAT-000040	1
生活后勤	36	4	MAT-000228	毛巾	毛巾 34*75cm	材质：棉；规格/尺寸：34*75cm	清洁办公后勤	生活后勤	生活后勤	条	10.00	CNY	按条估价	无需补齐	棉毛巾			MAT-000228	1
开关插座	35	4	ELEC-000012	开关	开关 1位	位数：1位	电气电料	开关插座	开关插座	个	8.00	CNY	按个估价，品牌公牛	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	公牛1位开关；一位开关；公牛一位开关	公牛		ELEC-000012	1
开关插座	35	4	ELEC-000158	插头	插头 三脚 10A 公牛	极数：三脚；额定电流：10A；额定电压：250V	电气电料	开关插座	开关插座	个	8.00	CNY	按个估价	额定电流按常见10A补齐；额定电压按250V补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	公牛三插头；三脚插头	公牛		ELEC-000158	1
开关插座	35	4	ELEC-000164	插座	明装五孔插座 10A 公牛	安装方式：明装；孔位：五孔；额定电流：10A；额定电压：250V	电气电料	开关插座	开关插座	套	15.00	CNY	按套估价	额定电流按10A补齐；额定电压按250V补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	公牛明装五孔插座；五孔插座	公牛		ELEC-000164	1
开关插座	35	4	ELEC-000215	插线板	插线板 双排 3m 10A 公牛	结构：双排；线长：3m；额定电流：10A；额定电压：250V	电气电料	开关插座	开关插座	个	50.00	CNY	按个估价	额定电压按250V补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	公牛双排插板3m；插线板；公牛3m双排插线板	公牛		ELEC-000215	1
胶管总成	34	4	PIPE-000325	胶管总成	胶管总成 36*2-2层 3.9米	规格：36*2；层数：2层；长度：3.9米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	468.00	CNY	按根估价，每米约120元	无需补齐	胶管36*2-2层-3.9米；胶管总成			PIPE-000325	1
胶管总成	34	4	PIPE-000344	胶管总成	胶管总成 36*2-2层 1.2米	规格：36*2；层数：2层；长度：1.2米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	144.00	CNY	按根估价，每米约120元	无需补齐	胶管36*2-2层-1.2米；胶管总成			PIPE-000344	1
胶管总成	34	4	PIPE-000363	胶管总成	胶管总成 36*2H-2层 3米	规格：36*2H；层数：2层；长度：3米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	360.00	CNY	按根估价，每米约120元	无需补齐	胶管36*2H-2层-3米；胶管总成			PIPE-000363	1
胶管总成	34	4	PIPE-000381	胶管总成	胶管总成 36*2-2层 11米	规格：36*2；层数：2层；长度：11米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	1320.00	CNY	按根估价，每米约120元	无需补齐	胶管36*2-2层-11米；胶管总成			PIPE-000381	1
弯头	32	4	PIPE-000074	弯头	UPVC弯头 32mm 90°	材质：UPVC；规格/口径：32mm；角度：90度	管材管件阀门	弯头	弯头	个	2.50	CNY	按单个估价	角度按常见90°补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	32弯头；UPVC弯头			PIPE-000074	1
弯头	32	4	PIPE-000075	弯头	UPVC弯头 32mm 45°	材质：UPVC；规格/口径：32mm；角度：45度	管材管件阀门	弯头	弯头	个	2.50	CNY	按单个估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	32*45弯头；UPVC45度弯头			PIPE-000075	1
弯头	32	4	PIPE-000148	弯头	碳钢焊接弯头 325mm 90°	材质：碳钢；规格/口径：325mm；连接：焊接；角度：90度	管材管件阀门	弯头	弯头	个	120.00	CNY	按单个估价，壁厚按常规10mm估	材质按常见碳钢补齐；角度按90°补齐；壁厚按常规；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	325焊接弯头；焊接弯头			PIPE-000148	1
弯头	32	4	PIPE-000252	弯头	碳钢焊接弯头 89mm*10mm	材质：碳钢；规格/口径：89mm；壁厚：10mm；连接：焊接	管材管件阀门	弯头	弯头	个	30.00	CNY	按单个估价	材质按常见碳钢补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	89*10焊接弯头；焊接弯头			PIPE-000252	1
电线电缆	31	4	ELEC-000105	电缆	电缆 YJV 3*25 铜芯	型号：YJV；规格：3*25	电气电料	电线电缆	电线电缆	米	45.00	CNY	按YJV 3*25电缆市场均价45元/米估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	3*25电缆线；电缆线		YJV	ELEC-000105	1
电线电缆	31	4	ELEC-000137	接地跨接线	接地跨接线 铜 6mm² 200mm	材质：铜；截面积：6mm²；长度：200mm	电气电料	电线电缆	电线电缆	支	3.00	CNY	按铜接地跨接线6mm² 200mm市场均价3元/支估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	电柜接地跨线；接地跨接线			ELEC-000137	1
电线电缆	31	4	ELEC-000237	电缆	电缆 YJV 3*2.5+1*1.5 铜芯	型号：YJV；规格：3*2.5+1*1.5	电气电料	电线电缆	电线电缆	米	6.50	CNY	按起帆YJV 3*2.5+1*1.5电缆市场均价6.5元/米估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	起帆电缆线3*2.5+1*1.5；电缆	起帆	YJV	ELEC-000237	1
电线电缆	31	4	ELEC-000239	电缆	电缆 YJV 3*4+1*2.5 铜芯	型号：YJV；规格：3*4+1*2.5	电气电料	电线电缆	电线电缆	米	8.00	CNY	按起帆YJV 3*4+1*2.5电缆市场均价8元/米估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	起帆电缆线3*4+1*2.5；电缆	起帆	YJV	ELEC-000239	1
定制结构件	30	3	PIPE-000366	管夹	管夹 六联 35	适用管径：35mm；联数：6联；材质：碳钢；加工：定制	定制加工件	定制结构件	定制结构件	个	45.00	CNY	按定制六联管夹35mm估价，单位个	材质按常见碳钢补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	加工六联管夹35;六联管夹加工件			PIPE-000366	1
定制结构件	30	3	SPARE-000051	箱体	钢箱 4立方 定制	容量：4立方米；材质：钢；定制：是	定制加工件	定制结构件	定制结构件	个	2500.00	CNY	按定制4立方钢箱估价，单位个	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	加工定做4立方钢箱；钢箱			SPARE-000051	1
定制结构件	30	3	SPARE-000083	垫木	垫木 200*200*1500mm	尺寸：200x200x1500mm；材质：木方	定制加工件	定制结构件	定制结构件	根	80.00	CNY	按定制木方垫板200*200*1500估价，单位根	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	加工200*200*1500木方垫板；木方垫板			SPARE-000083	1
清洁工具	30	3	ADMIN-000043	抹布	抹布 白色大块	颜色：白色；尺寸：大块；材质：棉质	清洁办公后勤	清洁工具	清洁工具	千克	20.00	CNY	按kg计价	无需补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	大块白抹布；抹布			ADMIN-000043	1
清洁工具	30	3	ADMIN-000045	喷壶	喷壶 2L	容量：2L；材质：塑料	清洁办公后勤	清洁工具	清洁工具	个	12.00	CNY	按个计价	无需补齐	2升喷壶；喷壶			ADMIN-000045	1
清洁工具	30	3	SAFE-000043	钢丝球	钢丝球	规格：通用；材质：不锈钢	清洁办公后勤	清洁工具	清洁工具	个	2.00	CNY	按个计价	材质按常见不锈钢补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	钢丝球			SAFE-000043	1
