item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	old_estimated_rate	reviewed_rate	ratio	pct_diff	confidence	old_price_basis	review_price_basis	review_notes
SPARE-000082	8.8级螺栓	8.8级螺栓 M16×160	规格/口径：M16×160；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	1.60	5.80	3.6250	262.50%	medium	按单个价，单价对应单位=个	按单个 M16×160 8.8级镀锌高强螺栓常见采购价估算	是否含螺母垫片未明
PIPE-000088	直接/直通	PPR直接 4分	材质：PPR；规格：4分	管材管件阀门	直接/接头	直接/接头	个	1.00	0.80	0.8000	-20.00%	high	按单个估价，单价对应单位=个	按单个 4分 PPR 热熔直接常见工程采购价估算	品牌不明，按国产普通品牌
PIPE-000141	直接/直通	镀锌直接 50	材质：镀锌；规格：50	管材管件阀门	直接/接头	直接/接头	个	4.00	9.50	2.3750	137.50%	high	按单个估价，单价对应单位=个	按单个 DN50 镀锌内丝直接常见工程管件采购价估算	无
PIPE-000171	异径接头/大小头	碳钢焊接异径接头 80*50	材质：碳钢；连接：焊接；规格：80mm*50mm	管材管件阀门	直接/接头	直接/接头	个	8.00	36.00	4.5000	350.00%	medium	常见碳钢焊接大小头价	按单个 80×50 碳钢焊接异径接头普通壁厚工程采购价估算	壁厚和执行标准不明，按常规国产管件
PIPE-000288	软接头	橡胶软接头 4寸 胶接	口径：4寸（DN100）；材质：橡胶；连接方式：胶接	管材管件阀门	直接/接头	直接/接头	套	12.00	95.00	7.9167	691.67%	medium	按DN100橡胶软接头估价，单位套	按单套 DN100 橡胶软接头常见管道采购价估算	连接方式写胶接，按普通橡胶软接头估算
PIPE-000428	直接/直通	镀锌外丝直接 3寸	材质：镀锌；接口：外丝；规格：3寸	管材管件阀门	直接/接头	直接/接头	个	7.00	68.00	9.7143	871.43%	medium	按单个估价，单价对应单位=个	按单个 3寸镀锌外丝直接工程管件采购价估算	壁厚和长度未明，按普通镀锌管件
PIPE-000430	直接/直通	镀锌内丝直接 2寸	材质：镀锌；接口：内丝；规格：2寸	管材管件阀门	直接/接头	直接/接头	个	5.00	18.00	3.6000	260.00%	medium	按单个估价，单价对应单位=个	按单个 2寸镀锌内丝直接工程管件采购价估算	壁厚和品牌不明，按普通镀锌玛钢件
PIPE-000456	异径接头/大小头	镀锌异径接头 1寸/6分	材质：镀锌碳钢；连接：螺纹；规格：1寸/6分	管材管件阀门	直接/接头	直接/接头	只	4.00	5.50	1.3750	37.50%	high	按单个估价，单价对应单位=只	按单只 1寸转6分镀锌螺纹异径接头常见采购价估算	无
PIPE-000464	直接/直通	PPR直接 32	材质：PPR；规格：32	管材管件阀门	直接/接头	直接/接头	个	1.50	2.20	1.4667	46.67%	high	按单个估价，单价对应单位=个	按单个 DN32 PPR 热熔直接常见工程采购价估算	品牌不明，按国产普通品牌
PIPE-000050	卡套三通	不锈钢卡套三通 6*12	规格：6*12；材质：不锈钢	液压气动	液压接头	液压接头	个	12.00	32.00	2.6667	166.67%	medium	按常见不锈钢卡套三通单价估算	按单个 6*12 不锈钢卡套三通液压接头采购价估算	规格表达略简，按国产 304/不锈钢卡套件
PIPE-000155	快速接头	快速接头 GR6-25S DN25	型号：GR6-25S；口径：DN25；材质：碳钢	液压气动	液压接头	液压接头	套	25.00	180.00	7.2000	620.00%	medium	按每套快速接头估价，单价对应单位=套	按 DN25 碳钢液压快速接头成套采购价估算	品牌不明，按国产普通液压接头
PIPE-000174	堵头	高压钢制堵头 3/4英寸	口径：3/4英寸；材质：钢；压力等级：高压	液压气动	液压接头	液压接头	个	6.00	12.00	2.0000	100.00%	medium	按常见高压堵头单价估算	按单个 3/4英寸钢制高压堵头液压接头采购价估算	压力等级未给具体数值，按常见高压堵头
PIPE-000218	接头夹	接头夹 50 铜头铝扣	口径：DN50；材质：铜头铝扣	液压气动	液压接头	液压接头	个	15.00	38.00	2.5333	153.33%	low	按单个接头夹估价，单价对应单位=个	按单个 DN50 铜头铝扣接头夹组件小批量采购价估算	结构形式不完全明确，按普通国产组件
PIPE-000349	转换接头	高压转换接头 36*2 外丝转内丝	螺纹：M36*2；接口：外丝转内丝；压力等级：高压；材质：碳钢	液压气动	液压接头	液压接头	套	20.00	58.00	2.9000	190.00%	medium	按每套转换接头估价，单价对应单位=套	按单套 M36×2 高压液压外丝转内丝碳钢转换接头估算	密封形式和压力等级未细分，按常规高压接头
PIPE-000368	接头	高压外丝接头 1寸	规格：1寸；接口：外丝；压力等级：高压；材质：碳钢	液压气动	液压接头	液压接头	只	15.00	28.00	1.8667	86.67%	medium	按每只接头估价，单价对应单位=只	按单只 1寸碳钢高压外丝液压接头采购价估算	压力等级未给具体数值，按常规高压接头
PIPE-000410	两半扣	合金两半扣 DN100	材质：合金；口径：DN100	液压气动	液压接头	液压接头	套	45.00	95.00	2.1111	111.11%	low	按常见合金两半扣单价估算	按 DN100 合金两半扣液压管夹类配件采购价估算	结构标准和材质牌号未明
PIPE-000064	卡槽接头加工件	卡槽接头加工件 DN325	口径：DN325；连接方式：卡槽；材质：碳钢	定制加工件	定制管路件	定制管路件	个	120.00	650.00	5.4167	441.67%	low	按每个碳钢卡槽接头估价	按单个 DN325 碳钢卡槽接头定制加工件采购价估算	定制尺寸和加工要求不完整，波动较大
PIPE-000106	管加工件	管加工件 80 外丝 钢管	材质：钢管；公称口径：80（DN80）；接口：外丝；长度：按需定尺	定制加工件	定制管路件	定制管路件	根	80.00	120.00	1.5000	50.00%	low	按定制钢管外丝80每根估价，单位根	按单根 DN80 钢管外丝定制加工短管含套丝加工费估算	长度未给，按常见短节加工件
PIPE-000146	卡槽加工件	卡槽加工件 DN89 加厚	口径：DN89；特征：加厚；材质：碳钢	定制加工件	定制管路件	定制管路件	个	35.00	68.00	1.9429	94.29%	low	按每个碳钢加厚卡槽估价	按单个 DN89 加厚碳钢卡槽加工件小批量加工价估算	定制结构和厚度不明，加工费波动较大
PIPE-000187	气源分配器	气源分配器 6路 不锈钢	材质：不锈钢；路数：6路；类型：定制	定制加工件	定制管路件	定制管路件	个	400.00	260.00	0.6500	-35.00%	low	按定制6路不锈钢气源分配器估价，单位个	按单个 6路不锈钢定制气源分配器加工采购价估算	定制尺寸和接口未明，价格波动较大
PIPE-000210	管加工件	管加工件 DN25 单头外丝	材质：无缝管；公称口径：DN25；接口：单头外丝；长度：按需定尺	定制加工件	定制管路件	定制管路件	根	25.00	85.00	3.4000	240.00%	low	按定制单头外丝无缝管DN25每根估价，单位根	按 DN25 无缝管单头外丝定尺加工件单根采购价估算	长度按短管加工件估算，实际定尺影响较大
PIPE-000228	弯头加工件	弯头加工件 DN52 高压	口径：DN52；压力等级：高压；材质：碳钢	定制加工件	定制管路件	定制管路件	个	50.00	260.00	5.2000	420.00%	low	按每个高压碳钢弯头估价	按单个 DN52 碳钢高压弯头定制加工件采购价估算	压力等级和连接形式未明，按小批量定制
PIPE-000457	管加工件	管加工件 PVC Φ200*1.5m	材质：PVC；公称口径：Φ200mm；长度：1.5m	定制加工件	定制管路件	定制管路件	根	80.00	150.00	1.8750	87.50%	medium	按定制PVC管Φ200*1.5m估价，单位根	按单根 Φ200 PVC 管 1.5米含裁切加工常见采购价估算	壁厚和压力等级不明，按普通排水管级别
METAL-000013	球阀	球阀 40 不锈钢 加厚	材质：不锈钢；规格/口径：DN40；特征：加厚	管材管件阀门	阀门	阀门	个	80.00	168.00	2.1000	110.00%	medium	按单个估价	按单个埃美柯 DN40 加厚不锈钢球阀工程采购价估算	阀体材质牌号和接口形式不明，按常见内螺纹球阀
METAL-000146	球阀	球阀 3分 内外丝 304不锈钢	材质：304不锈钢；规格：3分；接口：内外丝	管材管件阀门	阀门	阀门	个	22.00	24.00	1.0909	9.09%	high	按单个估价	按单个 3分 304不锈钢内外丝球阀常见采购价估算	品牌不明，按国产普通品牌
METAL-000160	球阀	球阀 4寸 不锈钢	材质：不锈钢；规格：4寸；连接方式：法兰	管材管件阀门	阀门	阀门	个	200.00	1250.00	6.2500	525.00%	medium	按单个估价	按 DN100 4寸不锈钢法兰球阀工程采购价估算	材质牌号和压力等级未明，按国产304普通法兰球阀
PIPE-000105	止回阀	止回阀 DN80 铜	材质：铜；公称直径：DN80；连接方式：法兰	管材管件阀门	阀门	阀门	个	150.00	1280.00	8.5333	753.33%	medium	按单个估价	按单个埃美柯 DN80 铜质法兰止回阀采购价估算	具体阀型和压力等级未明
PIPE-000257	减压阀	减压阀 DN50	公称直径：DN50	管材管件阀门	阀门	阀门	个	60.00	480.00	8.0000	700.00%	low	按DN50减压阀每个估价	按单个 DN50 国产普通减压阀工程采购价估算	连接形式和阀体材质不明
PIPE-000493	球阀	球阀 DN10 304	材质：304；规格/口径：DN10	管材管件阀门	阀门	阀门	个	20.00	28.00	1.4000	40.00%	medium	按单个估价	按单个 DN10 304 不锈钢小口径球阀采购价估算	品牌不明，按国产普通品牌
TOOL-000050	钻头	钨钢钻头 12*90	材质：钨钢；直径：12mm；长度：90mm	工具耗材	钻头	钻头	支	18.00	78.00	4.3333	333.33%	medium	按支估价	按单支 12mm*90mm 钨钢钻头采购价估算	用途和刃型未明，按普通硬质合金钻头
TOOL-000053	钻头	合金钻头 8*100	材质：合金；直径：8mm；长度：100mm	工具耗材	钻头	钻头	支	4.00	9.80	2.4500	145.00%	high	按支估价	按单支 8*100 合金钻头常见五金采购价估算	无
TOOL-000066	钻头	钻头 16mm 短型	材质：高速钢；直径：16mm；长度：100mm	工具耗材	钻头	钻头	支	20.00	28.00	1.4000	40.00%	high	按支估价	按单支 16mm 短型高速钢麻花钻头采购价估算	品牌不明，按国产普通高速钢
TOOL-000077	冲击钻头	冲击钻头 30*400	规格/直径: 30mm；长度: 400mm	工具耗材	钻头	钻头	支	40.00	38.00	0.9500	-5.00%	medium	按支估价	按单支 30*400 方大同冲击钻头常见五金采购价估算	钻柄形式未明确
TOOL-000201	麻花钻头	麻花钻头 9mm	材质：高速钢；直径：9mm；长度：150mm	工具耗材	钻头	钻头	支	14.00	12.50	0.8929	-10.71%	medium	按支估价	按单支 9mm 高速钢加长麻花钻头零星采购价估算	品牌不明，按普通高速钢钻头
TOOL-000344	二坑二槽钻头	二坑二槽钻头 Φ14*160	材质：硬质合金；柄型：二坑二槽；直径：14mm；长度：160mm	工具耗材	钻头	钻头	支	18.00	32.00	1.7778	77.78%	high	按支估价	按单支博世 Φ14*160 二坑二槽电锤钻头采购价估算	无
ELEC-000079	开关电源	开关电源 36V 400W	输出电压：36V；功率：400W；输入电压：220V AC	电气电料	低压电器	低压电器	个	80.00	85.00	1.0625	6.25%	medium	按单个估价	按 36V 400W 交流输入开关电源常见采购价估算	品牌不明，按国产普通电源
ELEC-000132	压力开关	压力开关 4分	接口：4分；电压：220V；电流：10A	电气电料	低压电器	低压电器	个	25.00	35.00	1.4000	40.00%	medium	按单个估价	按单个 4分 220V 10A 压力开关常见采购价估算	品牌和调压范围未明
ELEC-000147	按钮指示灯	按钮指示灯 AC220V 红色 22mm	电压：AC220V；颜色：红色；开孔尺寸：22mm	电气电料	低压电器	低压电器	套	12.00	12.00	1.0000	0.00%	high	按套估价	按单套 AC220V 红色 22mm 按钮指示灯常见低压电器采购价估算	无
ELEC-000201	按钮开关	按钮开关 红+绿 AC220V	颜色：红+绿；电压：AC220V	电气电料	低压电器	低压电器	只	18.00	18.00	1.0000	0.00%	medium	按只估价，市场参考价	按单只 AC220V 红绿组合按钮开关常见采购价估算	型号和安装孔径不明，按国产通用按钮
ELEC-000223	接触器	接触器 CJX2-1810	额定电流：18A；电流类型：交流	电气电料	低压电器	低压电器	个	60.00	38.00	0.6333	-36.67%	high	按个估价，品牌人民	按单个人民 CJX2-1810 18A 交流接触器采购价估算	无
CHEM-000120	油漆	立邦 蓝色油漆 18kg	颜色：蓝色；包装：18kg	化工胶粘涂料	油漆涂料	油漆涂料	桶	180.00	420.00	2.3333	133.33%	medium	按每桶180元估价	按立邦 18kg 蓝色油漆单桶工程采购价估算	油漆体系未明，按常规调色涂料
CHEM-000135	油漆	立邦 金属漆 18kg	类型：金属；包装：18kg	化工胶粘涂料	油漆涂料	油漆涂料	桶	200.00	520.00	2.6000	160.00%	medium	按每桶200元估价	按单桶立邦 18kg 金属漆工程采购价估算	具体漆系和颜色未明
CHEM-000142	乳胶漆	立邦 白色防水乳胶漆 18KG	品牌：立邦；颜色：白色；特性：防水；包装容量：18KG	化工胶粘涂料	油漆涂料	油漆涂料	桶	200.00	360.00	1.8000	80.00%	medium	按每桶200元估价	按单桶立邦白色防水乳胶漆 18KG 常见工程采购价估算	具体系列未明确
CHEM-000157	油漆	立邦 白色油漆 18kg	颜色：白色；包装：18kg	化工胶粘涂料	油漆涂料	油漆涂料	桶	180.00	420.00	2.3333	133.33%	medium	按每桶180元估价	按单桶立邦 18kg 白色油漆或涂料零星采购价估算	具体系列和漆种不明，价格差异较大
ADMIN-000001	热水壶	热水壶 不锈钢 2L	材质：不锈钢；容量：2L	清洁办公后勤	生活后勤	生活后勤	个	50.00	58.00	1.1600	16.00%	high	按个估价	按单个 2L 不锈钢电热水壶普通办公采购价估算	品牌不明，按国产普通品牌
ADMIN-000012	床垫	床垫 单人	尺寸：单人；材质：海绵	清洁办公后勤	生活后勤	生活后勤	个	200.00	120.00	0.6000	-40.00%	medium	按个估价	按单人海绵床垫普通后勤采购价估算	厚度和尺寸未明，按普通单人款
MAT-000040	枕头	枕头 标准尺寸	尺寸：标准；材质：通用	清洁办公后勤	生活后勤	生活后勤	个	50.00	35.00	0.7000	-30.00%	high	按个估价	按单个标准尺寸普通枕头后勤采购价估算	材质档次未明，按普通款
MAT-000228	毛巾	毛巾 34*75cm	材质：棉；规格/尺寸：34*75cm	清洁办公后勤	生活后勤	生活后勤	条	10.00	8.00	0.8000	-20.00%	high	按条估价	按单条 34*75cm 棉毛巾普通后勤采购价估算	无
ELEC-000012	开关	开关 1位	位数：1位	电气电料	开关插座	开关插座	个	8.00	12.00	1.5000	50.00%	high	按个估价，品牌公牛	按单个公牛一位墙壁开关常见零售采购价估算	无
ELEC-000158	插头	插头 三脚 10A 公牛	极数：三脚；额定电流：10A；额定电压：250V	电气电料	开关插座	开关插座	个	8.00	7.50	0.9375	-6.25%	high	按个估价	按单个公牛 10A 三脚插头零售采购价估算	无
ELEC-000164	插座	明装五孔插座 10A 公牛	安装方式：明装；孔位：五孔；额定电流：10A；额定电压：250V	电气电料	开关插座	开关插座	套	15.00	18.00	1.2000	20.00%	high	按套估价	按公牛 10A 明装五孔插座单套零星采购价估算	无
ELEC-000215	插线板	插线板 双排 3m 10A 公牛	结构：双排；线长：3m；额定电流：10A；额定电压：250V	电气电料	开关插座	开关插座	个	50.00	58.00	1.1600	16.00%	high	按个估价	按单个公牛 3m 10A 双排插线板零采价估算	无
PIPE-000325	胶管总成	胶管总成 36*2-2层 3.9米	规格：36*2；层数：2层；长度：3.9米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	468.00	360.00	0.7692	-23.08%	low	按根估价，每米约120元	按单根 36*2 两层 3.9米两端接头液压胶管总成估算	接头规格和压力等级不明
PIPE-000344	胶管总成	胶管总成 36*2-2层 1.2米	规格：36*2；层数：2层；长度：1.2米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	144.00	155.00	1.0764	7.64%	medium	按根估价，每米约120元	按根 36×2 两层 1.2米液压胶管总成含两端接头估算	接头形式和胶管压力级别不明
PIPE-000363	胶管总成	胶管总成 36*2H-2层 3米	规格：36*2H；层数：2层；长度：3米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	360.00	360.00	1.0000	0.00%	low	按根估价，每米约120元	按单根 36*2H 双层 3米带两端接头胶管总成估算	接头规格和压力等级未明，按液压胶管总成
PIPE-000381	胶管总成	胶管总成 36*2-2层 11米	规格：36*2；层数：2层；长度：11米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	1320.00	780.00	0.5909	-40.91%	medium	按根估价，每米约120元	按 36*2 两层液压胶管 11米含两端接头总成采购价估算	接头规格和压力等级未明
PIPE-000074	弯头	UPVC弯头 32mm 90°	材质：UPVC；规格/口径：32mm；角度：90度	管材管件阀门	弯头	弯头	个	2.50	1.80	0.7200	-28.00%	high	按单个估价	按单个 32mm UPVC 90度弯头常见管件价估算	品牌不明，按国产普通品牌
PIPE-000075	弯头	UPVC弯头 32mm 45°	材质：UPVC；规格/口径：32mm；角度：45度	管材管件阀门	弯头	弯头	个	2.50	2.20	0.8800	-12.00%	high	按单个估价	按单个 32mm UPVC 45度弯头常见给排水管件采购价估算	无
PIPE-000148	弯头	碳钢焊接弯头 325mm 90°	材质：碳钢；规格/口径：325mm；连接：焊接；角度：90度	管材管件阀门	弯头	弯头	个	120.00	320.00	2.6667	166.67%	low	按单个估价，壁厚按常规10mm估	按单个 325mm 碳钢焊接 90度弯头普通壁厚采购价估算	壁厚和弯曲半径不明，大口径价格波动较大
PIPE-000252	弯头	碳钢焊接弯头 89mm*10mm	材质：碳钢；规格/口径：89mm；壁厚：10mm；连接：焊接	管材管件阀门	弯头	弯头	个	30.00	85.00	2.8333	183.33%	medium	按单个估价	按单个 89mm*10mm 碳钢焊接弯头工程采购价估算	弯曲半径和材质牌号未明
ELEC-000105	电缆	电缆 YJV 3*25 铜芯	型号：YJV；规格：3*25	电气电料	电线电缆	电线电缆	米	45.00	95.00	2.1111	111.11%	medium	按YJV 3*25电缆市场均价45元/米估价	按 YJV 3*25 铜芯电力电缆每米工程采购价估算	铜价波动较大，按普通国标电缆
ELEC-000137	接地跨接线	接地跨接线 铜 6mm² 200mm	材质：铜；截面积：6mm²；长度：200mm	电气电料	电线电缆	电线电缆	支	3.00	5.50	1.8333	83.33%	high	按铜接地跨接线6mm² 200mm市场均价3元/支估价	按单支铜 6mm² 200mm 接地跨接线采购价估算	端子形式未明，按常规压接端子
ELEC-000237	电缆	电缆 YJV 3*2.5+1*1.5 铜芯	型号：YJV；规格：3*2.5+1*1.5	电气电料	电线电缆	电线电缆	米	6.50	12.50	1.9231	92.31%	high	按起帆YJV 3*2.5+1*1.5电缆市场均价6.5元/米估价	按每米起帆 YJV 铜芯 3*2.5+1*1.5 电缆常见采购价估算	铜价波动会影响单价
ELEC-000239	电缆	电缆 YJV 3*4+1*2.5 铜芯	型号：YJV；规格：3*4+1*2.5	电气电料	电线电缆	电线电缆	米	8.00	18.50	2.3125	131.25%	medium	按起帆YJV 3*4+1*2.5电缆市场均价8元/米估价	按每米起帆 YJV 3×4+1×2.5 铜芯电力电缆采购价估算	铜价和阻燃等级会影响单价
PIPE-000366	管夹	管夹 六联 35	适用管径：35mm；联数：6联；材质：碳钢；加工：定制	定制加工件	定制结构件	定制结构件	个	45.00	120.00	2.6667	166.67%	low	按定制六联管夹35mm估价，单位个	按单个 35mm 六联碳钢定制管夹加工价估算	定制结构和表面处理未明
SPARE-000051	箱体	钢箱 4立方 定制	容量：4立方米；材质：钢；定制：是	定制加工件	定制结构件	定制结构件	个	2500.00	5200.00	2.0800	108.00%	low	按定制4立方钢箱估价，单位个	按 4立方定制钢箱含下料焊接制作单件采购价估算	钢板厚度和结构要求未明
SPARE-000083	垫木	垫木 200*200*1500mm	尺寸：200x200x1500mm；材质：木方	定制加工件	定制结构件	定制结构件	根	80.00	120.00	1.5000	50.00%	medium	按定制木方垫板200*200*1500估价，单位根	按单根 200*200*1500mm 木方垫木加工采购价估算	木材等级和防腐处理未明
ADMIN-000043	抹布	抹布 白色大块	颜色：白色；尺寸：大块；材质：棉质	清洁办公后勤	清洁工具	清洁工具	千克	20.00	9.50	0.4750	-52.50%	high	按kg计价	按每千克白色大块棉质抹布普通后勤采购价估算	无
ADMIN-000045	喷壶	喷壶 2L	容量：2L；材质：塑料	清洁办公后勤	清洁工具	清洁工具	个	12.00	12.00	1.0000	0.00%	high	按个计价	按单个 2L 塑料手压喷壶常见采购价估算	无
SAFE-000043	钢丝球	钢丝球	规格：通用；材质：不锈钢	清洁办公后勤	清洁工具	清洁工具	个	2.00	0.80	0.4000	-60.00%	high	按个计价	按单个通用不锈钢钢丝球日常采购价估算	无
PIPE-000094	管卡	管卡 PVC 40	材质：PVC；规格：40mm	紧固件与连接件	管卡/抱箍	管卡/抱箍	个	1.00	1.20	1.2000	20.00%	high	按个估价，40mm PVC管卡市场价约1元/个	按单个 PVC 40mm 管卡常见采购价估算	无
PIPE-000098	管卡	管卡 110	规格：110mm；材质：碳钢	紧固件与连接件	管卡/抱箍	管卡/抱箍	个	3.50	8.50	2.4286	142.86%	high	按个估价，110mm碳钢管卡市场价约3.5元/个	按单个 110mm 碳钢管卡抱箍采购价估算	表面处理未明，按普通镀锌件
PIPE-000294	骑马卡	骑马卡 DN200 不锈钢	材质：不锈钢；公称直径：DN200	紧固件与连接件	管卡/抱箍	管卡/抱箍	个	8.00	45.00	5.6250	462.50%	medium	按个估价，DN200不锈钢骑马卡市场价约8元/个	按单个 DN200 不锈钢骑马卡工程管卡采购价估算	不锈钢牌号和厚度不明
ELEC-000187	接线端子	接线端子 UK5N 黄绿色	型号：UK5N；颜色：黄绿色	电气电料	接线端子/线鼻子	接线端子/线鼻子	个	3.00	2.80	0.9333	-6.67%	medium	按个估价	按单个 UK5N 黄绿色接线端子常见国产端子采购价估算	品牌不明，按普通导轨端子
ELEC-000205	管型端子	管型端子 2.5平方 铜 100只/包	适配线径：2.5平方；材质：铜；包装数量：100只/包	电气电料	接线端子/线鼻子	接线端子/线鼻子	包	8.00	10.00	1.2500	25.00%	high	按包估价，每包100只	按每包 100只 2.5平方铜管型端子采购价估算	无
ELEC-000225	冷压端子	冷压端子 OT4-6 铜 100只/包	型号：OT4-6；材质：铜；包装数量：100只/包	电气电料	接线端子/线鼻子	接线端子/线鼻子	包	12.00	12.00	1.0000	0.00%	high	按包估价，每包100只	按 OT4-6 铜冷压端子 100只/包常见采购价估算	无
HW-LOCK-000013	锁扣	不锈钢锁扣	材质：不锈钢	清洁办公后勤	门窗五金	门窗五金	套	5.00	12.00	2.4000	140.00%	high	按常见工程采购价估算，单价对应单位=套	按单套普通不锈钢门扣锁扣采购价估算	规格尺寸未明
MAT-000115	闭门器	闭门器 中型	规格：中型	清洁办公后勤	门窗五金	门窗五金	个	60.00	75.00	1.2500	25.00%	high	按常见工程采购价估算，单价对应单位=个	按单个中型国产普通闭门器五金采购价估算	品牌不明
METAL-000053	合页	不锈钢合页 110mm	材质：不锈钢；规格/尺寸：110mm	清洁办公后勤	门窗五金	门窗五金	付	8.00	18.00	2.2500	125.00%	medium	按付估价	按一付 110mm 不锈钢合页常见五金采购价估算	厚度和承重不明
METAL-000081	方钢	方钢 6*6*5 镀锌 Q235	材质：Q235；规格：6*6*5mm；表面处理：镀锌	金属材料	型钢	型钢	米	5.00	58.00	11.6000	1060.00%	low	按每米估价	按每米 Q235 镀锌方钢 6*6*5 常见型钢采购价估算	规格可能为 60*60*5，尺寸口径存在歧义
METAL-000105	工字钢	工字钢 14# Q235	规格：14#；材质：Q235	金属材料	型钢	型钢	米	30.00	75.00	2.5000	150.00%	medium	按每米估价	按 14# Q235 工字钢每米钢材采购价估算	钢材价格随地区和批量波动
METAL-000123	槽钢	槽钢 20#B Q235B	规格：20#B；材质：Q235B	金属材料	型钢	型钢	米	60.00	125.00	2.0833	108.33%	high	按每米估价	按每米 20#B Q235B 槽钢工程采购价估算	按常见理论重量和普通钢材行情
TOOL-000119	水平尺	水平尺 60cm 铝合金	长度：60cm；材质：铝合金	工具量具	测量工具	测量工具	把	20.00	28.00	1.4000	40.00%	high	按铝合金水平尺60cm市场价估价，单价对应单位=把	按单把 60cm 铝合金水平尺常见工具采购价估算	无
