item_code	reviewed_rate	currency	unit	confidence	price_basis	review_notes
PIPE-000304	18.00	CNY	米	medium	按每米 65mm 加厚高压橡胶水带采购价估算	材质描述与别名可能对应水带，压力等级未明
PIPE-000007	1.80	CNY	个	high	按单个 25mm PPR 热熔三通常见管件价估算	品牌不明，按国产普通品牌
TOOL-000310	22.00	CNY	把	high	按单把 14-17-19 三叉套筒扳手采购价估算	无
MAT-000079	68.00	CNY	个	medium	按单个 10T U型卸扣吊装索具采购价估算	安全等级和品牌未明
TOOL-000092	5.00	CNY	把	high	按单把 250mm 钢丝刷常见耗材价估算	无
CHEM-000058	380.00	CNY	瓶	medium	按单瓶摩力克 D321R 400mL 特种润滑剂采购价估算	渠道和批次影响较大
MAT-000238	168.00	CNY	块	medium	按单块 4m*8m 加厚油布覆盖材料采购价估算	材质和克重未明
SPARE-000070	0.90	CNY	个	high	按单个 M27 弹簧垫圈紧固件散采价估算	材质和表面处理未明
CHEM-000084	3500.00	CNY	台	low	按单台 DN150 橡胶衬里法兰自动流量计采购价估算	仪表类型、输出信号和品牌不明，波动很大
ELEC-000138	49.00	CNY	个	high	按单个飞利浦 50W 螺口 LED 灯泡采购价估算	无
CHEM-000074	1.20	CNY	个	high	按单个直通 M14*1.5 黄油嘴润滑配件采购价估算	无
TOOL-000180	12.00	CNY	个	high	按单个 14mm 1/4英寸加长六角套筒采购价估算	品牌不明，按普通铬钒钢工具
TOOL-000110	48.00	CNY	根	high	按单根 120cm 20mm 碳钢撬棍采购价估算	无
WELD-000059	85.00	CNY	只	high	按单只氧气 G5/8 减压阀焊割附件采购价估算	品牌不明，按普通双表款
MAT-CEM-000005	12.00	CNY	包	medium	按单包中砂建筑材料零采价估算	包装重量未明，按常见小包砂
WELD-000056	35.00	CNY	千克	medium	按每千克 2.5mm 不锈钢焊条采购价估算	焊条牌号未明，按常用不锈钢焊材
ADMIN-000008	1.50	CNY	个	high	按单个 120*140cm 厚款大垃圾袋采购价估算	按批量后勤耗材口径
PIPE-000197	5.50	CNY	米	high	按每米 8mm 10bar 高压树脂管采购价估算	具体材质未明，按普通PU或尼龙管
SPARE-000091	65.00	CNY	个	low	按单个 06/08-25 通用滤芯备件采购价估算	型号信息不足，材质和过滤精度未明
CHEM-000020	45.00	CNY	瓶	medium	按单瓶 1kg 电气设备清洗剂采购价估算	溶剂类型和品牌未明
TOOL-000029	12.00	CNY	个	high	按单个 200mm 砖刀瓦工工具采购价估算	无
FAST-000118	0.55	CNY	个	high	按单个 M10*30 8.8级发黑螺杆螺栓采购价估算	无
TOOL-000215	420.00	CNY	个	medium	按单个 600kg 一体钢制梯凳工业采购价估算	踏步数量和高度未明
TOOL-000305	6.00	CNY	副	high	按一副 43# 电机碳刷工具附件采购价估算	适配机型未明
PIPE-000401	58.00	CNY	只	low	按单只 M42*4 钢制油管护套液压防护件采购价估算	是否定制加工及长度未明
SAFE-000024	220.00	CNY	双	medium	按一双高帮防砸防刺穿劳保鞋采购价估算	别名含进口但品牌不明，按中档防护鞋
SPARE-000135	1280.00	CNY	台	medium	按单台 6L 3出口 220V 带时控电动黄油泵采购价估算	品牌和压力参数未明
CONST-000015	58.00	CNY	米	high	按每米宽1m厚1.2mm镀锌铁皮采购价估算	按理论重量和普通镀锌板折算
MAT-000043	1.20	CNY	卷	high	按单卷 12mm*10m 生料带常见采购价估算	无
TOOL-000067	650.00	CNY	台	medium	按单台 G150 气动风镐采购价估算	品牌和是否含钎杆未明
MAT-000180	32.00	CNY	只	high	按单只 1吨聚丙烯吊装袋吨袋采购价估算	规格尺寸未明，按常规吨袋
CONST-000008	15.00	CNY	个	high	按单个 30*500 厚型脚手架顶托采购价估算	表面处理未明
SAFE-000063	55.00	CNY	平方米	medium	按每平方米 5mm 厚 1m宽防滑橡胶垫采购价估算	橡胶材质和花纹未明
MAT-000174	8.00	CNY	支	high	按单支 100mL 超声耦合剂检测耗材采购价估算	无
WELD-000026	520.00	CNY	套	medium	按一套 200A 含焊线逆变电焊机采购价估算	品牌和焊线长度未明
MAT-000162	9.00	CNY	包	medium	按单包 1kg 工业防潮剂采购价估算	干燥剂成分未明
