item_code	reviewed_rate	currency	unit	confidence	price_basis	review_notes
ELEC-000239	18.50	CNY	米	medium	按每米起帆 YJV 3×4+1×2.5 铜芯电力电缆采购价估算	铜价和阻燃等级会影响单价
ADMIN-000045	12.00	CNY	个	high	按单个 2L 塑料手压喷壶常见采购价估算	无
ELEC-000187	2.80	CNY	个	medium	按单个 UK5N 黄绿色接线端子常见国产端子采购价估算	品牌不明，按普通导轨端子
METAL-000053	18.00	CNY	付	medium	按一付 110mm 不锈钢合页常见五金采购价估算	厚度和承重不明
TOOL-000171	230.00	CNY	把	medium	按把得力 300mm 0.01mm 精度不锈钢游标卡尺采购价估算	是否数显和校准等级不明
CHEM-000027	3.50	CNY	卷	high	按卷 10mm×30m 通用双面胶带常见采购价估算	无
PIPE-000375	38.00	CNY	个	medium	按单个 DN65 碳钢三通常规工程采购价估算	连接方式和壁厚不明，按普通焊接管件
ELEC-000218	26.00	CNY	根	medium	按根 M16×1m 接地桩常见电工辅材采购价估算	材质和镀层不明，按镀锌接地桩
FAST-000011	0.45	CNY	个	high	按单个 M8×60 镀锌膨胀锚栓常见采购价估算	无
PIPE-000204	2.50	CNY	个	high	按单个 8mm 塑料气动快插三通接头采购价估算	品牌不明，按国产普通气动接头
SAFE-000131	14.00	CNY	米	medium	按每米 DN50 1.6MPa 防爆耐磨消防水带含内扣式接口口径估算	是否含接口和整盘长度不明，按米均摊价
TOOL-000116	58.00	CNY	把	high	按把世达 6寸铬钒钢尖嘴钳常见采购价估算	无
METAL-000028	55.00	CNY	块	medium	按块 20cm 定做不锈钢标志牌小批量加工价估算	版面内容和工艺不明
SPARE-000099	680.00	CNY	台	medium	按台 1.5kW 220V 自动自吸泵 25m 扬程零星采购价估算	品牌和泵体材质不明，按国产普通自动泵
MAT-000216	9.50	CNY	根	high	按根 30×30×3.6m 松木方常见建材采购价估算	地区木材价格有波动
CONST-000010	25.00	CNY	米	medium	按每米 0.5mm 蓝色 1m×0.84m 彩钢瓦采购价估算	板型和镀层不明
METAL-000154	0.10	CNY	个	high	按单个 M5 不锈钢螺母散件采购价估算	无
MAT-000107	68.00	CNY	个	medium	按单个 75L 塑料收纳箱常见采购价估算	品牌和是否带轮不明
WELD-000009	35.00	CNY	把	high	按把 800A 电焊钳常见焊接工具采购价估算	无
MAT-000127	8.00	CNY	个	medium	按单个 M14×1.5 注浆枪头或聚氨酯枪头采购价估算	材质和配套枪型不明
SAFE-000095	12.00	CNY	副	high	按副透明多功能防护眼镜常见劳保采购价估算	无
MAT-000145	1650.00	CNY	个	low	按个 1.4m×0.31m×0.72m 不锈钢离心机滤网定制加工价估算	网目、框架结构和材质牌号不明
MAT-000053	0.45	CNY	条	high	按条 40cm×60cm 小号编织袋常见包装袋采购价估算	无
WELD-000034	320.00	CNY	台	medium	按台乙炔气瓶手推车大充气轮 200kg 承重采购价估算	钢材厚度和轮胎规格不明
METAL-000126	1850.00	CNY	只	low	按只 1000×650×450 不锈钢内外门电柜定制采购价估算	不锈钢牌号、板厚和防护等级不明
TOOL-000140	68.00	CNY	个	high	按个 2000W 通用热风机电动工具采购价估算	品牌不明，按国产普通款
MAT-000049	6.50	CNY	套	medium	按套 16×600 止水蝴蝶扣或止水连接件常见采购价估算	具体组成件不明，按成套小五金
MAT-000023	320.00	CNY	个	medium	按单个 8吨 M20 旋转吊环吊点采购价估算	品牌和是否带检测证书不明
ELEC-000108	0.35	CNY	个	high	按单个非屏蔽 Cat5e RJ45 水晶头批量采购价估算	无
MAT-000211	260.00	CNY	个	low	按单个 15T 起重链条调节器适配 10mm 链条采购价估算	结构和认证等级不明
CHEM-000057	15.00	CNY	块	medium	按块 260×330×5mm 橡胶垫块裁切加工价估算	橡胶材质硬度不明
TOOL-000126	0.30	CNY	个	high	按单支石笔常见焊接划线耗材采购价估算	无
TOOL-000207	25.00	CNY	支	medium	按支大号五坑尖凿电锤凿头采购价估算	品牌和长度不明
TOOL-000281	10.00	CNY	把	high	按把 45cm 内螺纹滚筒柄常见刷具附件采购价估算	无
SAFE-000089	55.00	CNY	套	medium	按套连体加厚防护服或工作服常见劳保采购价估算	材质和一次性或可重复使用不明
MAT-000219	249.00	CNY	部	high	按部小米二代 400-470MHz 对讲机常见采购价估算	渠道库存可能影响价格
MAT-000159	160.00	CNY	个	low	按个 580 规格污水井盖常见建材采购价估算	材质、承重等级和井盖类型不明
SPARE-000129	950.00	CNY	只	low	按只 QJB-4/6 不锈钢导流罩设备配件定制采购价估算	适配尺寸、板厚和原厂属性不明
MAT-000129	1650.00	CNY	吨	medium	按每吨 28% PAC 污水处理剂工业级散批采购价估算	地区运费、包装和含量检测会影响单价
TOOL-000181	65.00	CNY	个	high	按个 150×150×150mm 铸铁混凝土试模采购价估算	无
