item_code	reviewed_rate	currency	unit	confidence	price_basis	review_notes
CHEM-000019	28.00	CNY	瓶	high	按 1L 高效脱漆剂单瓶采购价估算	无
MAT-000151	165.00	CNY	桶	medium	按油性聚氨酯防水材料 10kg 单桶采购价估算	品牌和执行标准未明
TOOL-000170	12.00	CNY	把	high	按 6*250 铬钒钢一字螺丝刀单把采购价估算	无
ELEC-000195	22.00	CNY	个	medium	按 M50*1.5 金属电缆防水接头单个采购价估算	材质按镀镍黄铜或普通金属接头估算
MAT-000065	1850.00	CNY	台	low	按手持大字符打码机适用金属塑料单台采购价估算	喷印方式、耗材和品牌未明
SAFE-000031	120.00	CNY	张	medium	按 1.8m×6m 锦纶防坠安全网定做单张采购价估算	绳径和承载标准未明
TOOL-000228	88.00	CNY	把	high	按世达通用胶枪单把采购价估算	无
PIPE-000166	260.00	CNY	个	medium	按 DN273 16kg 碳钢法兰单片工程采购价估算	按普通平焊法兰估算，标准和厚度未明
MAT-CEM-000009	5.00	CNY	盒	high	按 25mm 水泥钉 100颗/盒常见采购价估算	无
ELEC-000090	135.00	CNY	个	medium	按 12V 20Ah 蓄电池普通铅酸电池采购价估算	电池类型和品牌未明
SAFE-000039	28.00	CNY	个	medium	按 2米红色铝合金伸缩杆围挡配件采购价估算	连接头形式未明
MAT-000146	1350.00	CNY	吨	low	按抗盐型膨润土吨包工程化工原料采购价估算	指标、包装和运输距离影响较大
PIPE-000233	5.50	CNY	米	high	按外径16mm PU气管每米采购价估算	无
CONST-000007	2.30	CNY	平方米	high	按 200g/m² 宽4m 涤纶土工布每平方米采购价估算	无
TOOL-000094	35.00	CNY	个	medium	按摇表用香蕉头测试表笔一副采购价估算	表笔规格和耐压等级未明
TOOL-000155	28500.00	CNY	套	low	按恩耐克 2000N.m 3/4英寸液压扳手套装采购价估算	是否含泵站、油管和套筒未明，品牌溢价较大
MAT-000109	780.00	CNY	个	low	按定制铝合金推拉窗单个常见门窗采购价估算	尺寸未给，按普通小窗估算
