domain	candidate_term	decision	suggested_family	split_rule	family_attributes	include_examples	exclude_examples	priority	confidence	reason
紧固件与连接件	垫片	split	垫圈；密封垫片；法兰垫片；定制垫片	标准平垫、弹垫归垫圈；四氟/橡胶密封用途归密封垫片；法兰配套归法兰垫片；带定制/加工/图纸归定制垫片	材质；规格；内径；外径；厚度；形式；标准；用途；定制标识	平垫片；弹簧垫片；镀锌平垫；加厚垫片	四氟垫片；法兰垫片；定制垫片；异形垫片；橡胶垫块；防滑橡胶垫	P0	high	垫片横跨标准紧固、密封、法兰和定制加工，必须按用途拆。
紧固件与连接件	垫圈	solidify	垫圈	只收标准紧固件垫圈/垫片；密封、法兰、定制件排除	材质；规格；内径；外径；厚度；形式；标准；表面处理	平垫片；弹簧垫片；镀锌平垫；螺栓垫圈	四氟垫片；法兰胶垫；快速接头胶垫；定制橡胶垫	P0	high	标准垫圈边界清楚，适合固化为紧固件族。
紧固件与连接件	垫圈/垫片	split	垫圈；密封垫片；法兰垫片；定制垫片	候选名称含斜杠时不能整体固化；按垫片规则拆分	材质；规格；内径；外径；厚度；形式；用途；定制标识	平垫片；弹簧垫片；橡胶垫片	法兰垫片；快速接头胶垫；防滑橡胶垫；橡胶垫块	P1	high	现有族名把垫圈和垫片混写，后续规则需要拆成可执行边界。
紧固件与连接件	管卡	split	管卡；定制管路接头；气体软管卡箍	普通管道固定件归管卡；带加工/组件/接头语义归定制管路接头；气瓶或气体软管配套卡箍按焊接切割附件排除	材质；适配管径；规格；型式；联数；表面处理；用途；是否定制	PPR管卡；PVC管卡；重型管卡；水管钩；不锈钢骑马卡	PE管卡箍组件；三通抱箍；双头抱箍接头；气体软管卡箍；卡槽导轨	P0	high	管卡高频且大多为管路固定件，但夹杂定制接头和气体软管附件。
紧固件与连接件	抱箍	split	管卡；定制管路接头；金属加工件	标准抱箍/钢卡归管卡；双头抱箍接头、三通抱箍等连接件归定制管路接头；明确加工件归金属加工件	材质；规格；适配管径；型式；厚度；表面处理；是否定制	抱箍；钢管抱箍；抱箍钢卡；不锈钢双卡抱箍；铝合金抱箍	双头抱箍接头；三通抱箍；抱箍加工件	P1	high	抱箍既可作标准管卡，也常出现在非标接头和加工件名称中。
紧固件与连接件	管夹	solidify	管卡	管夹、重型管夹、六联管夹作为管卡别名/型式；带加工件后缀排除	材质；规格；适配管径；联数；型式；表面处理	管夹；重型管夹；重型六联管夹；六联管夹	六联管夹加工件；重型管夹加工件	P1	medium	管夹样例本质是管道固定件，建议并入管卡并保留型式属性。
紧固件与连接件	骑马卡	solidify	管卡	骑马卡按管卡型式归并；骑马螺丝按螺丝排除	材质；规格；适配管径；表面处理；厚度	骑马卡；不锈钢骑马卡；镀锌骑马卡	骑马螺丝；U型螺丝	P1	high	骑马卡是管道/线管固定卡件，作为管卡型式最稳。
紧固件与连接件	卡扣	split	钢丝绳夹；液压接头；定制卡扣；脚手架扣件	含钢丝绳卡扣归钢丝绳夹；含接头/卡套归液压接头；含加工/焊接/铁圈归定制卡扣；十字/万向/直接扣件归脚手架扣件	材质；规格；适配直径；型式；连接方式；用途；是否定制	钢丝绳卡扣；不锈钢卡扣接头；焊接卡扣；铁圈卡扣	卡扣接头误入普通卡扣；钢丝绳；卡槽导轨	P1	medium	卡扣本身过宽，横跨索具、液压接头、定制件和施工扣件。
紧固件与连接件	扣件	solidify	脚手架扣件	万向、十字、直接扣件按脚手架/施工扣件固化；不与普通卡扣混用	型式；规格；材质；表面处理；适配管径；执行标准	万向扣件；十字扣件；直接扣件	钢丝绳卡扣；不锈钢卡扣接头；蝴蝶扣	P1	medium	扣件样例是成套施工连接件，建议比宽泛卡扣更具体。
紧固件与连接件	蝴蝶扣	split	索具蝴蝶扣；止水蝴蝶扣	额定载荷/子母环等归吊装索具；止水蝴蝶扣归紧固件/止水连接件，不混入卸扣	规格；额定载荷；型式；材质；用途；表面处理	蝴蝶扣；蝴蝶扣子母环	止水蝴蝶扣；普通卸扣	P2	medium	蝴蝶扣样例跨吊装索具和止水紧固件，词形相同但用途不同。
吊装索具	吊带	solidify	吊带	吊带、吊装带、扁平吊装带统一归吊带族；扁平、环形等作为型式属性	额定载荷；长度；宽度；材质；型式；颜色；安全系数；执行标准	吊带；吊装带；扁平吊装带；彩色吊带	吊装袋；安全带；捆绑带	P0	high	吊带/吊装带样例集中在吊装索具，规格属性清晰。
吊装索具	吊装带	solidify	吊带	作为吊带别名命中，吊装带不另立族	额定载荷；长度；宽度；材质；型式；颜色；安全系数；执行标准	吊装带；扁平吊装带；国标彩色吊装带	吊装袋；集装袋；安全带	P1	high	吊装带与吊带是同一业务族，建议归一便于规格治理。
吊装索具	卸扣	solidify	卸扣	U型、弓形、美式等作为型式属性，不单独成族	额定载荷；规格；型式；材质；销轴形式；标准；表面处理	U型卸扣；弓形卸扣；卸扣；美式弓形卸扣	蝴蝶扣；卡环；吊钩保险扣	P0	high	卸扣候选覆盖集中，是吊装连接件的清晰物料族。
吊装索具	弓形卸扣	attribute_only	卸扣	弓形只是卸扣型式，归卸扣族并写入型式属性	额定载荷；规格；型式；材质；标准；表面处理	弓形卸扣；美式弓形卸扣	U型卸扣；蝴蝶扣；卡环	P2	high	现有样例均为卸扣的型式差异，不应拆出独立物料族。
吊装索具	钢丝绳	split	钢丝绳；钢丝绳夹；钢丝绳铝扣；润滑剂	钢丝绳本体归钢丝绳；卡扣/夹/夹头归钢丝绳夹；铝扣归钢丝绳铝扣；润滑脂/专用剂归润滑剂	直径；结构；材质；长度；表面处理；强度等级；用途；配件类型	钢丝绳；镀锌钢丝绳；不锈钢钢丝绳；环形钢丝绳	钢丝绳卡扣；钢丝绳夹；钢丝绳夹头；钢丝绳铝扣；钢丝绳润滑脂；钢丝绳专用剂	P0	high	钢丝绳候选混入配件和化工润滑品，必须先拆本体、配件和润滑剂。
吊装索具	钢丝绳卡扣	solidify	钢丝绳夹	钢丝绳卡扣、卡扣、绳卡按钢丝绳夹归并；不是钢丝绳本体	适配直径；规格；材质；型式；标准；表面处理	钢丝绳卡扣；钢丝绳夹；钢丝绳夹头；绳卡	钢丝绳；钢丝绳铝扣；不锈钢卡扣接头	P0	high	钢丝绳卡扣用于固定绳端，采购属性与钢丝绳本体不同。
吊装索具	钢丝绳夹	solidify	钢丝绳夹	钢丝绳夹、夹头、绳卡统一为钢丝绳夹族	适配直径；规格；材质；型式；标准；表面处理	钢丝绳夹；钢丝绳夹头；钢丝绳绳卡	电钻夹头；自紧钻夹头；钢丝绳	P1	high	夹/夹头在吊装语境下边界清楚，但需排除工具夹头。
吊装索具	钢丝绳铝扣	solidify	钢丝绳铝扣	铝扣是钢丝绳端头扣压配件，不并入钢丝绳本体	材质；适配直径；规格；扣压形式；用途	钢丝绳铝扣；铝套；铝扣	钢丝绳；钢丝绳卡扣；钢丝绳润滑脂	P1	high	铝扣是独立索具配件，和绳夹及绳本体采购属性不同。
吊装索具	葫芦	solidify	葫芦	手拉、手扳作为驱动/型式属性；不按品牌或链长拆族	额定载荷；链长；型式；品牌；起升高度；链条规格	手拉葫芦；手扳葫芦	电动葫芦配件；葫芦吊钩；链条扳手	P0	high	现有葫芦样例集中在手拉/手扳起重器具，边界清晰。
吊装索具	花篮螺丝	solidify	花篮螺丝	花篮螺丝、花兰螺丝、花篮螺栓、花兰扣统一为索具拉紧器；规则优先于普通螺丝/螺栓	规格；材质；表面处理；开体/闭体形式；端部形式；额定载荷；长度	花篮螺丝；花兰螺丝；镀锌花兰螺丝；花篮螺栓；镀锌花兰扣	六角螺丝；内六角螺栓；膨胀螺丝	P0	high	花篮/花兰类用于索具拉紧调节，不应被普通螺丝规则吞掉。
吊装索具	花篮螺栓	solidify	花篮螺丝	作为花篮螺丝别名命中，归吊装牵引拉紧器	规格；材质；表面处理；端部形式；额定载荷；长度	花篮螺栓；镀锌花篮螺栓；花兰扣	六角螺栓组件；内六角螺栓	P1	high	花篮螺栓和花篮螺丝在业务上同族，不能按螺栓落普通紧固件。
吊装索具	花兰	solidify	花篮螺丝	花兰作为花篮/花兰拉紧器俗称；需匹配螺丝、螺栓、扣等后缀	规格；材质；表面处理；端部形式；额定载荷；长度	花兰螺丝；镀锌花兰螺丝；镀锌花兰扣	花篮；普通螺丝；普通扣件	P1	medium	候选词低频但业务含义稳定，是花篮螺丝的别名入口。
吊装索具	卡环	solidify	卡环	吊装连接用卡环固化；不得与钢丝绳卡扣或脚手架扣件混用	规格；额定载荷；材质；型式；表面处理	卡环；吊装卡环	钢丝绳卡扣；扣件；卸扣	P1	high	卡环是吊装连接件，样例虽少但边界清楚。
吊装索具	吊环	solidify	吊环	旋转吊环、吊环螺栓等按吊环族；旋转作为型式属性	规格；螺纹规格；额定载荷；型式；材质；表面处理	旋转吊环；吊环；吊环螺栓	吊钩；卸扣；花篮螺栓	P1	high	吊环用于起吊连接，规格关键在螺纹和载荷，适合独立族。
吊装索具	吊钩	split	吊钩；吊钩保险件；起重滑轮钩	吊钩本体归吊钩；保险卡/保险扣归吊钩保险件；带滑轮结构归起重滑轮钩	额定载荷；规格；材质；型式；适配对象；保险件类型	吊钩；吊钩保险卡；吊钩保险扣；起重滑轮钩	卸扣；卡环；保险管	P1	medium	吊钩候选包含本体、配件和滑轮钩，按结构和用途拆更稳。
吊装索具	钢板起重钳	solidify	钢板起重钳	钢板夹、起重钳统一归吊具；不归普通工具	额定载荷；开口范围；横吊/竖吊类型；材质；规格；执行标准	钢板起重钳；钢板夹；竖吊钢板钳	夹钳；管钳；钳子	P1	high	钢板起重钳是吊装夹具，现有样例分类置信度高。
吊装索具	链条	split	起重链条；起重链条调节器；链条扳手	锰钢链条等吊装用链归起重链条；起重链条调节器归牵引捆绑配件；链条扳手归工具	材质；规格；直径；长度；额定载荷；型式；用途	锰钢链条；起重链条调节器	链条扳手；传动链条；普通铁链	P2	medium	链条词义跨索具和工具，后续规则要靠用途/后缀拆分。
吊装索具	尼龙绳	solidify	尼龙绳	尼龙绳归牵引捆绑绳类；材质为尼龙，不另作材料族	直径；长度；材质；结构；颜色；用途	尼龙绳；牵引尼龙绳	安全绳；钢丝绳；捆绑带	P1	high	样例均为尼龙绳，边界清楚且规格主要是直径。
吊装索具	吊装袋	solidify	吊装袋	吊装袋归吊包/吊装袋族；普通集装袋、定制集装袋按包装周转排除	载荷；尺寸；材质；层数；吊耳形式；是否定制	吊装袋；吨位吊装袋	集装袋；定制集装袋；编织袋	P2	medium	吊装袋用于吊运承载，和普通包装集装袋用途不同。
