item_code	proposed_item_name	proposed_sku_name	proposed_required_specs	proposed_optional_specs	proposed_stock_uom	proposed_aliases	proposed_brand	proposed_model	duplicate_with_item_code	change_reason
TOOL-000064	SDS-Max五坑冲击钻头	SDS-Max五坑冲击钻头 Φ40×1200mm	接口：SDS-Max五坑；材质：合金钢；直径：40mm；总长：1200mm		支	方大同40*1200五孔钻头；五坑钻头	方大同			五坑钻头对应SDS-Max五坑接口，归入SDS-Max五坑冲击钻头。
TOOL-000066	高速钢麻花钻头	高速钢麻花钻头 Φ16×100mm	材质：高速钢；直径：16mm；总长：100mm	类型：短型	支	16*100钻头；钻头				原材质为高速钢且无冲击结构，归入高速钢麻花钻头，总长体现短型信息。
TOOL-000075	SDS-Max五坑冲击钻头	SDS-Max五坑冲击钻头 Φ35×500mm	接口：SDS-Max五坑；材质：合金钢；直径：35mm；总长：500mm		支	方大同35*500五坑钻头；五坑钻头	方大同			五坑钻头对应SDS-Max五坑接口，归入SDS-Max五坑冲击钻头。
TOOL-000076	冲击钻头	冲击钻头 Φ18×400mm	直径：18mm；总长：400mm		支	方大同18x400冲击钻头；冲击钻头	方大同			原始资料只确认冲击结构，不推断混凝土用途；保留为通用冲击钻头。
TOOL-000077	冲击钻头	冲击钻头 Φ30×400mm	直径：30mm；总长：400mm		支	方大同30x400冲击钻头；冲击钻头	方大同			原始资料只确认冲击结构，不推断混凝土用途；保留为通用冲击钻头。
TOOL-000078	SDS-Max五坑冲击钻头	SDS-Max五坑冲击钻头 Φ28×800mm	接口：SDS-Max五坑；材质：合金钢；直径：28mm；总长：800mm		支	28*800五孔钻头；五坑钻头				五坑/五孔属SDS-Max五坑接口，归为统一三级名称并保留材质与尺寸。
TOOL-000080	SDS-Max五坑冲击钻头	SDS-Max五坑冲击钻头 Φ14×400mm	接口：SDS-Max五坑；材质：合金钢；直径：14mm；总长：400mm		支	方大同14*400五孔钻头；五坑钻头	方大同			五坑/五孔属SDS-Max五坑接口，品牌放brand，SKU用直径×长度区分。
TOOL-000081	SDS-Max五坑冲击钻头	SDS-Max五坑冲击钻头 Φ14×600mm	接口：SDS-Max五坑；材质：合金钢；直径：14mm；总长：600mm		支	方大同14*600五坑钻头；五坑钻头	方大同			五坑/五孔属SDS-Max五坑接口，品牌放brand，SKU用直径×长度区分。
TOOL-000082	SDS-Max五坑冲击钻头	SDS-Max五坑冲击钻头 Φ16×280mm	接口：SDS-Max五坑；材质：合金钢；直径：16mm；总长：280mm		支	方大同16*280五孔钻头；五坑钻头	方大同			五坑/五孔属SDS-Max五坑接口，品牌放brand，SKU用直径×长度区分。
TOOL-000087	不锈钢用钻头	不锈钢用钻头 Φ5×85mm	用途：不锈钢；直径：5mm；总长：85mm		支	5.0不锈钢钻头；钻头				原始资料只确认不锈钢用途，不推断高速钢材质或麻花结构；保留直径和总长。
TOOL-000121	高速钢麻花钻头	高速钢麻花钻头 Φ4×100mm	材质：高速钢；直径：4mm；总长：100mm		支	4.0钻头；钻头				材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000122	高速钢麻花钻头	高速钢麻花钻头 Φ5×100mm	材质：高速钢；直径：5mm；总长：100mm		支	5.0钻头；钻头				材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000123	高速钢麻花钻头	高速钢麻花钻头 Φ5.5×100mm	材质：高速钢；直径：5.5mm；总长：100mm		支	5.5钻头；钻头				材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000201	高速钢麻花钻头	高速钢麻花钻头 Φ9×150mm	材质：高速钢；直径：9mm；总长：150mm		支	9厘麻花钻头；麻花钻头				材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000208	硬质合金钻头	硬质合金钻头 Φ3.5×50mm	材质：硬质合金；直径：3.5mm；总长：50mm		支	3.5钨钢钻头；钻头				钨钢即硬质合金，按统一三级名称整理；原材质别名保留在aliases。
TOOL-000209	硬质合金钻头	硬质合金钻头 Φ3×100mm	材质：硬质合金；直径：3mm；总长：100mm		支	3.0钨钢钻头；钻头				钨钢即硬质合金，按统一三级名称整理；原材质别名保留在aliases。
TOOL-000221	高速钢麻花钻头	高速钢麻花钻头 Φ10×200mm	材质：高速钢；直径：10mm；总长：200mm		支	10*200钻头；钻头				材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000222	高速钢麻花钻头	高速钢麻花钻头 Φ12×200mm	材质：高速钢；直径：12mm；总长：200mm		支	12*200钻头；钻头；博世钻头m12*200	博世			材质为高速钢且无冲击结构，归为高速钢麻花钻头；品牌保留在brand字段。
TOOL-000223	高速钢麻花钻头	高速钢麻花钻头 Φ14×200mm	材质：高速钢；直径：14mm；总长：200mm		支	14*200钻头；钻头；博世钻头m14*200	博世			材质为高速钢且无冲击结构，归为高速钢麻花钻头；品牌保留在brand字段。
TOOL-000224	高速钢麻花钻头	高速钢麻花钻头 Φ16×200mm	材质：高速钢；直径：16mm；总长：200mm		支	16*200钻头；钻头				材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000227	高速钢麻花钻头	高速钢麻花钻头 Φ20×800mm	材质：高速钢；直径：20mm；总长：800mm	类型：加长型	支	20*800钻头；钻头				材质为高速钢且无冲击结构，归为高速钢麻花钻头；加长信息写入optional。
TOOL-000229	SDS-Max五坑冲击钻头	SDS-Max五坑冲击钻头 Φ12×200mm	接口：SDS-Max五坑；直径：12mm；总长：200mm	接口特征：五坑三槽	支	博世五坑三槽钻头Φ12*200；钻头	博世			五坑三槽按SDS-Max五坑接口统一命名；品牌保留在brand字段。
TOOL-000230	高速钢麻花钻头	高速钢麻花钻头 Φ14×260mm	材质：高速钢；直径：14mm；总长：260mm	类型：加长型	支	博世钻头m14*260；钻头	博世			材质为高速钢且无冲击结构，归为高速钢麻花钻头；品牌和加长信息分别放入brand与optional。
TOOL-000267	SDS-Max五坑冲击钻头	SDS-Max五坑冲击钻头 Φ40×1000mm	接口：SDS-Max五坑；直径：40mm；总长：1000mm；材质：合金钢		支	博世五坑钻头40×1000mm；五坑钻头	博世			五坑按族内规范归入SDS-Max五坑接口，直径、长度和材质作为关键规格。
TOOL-000282	不锈钢用钻头	不锈钢用钻头 Φ3.2×65mm	用途：不锈钢；直径：3.2mm；总长：65mm		支	不锈钢钻头3.2mm；钻头				原始资料只确认不锈钢用途，不推断高速钢材质或麻花结构；保留直径和总长。
TOOL-000284	不锈钢用铣刀钻头	不锈钢用铣刀钻头 Φ4×75mm	用途：不锈钢；直径：4mm；总长：75mm		支	不锈钢铣刀钻头4mm；铣刀钻头				原SKU中的不锈钢作为加工用途保留在商品名称和规格中，不误写成钻头本体材质。
TOOL-000285	不锈钢用铣刀钻头	不锈钢用铣刀钻头 Φ10×100mm	用途：不锈钢；直径：10mm；总长：100mm		支	不锈钢铣刀钻头10mm；铣刀钻头				原SKU中的不锈钢作为加工用途保留在商品名称和规格中，不误写成钻头本体材质。
TOOL-000287	不锈钢用钻头	不锈钢用钻头 Φ6×100mm	用途：不锈钢；直径：6mm；总长：100mm		支	不锈钢钻头6mm；钻头				原始资料只确认不锈钢用途，不推断高速钢材质或麻花结构；保留直径和总长。
TOOL-000288	不锈钢用钻头	不锈钢用钻头 Φ4×75mm	用途：不锈钢；直径：4mm；总长：75mm		支	不锈钢钻头4mm；钻头				原始资料只确认不锈钢用途，不推断高速钢材质或麻花结构；保留直径和总长。
TOOL-000302	二坑三槽钻头	二坑三槽钻头 Φ20×280mm	柄型：二坑三槽；直径：20mm；总长：280mm；材质：硬质合金		支	博世二坑三槽钻头20×280；二坑三槽钻头	博世			保留二坑三槽接口命名，硬质合金材质与直径、长度作为关键规格。
TOOL-000303	二坑三槽钻头	二坑三槽钻头 Φ22×280mm	柄型：二坑三槽；直径：22mm；总长：280mm；材质：硬质合金		支	博世二坑三槽钻头22×280；二坑三槽钻头	博世			保留二坑三槽接口命名，硬质合金材质与直径、长度作为关键规格。
TOOL-000321	高速钢麻花钻头	高速钢麻花钻头 Φ14×150mm	材质：高速钢；直径：14mm；总长：150mm	类型：短型	支	钻头14×150；短型钻头；钻头				按高速钢材质且无冲击结构信息归入高速钢麻花钻头，直径×长度区分。
TOOL-000324	方柄钻头	方柄钻头 Φ14×280mm	柄型：方柄；直径：14mm；总长：280mm		支	博世方柄钻头14×280；钻头；方柄钻头	博世			原始资料只确认方柄柄型，不额外推断冲击用途。
TOOL-000325	方柄钻头	方柄钻头 Φ12×260mm	柄型：方柄；直径：12mm；总长：260mm		支	博世方柄钻头12×260；钻头；方柄钻头	博世			原始资料只确认方柄柄型，不额外推断冲击用途。
TOOL-000327	圆柄钻头	圆柄钻头 Φ10×350mm	柄型：圆柄；直径：10mm；总长：350mm；材质：高速钢		支	博世圆柄钻头10×350；钻头；圆柄钻头	博世			圆柄钻头保留独立分类，库存单位由“只”统一为“支”。
TOOL-000328	SDS-Plus四坑冲击钻头	SDS-Plus四坑冲击钻头 Φ12×350mm	接口：SDS-Plus四坑；直径：12mm；总长：350mm；材质：硬质合金		支	博世二坑二槽钻头12×350；二坑二槽钻头；钻头	博世			二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
TOOL-000329	SDS-Plus四坑冲击钻头	SDS-Plus四坑冲击钻头 Φ14×350mm	接口：SDS-Plus四坑；直径：14mm；总长：350mm；材质：硬质合金		支	博世二坑二槽钻头14×350；二坑二槽钻头；钻头	博世			二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
TOOL-000330	SDS-Plus四坑冲击钻头	SDS-Plus四坑冲击钻头 Φ16×350mm	接口：SDS-Plus四坑；直径：16mm；总长：350mm；材质：硬质合金		支	博世二坑二槽钻头16×350；二坑二槽钻头；钻头	博世			二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
TOOL-000343	SDS-Plus四坑冲击钻头	SDS-Plus四坑冲击钻头 Φ10×160mm	接口：SDS-Plus四坑；直径：10mm；总长：160mm；材质：硬质合金		支	博世二坑二槽钻头10×160；二坑二槽钻头	博世			二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
TOOL-000344	SDS-Plus四坑冲击钻头	SDS-Plus四坑冲击钻头 Φ14×160mm	接口：SDS-Plus四坑；直径：14mm；总长：160mm；材质：硬质合金		支	博世二坑二槽钻头14×160；二坑二槽钻头	博世			二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
TOOL-000345	SDS-Plus四坑冲击钻头	SDS-Plus四坑冲击钻头 Φ16×200mm	接口：SDS-Plus四坑；直径：16mm；总长：200mm；材质：硬质合金		支	博世二坑二槽钻头16×200；二坑二槽钻头	博世			二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
