item_code	original_item_name	proposed_item_name	original_sku_name	proposed_sku_name	original_required_specs	proposed_required_specs	original_optional_specs	proposed_optional_specs	original_stock_uom	proposed_stock_uom	original_aliases	proposed_aliases	original_brand	proposed_brand	original_model	proposed_model	duplicate_with_item_code	change_reason
TOOL-000122	钻头	高速钢麻花钻头	钻头 5mm	高速钢麻花钻头 Φ5×100mm	材质：高速钢；直径：5mm；长度：100mm	材质：高速钢；直径：5mm；总长：100mm			支	支	5.0钻头；钻头	5.0钻头；钻头						材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000123	钻头	高速钢麻花钻头	钻头 5.5mm	高速钢麻花钻头 Φ5.5×100mm	材质：高速钢；直径：5.5mm；长度：100mm	材质：高速钢；直径：5.5mm；总长：100mm			支	支	5.5钻头；钻头	5.5钻头；钻头						材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000201	麻花钻头	高速钢麻花钻头	麻花钻头 9mm	高速钢麻花钻头 Φ9×150mm	材质：高速钢；直径：9mm；长度：150mm	材质：高速钢；直径：9mm；总长：150mm			支	支	9厘麻花钻头；麻花钻头	9厘麻花钻头；麻花钻头						材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000208	钻头	硬质合金钻头	钨钢钻头 3.5*50	硬质合金钻头 Φ3.5×50mm	材质：钨钢；直径：3.5mm；长度：50mm	材质：硬质合金；直径：3.5mm；总长：50mm			支	支	3.5钨钢钻头；钻头	3.5钨钢钻头；钻头						钨钢即硬质合金，按统一三级名称整理；原材质别名保留在aliases。
TOOL-000209	钻头	硬质合金钻头	钨钢钻头 3mm	硬质合金钻头 Φ3×100mm	材质：钨钢；直径：3mm；长度：100mm	材质：硬质合金；直径：3mm；总长：100mm			支	支	3.0钨钢钻头；钻头	3.0钨钢钻头；钻头						钨钢即硬质合金，按统一三级名称整理；原材质别名保留在aliases。
TOOL-000221	钻头	高速钢麻花钻头	钻头 10mm	高速钢麻花钻头 Φ10×200mm	材质：高速钢；直径：10mm；长度：200mm	材质：高速钢；直径：10mm；总长：200mm			支	支	10*200钻头；钻头	10*200钻头；钻头						材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000222	钻头	高速钢麻花钻头	钻头 12mm 博世	高速钢麻花钻头 Φ12×200mm	材质：高速钢；直径：12mm；长度：200mm	材质：高速钢；直径：12mm；总长：200mm			支	支	12*200钻头；钻头；博世钻头m12*200	12*200钻头；钻头；博世钻头m12*200	博世	博世				材质为高速钢且无冲击结构，归为高速钢麻花钻头；品牌保留在brand字段。
TOOL-000223	钻头	高速钢麻花钻头	钻头 14mm 博世	高速钢麻花钻头 Φ14×200mm	材质：高速钢；直径：14mm；长度：200mm	材质：高速钢；直径：14mm；总长：200mm			支	支	14*200钻头；钻头；博世钻头m14*200	14*200钻头；钻头；博世钻头m14*200	博世	博世				材质为高速钢且无冲击结构，归为高速钢麻花钻头；品牌保留在brand字段。
TOOL-000224	钻头	高速钢麻花钻头	钻头 16mm	高速钢麻花钻头 Φ16×200mm	材质：高速钢；直径：16mm；长度：200mm	材质：高速钢；直径：16mm；总长：200mm			支	支	16*200钻头；钻头	16*200钻头；钻头						材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
TOOL-000227	钻头	高速钢麻花钻头	钻头 20mm 加长型	高速钢麻花钻头 Φ20×800mm	材质：高速钢；直径：20mm；长度：800mm	材质：高速钢；直径：20mm；总长：800mm		类型：加长型	支	支	20*800钻头；钻头	20*800钻头；钻头						材质为高速钢且无冲击结构，归为高速钢麻花钻头；加长信息写入optional。
TOOL-000229	五坑三槽钻头	SDS-Max五坑冲击钻头	五坑三槽钻头 Φ12*200	SDS-Max五坑冲击钻头 Φ12×200mm	直径：Φ12；长度：200mm	接口：SDS-Max五坑；直径：12mm；总长：200mm		接口特征：五坑三槽	支	支	博世五坑三槽钻头Φ12*200；钻头	博世五坑三槽钻头Φ12*200；钻头	博世	博世				五坑三槽按SDS-Max五坑接口统一命名；品牌保留在brand字段。
TOOL-000230	钻头	高速钢麻花钻头	钻头 14mm 博世 加长	高速钢麻花钻头 Φ14×260mm	材质：高速钢；直径：14mm；长度：260mm	材质：高速钢；直径：14mm；总长：260mm		类型：加长型	支	支	博世钻头m14*260；钻头	博世钻头m14*260；钻头	博世	博世				材质为高速钢且无冲击结构，归为高速钢麻花钻头；品牌和加长信息分别放入brand与optional。
TOOL-000267	五坑钻头	SDS-Max五坑冲击钻头	五坑钻头 40*1000	SDS-Max五坑冲击钻头 Φ40×1000mm	材质：合金钢；直径：40mm；长度：1000mm	接口：SDS-Max五坑；直径：40mm；总长：1000mm；材质：合金钢			支	支	博世五坑钻头Φ40*1米；五坑钻头	博世五坑钻头40×1000mm；五坑钻头	博世	博世				五坑按族内规范归入SDS-Max五坑接口，直径、长度和材质作为关键规格。
TOOL-000282	钻头	不锈钢用钻头	不锈钢钻头 3.2*65	不锈钢用钻头 Φ3.2×65mm	用途：不锈钢；直径：3.2mm；长度：65mm	用途：不锈钢；直径：3.2mm；总长：65mm			支	支	不锈钢钻头3.2mm；钻头	不锈钢钻头3.2mm；钻头						原始资料只确认不锈钢用途，不推断高速钢材质或麻花结构；保留直径和总长。
TOOL-000284	铣刀钻头	不锈钢用铣刀钻头	铣刀钻头 4mm 不锈钢	不锈钢用铣刀钻头 Φ4×75mm	材质：不锈钢；直径：4mm；长度：75mm	用途：不锈钢；直径：4mm；总长：75mm			支	支	不锈钢铣刀钻头4mm；铣刀钻头	不锈钢铣刀钻头4mm；铣刀钻头						原SKU中的不锈钢作为加工用途保留在商品名称和规格中，不误写成钻头本体材质。
TOOL-000285	铣刀钻头	不锈钢用铣刀钻头	铣刀钻头 10mm 不锈钢	不锈钢用铣刀钻头 Φ10×100mm	材质：不锈钢；直径：10mm；长度：100mm	用途：不锈钢；直径：10mm；总长：100mm			支	支	不锈钢铣刀钻头10mm；铣刀钻头	不锈钢铣刀钻头10mm；铣刀钻头						原SKU中的不锈钢作为加工用途保留在商品名称和规格中，不误写成钻头本体材质。
TOOL-000287	钻头	不锈钢用钻头	不锈钢钻头 6*100	不锈钢用钻头 Φ6×100mm	用途：不锈钢；直径：6mm；长度：100mm	用途：不锈钢；直径：6mm；总长：100mm			支	支	不锈钢钻头6mm；钻头	不锈钢钻头6mm；钻头						原始资料只确认不锈钢用途，不推断高速钢材质或麻花结构；保留直径和总长。
TOOL-000288	钻头	不锈钢用钻头	不锈钢钻头 4*75	不锈钢用钻头 Φ4×75mm	用途：不锈钢；直径：4mm；长度：75mm	用途：不锈钢；直径：4mm；总长：75mm			支	支	不锈钢钻头4mm；钻头	不锈钢钻头4mm；钻头						原始资料只确认不锈钢用途，不推断高速钢材质或麻花结构；保留直径和总长。
TOOL-000302	二坑三槽钻头	二坑三槽钻头	二坑三槽钻头 Φ20*280	二坑三槽钻头 Φ20×280mm	柄型：二坑三槽；直径：20mm；长度：280mm；材质：硬质合金	柄型：二坑三槽；直径：20mm；总长：280mm；材质：硬质合金			支	支	博世二坑三槽钻头Φ20*280	博世二坑三槽钻头20×280；二坑三槽钻头	博世	博世				保留二坑三槽接口命名，硬质合金材质与直径、长度作为关键规格。
TOOL-000303	二坑三槽钻头	二坑三槽钻头	二坑三槽钻头 Φ22*280	二坑三槽钻头 Φ22×280mm	柄型：二坑三槽；直径：22mm；长度：280mm；材质：硬质合金	柄型：二坑三槽；直径：22mm；总长：280mm；材质：硬质合金			支	支	博世二坑三槽钻头Φ22*280	博世二坑三槽钻头22×280；二坑三槽钻头	博世	博世				保留二坑三槽接口命名，硬质合金材质与直径、长度作为关键规格。
TOOL-000321	钻头	高速钢麻花钻头	钻头 14mm 短型	高速钢麻花钻头 Φ14×150mm	材质：高速钢；直径：14mm；长度：150mm	材质：高速钢；直径：14mm；总长：150mm		类型：短型	支	支	钻头Φ14*150；钻头	钻头14×150；短型钻头；钻头						按高速钢材质且无冲击结构信息归入高速钢麻花钻头，直径×长度区分。
TOOL-000324	方柄钻头	方柄钻头	方柄钻头 Φ14*280	方柄钻头 Φ14×280mm	直径：Φ14；长度：280mm；柄型：方柄	柄型：方柄；直径：14mm；总长：280mm			支	支	博世方柄钻头Φ14*280；钻头	博世方柄钻头14×280；钻头；方柄钻头	博世	博世				原始资料只确认方柄柄型，不额外推断冲击用途。
TOOL-000325	方柄钻头	方柄钻头	方柄钻头 Φ12*260	方柄钻头 Φ12×260mm	直径：Φ12；长度：260mm；柄型：方柄	柄型：方柄；直径：12mm；总长：260mm			支	支	博世方柄钻头Φ12*260；钻头	博世方柄钻头12×260；钻头；方柄钻头	博世	博世				原始资料只确认方柄柄型，不额外推断冲击用途。
TOOL-000327	圆柄钻头	圆柄钻头	圆柄钻头 Φ10*350	圆柄钻头 Φ10×350mm	直径：10mm；长度：350mm；材质：高速钢	柄型：圆柄；直径：10mm；总长：350mm；材质：高速钢			只	支	博世圆柄钻头Φ10*350；钻头	博世圆柄钻头10×350；钻头；圆柄钻头	博世	博世				圆柄钻头保留独立分类，库存单位由“只”统一为“支”。
TOOL-000328	二坑二槽钻头	SDS-Plus四坑冲击钻头	二坑二槽钻头 Φ12*350	SDS-Plus四坑冲击钻头 Φ12×350mm	材质：硬质合金；柄型：二坑二槽；直径：12mm；长度：350mm	接口：SDS-Plus四坑；直径：12mm；总长：350mm；材质：硬质合金			支	支	博世二坑二槽钻头Φ12*350；钻头	博世二坑二槽钻头12×350；二坑二槽钻头；钻头	博世	博世				二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
TOOL-000329	二坑二槽钻头	SDS-Plus四坑冲击钻头	二坑二槽钻头 Φ14*350	SDS-Plus四坑冲击钻头 Φ14×350mm	材质：硬质合金；柄型：二坑二槽；直径：14mm；长度：350mm	接口：SDS-Plus四坑；直径：14mm；总长：350mm；材质：硬质合金			支	支	博世二坑二槽钻头Φ14*350；钻头	博世二坑二槽钻头14×350；二坑二槽钻头；钻头	博世	博世				二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
TOOL-000330	二坑二槽钻头	SDS-Plus四坑冲击钻头	二坑二槽钻头 Φ16*350	SDS-Plus四坑冲击钻头 Φ16×350mm	材质：硬质合金；柄型：二坑二槽；直径：16mm；长度：350mm	接口：SDS-Plus四坑；直径：16mm；总长：350mm；材质：硬质合金			支	支	博世二坑二槽钻头Φ16*350；钻头	博世二坑二槽钻头16×350；二坑二槽钻头；钻头	博世	博世				二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
TOOL-000343	二坑二槽钻头	SDS-Plus四坑冲击钻头	二坑二槽钻头 Φ10*160	SDS-Plus四坑冲击钻头 Φ10×160mm	材质：硬质合金；柄型：二坑二槽；直径：10mm；长度：160mm	接口：SDS-Plus四坑；直径：10mm；总长：160mm；材质：硬质合金			支	支	博世二坑二槽钻头Φ10*160；二坑二槽钻头	博世二坑二槽钻头10×160；二坑二槽钻头	博世	博世				二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
TOOL-000344	二坑二槽钻头	SDS-Plus四坑冲击钻头	二坑二槽钻头 Φ14*160	SDS-Plus四坑冲击钻头 Φ14×160mm	材质：硬质合金；柄型：二坑二槽；直径：14mm；长度：160mm	接口：SDS-Plus四坑；直径：14mm；总长：160mm；材质：硬质合金			支	支	博世二坑二槽钻头Φ14*160；二坑二槽钻头	博世二坑二槽钻头14×160；二坑二槽钻头	博世	博世				二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
TOOL-000345	二坑二槽钻头	SDS-Plus四坑冲击钻头	二坑二槽钻头 Φ16*200	SDS-Plus四坑冲击钻头 Φ16×200mm	材质：硬质合金；柄型：二坑二槽；直径：16mm；长度：200mm	接口：SDS-Plus四坑；直径：16mm；总长：200mm；材质：硬质合金			支	支	博世二坑二槽钻头Φ16*200；二坑二槽钻头	博世二坑二槽钻头16×200；二坑二槽钻头	博世	博世				二坑二槽按族内规范归入SDS-Plus四坑接口，直径、长度和材质作为关键规格。
