code	attribute_decision	reviewer	override_attributes	comment	source_name	parent_name	attribute_status	attributes
73182200					其他垫圈	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""垫圈"", ""value"": ""垫圈""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
73182300					铆钉	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""铆钉"", ""value"": ""铆钉""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
73182400					销及开尾销	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""销"", ""value"": ""销""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
73182900					其他	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
74151000					钉、平头钉、图钉、U形钉及类 似品	铜制或钢铁制带铜头的钉、平头 钉、图钉、U形钉（税目83.05的 货品除外）及类似品；铜制螺钉、 螺栓、螺母、钩头螺钉、铆钉、 销、开尾销、垫圈（包括弹簧垫 圈）及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""钉"", ""value"": ""钉类""}, ""head_type"": {""confidence"": ""0.90"", ""evidence"": ""平头"", ""value"": ""平头""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
74152100					其他无螺纹制品： 垫圈（包括弹簧垫圈）	铜制或钢铁制带铜头的钉、平头 钉、图钉、U形钉（税目83.05的 货品除外）及类似品；铜制螺钉、 螺栓、螺母、钩头螺钉、铆钉、 销、开尾销、垫圈（包括弹簧垫 圈）及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""垫圈"", ""value"": ""垫圈""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}, ""thread_form"": {""confidence"": ""0.92"", ""evidence"": ""无螺纹制品"", ""value"": ""无螺纹""}}"
74152900					其他	铜制或钢铁制带铜头的钉、平头 钉、图钉、U形钉（税目83.05的 货品除外）及类似品；铜制螺钉、 螺栓、螺母、钩头螺钉、铆钉、 销、开尾销、垫圈（包括弹簧垫 圈）及类似品	review_required	"{""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
74153310					其他螺纹制品： --螺钉；螺栓及螺母： 木螺钉	铜制或钢铁制带铜头的钉、平头 钉、图钉、U形钉（税目83.05的 货品除外）及类似品；铜制螺钉、 螺栓、螺母、钩头螺钉、铆钉、 销、开尾销、垫圈（包括弹簧垫 圈）及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.40"", ""evidence"": ""螺钉、螺栓、螺母"", ""value"": ""螺钉 | 螺栓 | 螺母""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}, ""thread_form"": {""confidence"": ""0.92"", ""evidence"": ""木螺钉"", ""value"": ""木螺钉""}}"
74153390					其他	铜制或钢铁制带铜头的钉、平头 钉、图钉、U形钉（税目83.05的 货品除外）及类似品；铜制螺钉、 螺栓、螺母、钩头螺钉、铆钉、 销、开尾销、垫圈（包括弹簧垫 圈）及类似品	review_required	"{""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
74153900					其他	铜制或钢铁制带铜头的钉、平头 钉、图钉、U形钉（税目83.05的 货品除外）及类似品；铜制螺钉、 螺栓、螺母、钩头螺钉、铆钉、 销、开尾销、垫圈（包括弹簧垫 圈）及类似品	review_required	"{""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
