type_id	attribute_key	display_name	requirement	value_type	unit	enum_values	affects_sku_identity	display_order	description
MT-0A950F7E0187	surface_treatment	表面处理	optional	text			true	3	镀锌等
MT-0B08DC7D356A	capacity	容量	optional	text			true	1	如1.7L
MT-0B08DC7D356A	material	材质	optional	text			true	2	如不锈钢
MT-0B12EA85B191	specification	规格	required	text			true	1	如65*20*1
MT-0B12EA85B191	thickness	厚度	optional	text			true	2	如3mm
MT-0B12EA85B191	color	颜色	optional	text			true	3	如透明
MT-0B12EA85B191	width	宽度	optional	number	mm		true	4	如50
MT-0C001CCFF282	model_set	型号组合	required	text			true	1	如SM40+PM40
MT-0C001CCFF282	connection_type	连接方式	optional	text			true	2	如胶接
MT-0C001CCFF282	material	材质	optional	text			true	3	如不锈钢
MT-0C1270785789	nominal_diameter	公称直径	required	text			true	1	如DN25、DN50
MT-0C1270785789	material	材质	optional	text			true	2	如不锈钢
MT-0C1270785789	pressure	压力	optional	text			true	3	如高压
MT-0CD1345231D4	size	口径	required	text			true	1	如4寸（DN100）
MT-0CD1345231D4	material	材质	optional	text			true	2	如不锈钢
MT-0CF505AF57F5	gauge	规格/号数	required	text			true	1	铁丝线规号数，如14#、12#
MT-0D4B880E822A	disposable_type	使用类型	optional	text			true	1	
MT-0D4B880E822A	feature	特征	optional	text			true	2	如厚
MT-0D4B880E822A	is_suit	套装	optional	enum		是；否	true	3	
MT-0EAB84101A24	material	材质	optional	text			true	1	如不锈钢
MT-0EAB84101A24	dimensions	尺寸	optional	text			true	2	如1.2米*0.6米
MT-0EC4458FCEB6	brand	品牌	optional	text			true	1	如海飞丝
MT-0EC4458FCEB6	model	型号	required	text			true	2	如无则留空
MT-0F56E25B6B50	grit	粒度	required	text			true	1	如80#、240#、600#
MT-0F711A26CCB2	rated_current_a	额定电流	required	number	A		true	1	如100A。
MT-0F711A26CCB2	rated_voltage_v	额定电压	required	number	V		true	2	如250V。
MT-0F711A26CCB2	body_size	外形尺寸	optional	text			true	3	如6x30mm。
MT-10BB30F14483	material	材质	optional	text			true	1	如不锈钢
MT-10BB30F14483	size	口径	optional	text			true	2	如4寸（DN100）
MT-1121AB3E7D64	specification	规格	required	text			true	1	如65*20*1
MT-1121AB3E7D64	connection	连接	optional	text			true	2	如内外牙
MT-1121AB3E7D64	feature	特征	optional	text			true	3	如厚
MT-1121AB3E7D64	material	材质	optional	text			true	4	如不锈钢
MT-11BC391A4AC6	nominal_size	公称通径	required	text			true	1	如DN50、DN80
MT-11BC391A4AC6	connection	连接	optional	text			true	2	如内外牙
MT-11BC391A4AC6	material	材质	optional	text			true	3	如不锈钢
MT-11E336A50B5F	nominal_diameter	公称直径	required	text			true	1	如DN25、DN50
MT-11E336A50B5F	feature	特征	optional	text			true	2	如厚
MT-11E336A50B5F	material	材质	optional	text			true	3	如不锈钢
MT-11E336A50B5F	pressure	压力	optional	text			true	4	如高压
MT-11E336A50B5F	connection_type	连接方式	optional	text			true	5	如胶接
MT-123715D35C06	strength_grade	强度等级	required	text			true	1	8.8、12.9等
MT-123715D35C06	packaging_type	包装形式	required	enum		袋装；散装	true	2	袋装或散装
MT-123715D35C06	package_weight_kg	包装重量	optional	number	kg		true	3	如20kg。
MT-123715D35C06	brand	品牌	optional	text			true	4	如海飞丝
MT-123E4A8A402B	applicable_equipment	适用设备	required	text			true	1	适用设备或工况
MT-123E4A8A402B	material_type	材质	required	text			true	2	如铸铁
MT-123E4A8A402B	size	口径	required	text			true	3	如4寸（DN100）
MT-12C09DAF8019	gongcheng_koujing	公称口径	required	text			true	1	
MT-12C09DAF8019	houdu	厚度	optional	number	mm		true	2	
MT-12C09DAF8019	caizhi	材质	optional	text			true	3	
MT-131809A261F8	specification	规格	required	text			true	1	如65*20*1
MT-131809A261F8	material	材质	required	text			true	2	如不锈钢
MT-131809A261F8	strength_grade	强度等级	required	text			true	3	8.8、12.9等
MT-131809A261F8	surface_treatment	表面处理	optional	text			true	4	镀锌等
MT-1409F2B35C38	spec	规格	required	text			true	1	如通用
MT-1409F2B35C38	length	长度	required	number	m		true	2	如1
MT-1409F2B35C38	material	材质	required	text			true	3	如不锈钢
MT-14C12CAC4D5E	content	含量	optional	text			true	1	
MT-14C12CAC4D5E	type	类型	optional	text			true	2	如变频
MT-1575F9ADBD09	thickness	厚度	required	text			true	1	如3mm
MT-1575F9ADBD09	sheet_size	尺寸	required	text			true	2	钢板尺寸，如1.26m*6m
MT-1575F9ADBD09	material	材质	required	text			true	3	如不锈钢
MT-15CB416C64EE	size	口径	required	text			true	1	如4寸（DN100）
MT-15CB416C64EE	drive_size	驱动轴	required	text			true	2	如3/4英寸
MT-15E584180E2F	specification	规格	required	text			true	1	如65*20*1
MT-15E584180E2F	material	材质	required	text			true	2	如不锈钢
MT-15E584180E2F	surface_treatment	表面处理	optional	text			true	3	镀锌等
MT-16D79104C50B	weight	重量	optional	number	kg		true	1	单块或单批次重量
MT-16D79104C50B	handle_material	柄材质	optional	text			true	2	
MT-16FC604DB01C	material	材质	required	text			true	1	如不锈钢
MT-16FC604DB01C	interface_size	接口	required	text			true	2	如G1/2
MT-16FC604DB01C	included_items	包含	optional	text			true	3	如龙头+花洒+软管
MT-170F041FF7D6	length	长度	required	number	m		true	1	如1
MT-170F041FF7D6	width	宽度	required	number	mm		true	2	如50
MT-170F041FF7D6	thickness	厚度	required	text			true	3	如3mm
MT-181CE295C9C7	applicable_equipment	适用设备	required	text			true	1	适用设备或工况
MT-181CE295C9C7	material_type	材质	required	text			true	2	如铸铁
MT-181CE295C9C7	dimension	规格/尺寸	optional	text			true	3	如34*75cm。
MT-1873997F52BD	material	材质	optional	text			true	1	如不锈钢
MT-1873997F52BD	capacity	容量	optional	text			true	2	如1.7L
MT-1927AFDD6E07	specification	规格	required	text			true	1	如65*20*1
MT-1927AFDD6E07	material	材质	optional	text			true	2	如不锈钢
MT-1927AFDD6E07	surface_treatment	表面处理	optional	text			true	3	镀锌等
MT-1984E72FABCF	length	长度	required	number	m		true	1	如1
MT-1984E72FABCF	category	网线类别	required	text			true	2	
MT-1984E72FABCF	shielding_type	屏蔽类型	optional	text			true	3	
MT-1A0F090ACF39	size	口径	optional	text			true	1	如4寸（DN100）
MT-1A0F090ACF39	material	材质	optional	text			true	2	如不锈钢
MT-1B4591DB03EA	material	材质	required	text			true	1	如不锈钢
MT-1B4591DB03EA	spec	规格	optional	text			true	2	如通用
MT-1B4591DB03EA	model	型号	optional	text			true	3	如无则留空
MT-1B4591DB03EA	pressure_grade	压力等级	optional	text			true	4	如1.0MPa、1.6MPa
MT-1B4591DB03EA	connection_type	连接方式	optional	text			true	5	如胶接
MT-1B4591DB03EA	feature	特征	optional	text			true	6	如厚
MT-1BAA5262EAC8	material	材质	required	text			true	1	如不锈钢
MT-1BAA5262EAC8	spec	规格	optional	text			true	2	如通用
MT-1BAA5262EAC8	connection_type	连接方式	optional	text			true	3	如胶接
MT-1BAA5262EAC8	angle	角度	optional	text			true	4	如90°
MT-1BAA5262EAC8	feature	特征	optional	text			true	5	如厚
MT-1BB316C003E8	capacity	容量	optional	text			true	1	如1.7L
MT-1BB316C003E8	concentration	浓度	optional	text			true	2	
MT-1BB316C003E8	packaging_type	包装形式	optional	enum		袋装；散装	true	3	袋装或散装
MT-1BE70E3326DB	thickness	厚度	optional	text			true	1	如3mm
MT-1BE70E3326DB	material	材质	optional	text			true	2	如不锈钢
MT-1BE70E3326DB	width	宽度	optional	number	mm		true	3	如50
MT-1C2CE2A20437	material	材质	required	text			true	1	如不锈钢
MT-1C2CE2A20437	opening_mode	开启方式	required	text			true	2	
MT-1C2CE2A20437	size	口径	required	text			true	3	如4寸（DN100）
MT-1C3317497F61	ribbon_material	材质	required	enum		全树脂基；蜡基；混合基	true	1	碳带树脂/蜡基配方类型
MT-1C3317497F61	width	宽度	required	number	mm		true	2	如50
MT-1C3317497F61	length	长度	required	number	m		true	3	如1
MT-1C76E756D933	nominal_diameter	公称直径	required	text			true	1	如DN25、DN50
MT-1C76E756D933	connection	连接	required	text			true	2	如内外牙
MT-1C76E756D933	material	材质	optional	text			true	3	如不锈钢
MT-1C76E756D933	drive_mode	驱动方式	optional	enum		电动	true	4	现有证据仅电动；如后续出现其他驱动方式再扩展。
MT-1C86AD74DABB	specification	规格	required	text			true	1	如65*20*1
MT-1C86AD74DABB	screw_type	螺丝类型	required	text			true	2	套件内紧固件类型/头型，如外六角、内六角、T型、圆头、高强度等
MT-1C86AD74DABB	material	材质	required	text			true	3	如不锈钢
MT-1C86AD74DABB	strength_grade	强度等级	required	text			true	4	8.8、12.9等
MT-1C86AD74DABB	surface_treatment	表面处理	optional	text			true	5	镀锌等
MT-1C86AD74DABB	kit_components	套件组成	required	text			true	6	如平垫+弹垫+螺母、平垫+弹垫、螺母
MT-1C876845B9C7	size	口径	optional	text			true	1	如4寸（DN100）
MT-1C87F5281145	layers	层数	required	text			true	1	如8层
MT-1D685DE22266	power_w	功率	required	number	W		true	1	如2000W。
MT-1D685DE22266	voltage	电压	optional	text			true	2	
MT-1FA4304673A9	material	材质	optional	text			true	1	如不锈钢
MT-20692D1C01E6	dimensions	尺寸	optional	text			true	1	如1.2米*0.6米
MT-20692D1C01E6	material	材质	optional	text			true	2	如不锈钢
MT-220D69842A50	waijing	外径	required	text			true	1	
MT-220D69842A50	neijing	内径	optional	number	mm		true	2	
MT-220D69842A50	houdu	厚度	optional	number	mm		true	3	
MT-223A975EF429	number_of_gangs	位数	optional	text			true	1	如1位、2位、4位。
MT-223A975EF429	application	用途	optional	text			true	2	给水、排水、线缆保护等；同规格不同用途应区分为不同SKU
MT-223A975EF429	with_base	带底座	optional	boolean			true	3	是否附带安装底座。
MT-22A29F55ED8A	voltage	电压	required	text			true	1	
MT-22A29F55ED8A	flow	流量	optional	text			true	2	
MT-22A29F55ED8A	head	扬程	optional	text			true	3	
MT-23A67A242AA9	material	材质	optional	text			true	1	如不锈钢
MT-23A67A242AA9	color	颜色	optional	text			true	2	如透明
MT-23A67A242AA9	size	口径	optional	text			true	3	如4寸（DN100）
MT-23A67A242AA9	supply_form	供应形态	optional	text			true	4	如成品块布、按重量供应的布料。
MT-23DBD83CFCB5	package_spec	包装规格	optional	text			true	1	如单支、盒装12支
MT-23DBD83CFCB5	application	用途	optional	text			true	2	给水、排水、线缆保护等；同规格不同用途应区分为不同SKU
MT-246A1D69D7A3	nominal_diameter	公称直径	required	text			true	1	如DN25、DN50
MT-246A1D69D7A3	length	长度	required	number	m		true	2	如1
MT-246A1D69D7A3	interface_type	接口形式	optional	text			true	3	两端接口如内丝/外丝/快速接头
MT-2494E6EB1AC1	color	颜色	optional	text			true	1	如透明
MT-2494E6EB1AC1	width	宽度	optional	number	mm		true	2	如50
MT-2494E6EB1AC1	package_weight	包装规格	optional	text			true	3	如1kg/包
MT-25908070A559	thickness	厚度	required	text			true	1	如3mm
MT-25908070A559	fire_rating	防火等级	optional	text			true	2	
MT-25B26D59F8C2	dimensions	尺寸	optional	text			true	1	如1.2米*0.6米
MT-25B26D59F8C2	material	材质	optional	text			true	2	如不锈钢
MT-25F09C4C1D23	material	材质	required	text			true	1	如不锈钢
MT-25F09C4C1D23	size	口径	optional	text			true	2	如4寸（DN100）
MT-269272371E37	length	长度	required	number	m		true	1	如1
MT-269272371E37	rung_count	档数	optional	number			true	2	如12档
MT-26CE963D170E	load_capacity	承重	required	text			true	1	
MT-26CE963D170E	fork_length	货叉长度	optional	text			true	2	
MT-26CE963D170E	fork_width	货叉宽度	optional	text			true	3	
MT-26E7D1140796	diameter	直径	required	text			true	1	如1.5米
MT-26E7D1140796	length	长度	required	number	m		true	2	如1
MT-26E7D1140796	material	材质	optional	text			true	3	如不锈钢
MT-26E7D1140796	brand	品牌	optional	text			true	4	如海飞丝
MT-271DC337D5AE	caliber	口径	required	text			true	1	如DN100
MT-271DC337D5AE	material	材质	optional	text			true	2	如不锈钢
MT-271DC337D5AE	pressure_rating	压力等级	optional	text	MPa		true	3	如1.0MPa、1.6MPa
MT-2733C13A06DB	characteristic	特性	optional	text			true	1	如阻燃
MT-2733C13A06DB	package_weight	包装规格	optional	text			true	2	如1kg/包
MT-275FAE855873	specification	规格	required	text			true	1	如65*20*1
MT-275FAE855873	material	材质	required	text			true	2	如不锈钢
MT-275FAE855873	strength_grade	强度等级	required	text			true	3	8.8、12.9等
MT-275FAE855873	surface_treatment	表面处理	optional	text			true	4	镀锌等
MT-276BC830BF3C	color	颜色	optional	text			true	1	如透明
MT-276BC830BF3C	dimensions	尺寸	required	text			true	2	如1.2米*0.6米
MT-277D98364049	spec	规格	required	text			true	1	如通用
MT-279CE4AA9714	capacity	容量	required	text			true	1	如1.7L
MT-279CE4AA9714	accuracy	精度	required	text			true	2	如±2.5%、±3%
MT-279CE4AA9714	power_supply	供电	optional	text			true	3	如太阳能、市电
MT-27BA1EB08A05	material	材质	required	text			true	1	如不锈钢
MT-27BA1EB08A05	diameter	直径	required	text			true	2	如1.5米
MT-27BA1EB08A05	application	用途	optional	text			true	3	给水、排水、线缆保护等；同规格不同用途应区分为不同SKU
MT-27E3A42F3667	model	型号	required	text			true	1	如无则留空
MT-27EA53568BD1	size	口径	required	text			true	1	如4寸（DN100）
MT-27EA53568BD1	feature	特征	optional	text			true	2	如厚
MT-27EA53568BD1	material	材质	optional	text			true	3	如不锈钢
MT-27EA53568BD1	brand	品牌	optional	text			true	4	如海飞丝
MT-281785350378	rated_voltage	额定电压	required	text			true	1	额定电压范围，如100-500V
MT-281785350378	bead_count	灯珠数量	optional	number			true	2	灯珠数量/米或条
MT-2849DC3D05E4	brand	品牌	required	text			true	1	如海飞丝
MT-2849DC3D05E4	model	型号	required	text			true	2	如无则留空
MT-2849DC3D05E4	package_capacity	包装容量	optional	text			true	3	如20kg/桶。
MT-2850A9FC69AB	rated_load	额定载荷	optional	text	T		true	1	如15T。
MT-2889C7F05635	material	材质	required	text			true	1	如不锈钢
MT-2889C7F05635	size	口径	required	text			true	2	如4寸（DN100）
MT-2889C7F05635	feature	特征	optional	text			true	3	如厚
MT-2956D0668F0C	material	材质	optional	text			true	1	如不锈钢
MT-2956D0668F0C	capacity	容量	optional	text			true	2	如1.7L
MT-2992E95FAA04	line_count	线数	required	number	线		true	1	激光线数，如2线
MT-2992E95FAA04	accuracy	精度	optional	text			true	2	如±2.5%、±3%
MT-2992E95FAA04	wavelength	激光波长	optional	number	nm		true	3	激光波长，如635nm
MT-29F7F131F7D4	spec_range	规格范围	required	text			true	1	如8-24mm
MT-29F7F131F7D4	piece_count	件数	required	text			true	2	如9件
MT-29F7F131F7D4	brand	品牌	optional	text			true	3	如海飞丝
MT-29FAEEBC1DB7	weight	重量	required	number	kg		true	1	单块或单批次重量
MT-2A3E0393F94F	power	匹数	required	text			true	1	如3匹、大1.5匹、1.5匹
MT-2A3E0393F94F	light_source	光源	optional	text			true	2	如LED
MT-2A3E0393F94F	power_supply	供电	optional	text			true	3	如太阳能、市电
MT-2A3E0393F94F	environment	使用环境	optional	text			true	4	如室外
MT-2A4398CDFE43	specification_range	规格范围	required	text			true	1	套装规格范围，如8-24mm
MT-2B0AEB3EAED6	load_capacity	承重	required	text			true	1	
MT-2B0AEB3EAED6	length	长度	optional	number	m		true	2	如1
MT-2B0AEB3EAED6	lock_type	锁具	optional	text			true	3	
MT-2B0AEB3EAED6	material	材质	optional	text			true	4	如不锈钢
MT-2B8B32AFB454	dimensions	尺寸	required	text			true	1	如1.2米*0.6米
MT-2B8B32AFB454	thickness	厚度	required	text			true	2	如3mm
MT-2B8B32AFB454	structure	结构	optional	text			true	3	其他结构特征
MT-2B8B32AFB454	color	颜色	optional	text			true	4	如透明
MT-2BD23953B5CD	power_supply	供电	required	text			true	1	如太阳能、市电
MT-2BD23953B5CD	configuration	配置	optional	text			true	2	如套装、含充电器
MT-2BD23953B5CD	voltage	电压	optional	text			true	3	
MT-2BD23953B5CD	battery_capacity	电池容量	optional	text			true	4	电池容量，如2.0Ah
MT-2C00BA97AEC3	material	材质	optional	text			true	1	如不锈钢
MT-2C00BA97AEC3	dimensions	尺寸	optional	text			true	2	如1.2米*0.6米
MT-2C1A35C14373	outer_diameter	外径	required	text	mm		true	1	外径尺寸
MT-2C1A35C14373	bore_diameter	孔径	required	number	mm		true	2	安装孔径
MT-2C1A35C14373	grit	粒度	required	text			true	3	如80#、240#、600#
MT-2C6F9D2B1067	base_material	基材	required	text			true	1	棉纸、泡棉、PET等；源证据未提供时可选。
MT-2C6F9D2B1067	width	宽度	required	number	mm		true	2	如50
MT-2C6F9D2B1067	length	长度	required	number	m		true	3	如1
MT-2C6F9D2B1067	thickness	厚度	optional	text			true	4	如3mm
MT-2D6782263518	specification	规格	required	text			true	1	如65*20*1
MT-2D6782263518	material	材质	required	text			true	2	如不锈钢
MT-2D6782263518	surface_treatment	表面处理	optional	text			true	3	镀锌等
MT-2DA6ABE75AE6	length	长度	optional	number	m		true	1	如1
MT-2DA6ABE75AE6	feature	特征	optional	text			true	2	如厚
MT-2DF162AD6294	material	材质	required	text			true	1	如不锈钢
MT-2DF162AD6294	size	口径	optional	text			true	2	如4寸（DN100）
MT-2E6EAF0D3CB8	spec	规格	optional	text			true	1	如通用
MT-2F88AF306F4D	capacity	容量	optional	text			true	1	如1.7L
MT-2F8BDE6FB893	power	匹数	required	text			true	1	如3匹、大1.5匹、1.5匹
MT-2F8BDE6FB893	voltage	电压	required	text			true	2	
MT-2F8BDE6FB893	head	扬程	optional	text			true	3	
MT-2F8BDE6FB893	outlet_size	口径	optional	text			true	4	
MT-30A9F258EF59	material	材质	required	text			true	1	如不锈钢
MT-30A9F258EF59	size	口径	required	text			true	2	如4寸（DN100）
MT-30A9F258EF59	connection_type	连接方式	optional	text			true	3	如胶接
MT-30A9F258EF59	feature	特征	optional	text			true	4	如厚
MT-30BED2968C22	size	口径	required	text			true	1	如4寸（DN100）
MT-30BED2968C22	material	材质	optional	text			true	2	如不锈钢
MT-310EA2FFDD11	material	材质	optional	text			true	1	如不锈钢
MT-310EA2FFDD11	spec	规格	optional	text			true	2	如通用
MT-31255A55B488	spec	规格	optional	text			true	1	如通用
MT-31255A55B488	material	材质	optional	text			true	2	如不锈钢
MT-316F1BE1D8F3	range	量程	required	text			true	1	如1000A、2000A
MT-316F1BE1D8F3	accuracy	精度	optional	text			true	2	如±2.5%、±3%
MT-316F65A55D99	drive_mode	驱动方式	required	enum		电动	true	1	现有证据仅电动；如后续出现其他驱动方式再扩展。
MT-316F65A55D99	configuration	配置	optional	text			true	2	如套装、含充电器
MT-31866361124C	brand_model	品牌/型号	optional	text			true	1	如WD-40、DM40。
MT-31866361124C	capacity	容量	optional	text			true	2	如1.7L
MT-31A1F72CE334	grade	等级	optional	text			true	1	如4SH
MT-31A1F72CE334	diameter_mm	直径（mm）	required	number	mm		true	2	钢丝绳直径。
MT-31A1F72CE334	package_weight_kg	包装重量	optional	number	kg		true	3	如20kg。
MT-324CEADD8DD4	tube_size	适用气管外径	required	text			true	1	如8mm
MT-324CEADD8DD4	material	材质	optional	text			true	2	如不锈钢
MT-327C91C1FCD4	range	量程	required	text			true	1	如1000A、2000A
MT-331BE0A5CDA3	material	材质	required	text			true	1	如不锈钢
MT-33314DBCFB5A	specification	规格	required	text			true	1	如65*20*1
MT-33314DBCFB5A	material	材质	required	text			true	2	如不锈钢
MT-33314DBCFB5A	surface_treatment	表面处理	optional	text			true	3	镀锌等
MT-33314DBCFB5A	drive_type	驱动类型	required	text			true	4	十字、六角等
MT-335A01CAF8EC	spec	规格	optional	text			true	1	如通用
MT-33678DFF6077	nominal_diameter	公称直径	required	text			true	1	如DN25、DN50
MT-33678DFF6077	connection	连接	required	text			true	2	如内外牙
MT-336F13215B77	applicable_equipment	适用设备	optional	text			true	1	适用设备或工况
MT-336F13215B77	capacity	容量	optional	text			true	2	如1.7L
MT-3456430B26D2	caliber	口径	required	text			true	1	如DN100
MT-3456430B26D2	shape	形状	optional	text			true	2	如方凳、圆凳
MT-345E9C1C98A9	filtration_mesh	过滤精度	required	text			true	1	过滤精度，如100目
MT-346146BAEDB6	material	材质	optional	text			true	1	如不锈钢
MT-346146BAEDB6	length	长度	optional	number	m		true	2	如1
MT-34F59C9A2527	grade	等级	required	text			true	1	如4SH
MT-34F59C9A2527	diameter_mm	直径（mm）	required	number	mm		true	2	钢丝绳直径。
MT-34F59C9A2527	package_weight_kg	包装重量	optional	number	kg		true	3	如20kg。
MT-34F669EA5A02	head_circumference	头围	optional	number	cm		true	1	
MT-34F669EA5A02	material	材质	optional	text			true	2	如不锈钢
MT-34FFED3870B0	material	材质	optional	text			true	1	如不锈钢
MT-34FFED3870B0	size	口径	optional	text			true	2	如4寸（DN100）
MT-34FFED3870B0	feature	特征	optional	text			true	3	如厚
MT-34FFED3870B0	process	工艺	optional	text			true	4	如焊接
MT-350F690ACEEC	length	长度	required	number	m		true	1	如1
MT-350F690ACEEC	diameter	直径	optional	text			true	2	如1.5米
MT-350F690ACEEC	material	材质	optional	text			true	3	如不锈钢
MT-350F690ACEEC	package_quantity	包装数量	optional	text			true	4	如1套
MT-3526C7D9267E	applicable_pipe_range_mm	适用口径	required	text			true	1	如20-63mm。
MT-3526C7D9267E	heating_mode	加热方式	optional	text			false	2	如电热。
MT-35684B49BF52	size_class	规格	optional	text			true	1	
MT-35684B49BF52	load_capacity_kg	承重(kg)	required	number	kg		true	2	
MT-35684B49BF52	material	材质	optional	text			true	3	如不锈钢
MT-35708EFB9DFD	capacity	容量	required	text			true	1	如1.7L
MT-35708EFB9DFD	material	材质	optional	text			true	2	如不锈钢
