type_id	top_group	material_family	standard_name	definition	includes	excludes	governance_status	revision	source_hash	prompt_version	generator_model	reviewer_model
MT-72DE55895C88	劳保防护	急救用品	医用绷带	用于包扎固定的医用绷带。	脱脂棉纱布绷带等。	创可贴、医用胶带、纱布片。	frozen	1	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-43851D46EB3C	劳保防护	急救用品	医用胶带	医用固定胶带，用于包扎固定。	无纺布医用胶带等。	双面胶带、封箱胶带。	frozen	1	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-A8FA3D3804D6	劳保防护	急救用品	电子血压计	电子数字显示的血压测量设备。	上臂式电子血压计等。	水银血压计、体温计。	frozen	1	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-1BB316C003E8	劳保防护	急救用品	碘伏	含碘消毒剂，用于皮肤黏膜消毒。	500ml瓶装碘伏等。	酒精、红花油。	frozen	1	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-C0CC3F5B1CC4	劳保防护	急救用品	红花油	外用活血化瘀药油。	20ml瓶装红花油等。	碘伏、酒精。	frozen	1	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-48004B85E0F0	劳保防护	急救用品	纱布	医用纱布块/纱布片，用于创口护理。	大包纱布、100片/包纱布等。	医用绷带、医用胶带。	frozen	1	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-816453091572	劳保防护	手套	劳保手套	用于一般劳动保护的防护手套，涵盖帆布、乳胶、牛筋、挂胶等材质。	帆布手套、乳胶手套、牛筋手套、挂胶手套等。	焊工手套、医用手套。	frozen	1	3cc661692d159d8fcc9a3c3a4e01ee96a5d0b2980b114d078bb089e5aa17c3e6	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-F7ABA31251AD	劳保防护	手套	焊工手套	电焊作业用耐高温、防火花的防护手套。	牛皮电焊手套、加长焊工手套、双层加厚焊工手套等。	一般劳保手套。	frozen	1	3cc661692d159d8fcc9a3c3a4e01ee96a5d0b2980b114d078bb089e5aa17c3e6	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-FD7C4B8E401B	劳保防护	眼面防护	焊工眼镜	焊接作业用带遮光功能的防护眼镜。	遮光11#墨绿色焊工眼镜等。	焊接面罩、一般防护眼镜。	frozen	1	71bcc0c7b9761bcd8da1e5cea316bf401d93bcfcca4d627f93f4b9add3883524	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-E7DED42C2877	劳保防护	眼面防护	焊接面罩	焊接时保护面部和眼部的面罩。	头戴式、手持式、头盔式焊接面罩。	焊工眼镜、焊罩镜片。	frozen	1	71bcc0c7b9761bcd8da1e5cea316bf401d93bcfcca4d627f93f4b9add3883524	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-598D55A039B9	劳保防护	眼面防护	焊罩镜片	焊接面罩或焊工眼镜用替换镜片。	白/黑、黑色焊罩镜片等。	焊接面罩本体、焊工眼镜。	frozen	1	71bcc0c7b9761bcd8da1e5cea316bf401d93bcfcca4d627f93f4b9add3883524	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-81592C2960DC	劳保防护	眼面防护	防护眼镜	防飞溅、防冲击、防粉尘等一般防护眼镜。	打磨用、透明、平光、白色平光、多功能护目防护眼镜等。	焊工眼镜、焊接面罩。	frozen	1	71bcc0c7b9761bcd8da1e5cea316bf401d93bcfcca4d627f93f4b9add3883524	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-5C0376DF5B15	劳保防护	足部防护	劳保鞋	具有防砸、防刺穿等防护功能的作业鞋。	高帮劳保鞋等。	雨鞋、普通鞋。	frozen	1	4c49df7e4904e71e5fa4600798a40fdde24821ef6f349aabb8214a8e9b5f3334	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-4D8AF802D2DB	劳保防护	足部防护	雨鞋	防水靴，用于雨天或潮湿作业。	高筒、厚底、加厚、带衬里雨鞋等。	劳保鞋、绝缘鞋。	frozen	1	4c49df7e4904e71e5fa4600798a40fdde24821ef6f349aabb8214a8e9b5f3334	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-10BB30F14483	劳保防护	足部防护	鞋垫	放入鞋内的垫片，增加舒适度或防护。	棉质均码鞋垫等。	劳保鞋、雨鞋。	frozen	1	4c49df7e4904e71e5fa4600798a40fdde24821ef6f349aabb8214a8e9b5f3334	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-30BED2968C22	劳保防护	身体防护	下水裤	防水连体裤，用于涉水作业。	PVC下水裤等。	雨衣、防护服。	frozen	1	278064bf3a19b3113f1b7bacd0a36eb18986a9b29b057e428fc1dbf1719fb7cb	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-7400E07ACF55	劳保防护	身体防护	救生衣	水上作业用救生浮力背心。	成人浮力≥100N救生衣等。	下水裤、防护服。	frozen	1	278064bf3a19b3113f1b7bacd0a36eb18986a9b29b057e428fc1dbf1719fb7cb	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-FAC7CC5D53DD	劳保防护	身体防护	防护服	身体防护用工作服，可连体或分体。	连体加厚防护服等。	雨衣、下水裤。	frozen	1	278064bf3a19b3113f1b7bacd0a36eb18986a9b29b057e428fc1dbf1719fb7cb	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-0D4B880E822A	劳保防护	雨具	雨衣	防雨外衣，含一次性、加厚、套装等。	一次性雨衣、加厚雨衣、一次性加厚雨衣、加厚雨衣套装。	雨鞋、下水裤。	frozen	1	093bf9bd1ab1b320c47f5fb0011316a2b0cd84495e4463bdeb09bef5a9b0423a	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-DE6BB9DC48EF	包装覆盖周转	包装袋/吨袋	吨袋	集装袋/吨袋，用于大宗散货运输和周转。	大号、1.5吨、4T双层等吨袋。	编织袋、麻袋、自封袋。	frozen	1	a04d8f1b11090d9b8c7a2135c080d662d3e02b93d1998b3410fb2a3616b56653	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-46E3EA1E3D56	包装覆盖周转	包装袋/吨袋	编织袋	塑料编织袋，用于一般包装。	50*80cm、大号、小号、0.8m*1.2m编织袋等。	吨袋、麻袋、自封袋。	frozen	1	a04d8f1b11090d9b8c7a2135c080d662d3e02b93d1998b3410fb2a3616b56653	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-D0CD4AFEC0F0	包装覆盖周转	包装袋/吨袋	自封袋	带自封口的塑料薄膜袋。	10#自封袋等。	马夹袋、编织袋。	frozen	1	a04d8f1b11090d9b8c7a2135c080d662d3e02b93d1998b3410fb2a3616b56653	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-A8DEDE222B97	包装覆盖周转	包装袋/吨袋	马夹袋	马甲袋/背心袋，PE薄膜袋。	30*40cm PE马夹袋等。	自封袋、编织袋。	frozen	1	a04d8f1b11090d9b8c7a2135c080d662d3e02b93d1998b3410fb2a3616b56653	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-1C876845B9C7	包装覆盖周转	包装袋/吨袋	麻袋	麻织包装袋。	70*100、80*120麻袋等。	编织袋、吨袋。	frozen	1	a04d8f1b11090d9b8c7a2135c080d662d3e02b93d1998b3410fb2a3616b56653	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-604A29470741	包装覆盖周转	容器周转箱	周转箱	塑料周转箱，用于物料搬运和周转。	加厚周转箱、带盖周转箱等。	收纳箱、纸箱、水桶。	frozen	1	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-9A771CE69500	包装覆盖周转	容器周转箱	收纳箱	储物收纳箱/整理箱。	85*65、75L、80L透明、带盖收纳箱等。	周转箱、纸箱。	frozen	1	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-794232B0188E	包装覆盖周转	容器周转箱	方桶	方形桶，用于液体或物料盛装。	牛筋带盖方桶等。	水桶、汽油桶、泥桶。	frozen	1	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-A4B31D70F1B0	包装覆盖周转	容器周转箱	水桶	盛水或液体用桶。	20L水桶、1T不锈钢支架水桶等。	方桶、汽油桶、泥桶。	frozen	1	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-786E1F5DE6F1	包装覆盖周转	容器周转箱	汽油桶	存放汽油等燃料的金属桶。	20L铁质汽油桶等。	水桶、方桶、泥桶。	frozen	1	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-2956D0668F0C	包装覆盖周转	容器周转箱	泥桶	建筑工地盛泥浆/砂浆用桶。	5L塑料泥桶等。	水桶、方桶、汽油桶。	frozen	1	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-3925E7EC5DFC	包装覆盖周转	容器周转箱	灰斗	建筑用灰浆斗/灰斗容器。	铁灰斗等。	水桶、泥桶。	frozen	1	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-D84E754C5B9D	包装覆盖周转	容器周转箱	纸箱	瓦楞纸板箱，用于包装和运输。	70*50纸箱等。	周转箱、收纳箱。	frozen	1	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-EA5002FF3C63	包装覆盖周转	胶带标签	不干胶标签	带胶背的标签，用于标识和条码打印。	哑银PET条码不干胶标签等。	碳带、胶带。	review_required	1	24f83bdef0c06ae3f4ceaa8595b32a2067c57b038af50ada962069fc3c12ed4d	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-407BFFE2BB66	包装覆盖周转	胶带标签	双面胶带	两面涂胶的胶带，用于粘接固定。	海绵、泡沫、泡沫棉双面胶带等。	封箱胶带、美纹纸胶带。	review_required	1	24f83bdef0c06ae3f4ceaa8595b32a2067c57b038af50ada962069fc3c12ed4d	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-4F7924C8DD76	包装覆盖周转	胶带标签	封箱胶带	用于封纸箱的OPP等胶带。	透明封箱胶带等。	双面胶带、美纹纸胶带。	review_required	1	24f83bdef0c06ae3f4ceaa8595b32a2067c57b038af50ada962069fc3c12ed4d	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-1C3317497F61	包装覆盖周转	胶带标签	碳带	条码打印机用碳带/色带。	全树脂基碳带等。	不干胶标签、打印纸。	review_required	1	24f83bdef0c06ae3f4ceaa8595b32a2067c57b038af50ada962069fc3c12ed4d	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-5904A7482737	包装覆盖周转	胶带标签	美纹纸胶带	以美纹纸为基材的遮蔽胶带。	5cm黄色美纹纸胶带等。	封箱胶带、双面胶带。	review_required	1	24f83bdef0c06ae3f4ceaa8595b32a2067c57b038af50ada962069fc3c12ed4d	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-D6E4F9E1A829	包装覆盖周转	覆盖材料	保鲜膜	用于物品保鲜或覆盖的塑料薄膜。	大卷30cm*300m保鲜膜等。	缠绕膜、玻璃纸。	frozen	1	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-428791A708F5	包装覆盖周转	覆盖材料	彩条布	条纹或三色聚乙烯篷布，用于覆盖防护。	12m*30m、三色4m*30m等彩条布。	油布、遮阳网、防尘网。	frozen	1	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-54E76A58AED6	包装覆盖周转	覆盖材料	气泡膜	缓冲包装用气泡膜。	1000mm宽5mm厚气泡膜等。	保鲜膜、缠绕膜。	frozen	1	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-8985890D2FAF	包装覆盖周转	覆盖材料	油布	防水油布/涂层苫布，用于覆盖保护。	加厚油布、通用型油布等。	彩条布、防尘网。	frozen	1	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-E766BE628E26	包装覆盖周转	覆盖材料	玻璃纸	透明玻璃纸/薄膜。	1000mm宽0.02mm厚玻璃纸等。	保鲜膜、气泡膜。	frozen	1	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-2494E6EB1AC1	包装覆盖周转	覆盖材料	缠绕膜	拉伸缠绕膜，用于托盘裹包。	透明50cm 5KG/卷缠绕膜等。	保鲜膜、气泡膜。	frozen	1	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-3B3AAD7606BA	包装覆盖周转	覆盖材料	遮阳网	遮阳用网。	密2m*50m遮阳网等。	防尘网。	frozen	1	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-B1B04335689F	包装覆盖周转	覆盖材料	防尘网	防尘密目网。	10针1.8m*50m防尘网等。	遮阳网。	frozen	1	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-4DC59336FAF6	化工胶粘涂料	化工原料	明矾	钾明矾或工业明矾，用于水处理等。	工业级晶体明矾等。	膨润土、其他化工原料。	frozen	1	b2a052c99ad1e6683661aa5689a246a02921f3c17299c4dcecf61f98098aad01	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-8042D2CB901C	化工胶粘涂料	化工原料	膨润土	以蒙脱石为主的黏土矿物，用于钻井、防水等。	抗盐型膨润土等。	明矾、其他化工原料。	frozen	1	b2a052c99ad1e6683661aa5689a246a02921f3c17299c4dcecf61f98098aad01	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-FA69028218BF	化工胶粘涂料	干性润滑剂	干性润滑剂	喷涂后形成干膜起润滑作用的润滑剂。	D321R摩力克干性润滑剂等。	机油、齿轮油、润滑脂。	frozen	1	a79d96865746d59fee07a0c55b11be9ecab464fafba8a276d0b75d861014ffec	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-A6DDF67DC33F	化工胶粘涂料	橡胶材料	橡胶板	橡胶板材，用于密封、垫板等。	2cm普通橡胶板等。	橡胶管、橡胶垫片。	frozen	1	273fdbe0266c0cc4510d7982e32857db9a473337b765921f313006bdf601af64	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-14C12CAC4D5E	化工胶粘涂料	水处理剂	PAC污水处理剂	聚合氯化铝（PAC）类水处理剂，用于污水处理。	28% PAC污水处理剂等。	其他水处理药剂。	frozen	1	81014c5b08b80b08cc7c69925365db9dfd2b543dd5c51d21f0f8e8c8278df479	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-63EC0EF307BC	化工胶粘涂料	油漆涂料	乳胶漆	水性墙面涂料，主要成分为乳液。	防水乳胶漆、外墙乳胶漆、抗甲醛内墙乳胶漆等。	油漆、自喷漆、调和漆、防锈漆、底漆。	review_required	1	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-8155D2AB2365	化工胶粘涂料	油漆涂料	固化剂	油漆/地坪漆等配套使用的固化剂。	地坪面漆固化剂、地坪底漆固化剂等。	底漆、面漆。	review_required	1	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-582B7CE5942A	化工胶粘涂料	油漆涂料	底漆	地坪漆等配套底层涂料。	地坪底漆等。	面漆、固化剂。	review_required	1	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-0508F13A1EA0	化工胶粘涂料	油漆涂料	油漆	溶剂型或通用油漆，用于表面着色和保护。	蓝色油漆、中黄油漆、桔黄油漆、金属漆、白色油漆等。	乳胶漆、调和漆、防锈漆、自喷漆、涂料。	review_required	1	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-F0BD53D94D9C	化工胶粘涂料	油漆涂料	涂料	通用涂料，多用于墙面或表面涂装。	环保涂料5合1等。	乳胶漆、油漆、底漆、自喷漆。	review_required	1	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-3BF81E32BAFC	化工胶粘涂料	油漆涂料	自喷漆	气雾罐装喷漆，用于表面喷涂。	黄色、天蓝色、灰色、黑色、翠绿色等自喷漆。	油漆、调和漆、防锈漆。	review_required	1	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-77D73CEF4ECF	化工胶粘涂料	油漆涂料	调和漆	已调配好颜色的油漆。	铁红、白色、黄色、黑色、红色调和漆等。	油漆、防锈漆、自喷漆。	review_required	1	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-730ABDA2E578	化工胶粘涂料	油漆涂料	防锈漆	以防锈为主要功能的油漆。	铁红、白色、桔黄色、深黄、黑色等防锈漆。	油漆、调和漆、自喷漆。	review_required	1	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-EB54F5C192D0	化工胶粘涂料	润滑油	机油	内燃机润滑油。	道达尔46#机油等。	齿轮油、液压油、气动油。	frozen	1	3ae88d9fbee70fbbe8766fc2de7dabdba0e5f0a9e363087b58f52b3242b13093	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-9D9CD04D7D99	化工胶粘涂料	润滑油	气动油	气动工具/油雾器专用油。	油雾器用气动油、卡仕顿气动油等。	机油、液压油。	frozen	1	3ae88d9fbee70fbbe8766fc2de7dabdba0e5f0a9e363087b58f52b3242b13093	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-E258B7CA8567	化工胶粘涂料	润滑油	液压油	液压系统传动用油。	进口10L/桶液压油等。	机油、齿轮油。	frozen	1	3ae88d9fbee70fbbe8766fc2de7dabdba0e5f0a9e363087b58f52b3242b13093	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-336F13215B77	化工胶粘涂料	润滑油	清洗机专用油	清洗机设备专用润滑油。	500mL/瓶清洗机专用油等。	机油、气动油。	frozen	1	3ae88d9fbee70fbbe8766fc2de7dabdba0e5f0a9e363087b58f52b3242b13093	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-7B5749411F6B	化工胶粘涂料	润滑油	齿轮油	齿轮传动装置润滑油。	HL-20、长城18L/桶齿轮油等。	机油、液压油。	frozen	1	3ae88d9fbee70fbbe8766fc2de7dabdba0e5f0a9e363087b58f52b3242b13093	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-2849DC3D05E4	化工胶粘涂料	润滑脂	润滑脂	半固体润滑剂，按品牌/型号区分。	克虏伯NB52润滑脂等。	通用润滑脂、高温润滑脂、钢丝绳润滑脂。	review_required	1	c8a793bf3b0a8f8b18967d49eb61f2e0622a4349f38034444793cf8586c446c4	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-67888F35BD96	化工胶粘涂料	润滑脂	通用润滑脂	通用型工业黄油/润滑脂。	15kg/桶通用润滑脂等。	高温润滑脂、钢丝绳润滑脂、品牌专用润滑脂。	review_required	1	c8a793bf3b0a8f8b18967d49eb61f2e0622a4349f38034444793cf8586c446c4	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-A5851B319D1A	化工胶粘涂料	润滑脂	钢丝绳润滑脂	钢丝绳专用润滑脂/润滑剂。	5kg/桶、伍尔特500mL/瓶钢丝绳润滑脂等。	通用润滑脂、高温润滑脂。	review_required	1	c8a793bf3b0a8f8b18967d49eb61f2e0622a4349f38034444793cf8586c446c4	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-7A225E74D037	化工胶粘涂料	润滑脂	高温润滑脂	耐高温工况用润滑脂。	16kg/桶高温润滑脂等。	通用润滑脂、钢丝绳润滑脂。	review_required	1	c8a793bf3b0a8f8b18967d49eb61f2e0622a4349f38034444793cf8586c446c4	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-B42C3BFF9948	化工胶粘涂料	清洗脱漆剂	丙酮	有机溶剂，用于清洗或稀释。	工业级10kg/桶丙酮等。	松香水、稀释剂。	frozen	1	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-C097BA8EA2A8	化工胶粘涂料	清洗脱漆剂	松香水	油漆稀释用溶剂油。	12KG/桶松香水等。	丙酮、稀释剂、脱漆剂。	frozen	1	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-9E65A5E71B56	化工胶粘涂料	清洗脱漆剂	油污清洗剂	去除油污的工业清洗剂。	重油污清洗剂、去油污清洗剂等。	泡沫清洗剂、电子清洗剂、电气清洗剂。	frozen	1	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-587A31130FB0	化工胶粘涂料	清洗脱漆剂	泡沫清洗剂	泡沫形态的清洗剂。	500ml/瓶泡沫清洗剂等。	油污清洗剂、电子清洗剂。	frozen	1	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
