top_group	material_family	current_name	action	target_type_ids	reason	decision_status	source_hash	review_summary
劳保防护	急救用品	医用胶带	keep	MT-43851D46EB3C	医用胶带为独立类型。	frozen	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	急救用品各类型定义清晰，属性覆盖尺寸、容量、浓度、包装数量等SKU区分键，旧名称全部覆盖。
劳保防护	急救用品	电子血压计	keep	MT-A8FA3D3804D6	电子血压计为设备类急救/健康监测用品。	frozen	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	急救用品各类型定义清晰，属性覆盖尺寸、容量、浓度、包装数量等SKU区分键，旧名称全部覆盖。
劳保防护	急救用品	碘伏	keep	MT-1BB316C003E8	碘伏为明确消毒剂类型。	frozen	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	急救用品各类型定义清晰，属性覆盖尺寸、容量、浓度、包装数量等SKU区分键，旧名称全部覆盖。
劳保防护	急救用品	红花油	keep	MT-C0CC3F5B1CC4	红花油为明确外用药品类型。	frozen	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	急救用品各类型定义清晰，属性覆盖尺寸、容量、浓度、包装数量等SKU区分键，旧名称全部覆盖。
劳保防护	急救用品	纱布	keep	MT-48004B85E0F0	纱布为独立敷料类型。	frozen	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	急救用品各类型定义清晰，属性覆盖尺寸、容量、浓度、包装数量等SKU区分键，旧名称全部覆盖。
劳保防护	手套	手套	rename	MT-816453091572	当前名称与物料族同名过于宽泛，改为劳保手套作为三级类型，材质/层数/长度等留在属性。	frozen	3cc661692d159d8fcc9a3c3a4e01ee96a5d0b2980b114d078bb089e5aa17c3e6	劳保手套与焊工手套按使用场景和结构分开，属性覆盖材质、层数、加厚、长度、工艺、厚度，旧名称全部覆盖。
劳保防护	手套	焊工手套	keep	MT-F7ABA31251AD	焊工手套为独立专业防护手套类型。	frozen	3cc661692d159d8fcc9a3c3a4e01ee96a5d0b2980b114d078bb089e5aa17c3e6	劳保手套与焊工手套按使用场景和结构分开，属性覆盖材质、层数、加厚、长度、工艺、厚度，旧名称全部覆盖。
劳保防护	眼面防护	焊工眼镜	keep	MT-FD7C4B8E401B	焊工眼镜为独立眼面防护类型。	frozen	71bcc0c7b9761bcd8da1e5cea316bf401d93bcfcca4d627f93f4b9add3883524	焊接眼面防护与一般防护眼镜边界明确，配件、镜片、镜架等属性覆盖SKU区分维度。
劳保防护	眼面防护	焊接面罩	keep	MT-E7DED42C2877	焊接面罩为独立类型，佩戴方式作为SKU属性。	frozen	71bcc0c7b9761bcd8da1e5cea316bf401d93bcfcca4d627f93f4b9add3883524	焊接眼面防护与一般防护眼镜边界明确，配件、镜片、镜架等属性覆盖SKU区分维度。
劳保防护	眼面防护	焊罩镜片	keep	MT-598D55A039B9	焊罩镜片为耗材类型，颜色和包装留在属性。	frozen	71bcc0c7b9761bcd8da1e5cea316bf401d93bcfcca4d627f93f4b9add3883524	焊接眼面防护与一般防护眼镜边界明确，配件、镜片、镜架等属性覆盖SKU区分维度。
劳保防护	眼面防护	防护眼镜	keep	MT-81592C2960DC	一般防护眼镜为独立类型。	frozen	71bcc0c7b9761bcd8da1e5cea316bf401d93bcfcca4d627f93f4b9add3883524	焊接眼面防护与一般防护眼镜边界明确，配件、镜片、镜架等属性覆盖SKU区分维度。
劳保防护	足部防护	劳保鞋	keep	MT-5C0376DF5B15	劳保鞋为独立足部防护类型。	frozen	4c49df7e4904e71e5fa4600798a40fdde24821ef6f349aabb8214a8e9b5f3334	劳保鞋、雨鞋、鞋垫结构和用途明确，尺码、帮高、筒高、材质等属性足以区分SKU。
劳保防护	足部防护	雨鞋	keep	MT-4D8AF802D2DB	雨鞋为独立防水靴类型。	frozen	4c49df7e4904e71e5fa4600798a40fdde24821ef6f349aabb8214a8e9b5f3334	劳保鞋、雨鞋、鞋垫结构和用途明确，尺码、帮高、筒高、材质等属性足以区分SKU。
劳保防护	足部防护	鞋垫	keep	MT-10BB30F14483	鞋垫为独立配件类型。	frozen	4c49df7e4904e71e5fa4600798a40fdde24821ef6f349aabb8214a8e9b5f3334	劳保鞋、雨鞋、鞋垫结构和用途明确，尺码、帮高、筒高、材质等属性足以区分SKU。
劳保防护	身体防护	下水裤	keep	MT-30BED2968C22	下水裤为独立涉水作业防护类型。	frozen	278064bf3a19b3113f1b7bacd0a36eb18986a9b29b057e428fc1dbf1719fb7cb	下水裤、救生衣、防护服均为独立结构类型，尺码、材质、浮力等级、款式等属性覆盖原SKU。
劳保防护	身体防护	救生衣	keep	MT-7400E07ACF55	救生衣为独立水上救生类型。	frozen	278064bf3a19b3113f1b7bacd0a36eb18986a9b29b057e428fc1dbf1719fb7cb	下水裤、救生衣、防护服均为独立结构类型，尺码、材质、浮力等级、款式等属性覆盖原SKU。
劳保防护	身体防护	防护服	keep	MT-FAC7CC5D53DD	防护服为独立身体防护类型。	frozen	278064bf3a19b3113f1b7bacd0a36eb18986a9b29b057e428fc1dbf1719fb7cb	下水裤、救生衣、防护服均为独立结构类型，尺码、材质、浮力等级、款式等属性覆盖原SKU。
劳保防护	雨具	雨衣	keep	MT-0D4B880E822A	雨衣为独立雨具类型，一次性/加厚等作为属性。	frozen	093bf9bd1ab1b320c47f5fb0011316a2b0cd84495e4463bdeb09bef5a9b0423a	雨衣类型稳定，一次性、加厚、套装作为属性，足以区分原SKU。
包装覆盖周转	包装袋/吨袋	吨袋	keep	MT-DE6BB9DC48EF	吨袋为独立集装袋类型。	frozen	a04d8f1b11090d9b8c7a2135c080d662d3e02b93d1998b3410fb2a3616b56653	各类包装袋结构明确，尺寸、载重、规格、材质等属性覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	包装袋/吨袋	编织袋	keep	MT-46E3EA1E3D56	编织袋为独立包装袋类型。	frozen	a04d8f1b11090d9b8c7a2135c080d662d3e02b93d1998b3410fb2a3616b56653	各类包装袋结构明确，尺寸、载重、规格、材质等属性覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	包装袋/吨袋	自封袋	keep	MT-D0CD4AFEC0F0	自封袋为独立密封袋类型。	frozen	a04d8f1b11090d9b8c7a2135c080d662d3e02b93d1998b3410fb2a3616b56653	各类包装袋结构明确，尺寸、载重、规格、材质等属性覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	包装袋/吨袋	马夹袋	keep	MT-A8DEDE222B97	马夹袋为独立薄膜袋类型。	frozen	a04d8f1b11090d9b8c7a2135c080d662d3e02b93d1998b3410fb2a3616b56653	各类包装袋结构明确，尺寸、载重、规格、材质等属性覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	包装袋/吨袋	麻袋	keep	MT-1C876845B9C7	麻袋为独立麻织包装袋类型。	frozen	a04d8f1b11090d9b8c7a2135c080d662d3e02b93d1998b3410fb2a3616b56653	各类包装袋结构明确，尺寸、载重、规格、材质等属性覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	容器周转箱	周转箱	keep	MT-604A29470741	周转箱为独立周转容器类型。	frozen	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	周转箱、收纳箱及各桶类、纸箱结构类型清楚，尺寸、容量、带盖、材质等属性足以区分SKU。
包装覆盖周转	容器周转箱	收纳箱	keep	MT-9A771CE69500	收纳箱为独立储物容器类型。	frozen	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	周转箱、收纳箱及各桶类、纸箱结构类型清楚，尺寸、容量、带盖、材质等属性足以区分SKU。
包装覆盖周转	容器周转箱	方桶	keep	MT-794232B0188E	方桶为独立方形桶类型。	frozen	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	周转箱、收纳箱及各桶类、纸箱结构类型清楚，尺寸、容量、带盖、材质等属性足以区分SKU。
包装覆盖周转	容器周转箱	水桶	keep	MT-A4B31D70F1B0	水桶为独立盛水容器类型。	frozen	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	周转箱、收纳箱及各桶类、纸箱结构类型清楚，尺寸、容量、带盖、材质等属性足以区分SKU。
包装覆盖周转	容器周转箱	汽油桶	keep	MT-786E1F5DE6F1	汽油桶为独立燃料容器类型。	frozen	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	周转箱、收纳箱及各桶类、纸箱结构类型清楚，尺寸、容量、带盖、材质等属性足以区分SKU。
包装覆盖周转	容器周转箱	泥桶	keep	MT-2956D0668F0C	泥桶为独立建筑用桶类型。	frozen	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	周转箱、收纳箱及各桶类、纸箱结构类型清楚，尺寸、容量、带盖、材质等属性足以区分SKU。
包装覆盖周转	容器周转箱	灰斗	keep	MT-3925E7EC5DFC	灰斗为独立灰浆容器类型。	frozen	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	周转箱、收纳箱及各桶类、纸箱结构类型清楚，尺寸、容量、带盖、材质等属性足以区分SKU。
包装覆盖周转	容器周转箱	纸箱	keep	MT-D84E754C5B9D	纸箱为独立纸质包装容器类型。	frozen	219cb0e10700e21b442016d776b9ce2eb38ef82f00ba55888bf55fb8c57f38b8	周转箱、收纳箱及各桶类、纸箱结构类型清楚，尺寸、容量、带盖、材质等属性足以区分SKU。
包装覆盖周转	胶带标签	不干胶标签	keep	MT-EA5002FF3C63	名称稳定、含义明确，直接保留。	frozen	24f83bdef0c06ae3f4ceaa8595b32a2067c57b038af50ada962069fc3c12ed4d	审查通过。标准名称未混入品牌、包装或尺寸，类型边界与旧名称覆盖均无实质问题。
包装覆盖周转	胶带标签	双面胶带	rename	MT-2C6F9D2B1067	该族现有双面胶带均为海绵/泡沫/泡沫棉泡棉基材；更名为泡棉双面胶带，与胶粘密封族通用双面胶带形成清晰边界。	frozen	24f83bdef0c06ae3f4ceaa8595b32a2067c57b038af50ada962069fc3c12ed4d	审查通过。标准名称未混入品牌、包装或尺寸，类型边界与旧名称覆盖均无实质问题。
包装覆盖周转	胶带标签	封箱胶带	keep	MT-4F7924C8DD76	标准名称稳定，按宽度/长度/颜色区分SKU。	frozen	24f83bdef0c06ae3f4ceaa8595b32a2067c57b038af50ada962069fc3c12ed4d	审查通过。标准名称未混入品牌、包装或尺寸，类型边界与旧名称覆盖均无实质问题。
包装覆盖周转	胶带标签	碳带	keep	MT-1C3317497F61	类型边界清晰，保留。	frozen	24f83bdef0c06ae3f4ceaa8595b32a2067c57b038af50ada962069fc3c12ed4d	审查通过。标准名称未混入品牌、包装或尺寸，类型边界与旧名称覆盖均无实质问题。
包装覆盖周转	胶带标签	美纹纸胶带	keep	MT-5904A7482737	类型特殊且独立，保留。	frozen	24f83bdef0c06ae3f4ceaa8595b32a2067c57b038af50ada962069fc3c12ed4d	审查通过。标准名称未混入品牌、包装或尺寸，类型边界与旧名称覆盖均无实质问题。
包装覆盖周转	覆盖材料	保鲜膜	keep	MT-D6E4F9E1A829	保鲜膜为独立覆盖薄膜类型。	frozen	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	各类覆盖材料结构、用途和属性清楚，尺寸、厚度、宽度、长度等覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	覆盖材料	彩条布	keep	MT-428791A708F5	彩条布为独立篷布类型。	frozen	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	各类覆盖材料结构、用途和属性清楚，尺寸、厚度、宽度、长度等覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	覆盖材料	气泡膜	keep	MT-54E76A58AED6	气泡膜为独立缓冲包装材料类型。	frozen	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	各类覆盖材料结构、用途和属性清楚，尺寸、厚度、宽度、长度等覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	覆盖材料	油布	keep	MT-8985890D2FAF	油布为独立防水覆盖材料类型。	frozen	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	各类覆盖材料结构、用途和属性清楚，尺寸、厚度、宽度、长度等覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	覆盖材料	玻璃纸	keep	MT-E766BE628E26	玻璃纸为独立透明薄膜类型。	frozen	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	各类覆盖材料结构、用途和属性清楚，尺寸、厚度、宽度、长度等覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	覆盖材料	缠绕膜	keep	MT-2494E6EB1AC1	缠绕膜为独立拉伸裹包材料类型。	frozen	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	各类覆盖材料结构、用途和属性清楚，尺寸、厚度、宽度、长度等覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	覆盖材料	遮阳网	keep	MT-3B3AAD7606BA	遮阳网为独立遮阳网类型。	frozen	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	各类覆盖材料结构、用途和属性清楚，尺寸、厚度、宽度、长度等覆盖原SKU，旧名称全部覆盖。
包装覆盖周转	覆盖材料	防尘网	keep	MT-B1B04335689F	防尘网为独立防尘网类型。	frozen	0b96b6abda25eb8fe06cf72d5001d21d4dae866e95b400f8d570ed7310a3a7ef	各类覆盖材料结构、用途和属性清楚，尺寸、厚度、宽度、长度等覆盖原SKU，旧名称全部覆盖。
化工胶粘涂料	化工原料	明矾	keep	MT-4DC59336FAF6	明矾为独立化工原料类型。	frozen	b2a052c99ad1e6683661aa5689a246a02921f3c17299c4dcecf61f98098aad01	明矾、膨润土为明确化工原料商品类型，纯度、形态、类型属性覆盖原SKU。
化工胶粘涂料	化工原料	膨润土	keep	MT-8042D2CB901C	膨润土为独立化工原料类型。	frozen	b2a052c99ad1e6683661aa5689a246a02921f3c17299c4dcecf61f98098aad01	明矾、膨润土为明确化工原料商品类型，纯度、形态、类型属性覆盖原SKU。
化工胶粘涂料	干性润滑剂	干性润滑剂	keep	MT-FA69028218BF	干性润滑剂为独立润滑产品类型。	frozen	a79d96865746d59fee07a0c55b11be9ecab464fafba8a276d0b75d861014ffec	干性润滑剂类型明确，品牌、型号、容量属性足以区分SKU。
化工胶粘涂料	橡胶材料	橡胶板	keep	MT-A6DDF67DC33F	橡胶板为独立橡胶材料类型。	frozen	273fdbe0266c0cc4510d7982e32857db9a473337b765921f313006bdf601af64	橡胶板为明确橡胶材料结构类型，厚度和材质属性覆盖原SKU。
化工胶粘涂料	水处理剂	PAC污水处理剂	keep	MT-14C12CAC4D5E	PAC污水处理剂为独立水处理药剂类型。	frozen	81014c5b08b80b08cc7c69925365db9dfd2b543dd5c51d21f0f8e8c8278df479	PAC污水处理剂为明确水处理剂类型，含量、类型属性覆盖原SKU。
化工胶粘涂料	油漆涂料	乳胶漆	keep	MT-63EC0EF307BC	乳胶漆作为独立商品类型成立。	frozen	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	类型边界清楚，旧名称全部覆盖，标准名未混入品牌、尺寸或包装。
化工胶粘涂料	油漆涂料	固化剂	keep	MT-8155D2AB2365	按配套体系和层次采购的固化剂，类型边界清楚。	frozen	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	类型边界清楚，旧名称全部覆盖，标准名未混入品牌、尺寸或包装。
化工胶粘涂料	油漆涂料	墙面漆	rename	MT-63EC0EF307BC	源SKU为外墙乳胶漆，“墙面漆”是乳胶漆俗名，不改变商品类型。	frozen	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	类型边界清楚，旧名称全部覆盖，标准名未混入品牌、尺寸或包装。
化工胶粘涂料	油漆涂料	底漆	keep	MT-582B7CE5942A	地坪底漆为独立层次商品。	frozen	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	类型边界清楚，旧名称全部覆盖，标准名未混入品牌、尺寸或包装。
化工胶粘涂料	油漆涂料	油漆	keep	MT-0508F13A1EA0	现有SKU以颜色/金属效果区分，均属通用油漆，无需拆分。	frozen	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	类型边界清楚，旧名称全部覆盖，标准名未混入品牌、尺寸或包装。
化工胶粘涂料	油漆涂料	涂料	keep	MT-F0BD53D94D9C	源证据只有系列和环保特征，不足以支持并入乳胶漆；保留为未定成膜类型涂料。	frozen	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	类型边界清楚，旧名称全部覆盖，标准名未混入品牌、尺寸或包装。
化工胶粘涂料	油漆涂料	自喷漆	keep	MT-3BF81E32BAFC	气雾罐自喷漆商品特征明确。	frozen	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	类型边界清楚，旧名称全部覆盖，标准名未混入品牌、尺寸或包装。
化工胶粘涂料	油漆涂料	调和漆	keep	MT-77D73CEF4ECF	直接刷涂的调和漆为独立类型。	frozen	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	类型边界清楚，旧名称全部覆盖，标准名未混入品牌、尺寸或包装。
化工胶粘涂料	油漆涂料	防锈漆	keep	MT-730ABDA2E578	以防锈功能为采购入口，类型稳定。	frozen	c46196f86582f916b5827e518049168aa633baae77b8e74403339d8b63d84f9a	类型边界清楚，旧名称全部覆盖，标准名未混入品牌、尺寸或包装。
化工胶粘涂料	润滑油	机油	keep	MT-EB54F5C192D0	机油为独立内燃机润滑油类型。	frozen	3ae88d9fbee70fbbe8766fc2de7dabdba0e5f0a9e363087b58f52b3242b13093	各类润滑油按用途和结构区分清楚，品牌、牌号、容量、适用设备等属性覆盖原SKU。
化工胶粘涂料	润滑油	气动油	keep	MT-9D9CD04D7D99	气动油为独立气动设备用油类型。	frozen	3ae88d9fbee70fbbe8766fc2de7dabdba0e5f0a9e363087b58f52b3242b13093	各类润滑油按用途和结构区分清楚，品牌、牌号、容量、适用设备等属性覆盖原SKU。
化工胶粘涂料	润滑油	液压油	keep	MT-E258B7CA8567	液压油为独立液压传动用油类型。	frozen	3ae88d9fbee70fbbe8766fc2de7dabdba0e5f0a9e363087b58f52b3242b13093	各类润滑油按用途和结构区分清楚，品牌、牌号、容量、适用设备等属性覆盖原SKU。
化工胶粘涂料	润滑油	清洗机专用油	keep	MT-336F13215B77	清洗机专用油为独立设备专用油类型。	frozen	3ae88d9fbee70fbbe8766fc2de7dabdba0e5f0a9e363087b58f52b3242b13093	各类润滑油按用途和结构区分清楚，品牌、牌号、容量、适用设备等属性覆盖原SKU。
化工胶粘涂料	润滑油	齿轮油	keep	MT-7B5749411F6B	齿轮油为独立齿轮传动用油类型。	frozen	3ae88d9fbee70fbbe8766fc2de7dabdba0e5f0a9e363087b58f52b3242b13093	各类润滑油按用途和结构区分清楚，品牌、牌号、容量、适用设备等属性覆盖原SKU。
化工胶粘涂料	润滑脂	润滑脂	keep	MT-2849DC3D05E4	克虏伯NB52只证明品牌/型号，不足以推断设备专用，保留为未标注用途的润滑脂。	frozen	c8a793bf3b0a8f8b18967d49eb61f2e0622a4349f38034444793cf8586c446c4	类型按用途/工况区分清楚，未对设备用途作无依据推断，旧名称覆盖完整。
化工胶粘涂料	润滑脂	通用润滑脂	keep	MT-67888F35BD96	通用润滑脂类型边界清楚。	frozen	c8a793bf3b0a8f8b18967d49eb61f2e0622a4349f38034444793cf8586c446c4	类型按用途/工况区分清楚，未对设备用途作无依据推断，旧名称覆盖完整。
化工胶粘涂料	润滑脂	钢丝绳润滑脂	keep	MT-A5851B319D1A	按用途明确的专用润滑脂。	frozen	c8a793bf3b0a8f8b18967d49eb61f2e0622a4349f38034444793cf8586c446c4	类型按用途/工况区分清楚，未对设备用途作无依据推断，旧名称覆盖完整。
化工胶粘涂料	润滑脂	高温润滑脂	keep	MT-7A225E74D037	以高温工况为采购区分项。	frozen	c8a793bf3b0a8f8b18967d49eb61f2e0622a4349f38034444793cf8586c446c4	类型按用途/工况区分清楚，未对设备用途作无依据推断，旧名称覆盖完整。
化工胶粘涂料	清洗脱漆剂	丙酮	keep	MT-B42C3BFF9948	丙酮为独立溶剂类型。	frozen	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	各类清洗脱漆剂类型定义清楚，容量、包装、用途、适用对象等属性覆盖原SKU，旧名称全部覆盖。
化工胶粘涂料	清洗脱漆剂	松香水	keep	MT-C097BA8EA2A8	松香水为独立油漆稀释溶剂类型。	frozen	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	各类清洗脱漆剂类型定义清楚，容量、包装、用途、适用对象等属性覆盖原SKU，旧名称全部覆盖。
化工胶粘涂料	清洗脱漆剂	油污清洗剂	keep	MT-9E65A5E71B56	油污清洗剂为独立去油污清洗剂类型。	frozen	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	各类清洗脱漆剂类型定义清楚，容量、包装、用途、适用对象等属性覆盖原SKU，旧名称全部覆盖。
化工胶粘涂料	清洗脱漆剂	泡沫清洗剂	keep	MT-587A31130FB0	泡沫清洗剂为独立泡沫形态清洗剂类型。	frozen	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	各类清洗脱漆剂类型定义清楚，容量、包装、用途、适用对象等属性覆盖原SKU，旧名称全部覆盖。
化工胶粘涂料	清洗脱漆剂	电子清洗剂	keep	MT-41A5C8A013A6	电子清洗剂为独立电子元件清洗剂类型。	frozen	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	各类清洗脱漆剂类型定义清楚，容量、包装、用途、适用对象等属性覆盖原SKU，旧名称全部覆盖。
化工胶粘涂料	清洗脱漆剂	电气清洗剂	keep	MT-6E6D6F625138	电气清洗剂为独立电力设备清洗剂类型。	frozen	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	各类清洗脱漆剂类型定义清楚，容量、包装、用途、适用对象等属性覆盖原SKU，旧名称全部覆盖。
化工胶粘涂料	清洗脱漆剂	稀释剂	keep	MT-0981473E7197	稀释剂为独立油漆稀释剂类型。	frozen	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	各类清洗脱漆剂类型定义清楚，容量、包装、用途、适用对象等属性覆盖原SKU，旧名称全部覆盖。
化工胶粘涂料	清洗脱漆剂	脱漆剂	keep	MT-2F88AF306F4D	脱漆剂为独立去漆膜化学剂类型。	frozen	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	各类清洗脱漆剂类型定义清楚，容量、包装、用途、适用对象等属性覆盖原SKU，旧名称全部覆盖。
化工胶粘涂料	清洗脱漆剂	除胶剂	keep	MT-AE1D847DF5D5	除胶剂为独立去胶剂类型。	frozen	be1b560676fac98fef1a0df707813b2be398490e5fdab2880aeba996f9eb0757	各类清洗脱漆剂类型定义清楚，容量、包装、用途、适用对象等属性覆盖原SKU，旧名称全部覆盖。
化工胶粘涂料	胶粘密封	AB胶	keep	MT-99C49417346C	AB胶是稳定的双组分胶种，容量等为SKU属性。	review_required	20ea921d679c29bad897ecf1043433b90975ec04cfc57b5d28d59b7b81a8446a	密封胶和聚氨酯堵漏剂类型存在属性模板或边界重叠问题，需revise；其余类型及全部名称决定通过。
化工胶粘涂料	胶粘密封	万能胶	keep	MT-9890C1C35446	万能胶作为通用粘接胶类型边界清楚。	review_required	20ea921d679c29bad897ecf1043433b90975ec04cfc57b5d28d59b7b81a8446a	密封胶和聚氨酯堵漏剂类型存在属性模板或边界重叠问题，需revise；其余类型及全部名称决定通过。
化工胶粘涂料	胶粘密封	双面胶带	keep	MT-B77F8002D76A	双面胶带是稳定的胶带类型，宽度、长度等为SKU属性。	review_required	20ea921d679c29bad897ecf1043433b90975ec04cfc57b5d28d59b7b81a8446a	密封胶和聚氨酯堵漏剂类型存在属性模板或边界重叠问题，需revise；其余类型及全部名称决定通过。
化工胶粘涂料	胶粘密封	堵漏剂	keep	MT-2733C13A06DB	速凝型堵漏剂与聚氨酯堵漏剂边界清楚。	review_required	20ea921d679c29bad897ecf1043433b90975ec04cfc57b5d28d59b7b81a8446a	密封胶和聚氨酯堵漏剂类型存在属性模板或边界重叠问题，需revise；其余类型及全部名称决定通过。
