issue_id	batch_id	top_group	material_family	current_name	item_code	issue_type	severity	detail	status
MGI-1A749A60998856	MGR-EE0CA1C223EA	工具量具	扳手	T型套筒扳手套装	TOOL-000313	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-5D64EEF7C54D26	MGR-EE0CA1C223EA	工具量具	扳手	三叉套筒扳手	TOOL-000311	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-7D013A6A516DA9	MGR-EE0CA1C223EA	工具量具	扳手	三叉套筒扳手	TOOL-000310	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-CC8DB98D08243C	MGR-EE0CA1C223EA	工具量具	扳手	三叉套筒扳手	TOOL-000312	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-45F675006C43BA	MGR-EE0CA1C223EA	工具量具	扳手	两用扳手	TOOL-000341	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-50540BD1331E42	MGR-EE0CA1C223EA	工具量具	扳手	两用扳手	TOOL-000346	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-AC3E6BEE0EC75A	MGR-EE0CA1C223EA	工具量具	扳手	两用扳手	TOOL-000190	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-D5CC854A9F816F	MGR-EE0CA1C223EA	工具量具	扳手	两用扳手	TOOL-000242	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-F082AD9669C113	MGR-EE0CA1C223EA	工具量具	扳手	内六角扳手	TOOL-000028	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-166407A5C22FEB	MGR-EE0CA1C223EA	工具量具	扳手	内六角扳手套装	TOOL-000131	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B9B8F7A384699C	MGR-EE0CA1C223EA	工具量具	扳手	固定扳手	TOOL-000141	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-4A6F6EF66798BF	MGR-EE0CA1C223EA	工具量具	扳手	开口梅花扳手套装	TOOL-000188	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-479B40D95FB24A	MGR-EE0CA1C223EA	工具量具	扳手	扳手	TOOL-000146	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B0AFA0C58BB54A	MGR-EE0CA1C223EA	工具量具	扳手	扳手	TOOL-000133	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B3C1CA80E99DE6	MGR-EE0CA1C223EA	工具量具	扳手	扳手	TOOL-000134	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-EB100B2BFD1594	MGR-EE0CA1C223EA	工具量具	扳手	扳手	TOOL-000132	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-676DF7C7FB8198	MGR-EE0CA1C223EA	工具量具	扳手	梅花敲击扳手	TOOL-000149	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B24E76678E2643	MGR-EE0CA1C223EA	工具量具	扳手	梅花敲击扳手	TOOL-000150	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-D1EDBD0EFBE9AD	MGR-EE0CA1C223EA	工具量具	扳手	梅花敲击扳手	TOOL-000148	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-90E08A5C7BC94F	MGR-EE0CA1C223EA	工具量具	扳手	活动扳手	TOOL-000296	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B42F8DF02FAD55	MGR-EE0CA1C223EA	工具量具	扳手	活动扳手	TOOL-000159	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-C2A303F3368A21	MGR-EE0CA1C223EA	工具量具	扳手	活动扳手	TOOL-000117	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-D04CBBD36F5061	MGR-EE0CA1C223EA	工具量具	扳手	活动扳手	TOOL-000297	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-FAEC76B26B0664	MGR-EE0CA1C223EA	工具量具	扳手	活动扳手	TOOL-000137	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B8597511E5FC4F	MGR-EE0CA1C223EA	工具量具	扳手	链条扳手	TOOL-000039	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-A59FEFD2093E36	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）			family_review_not_approved	high	压力表类型存在required属性与现有SKU不匹配的问题，需revise；其余类型及全部名称决定通过。	open
MGI-70FD9EC47D0BE9	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	万用表	TOOL-000160	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-0C3C2357978471	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	压力表	MAT-000225	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-5231A511B0A7E1	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	压力表	MAT-000242	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-5C709D25262796	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	压力表	MAT-000141	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-DBFB9653B4F0B8	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	压力表	MAT-000100	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-DF0ACF021F12AF	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	压力表		type_review_not_approved	high	connection_thread（接口螺纹）设为required，但现有SKU中抗振储气式压力表未提供该属性，应改为optional。	open
MGI-AC6C770EE16C5B	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	噪音计	TOOL-000088	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-4CBAF6A6F03391	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	气体检测表	WELD-000061	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-581DB756D92754	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	流量计	CHEM-000084	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-89916AD9B98408	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	测厚仪	TOOL-000074	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-A403C549437362	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	玛氏漏斗粘度计	TOOL-000104	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-E53226794A839A	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	电流表	ELEC-000152	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-F81B45F1E8D364	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	电流表	ELEC-000210	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-0EDE2906D81166	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	绝缘电阻表	TOOL-000093	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-5F41DAD67BF47E	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	绝缘电阻表	ELEC-000220	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-01AB63B50BE146	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	钳形万用表	ELEC-000240	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-262757A29B3191	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	钳形电流表	TOOL-000161	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-313D6E11BBC405	MGR-EE0CA1C223EA	工具量具	检测仪器（候选新增）	钳形电流表	ELEC-000227	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-A30FFA30A2EDEB	MGR-C5A4172627A0	液压气动	液压接头			family_review_not_approved	high	"旧名称覆盖完整，大部分类型边界清晰；但接头组件定义中""按套采购""与 observed_units=个 不符，兜底接头类型属性模板未覆盖 observed_spec_keys 中的品牌等键，需修正后通过。"	open
MGI-42EB4D1DC46402	MGR-C5A4172627A0	液压气动	液压接头	三通接头	PIPE-000337	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-5DB2E6A51F367E	MGR-C5A4172627A0	液压气动	液压接头	三通接头	PIPE-000389	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-03D1D1AEFB84B0	MGR-C5A4172627A0	液压气动	液压接头	两半扣	PIPE-000482	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-3221C9A3BB0448	MGR-C5A4172627A0	液压气动	液压接头	两半扣	PIPE-000410	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-AF63FCB7C727CD	MGR-C5A4172627A0	液压气动	液压接头	两半扣	PIPE-000481	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-AD86239B606015	MGR-C5A4172627A0	液压气动	液压接头	卡套三通	PIPE-000050	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-9D589118DBEB59	MGR-C5A4172627A0	液压气动	液压接头	卡套接头	METAL-000021	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-CC2C56C901B8E2	MGR-C5A4172627A0	液压气动	液压接头	卡套接头	METAL-000020	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-4F3CD7EBE57B78	MGR-C5A4172627A0	液压气动	液压接头	卡扣接头	METAL-000017	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-6DA6D30E9CA244	MGR-C5A4172627A0	液压气动	液压接头	卡扣接头	METAL-000018	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-283FAF56E1C067	MGR-C5A4172627A0	液压气动	液压接头	变径对丝接头	PIPE-000386	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-85DD36CD3F9356	MGR-C5A4172627A0	液压气动	液压接头	变径对丝接头	PIPE-000445	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-C3C18718C1EAD7	MGR-C5A4172627A0	液压气动	液压接头	变径接头	PIPE-000347	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-CB20F35378286F	MGR-C5A4172627A0	液压气动	液压接头	变径接头	PIPE-000471	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-DBEB5314803CE2	MGR-C5A4172627A0	液压气动	液压接头	变径接头	PIPE-000334	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-16D5BDD621C2E0	MGR-C5A4172627A0	液压气动	液压接头	堵头	PIPE-000305	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-3F0B046CEE680B	MGR-C5A4172627A0	液压气动	液压接头	堵头	PIPE-000175	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-5288262F76221B	MGR-C5A4172627A0	液压气动	液压接头	堵头	PIPE-000316	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-65C17438F5D25D	MGR-C5A4172627A0	液压气动	液压接头	堵头	PIPE-000173	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-83E0FDB063F179	MGR-C5A4172627A0	液压气动	液压接头	堵头	PIPE-000196	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-9F35C31B4FBA95	MGR-C5A4172627A0	液压气动	液压接头	堵头	PIPE-000177	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-A6EB887763B6A4	MGR-C5A4172627A0	液压气动	液压接头	堵头	PIPE-000176	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-A8A9D93EC16477	MGR-C5A4172627A0	液压气动	液压接头	堵头	PIPE-000174	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-F2BA67A6469DE2	MGR-C5A4172627A0	液压气动	液压接头	堵头	PIPE-000315	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-1185AEB109CB72	MGR-C5A4172627A0	液压气动	液压接头	对丝接头	PIPE-000356	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-3FE2DCC4066586	MGR-C5A4172627A0	液压气动	液压接头	对丝接头	PIPE-000354	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-7A38889079A646	MGR-C5A4172627A0	液压气动	液压接头	对丝接头	PIPE-000353	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-7E127CBA6079EA	MGR-C5A4172627A0	液压气动	液压接头	对丝接头	PIPE-000443	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-9F0C1D7D0482AF	MGR-C5A4172627A0	液压气动	液压接头	对丝接头	PIPE-000307	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B8AD1CD8DCD005	MGR-C5A4172627A0	液压气动	液压接头	对丝接头	PIPE-000346	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-F321B6E7A398BF	MGR-C5A4172627A0	液压气动	液压接头	对丝接头	PIPE-000338	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-2BA165F78FF027	MGR-C5A4172627A0	液压气动	液压接头	弯头接头	PIPE-000216	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-EF983E2707056C	MGR-C5A4172627A0	液压气动	液压接头	弯头接头	PIPE-000045	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-3003E1C5F5F6FC	MGR-C5A4172627A0	液压气动	液压接头	快速接头	PIPE-000155	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-5D05E84A533FDC	MGR-C5A4172627A0	液压气动	液压接头	快速接头	PIPE-000221	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-92D932CE06E138	MGR-C5A4172627A0	液压气动	液压接头	快速接头	PIPE-000220	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B62EA9B9FC0C60	MGR-C5A4172627A0	液压气动	液压接头	快速接头	PIPE-000222	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-E8BC8CC1B7B62B	MGR-C5A4172627A0	液压气动	液压接头	快速接头	PIPE-000223	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-91AA9524FF32E7	MGR-C5A4172627A0	液压气动	液压接头	扣件	PIPE-000297	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-9E552BAC8A2D4A	MGR-C5A4172627A0	液压气动	液压接头	扣件	PIPE-000296	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B2E3BF5D7B4CC4	MGR-C5A4172627A0	液压气动	液压接头	扣件	PIPE-000301	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-DBB14E3ADFC25E	MGR-C5A4172627A0	液压气动	液压接头	扣头	PIPE-000340	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-18D1C4D5FFC2E5	MGR-C5A4172627A0	液压气动	液压接头	接头	PIPE-000158	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-23D5030D11882F	MGR-C5A4172627A0	液压气动	液压接头	接头		type_review_not_approved	high	作为兜底类型，属性模板未覆盖 observed_spec_keys 中的品牌、系列、等级、类型、螺纹/接口等；不足以区分该组全部采购SKU。	open
MGI-2CF056CBDE37D0	MGR-C5A4172627A0	液压气动	液压接头	接头	PIPE-000361	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-3F4E2F41B76619	MGR-C5A4172627A0	液压气动	液压接头	接头	PIPE-000302	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-442B3F82E1F0FD	MGR-C5A4172627A0	液压气动	液压接头	接头	PIPE-000189	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-4EC33BA8EA018B	MGR-C5A4172627A0	液压气动	液压接头	接头	PIPE-000360	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-56D18FA7BD65BF	MGR-C5A4172627A0	液压气动	液压接头	接头	PIPE-000156	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-67633743E79DBF	MGR-C5A4172627A0	液压气动	液压接头	接头	PIPE-000137	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-803881D9B735EF	MGR-C5A4172627A0	液压气动	液压接头	接头	PIPE-000368	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
