item_code	current_item_name	current_family	recommended_family	action	confidence	review_reason	missing_or_ambiguous_fields	owner_question	source_required_specs
FAST-000045	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M16*70；成套：是
FAST-000046	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M10*40；成套：是
FAST-000047	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M12*40；成套：是
FAST-000054	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M10*55；表面处理：镀锌；成套：是
FAST-000068	T型螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	螺丝规格：M16*50；套件组成：平垫+弹垫+螺母
FAST-000069	T型螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	螺丝规格：M16*100；套件组成：平垫+弹垫+螺母
FAST-000074	螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M8*20；类型：螺丝
FAST-000084	螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：8.8；规格：M10*80；套件组成：平垫+弹垫
FAST-000087	镀锌螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	表面：镀锌；规格：M12*30
FAST-000090	螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：8.8；规格：M16*70；表面：镀锌；套件组成：平垫+弹垫
FAST-000091	螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：8.8；规格：M16*130；套件组成：平垫+弹垫
FAST-000093	螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：8.8；规格：M16*60；套件组成：平垫+弹垫
FAST-000094	螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：8.8；规格：M20*60；套件组成：平垫+弹垫
FAST-000095	内六角螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：强度等级	强度等级	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	材质：不锈钢；头型：内六角；规格：M5*30；套件组成：平垫+弹垫
FAST-000096	内六角螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：强度等级	强度等级	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	材质：不锈钢；头型：内六角；规格：M5*10；套件组成：平垫+弹垫
FAST-000097	内六角螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：强度等级	强度等级	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	材质：不锈钢；头型：内六角；规格：M5*16；套件组成：平垫+弹垫
FAST-000098	不锈钢螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：头型/驱动、强度等级	头型/驱动；强度等级	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	材质：不锈钢；规格：M6*20；套件组成：平垫+弹垫
FAST-000100	螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：8.8；规格：M20*200；套件组成：平垫+弹垫
FAST-000105	内六角螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质	材质	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：8.8；头型：内六角；规格：M10*50；套件组成：螺母
FAST-000116	螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：8.8；规格：M16*50；包含：平垫+弹垫
FAST-000117	螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：8.8；规格：M16*120；包含：平垫+弹垫
FAST-000119	高强度全螺纹螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：12.9；规格：M24*60；螺纹：全螺纹；包含：平垫+弹垫
FAST-000122	圆头螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、强度等级	材质；强度等级	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	头型：圆头；规格：M5*70；套件组成：平垫+弹垫
FAST-000123	高强度螺丝套件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	强度等级：8.8；规格：M16*70；套件组成：平垫+弹垫
FAST-000016	高强度螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、套/包装口径	材质；头型/驱动；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：M5*95；强度等级：12.9
FAST-000025	内六角螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、强度等级	材质；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M8*45；头型：内六角
FAST-000027	内六角螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、强度等级、套/包装口径	材质；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：M8*40；头型：内六角
FAST-000034	内六角螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、强度等级、套/包装口径	材质；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：M6*40；头型：内六角
FAST-000043	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M48*120
FAST-000044	内六角螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、强度等级	材质；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M14*120；头型：内六角
FAST-000048	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M24*230
FAST-000051	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M20*30
FAST-000052	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M20*35
FAST-000053	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M20*130
FAST-000055	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M27*100
FAST-000058	加长六角螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、强度等级	材质；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	定制：是；规格：M27*100；头型：六角；特征：加长
FAST-000064	高强度螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M30*100；强度等级：12.9
FAST-000067	高强度螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动	材质；头型/驱动	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M30*80；强度等级：10.8
FAST-000073	自攻螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M4*10
FAST-000075	内六角螺栓	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质	材质	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	强度等级：10.9；规格：M12*100；头型：内六角
FAST-000082	高强度全牙螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、套/包装口径	材质；头型/驱动；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	强度等级：12.9；规格：M30*250；螺纹形式：全牙
FAST-000103	自攻螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M4
FAST-000104	钻尾螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M5.5*80；包装：大盒
FAST-000106	自攻螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：规格、材质、头型/驱动、强度等级	规格；材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	长度：60mm
FAST-000107	钻尾螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：规格、材质、头型/驱动、强度等级	规格；材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	长度：60mm
FAST-000108	高强度全牙螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、套/包装口径	材质；头型/驱动；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	强度等级：12.9级；规格：M27*100；螺纹：全牙
FAST-000115	十字螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、强度等级、套/包装口径	材质；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	头型：十字；规格：Φ5*60
METAL-000070	不锈钢螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：头型/驱动、强度等级	头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M5.5*32；材质：不锈钢
SPARE-000014	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：16*50
SPARE-000015	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：14*50
SPARE-000016	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：8*250
SPARE-000017	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：8*30
SPARE-000018	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：16*30
SPARE-000019	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：12*60
SPARE-000020	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：12*50
SPARE-000026	鱼尾螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：M10*60
SPARE-000027	鱼尾螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：M14*70
SPARE-000028	鱼尾螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：M16*90
SPARE-000029	骑马螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：14*75
SPARE-000031	内六角螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、强度等级、套/包装口径	材质；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：10*40；类型：内六角
SPARE-000032	内六角螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、强度等级、套/包装口径	材质；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：16*50；类型：内六角
SPARE-000034	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M20*120
SPARE-000042	高强度螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、套/包装口径	材质；头型/驱动；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	强度等级：12.9级；规格：10*150
SPARE-000045	六角螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、强度等级、套/包装口径	材质；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：10*40；类型：六角
SPARE-000048	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：14*180
SPARE-000061	六角自攻螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、强度等级	材质；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：6；类型：六角自攻
SPARE-000065	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M30*100
SPARE-000068	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：M27*120
