item_code	source_item_codes	merged_count	item_name	sku_name	required_specs	item_group	top_group	sub_group	material_family	unit	estimated_rate	currency	price_basis	default_fill_basis	aliases	brand	model	original_item_name	original_sku_name	original_required_specs	original_unit	updated_at
ADMIN-000044	ADMIN-000044	1	喷壶	喷壶 1L	容量：1L；材质：塑料	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	3.80	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	无需补齐	喷壶			喷壶	喷壶 1L	容量：1L；材质：塑料	个	2026-07-08
ADMIN-000045	ADMIN-000045	1	喷壶	喷壶 2L	容量：2L；材质：塑料	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	5.70	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	无需补齐	2升喷壶；喷壶			喷壶	喷壶 2L	容量：2L；材质：塑料	个	2026-07-08
ADMIN-000048	ADMIN-000048	1	烟灰桶	不锈钢烟灰桶	材质：304不锈钢	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	19.00	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	材质按常见304不锈钢补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	不锈钢烟灰桶；烟灰桶			烟灰桶	不锈钢烟灰桶	材质：不锈钢	个	2026-07-08
ADMIN-000050	ADMIN-000050	1	油污清洗剂	油污清洗剂 重油污 30KG/桶	包装：30KG/桶；用途：重油污	化工胶粘涂料/清洗脱漆剂	化工胶粘涂料	清洗脱漆剂	清洗脱漆剂	桶	196.50	CNY	按1桶30KG估价；按物料族“清洗脱漆剂”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=1.3100；金额按四舍五入保留两位小数。	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	重油污除污剂30KG;重油污除污剂;除污剂			油污清洗剂	油污清洗剂 30KG	包装：30KG；用途：重油污	桶	2026-07-08
ADMIN-000051	ADMIN-000051	1	洗洁精	洗洁精 3KG	容量：3KG	清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	桶	27.30	CNY	按3KG桶装估价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	无需补齐	洗洁精3KG；洗洁精			洗洁精	洗洁精 3KG	容量：3KG	桶	2026-07-08
ADMIN-000053	ADMIN-000053	1	牙膏	牙膏	规格：通用	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	支	7.50	CNY	按支估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐				牙膏	牙膏	规格：通用	支	2026-07-08
ADMIN-000054	ADMIN-000054	1	拖鞋	拖鞋 均码	材质：EVA；尺码：均码	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	双	11.25	CNY	按双估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐				拖鞋	拖鞋 均码	材质：EVA；尺码：均码	双	2026-07-08
ADMIN-000056	ADMIN-000056	1	垃圾桶	垃圾桶 30L	容量：30L；材质：塑料	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	14.25	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	材质按常见塑料垃圾桶补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	垃圾桶			垃圾桶	垃圾桶 30L	容量：30L	个	2026-07-08
ADMIN-000057	ADMIN-000057	1	记号笔	记号笔 红色	颜色：红色；类型：油性	清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	支	2.00	CNY	按支计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	无需补齐	红色油性记号笔；油性记号笔			记号笔	记号笔 红色	颜色：红色；类型：油性	支	2026-07-08
ADMIN-000058	ADMIN-000058	1	垃圾袋	垃圾袋 黑色 120*140cm	尺寸：120*140cm；颜色：黑色	清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	0.98	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	无需补齐	黑色垃圾袋1.2米*1.4米；垃圾袋			垃圾袋	垃圾袋 黑色 120*140cm	尺寸：120*140cm；颜色：黑色	个	2026-07-08
ADMIN-000060	ADMIN-000060	1	洗洁精	洗洁精 2KG	容量：2KG	清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	桶	19.50	CNY	按2KG桶装估价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	无需补齐	洗洁精2KG；洗洁精			洗洁精	洗洁精 2KG	容量：2KG	桶	2026-07-08
ADMIN-000061	ADMIN-000061	1	铅笔	铅笔 2B	规格：2B	清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	支	0.50	CNY	按支计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	无需补齐	2B铅笔；铅笔			铅笔	铅笔 2B	规格：2B	支	2026-07-08
ADMIN-000062	ADMIN-000062	1	吸油棉	复合吸油棉 400*500*5mm	规格/尺寸：400*500*5mm；材质：复合	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	张	2.85	CNY	按张计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	无需补齐	复合吸油棉400*500*5；复合吸油棉			吸油棉	复合吸油棉 400*500*5mm	规格/尺寸：400*500*5mm；材质：复合	张	2026-07-08
ADMIN-000064	ADMIN-000064	1	圆桌	圆桌 1.5米折叠	直径：1.5米；结构：折叠；材质：木质	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	张	187.50	CNY	按张估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐	1.5米折叠圆桌；折叠圆桌			圆桌	圆桌 1.5米折叠	直径：1.5米；结构：折叠；材质：木质	张	2026-07-08
ADMIN-000065	ADMIN-000065	1	办公桌	办公桌 1.4米*0.6米 实木	尺寸：1.4米*0.6米；材质：实木	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	张	300.00	CNY	按张估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐	实木办公桌1.4米*0.6米；办公桌			办公桌	办公桌 1.4米*0.6米 实木	尺寸：1.4米*0.6米；材质：实木	张	2026-07-08
ADMIN-000066	ADMIN-000066	1	吸尘器	手持吸尘器	类型：手持；额定功率：100W	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	台	142.50	CNY	按台计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	额定功率按常见手持吸尘器100W补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	小米大功率手持吸尘器；手持吸尘器	小米		吸尘器	手持吸尘器	类型：手持	台	2026-07-08
ADMIN-000067	ADMIN-000067	1	垃圾桶	垃圾桶 240L 带盖带轮	容量：240L；配置：带盖、带轮；材质：塑料	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	71.25	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	材质按常见塑料垃圾桶补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	240L垃圾桶带盖轮			垃圾桶	垃圾桶 240L 带盖带轮	容量：240L；配置：带盖、带轮	个	2026-07-08
ADMIN-000070	ADMIN-000070	1	记录本	记录本 A4	规格：A4；页数：50页	清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	本	10.00	CNY	按本计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	无需补齐	设备维修保养记录本			记录本	记录本 A4	规格：A4；页数：50页	本	2026-07-08
ADMIN-000072	ADMIN-000072	1	扫把	扫把 塑料	材质：塑料	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	4.75	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	无需补齐	塑料扫把；扫把			扫把	扫把 塑料	材质：塑料	把	2026-07-08
CHEM-000001	CHEM-000001	1	聚氨酯堵漏剂	聚氨酯堵漏剂 20kg/桶	规格/口径：20kg/桶	化工胶粘涂料/胶粘密封	化工胶粘涂料	胶粘密封	胶粘密封	桶	300.00	CNY	按桶计价，每桶20kg，200元；按物料族“胶粘密封”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=1.5000；金额按四舍五入保留两位小数。	无需补齐	聚氨酯堵漏剂20KG；聚氨酯堵漏剂			聚氨酯堵漏剂	聚氨酯堵漏剂 20kg	规格/口径：20kg	桶	2026-07-08
CHEM-000002	CHEM-000002	1	涂料	立邦 环保涂料 5合1	系列：5合1；特征：环保	化工胶粘涂料/油漆涂料	化工胶粘涂料	油漆涂料	油漆涂料	桶	466.66	CNY	按每桶200元估价；按物料族“油漆涂料”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=2.3333；金额按四舍五入保留两位小数。	容量按常见18L补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	立邦环保涂料5合1；涂料	立邦		涂料	涂料 5合1	系列：5合1；特征：环保	桶	2026-07-08
CHEM-000003	CHEM-000003	1	瞬干胶	瞬干胶 502 20g	型号：502；容量：20g	化工胶粘涂料/胶粘密封	化工胶粘涂料	胶粘密封	胶粘密封	支	4.50	CNY	按支计价，每支20g，3元；按物料族“胶粘密封”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=1.5000；金额按四舍五入保留两位小数。	无需补齐	502胶水；502瞬干胶		502	瞬干胶	瞬干胶 502	型号：502；容量：20g	支	2026-07-08
CHEM-000004	CHEM-000004	1	除胶剂	除胶剂 500ML/瓶 得力	容量：500ML/瓶	化工胶粘涂料/清洗脱漆剂	化工胶粘涂料	清洗脱漆剂	清洗脱漆剂	瓶	26.20	CNY	按1瓶500ML估价；按物料族“清洗脱漆剂”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=1.3100；金额按四舍五入保留两位小数。	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	得力500ML除胶剂；除胶剂	得力		除胶剂	除胶剂 500ML	容量：500ML	瓶	2026-07-08
CHEM-000005	CHEM-000005	1	泡沫填缝剂	泡沫填缝剂 750ml 雨虹	容量：750ml；品牌：雨虹	化工胶粘涂料/胶粘密封	化工胶粘涂料	胶粘密封	胶粘密封	支	30.00	CNY	按支计价，每支750ml，20元；按物料族“胶粘密封”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=1.5000；金额按四舍五入保留两位小数。	无需补齐	雨虹高倍发泡胶；发泡胶；泡沫填缝剂；发泡剂；聚氨酯泡沫填缝剂	雨虹		泡沫填缝剂	泡沫填缝剂 750ml	容量：750ml	支	2026-07-08
CHEM-000006	CHEM-000006	1	防锈润滑剂	防锈润滑剂 WD-40 500ml/瓶	型号：WD-40；容量：500ml/瓶；功能：防锈润滑	化工胶粘涂料/润滑防锈	化工胶粘涂料	润滑防锈	防锈除锈	瓶	124.50	CNY	按1瓶500ml估价；按物料族“防锈除锈”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=3.1125；金额按四舍五入保留两位小数。	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。；润滑防锈人工治理：区分润滑油、润滑脂、防锈除锈和干性润滑剂，避免使用泛称“润滑剂”。	WD-40500防锈润滑剂；防锈润滑剂	WD-40		防锈润滑剂	防锈润滑剂 WD-40 500ml	型号：WD-40；容量：500ml	瓶	2026-07-08
